id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CD3vKQSp6tl,https://www.instagram.com/p/CD3vKQSp6tl/,68,#venice #italy,Best decision ever 😍 thx for the recommendation   ❤️ .   Enjoy!!! ❤️❤️❤️,,2020-08-14T13:09:58.000Z
CDeKx9RnwiY,https://www.instagram.com/p/CDeKx9RnwiY/,108,#mastermind #femaleempowerment #femalefounders #feminds,"Sometimes a person you didn’t even knew a few months ago, can turn out to be the best business partner 😍🚀 . So excited about what the future will bring with   😍 .       🔥🙌 Love it! 😍Thanks for the awesome collaboration😍😍Grateful for everything that already happened and really excited to build this up together 💪🏽🔥 Power ladies 😘 😍 🌻❣️ Girls inspiring and supporting girls! ❤💪🌟",,2020-08-04T14:51:04.000Z
CHKwHjSnNV3,https://www.instagram.com/p/CHKwHjSnNV3/,130,#company #companyculture #employee #insiderockets,"Heute vor einem Jahr habe ich mir die Frage gestellt ""Bin ich Angestellten-Material? Kann ich einen Geschäftsführer über mir haben? Oder bin ich geborene Unternehmerin und 'ertrage' es nicht, wenn es einen Boss über mir gibt"" Ich hab' da wirklich schon sehr an mir gezweifelt und hin und her überlegt und für mich dann festgelegt, welche Werte ich benötige, um in einer Firma glücklich zu sein - als Angestellte. Daher waren mir Fragen zum Ziel/der Vision des Unternehmens sehr wichtig, und vor allem war mir die Unternehmenskultur SEHR wichtig!  Nun ja... Heute feiere ich mein 1-jähriges bei GREEN ROCKET! Nach kurzer Zeit im Unternehmen konnte ich schon feststellen, am richtigen Ort angekommen zu sein. Die Geschäftsführung leitet das Unternehmen mit sehr viel Vertrauen, Herzlichkeit, Transparenz und Freiraum. Die Mitarbeiter sind unglaublich lieb und hilfsbereit. Alles, was man sich eigentlich wünscht :) Meine Zeit bei GREEN ROCKET hat zwar leider schon ein Ablaufdatum, da ich mich mit Mitte nächsten Jahres auf FEMINDS konzentrieren will. Aber bis dahin ist es ja noch ein bisschen :P     ❤️❤️❤️ Schade, dass wir im Moment nicht gemeinsam darauf anstoßen können ... müssen wir  unbedingt nachholen ♥️ Nice Firma! 🖤🚀  💚",,2020-11-04T11:58:06.000Z
CCJmpIfnBia,https://www.instagram.com/p/CCJmpIfnBia/,89,,Being on stage is my happy place 🥰 Radiating positivity & confidence 😍 😍😍 🚀🚀🚀 👏🔥❤️,,2020-07-02T18:39:05.000Z
CC306HbHkrs,https://www.instagram.com/p/CC306HbHkrs/,53,#keynotespeaker #startup #startupfounder,"🔥Morgen bin ich bei der   eingeladen um über das Thema ""Startups in der Pandemie - Wie starte ich mein Unternehmen unter schwierigen Bedingungen"" zu sprechen.⁣ ⁣ Gerade in einer Pandemie, bei der man sowieso daheim eingesperrt ist und viele sogar den Job verloren haben, hast du genügend Zeit um dich auf die Selbstständigkeit vorzubereiten.⁣ ⁣ Morgen um 15 Uhr erzähle ich meine Sichtweise dazu.⁣ Be there 🚀⁣ ⁣     Sehr interessante Beiträge die du hier teilst. Es würde mich freuen, wenn wir uns connecten 😊",,2020-07-20T17:28:48.000Z
CBIjQwcnoCX,https://www.instagram.com/p/CBIjQwcnoCX/,98,#blacklivesmatter,White Silence is Violence ✊🏼 . 🖤 ✊🏿✊🏿💯💯 Yes!! Yeeesssssaaa ✊🏼✊🏽✊🏾✊🏿💯 🖤🖤🖤 👍👍👏 Vorbildwirkung ohne Mundschutz Denise🙈 ✊🏾,,2020-06-07T12:18:55.000Z
CEHV-eVHm9_,https://www.instagram.com/p/CEHV-eVHm9_/,123,,The love for dogs is endless ❤️ Give a warm welcome to our new office dog 😍 😍😍😍😍😍❤️ 😻😻😻 😘 Maaa wie herzig is der bitte? 😍😍❤️❤️ Maaaah 😍😍😍 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 Liebe Grüße von meinen Office Dogs 😍😍❤️❤️ purer Z U C K E R ♥️,,2020-08-20T14:37:46.000Z
CBBb9gcn1mG,https://www.instagram.com/p/CBBb9gcn1mG/,100,#corgi #corgi❤️,"today is international corgi day ❤️ . Kann mich nicht entscheiden wer süßer is 😍 😍♥️ ❤️❤️ 😍 da beste arbeitskollege 😍 Omg, so much cuteness in one picture😻 🤩 wie konnten wir das nicht wissen? 😂  ❤️ich bin sehr eifersüchtig 😅😂",,2020-06-04T18:00:26.000Z
CEBnWK9HyNf,https://www.instagram.com/p/CEBnWK9HyNf/,66,,Goodbye venice ❤️ Inconfondibile: lo stile di vita italiano,,2020-08-18T09:14:06.000Z
CEmlizhHemZ,https://www.instagram.com/p/CEmlizhHemZ/,94,,🔥   🔥 . 📸    🔥🔥🔥,,2020-09-01T17:50:15.000Z
