id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CRqJF_IhY1M,https://www.instagram.com/p/CRqJF_IhY1M/,478,#maxstiegl #gutpurbach #innereien #innereienküche #biber #frosch #herz #niere #nosetotail #zerowaste #nachhaltigkeit #nachhaltigleben #nachhaltigkochen #chef #bestchef #besterkoch #besonderetiere #sustainable #falstaffprofi #fleisch #foodporn #massentierhaltung,"Es müssen nicht immer Edelteile 🥩 sein und auch nicht immer nur Rind 🐄, Schwein 🐖 & Huhn 🐓! Max Stiegl ist berühmt für seine Innereienküche und die Liebe und Hingabe, mit der er auch die schwierigeren Teile des Tiers zubereitet.  🔝 Lies dazu mehr im aktuellen Falstaff Profi Magazin! 📰 Du hast noch kein Abo? Check deine Möglichkeiten unter: 📖 https://shop.falstaff.at/pages/falstaff-profi                                           Grundsätzlich absolut richtig 👏👏Fleisch aus Massentierhaltung sollte aus Regalen überhaupt verschwinden! Aber da wäre die Politik gefragt…. Hunde, Katzen etc würde ich aber trotzdem nicht essen 😯 Dann lieber gleich Veggie Es ist hald so wie alles in unserer mittlerweile so scheinheiligen Welt - die wirklichen Probleme werden geflissentlich übersehen & der Rest wird aufgeblasen. Man nennt das Karnismus. Und wir machen alle mit. Jeder von uns. Oder hat sich irgendwer mal Gedanken darüber gemacht Hund oder Katze zu essen? Manche Tiere streicheln wir und manche essen wir, das ist scheinheilig. Außerdem steht der Biber zumindest in Deutschland unter Naturschutz. Sehr wichtiger Post! 🤩🧡👍🏼 Dm on ♥️   1M Dm on ♥️   1M",,2021-07-23T05:46:44.000Z
CRig2VthEAK,https://www.instagram.com/p/CRig2VthEAK/,454,#falstaffprofi #falstaffprofiatwork #ahorn #ahornsirup #sirup #kanada #ahornsirupauskanada #rezept #recipe #rezeptideen #kreativegerichte #spargel #ente #bestchef #bestchefs #shooting #schnittlauchblüten #blüten #flowers #farbenfroh,"🦆 Französische Ente »Mal zwei« mit grünem Spargel und Ahornsirup 🍁  🍁Philipp Dyczek und Jaimy Reisinger, Restaurant Artis, entwickelten spannende Rezepte rund um das Thema Ahornsirup. 🍁 💡Das Rezept findest Du auf falstaff.com 💡 📸 Foto: Philipp Wagner                                       Beautiful deliciousness 😍 Sieht fantastisch aus 👏 Sieht sehr lecker aus 🥃🇨🇦",,2021-07-20T06:40:23.000Z
CSJtbH_KYV3,https://www.instagram.com/p/CSJtbH_KYV3/,417,#StreetArt #Hospitality #Graffiti #TapeArt #tapeten #farben #inspiration #kunstausderdose #dose #spray #rolantrettl #trettl #kunst #art #bestchef #chef #design #interieur #kulinarik #kulinarischereise #painting #malen #paintings,"🎨Street Art – Kunst aus der Dose 🎨 👨‍🎨Street Art erobert die Hospitality Branche von Graffiti bis hin zu Tape Art. 🧑‍🎨   Markus Wesenauer hat für Roland Trettl 150 Quadratmeter illustriert: Das Mural spiegelt Trettls kulinarischr Geschichte wider: Im Zentrum die kulinarische Göttin zwischen Genuss, dafür steht die Frau und Völlerei, dafür steht der Mann.                                                   📸 Fotocredit: Max Trettl Cool 👍 Schaut super aus! 🤩🧡👍🏼 Wow!",,2021-08-04T12:00:39.000Z
CSoRxgwKE_M,https://www.instagram.com/p/CSoRxgwKE_M/,,#Falstaff #falstaffprofi #Lohberger #Velich #Wieninger #Ott #Reisetbauer #Amador #Metro #Taste #tastekitchen #genuss #guidemichelin #sternekoch #3sternemichelin #kulinarik #streetfood #food #bestchef #bestchefs,🔥 Lohberger Friends rocken Taste Kitchen am Donaukanal 🔥   🎙 Juan Amador zeigte wie genial Street Food sein kann – begleitet von außergewöhnlichen Winzern. 🥂                                             Videoproduktion: Spoon Fellas ❤️🔥🔥🔥,,2021-08-16T08:59:03.000Z
CRBW_dFhLez,https://www.instagram.com/p/CRBW_dFhLez/,445,#falstaffprofi #falstaffprofiatwork #ahorn #ahornsirup #sirup #kanada #ahornsirupauskanada #rezept #recipe #rezeptideen #kreativegerichte #spargel #tortellini #bestchef #bestchefs #shooting #schnittlauchblüten #blüten #flowers #farbenfroh,"🍁 Spargel-Trüffel-Tortellini mit Birne und Ahornsirup 🍁 🍁Philipp Dyczek und Jaimy Reisinger, Restaurant Artis, entwickelten spannende Rezepte rund um das Thema Ahornsirup. 🍁 💡Das Rezept findest Du auf falstaff.com 💡 📸 Foto: Philipp Wagner                                       Leckere Kombination 😋😋 🦄🦄🦄 farbenfroh 🤙🦄🤙 💚💚💚 🦄🦄🦄 farbenfroh 🤙🦄🤙 💚💚💚 Hört sich sehr gut an! 😍 Da kriegen wir gleich Lust auf’s Mittagessen! 😍🙌",,2021-07-07T09:39:19.000Z
CQtFMcghj4M,https://www.instagram.com/p/CQtFMcghj4M/,458,#youngtalents #falstaffyoungtalents #falstaffprofi #challenge #wettbewerb #patisserie #backen #kochen #süssesbusiness #süssigkeiten #desserts #zuckerbäcker #bäcker #bäckerin #konditor #konditorei #konditorin,💪 Frauenpower am Falstaff Young Talents Cup 💪 🏆 3 Damen stehen am Siegertreppchen in der Kategorie Patisserie🏆 1. Platz Carla Fink aus der Gastgewerbefachschule am Judenplatz 2. Platz Artemis Karavani aus dem Andaz Vienna 3. Platz Monika Bernhofer aus der HTLLMT Meisterschule Bäcker und Konditormeister                                 Wie cool 👏 gratuliere euch… weiter so!,,2021-06-29T12:38:59.000Z
CQP-xv9BvdN,https://www.instagram.com/p/CQP-xv9BvdN/,775,#falstaffprofi #falstaffyoungtalents #falstaffytc #falstaffyoungtalentscup #youngtalents #bar #bartenderlife #barkeeper #bartenderslife #competition #wettbewerb #shaken #shaking #gastro #gastronomie,🍸 So sehen Sieger aus! 🍸 Die Falstaff Young Talents in der Kategorie Bar stehen fest!  1. Platz: Hans Jörg Prommer aus der »Katze Katze« in Graz  2. Platz: Daniel Süle aus »Das Sonnreich«  3. Platz: Leon Rass aus den Tourismusschulen Villa Blanka                             Wir sind so stolz auf unseren Barkeeper   😁🥳✨ Yess 💪🏽💪🏽💪🏽 Tolle Fotos👏 👏 herzlichen Glückwunsch 👏 👏 herzlichen Glückwunsch 👏 👏👏👏,,2021-06-18T05:24:56.000Z
CRTGzHmBD2d,https://www.instagram.com/p/CRTGzHmBD2d/,546,#takeyourchance #youngtalents #falstaffprofi #youngtalentscup #challenge #küche #gastgeber #bewerb #wettbewerb #bestchef #bestchefs #chance #future #zukunft #jury #talente #talents #kochen #service #sommelier #sommelierlife #takeit #cooking #tollepreise #preise #karriere #karriereturbo #career #job,"🔝 Falstaff Young Talents Cup 🔝 Der wohl hochwertigste Nachwuchsförderungswettbewerb der Branche geht in die nächste Runde! 👀🤩 Sei dabei und stell Dein KÖNNEN unter Beweis!  ❗️❗️❗️❗️ Bewirb dich JETZT unter https://youngtalents.falstaff-profi.com Wir suchen JETZT  Anmeldeschluss: 31.7.2021!  Wir suchen Talente in den Kategorien Küche & Gastgeber!  Danke an unsere großartige Jury, die unseren jungen Talenten bereits früh ein tolles Netzwerk bietet! 🍽👨‍🍳                                                       🔝🔝🔝🔝🔝 Großartig 🤩🤩🤩 🙌🙌 Wird etwas bestimmtes gesucht ?",,2021-07-14T07:04:09.000Z
CR3A-unBbos,https://www.instagram.com/p/CR3A-unBbos/,439,#falstaffprofi #falstaffprofiatwork #ahorn #ahornsirup #sirup #kanada #ahornsirupauskanada #rezept #recipe #rezeptideen #dessert #nachspeise #kreativegerichte #bestchef #bestchefs #shooting #patisserie #patissier #flowers #farbenfroh #falstaffyoungtalents #falstaffyoungtalentscup #himbeeren #milch #holunder,"🍁Dessert Heaven 🍁 Jaimy Reisinger, Siegerin des Falstaff Young Talents Cups 2019, mittlerweile im Artis Restaurant angelangt, kreierte ein spannendes Rezept rund zum Thema Ahornsirup 🍁 🔝Du möchtest auch die Chance nützen und richtig durchstarten? Dann bewirb Dich JETZT! Wir suchen die besten Nachwuchskräfte in den Kategorien Gastgeber und Küche! 👨‍🍳👩‍🍳🍽🍾🥂 🍁 Dessert: Himbeere mit gerösteter Milch, Ahornsirup und Holunder 🍁 💡Das Rezept findest Du auf falstaff.com 💡 📸 Foto: Philipp Wagner                                                 Tolles Foto 👏 Ein Traum!🤩🧡👍🏻 Wer hat das Gewinnspiel von Die Imkerei gewonnen? Mmmmhhhh😍🇨🇦",,2021-07-28T05:45:58.000Z
CQVSw20hIdd,https://www.instagram.com/p/CQVSw20hIdd/,536,#falstaffprofi #falstaffyoungtalents #falstaffytc #falstaffyoungtalentscup #youngtalents #gemüse #gemüseküche #vegan #vegetarisch #veggie #vegetarian #competition #wettbewerb #shaken #shaking #gastro #gastronomie #sustainability #nachhaltig #veganfood,Wie genial 🏆 Die besten Nachwuchstalente in der Kategorie Gemüseküche stehen fest 🏆  Nachhaltig in die Zukunft 🏆 1.Platz: Anton Lebersorger aus Goldberg Restaurant & Winelounge Fellbach 2. Platz:  Wilhelm Thurner aus den Tourismusschulen Villa Blanka 3.Platz: Zoe Kaspar aus der HBLA Bergheidengasse                                         Gratulation 👏👏👏 👏👏👏 👍👍👍 👏🏼👏🏼👏🏼👏🏼👏🏼,,2021-06-20T06:55:47.000Z
