id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
B_KRbBnJDJH,https://www.instagram.com/p/B_KRbBnJDJH/,264,#vegan #asparagus #tempeh #veganfood #homemade #homemadefood #veganlunch #teriyakitempeh #teriyaki #plantbased #plantbasedfood #whatveganseat #veganeats #crueltyfree #noanimalsharmed #noanimalingredients #veganfoodshare #tasty #delicious #veganfoodlovers #veganfoodporn #veganfoodie #eatplants #choosevegan #veganlife #govegan #veganism #vegans #vegansofig #vegansofinstagram,Just an easy homemade   meal with   & teriyaki   🌱💚 . Swipe ➡️ I had it with a dandelion salad & red radish. 🥗😊 . . .                                                     Beautiful 😍🙌 💚😍🙏 Sieht toll aus 😍 This looks so good 😍😍 🙏💚 tempeh is the best😍😍 Yummmm 👍,,2020-04-19T11:18:43.000Z
CAAaBRCpWwG,https://www.instagram.com/p/CAAaBRCpWwG/,199,#homemade #vegan #veganlasagna #vegancheese #homemadefood #plantbased #plantbasedfood #crueltyfree #whatveganseat #nomeat #nodairy #lasagna #noanimalingredients #noanimalsharmed #veganfood #veganfoodshare #veganfoodlovers #veganfoodporn #veganlunch #delicious #tasty #yummy #choosevegan #govegan #veganism #vegancommunity #veganfortheanimals #vegans #vegansofig #vegansofinstagram,"A delicious   &   lasagna 🌱😍 . INGREDIENTS: 💚 soy minced meat substitute 💚 vegetables (mushrooms, carrots, zucchini, red pepper) 💚 tomato sauce 💚 spelt lasagne sheets 💚 bechamel sauce (almond milk, spelt flour, salt, pepper, margarine) 💚 my own homemade vegan cheese (left picture) . INGREDIENTS FOR VEGAN CHEESE: 💛 margarine 💛 flour 💛 plant based milk 💛 nutritional yeast 💛 salt 💛 pepper 💛 spices 💛 turmeric . ♥️ How to make vegan cheese: melt 2 tablespoons of margarine in a saucepan and stir in 3 teaspoons of flour. Add 150 ml of plant based milk while stirring constantly. Stir in 4 tablespoons of nutritional yeast and season with salt and pepper. Refine with spices and turmeric as desired. . .                                                       😍😍😍 💚 💚💚💚 Nommy 💚😋 this is making me hungry 😍 Looks soooo amazing 😍",,2020-05-10T11:52:50.000Z
CMpYn3Up47T,https://www.instagram.com/p/CMpYn3Up47T/,107,#vegan #ramen #veganramen #veganfood #plantbased #crueltyfree #noanimalsharmed #plantbasedfood #whatveganseat #veganfoodshare #choosevegan #govegan #veganfortheanimals #veganism #veganeats #yummy #delicious #tasty #veganfoodlovers #veganlife #veganlifestyle #vegancommunity #vegans #vegansofig #vegansofinstagram,"Today on a first day of spring it was cold and snowing outside, so I decide to make a delicious     🌱🍜 . INGREDIENTS: 💚 Water 💚 Peanut oil 💚 Carrots 💚 Red pepper 💚 Hatcho miso 💚 Soy sauce 💚 Rice noodles 💚 Peanut butter 💚 Peanuts 💚 Black cumin seeds 💚 Soy rich soft tofu 💚 Shiitake mushrooms 💚 Fresh coriander . .                                             Yummy ❤️ Yum yum 😍 Looks so fresh 😍 So gooood That looks so nice 😍👌💚",,2021-03-20T16:06:13.000Z
B9ZH5SUJbFc,https://www.instagram.com/p/B9ZH5SUJbFc/,145,#vegan #brazilnuts #selenium #healthy #healthyfood #nuts #plantbased #whatveganseat #plantbasedfood #veganeats #veganfood #veganism #vegancommunity #veganlife #veganlifestyle #foodphotography #choosevegan #vegans #vegansofig #vegansofinstagram,Brazil nuts are a great source of selenium. 💪 . Selenium is required by the body for proper functioning of the thyroid gland and may help protect against free radical damage and cancer. . When eating   it is recommended to take 2 brazil nuts per day in order to supply the human body with selenium.🌱😉 . .                                    ,,2020-03-06T12:41:17.000Z
COFyvfeJjAi,https://www.instagram.com/p/COFyvfeJjAi/,75,#vegan #homemade #homemadefood #homemadedessert #dessert #easyfood #tasty #instafood #veganfood #veganfoodie #veganeats #veganfoodlovers #veganfoodshare #plantbased #plantbasedfood #whatveganseat #crueltyfree #noanimalingredients #noanimalsharmed #choosevegan #veganlife #vegans #vegansofig #vegansofinstagram,"Easy &   homemade jar dessert 🌱❤️ . INGREDIENTS: 💚 Mango sauce 🥭 💚 Banana 🍌 💚 Strawberries 🍓 💚 Vegan Skyr . .                                             Gosh, this looks scrummy 😍😋 💚",,2021-04-25T13:24:35.000Z
B_uR3D7pGPG,https://www.instagram.com/p/B_uR3D7pGPG/,269,#brunchbox #vegan #veganbrunch #brunch #ginkograz #welovegreenhouse #verrücktnachmarry #veganessen #pflanzlich #veganesessen #ohnetierischeprodukte #ohnetierleid #pflanzlicheernährung #graz #grazvegan #veganingraz #österreich #austria #igersgraz #veganösterreich #veganaustria #veganfood #plantbased #crueltyfree #whatveganseat #choosevegan #govegan #vegans #vegansofig #vegansofinstagram,"Danke an   und   für so eine wahnsinns leckere vegane   🌱🤩💚 . Da wir unter den ersten waren, haben wir noch   dazu bekommen. Juhuu schmeckt richtig lecker! 😍💖 . ➡️ Wische über den Bildschirm um auch Video zu sehen 😉 _________________________ UNBEZAHLTE WERBUNG . .                                                         Wooow. Das sieht ja meeega lecker aus 😍😋🙌 Wahnsinn!!! Ich will sowas 😍😍 Alles sieht so mega lecker aus 😍 Mmhhh, Spitzenklasse 🤤 So gut, die hatte ich auch schon 😍 wow 😍 💚 😍",,2020-05-03T10:55:12.000Z
B9uK5FYn4vc,https://www.instagram.com/p/B9uK5FYn4vc/,163,#homemade #vegan #bananabread #homemadefood #plantbased #noanimalingredients #noanimalsharmed #crueltyfree #whatveganseat #tasty #delicious #veganfood #veganfoodshare #veganfoodlovers #veganfoodie #veganfoodporn #veganeats #veganism #veganfortheplanet #choosevegan #veganfortheanimals #veganlife #veganlifestyle #veganpower #banana #vegancommunity #foodphotography #vegans #vegansofig #vegansofinstagram,My   &   Banana Bread 🍌🌱😊 . INGREDIENTS: 💚 5 Bananas 💚 Ceylon Cinnamon 💚 Almond oil 💚 ground Hazelnuts 💚 Spelt flour 💚 Rice milk 💚 Tartat baking powder 💚 Pecans . .                                                       😍Great Looks delicious!😋👏👌 Beautiful shot 📸! Looks yummy! 😍👏🏻 Beautiful 😋,,2020-03-14T16:51:32.000Z
CDGNLWqp1Dw,https://www.instagram.com/p/CDGNLWqp1Dw/,178,#vegan #flammkuchen #vegancheese #homemade #homemadefood #tarteflambee #flamecake #veganfood #plantbased #plantbasedfood #crueltyfree #nomeat #noanimalingredients #noanimalsharmed #veganfoodshare #veganfoodlovers #veganfoodie #choosevegan #govegan #vegancommunity #veganism #whatveganseat #veganfortheanimals #veganfortheplanet #eatplants #veganeats #veganlife #vegans #vegansofig #vegansofinstagram,Homemade     (flame cake) 🌱 . INGREDIENTS: 💚 vegan bread dough 💚 homemade  💚 tomato sauce 💚 courgette 💚 red pepper 💚 mushrooms 💚 sweet corn 💚 fresh herbs . . .                                                     Looks so flavorful 😋,,2020-07-26T07:30:14.000Z
B_HNwC1Jlwd,https://www.instagram.com/p/B_HNwC1Jlwd/,253,#wildstrawberries #vegan #soyyogurt #veganbreakfast #wildstrawberry #breakfast #plantbased #veganfood #whatveganseat #crueltyfree #nodairy #dairyfree #plantbasedfood #veganeats #noanimalingredients #govegan #noanimalsharmed #choosevegan #veganism #veganfoodlovers #veganfoodshare #vegans #veganfoodie #veganfoodporn #vegancommunity #veganfortheanimals #veganfortheplanet #veganlife #vegansofig #vegansofinstagram,I was lucky to find some   🍓😍 . So I decided to make a delicious   breakfast out of it with: 💚   with oat 💚 banana . . .                                                     😍😍😍 schaut sehr lecker aus Wild strawberries are so good 😍 we almost had a similar breakfast 💕 yummmyyyyy❤️❤️❤️❤️,,2020-04-18T06:48:55.000Z
CBH9iMlJy5x,https://www.instagram.com/p/CBH9iMlJy5x/,234,#vegan #tasty #veganfood #vegansnacks #snack #vegansnack #plantbasedfood #whatveganseat #homemadefood #homemade #crueltyfree #noanimalingredients #plantbased #noanimalsharmed #cornwaffles #easyrecipes #peanutbutter #banana #veganfoodlovers #veganfoodshare #foodphotography #foodporn #veganism #choosevegan #govegan #veganfortheanimals #vegans #veganfortheplanet #vegansofig #vegansofinstagram,An easy homemade   snack with: 💚 Corn wafers 💚 Peanut butter 💚 Ceylon cinnamon 💚 Banana 💚 Blueberries 💚 Peanuts . Simple &   🌱😊 . . .                                                       😋😋 Beautiful and delicious 💝 😍 Love snacks like this 👍🏼 Yummy delicious snacks 😋,,2020-06-07T06:49:15.000Z
