id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CKwJZshnIGu,https://www.instagram.com/p/CKwJZshnIGu/,244,,"Jeden Tag begleiten mich diese Fragen: Wer bin ich? Wofür mache ich meine Projekte?! 🔥Diese Fragen tun mir so gut - ich bin mir momentan so klar von dem was ich wirklich in meinem Leben möchte..das erfüllt mich mit Dankbarkeit und 🍀 Glück. ♥️die Antworten kommen meistens in der Ruhe, unter der Dusche, beim spazieren gehen und bei freudvollen Aktivitäten! 👉Welche Fragen tun dir gut? Bestärken dich? Machen dich kraftvoller? Lebendiger?! Herzlichst, Deine Zita ♥️ Was hat mich heute berührt? Was hat mir heute geholfen? Ich habe tatsächlich eher Aussagen, die mir gut tun... Du schaust einfach so hübsch aus!!! Du weißt,wofür... ❤️🌱🙏 So schöne Fotos 😍😍 Wie wunderbar gesagt... ja diese frage dürfen wir uns von Zeit zu Zeit immer mal wieder stellen und wenn die Antwort da ist, wissen wir wieder, ob wir noch auf dem richtigen Weg sind ☺️ 📷😍 Mir hilft die Frage, und wie geht's uns heute? Damit kann ich besser erfühlen was neben meiner Ratio gerade noch so in meinem Inneren passiert 😁🙏 ❤️❤️❤️ Fragen Fragen fragen ... willst man weiterkommen und sich selber auch noch kennenlernen ❤️❤️❤️ dann sollte man mit Fragen und eine Liebesbeziehung eingehen ❤️ Selbstreflexion und tiefgreifende Fragen an sich selbst, sind einfach unglaublich wichtig, während man seine Vision verfolgt 👁❤️ Ein super Hinweis von dir‼️❤️🙏🏻😘 In der Stille kommen meist die besten Antworten!  Tut gut - abzuschalten und zur Ruhe zu finden So schön geschrieben ♥️ Alles Liebe für dich ♥️ Ich habe immer Ideen und neue Impulse, wenn ich mit meinem Cello durch die Natur gehe. Die Natur gibt mir immer Zuversicht. Danke für deinen tollen Beitrag 💕",,2021-02-01T14:05:06.000Z
CJvicK3neh1,https://www.instagram.com/p/CJvicK3neh1/,220,#achtsamkeit #meditation #bewusstsein #lebensfreude #wahrheitleben #mut #herzensweggehen #vision #berufung #motivatorin #lebensfreude #ehrlichkeit #klarheit #workshops #vorträge #zitamartus #einfachmachen,"Klarheit tut so gut! Die letzten Wochen habe ich dafür genutzt,um mich bewusst von ALTEM zu trennen(Glaubenssätze,Gegenstände, Einstellungen, Konzepte) einfach Allem was mir nicht mehr dienlich ist🙏Seit heute habe ich eine kraftvolle Klarheit vor mir. Das tut so gut und ist gleichzeitig so befreiend. Entscheidungen bewirken so viel und bereiten so viel Raum für NEUES. ♥️Wie geht es dir momentan damit? Wie klar bist du dir und dein Herz? Was tut dir gut? Was darf sich erfüllen?!  Herzlichst, Zita Collab? DM us   💕 😍 Hübsche Oh ja, ich finde auch, dass Entscheidungen total befreien und ich nach einer Entscheidung sehr ruhig und entspannt bin. Mir hilft es total neben dem Kopf auch meinen Körper als Kompass hinzuzunehmen und auch reinzuspüren, wie sich etwas anfühlt. Klare Entscheidungen sind sehr wohltuend. Sie geben Richtung und damit Kraft. Ein super Motor 💞. Alles Gute für dich und gutes Gelingen wünsche ich dir 🎉😀✨. ❤️ ich kann absolut bestätigen,  wie wichtig der ""Körperkompass"" ist - ich horche vor wichtigen Entscheidungen immer mehr in mich hinein und spüre,  was mein Körper mir sagt - wenn ich das übergehe, geht's immer schief 😉 danke für deinen tollen post ❤️ Das ist toll, freut mich für dich 👍 Klarheit ist für mich auch immer heilsam. 💖 Besuche mich doch auch mal auf meiner Seite 🙏 Namaste Tolles Bild 😍😍😍",,2021-01-07T11:53:16.000Z
CMhju9rnU0v,https://www.instagram.com/p/CMhju9rnU0v/,138,#netzwerk #achtsamkeit #herzensweg #berufung #wahrheit #meditation #lebensfreude #herzklar #selbständigkeit #mutmacherin #motivatorin #struktur #coaching #klarheit #berufungleben,"♥️ Ich selbst bin gerne hilfsbereit und teile meine Netzwerke. Allerdings gibt es bei mir auch Grenzen - wenn ich merke, dass das Gegenüber ständig nur zieht und es sich für mich nicht mehr stimmig anfühlt, ist es für mich Zeit, adieu zu sagen und hier bitte nicht bewerten - jeder darf seine eigenen Grenzen haben, weil jeder Mensch anders ist und anders damit umgehen möchte und auch darf! 🔥Für mich ist es ein schöner Prozess, da ich mich so noch besser kennen lerne und ich liebe Netzwerken💯da es mir Freude bringt - vor allem wenn es auf einer gegenseitigen Wertschätzung beruht💐 👉Wie Netzwerke für mich persönlich  Funktionieren können: Wenn ich etwas möchte, könnte ich mir dennoch Gedanken machen wie ich diese Person auch unterstützen bzw. helfen könnte? Welches Netzwerk würde diese Person supporten? Was würde dieser Person helfen? Könnte ich ihr etwas Gutes tun, da ich in einem Themenbereich schon etwas weiter bin? Wie kann ich freiwillig etwas geben, weil es mir Freude macht?! 🌷Ich bin davon überzeugt - nur so - können gegenseitige und längerfristige Netzwerke entstehen. Es heißt nicht wenn ich was bekomme muss ich es sofort zurückgeben oder dieser Person etwas zurückgeben. Aber ich darf für mich einen Weg finden, dass sich diese Person wertgeschätzt fühlt und mache irgendwann jemand anderem eine Freude 🥰 👉Wie stehst du zu diesem Thema? Was macht gutes Netzwerken für dich aus?!  Tipp💯 Buchempfehlung: geben und nehmen von Adam Grant Gutes Netzwerken ist ein Geben und Nehmen 😍 Du hast alles beschrieben, was auch ich wichtig finde 👏 Kommt auf die Vereinbarungen und den Kontext bzw. Den Zweck des Netzwerks an. Je klarer das definiert ist, desto einfacher fällt es. Transparenz und Klarheit ist immer wichtig. Absolut 👏Danke für diesen Beitrag ❤️❤️ Für mich sollte ein guter Ausgleich gegeben sein 🙏 Es gibt so viele Zitate, die auch Glaubensätze sind. „Eine Hand wäscht die andere“ oder „wie du mir, so ich dir“. Ich persönlich helfe gerne, wenn ich den Menschen sympathisch finde. Einfach so. Ohne eine Erwartung. Wenn dieser Mensch mich auch mal unterstützt, freue ich mich. Wenn nicht, auch ok. Es ist, wie mit schenken. Welche Motivation steckt dahinter? Wenn ich eine Gegenleistung erwarte, kann ich es gleich sein lassen. Sehr wertvoll was Du sagst ☺️🙏Netzwerken ist auch für mich ein geben und nehmen und sollte nicht einseitig sein ☺️🙏😇 ❤️",,2021-03-17T15:09:23.000Z
CR_-3E2sBJZ,https://www.instagram.com/p/CR_-3E2sBJZ/,100,#vision #visionsboard #bewusstheit #achtsamkeit #lebensfreude #visionskurs #berufung #wahrheitleben #herzensweg #glaubandich #herzklar #seminare #mentoringprogramm #selbstliebe #meditation #motorrad #selbstbewusstsein #visionskraft #zitamartus,"„Sobald wir unsere Grenzen kennen, gehen wir über sie hinaus“ - Einstein 👉Letztes Jahr bin ich mit Robert durch Warth gefahren (allerdings bin ich mit seinem Motorrad mitgefahren) damals dachte ich mir noch, ich würde so gerne selbst mit dem Motorrad durch Warth fahren, aber wie soll das gehen? (Kurven ohne Ende - Arlbergpass etc.🙃) Ein Jahr später bin ich heute mit dem eigenen Motorrad durchgefahren und habe wirklich so eine innerliche Freude. Zu Beginn des Jahres stand es groß auf meinem Visionsboard und mit kleinen Schritten habe ich mich zu meinem Ziel hinbewegt. Jetzt bin ich dankbar dafür - auch wenn ich am Anfang so meine Zweifel hatte, wie ich es schaffen soll. Meine Grenze habe ich erweitert und mir wurde heute wieder bewusst, dass wir unsere Ziele schaffen können und unsere Visionen wahr werden. Wir gehen Schritt für Schritt hindurch - bewegen uns darauf zu und plötzlich ist es soweit und wir sind bereit für das nächste Abenteuer🔥 🙌🙌 Wie schön, dass du es gewagt hast, dein Ziel zu erreichen Mega cool 😍 Ha! Du bist echt mega! ❤️🙌 Sehr cool! : ) Wow!🥰 Toll! ❤️😍🙌 Ich freue mich für Dich und schön, dass Du uns mit Deiner Geschichte motivierst. Danke! 🙏❤️",,2021-07-31T17:20:36.000Z
COP4HIJnye8,https://www.instagram.com/p/COP4HIJnye8/,208,,"Alice: „Das ist unmöglich... Hutmacher: Nur, wenn man nicht daran glaubt!“ (Alice im Wunderland) 🌷glaub an alles, was dir wichtig und wertvoll ist!🔥🔥🔥 😍👏 Absolut und unbedingt 🔥und wenn ich mal zweifel, erinnere ich mich daran, warum ich angefangen habe, atme 3x tief durch und frag mich, was ich brauche, damit ich in mir wieder sicher bin So sieht es aus.😊 Man darf Zweifel, aber der größte Anteil darf der Glaube sein.🤗 Ohja alles ist möglich 🙏🦋 Yes ❤️ ❤️❤️👍👍 Ach ja, unser lieber Glaube ist doch so kraftvoll. Wenn wir an uns selbst glauben, verspüren wir eine unendliche Energie. So wie ich das gerade auch tue, wenn ich an meine Selbständigkeit denke. Es erfüllt mich mit Freude und somit ist dieser Gedanke und der Wunsch genau richtig. Ich habe dazu heute auch eine Podcast Folge gemacht, wie man prüfen kann, ob sein eigener Gedanke richtig oder falsch ist. Da passt dein Post sehr gut ❤️oh jaaa ❤️ Absolut wahr 🙌. Zu oft halten wir uns selbst zurück & sind oftmals schon bevor etwas wirklich passiert ist durch Zweifel/ Negativität gehemmt.😑 Doch wer sagt/ weiß, ob es nicht vielleicht doch wert sein könnte die Dinge zu tun?💓 😍 😍",,2021-04-29T11:23:54.000Z
CLWY3Y5nFfR,https://www.instagram.com/p/CLWY3Y5nFfR/,146,#bewusstheit #achtsamkeit #mindset #glaubenssätze #lebensfreude #herzensweg #klarheit #selbstliebe #mindset #vorträge #zitamartus #mutmacherin #motivatorin #glaubandich #dubistwertvoll #soundhorn,"Unser Glauben an uns selbst - unsere Glaubenssätze - unser Mindset leitet uns durch das Leben! Wo wir jetzt gerade stehen, zeigt uns die Momentaufnahme an was wir die letzten Monate - Jahre geglaubt haben♥️ 👉denn an was wir glauben dürfen, an welche Konzepte - Glaubenssätze uns Vorstellungen bestimmen wir SELBST und niemand anderes 🔥 🙌Du bist wertvoll - denk mutig - denk groß!  Herzlichst, deine Zita ♥️ Yesss! So schön! Danke für‘s Teilen!🙏🏻☺️ Sehr schöner Text. Ich bin ganz deiner Meinung!! Glaubenssätze besonders positive sind so wichtig Ein wirklich schöner Post, vielen Dank 🙏💚 Wir ernten, was wir säen, oder? 😊 Unser Start-up gefällt dir bestimmt auch, vielleicht lässt du ja sogar einen Follow da? 💚🤗💃🕺 😍😍 Wundervoller Beitrag 😻 wir erschaffen uns selbst und so wie wir es tun ist es perfekt👼🏻❣ ❤️🔥❤️ Namaste 🔥🔥🔥",,2021-02-16T10:31:22.000Z
CO--GoknZwp,https://www.instagram.com/p/CO--GoknZwp/,,#vision #ziele #herzensweg #kennedeinwofür #zielundvisionskurs #visionsboard #zitamartus #selbstwertstärken #folgedeinemherzen #herzklar #seminare #workshops,"Warum Visionen? Eine Vision zu haben ist ein wertvoller Anker. Sie gibt deine Richtung im Leben vor und setzt dir einfache Teilziele. Deine Vision stärkt dich, gibt dir Kraft und motiviert dich!! Du kennst dein WOFÜR UND DU HAST DEINEN SINN ENTDECKT🌺🌺🌺   Kurs: https://www.zita-martus.at/product/hoer-auf-dein-herz ❤️❤️❤️ Ohne Vision brennt man einfach nicht für das Leben 🔥 dann weiß man nicht wofür man morgens aufsteht und wofür es sich wirklich lohnt zu kämpfen 🔥 Tolle Worte von dir ‼️🤝👁💜🦋",,2021-05-17T18:22:28.000Z
CMzkkdOn4Ox,https://www.instagram.com/p/CMzkkdOn4Ox/,213,,"Kooperation statt Konkurrenz - damals haben wir uns entschlossen uns zu unterstützen wo es nur geht. In dieser Reise haben wir so viel lernen dürfen - so viel Ehrlichkeit und Mut praktiziert - erst in einem kleinen Rahmen und dann immer mehr nach Außen. Ich bin sehr dankbar für diese Erfahrung und wünsche es für uns ALLE: gemeinsame Wertschätzung, gemeinsame Stützte, gemeinsame Weiterempfehlung, gemeinsam Potentiale leben🔥 wo es sich immer auch stimmig für dich anfühlt, habe den Mut und tauche noch tiefer in die Beziehung ein - egal ob mit deinem Partner, deinem Kind, Freund oder Freundin. Denn diese Stärkung erhebt einen - noch kompromissloser seinen Herzensweg zu gehen. Unsere gemeinsame Vision: Uns selbst und Menschen zu ermutigen die eigene Individualität und Kreativität selbstbestimmt zu leben - ganz nach den eigenen Vorstellungen und Träumen💯 ! ❣️Auf das gemeinsame Erwachen! Herzensgrüsse Zita und Katrin / herZKlar p.s.: Danke für Echo Graz und den Artikel! Wir freuen uns sehr darüber! 👉Swipe up - um den ganzen Artikel lesen zu können🌷 So schön 😊💙🌱💙🎈💙 Absolut pro Kooperation & Support ❤️ Konkurrenz existiert eigentlich gar nicht! Bei uns geht es auch um:“Das WIR gewinnt“🥰 Wir können gemeinsam so schön wachsen und uns gegenseitig bestärken. 💕🥰💫 Toll, so inspirierend! ❤️❤️❤️ ☀️🌈❤️ ❤️🔥❤️ 🌹Supergute Entscheidung ❤️ hört sich sehr stimmig an 🌹 Sehr hübsches Foto! ❤️ Diese Form der Kooperation ist so erfüllend 🙏🎈💙 Gemeinsam statt gegeneinander 😍😍 Beautiful❤️❤️❤️",,2021-03-24T15:03:01.000Z
CLwBuDtnKaT,https://www.instagram.com/p/CLwBuDtnKaT/,153,,"Die Herzensklarheit führt doch und bringt dich an deine Ziele, Wünsche und Träume heran. Seit ich gezielt mit meinem Visionsboard arbeite - bin ich immer erstaunt wie am Ende eines Jahres meine Ziele erreicht worden sind. Dafür nehme ich mir immer wieder einmal Zeit um zu reflektieren- wo will ich hin? Was fühlt sich gerade leicht ein? Warum existiere ich und was möchte ich weitergeben? Welche Ziele möchte ich dafür setzen? Welche kleinen Schritte mache ich, um meine Vision zu erreichen? 🔥Diese klare Entscheidungskraft erfüllt wahre Wunder. So konnte ich auch ein Verlag für mein Buch finden- vorher habe ich es auf mein Visionsboard gegeben und mir überlegt - warum ist das Buch wichtig? Was möchte ich weitergeben? Welcher Verlag würde mich erfüllen?!  👉Also weißt du WIRKLICH was du willst?! Glaube mir, du wirst alles schaffen, wenn du nur weißt was du willst! Lass uns erheben- und uns ein gegenseitiges Inspirationsfeuer sein🔥 Dankeschön für deine Inspiration,schön das es dich gibt 🥰 😍👏 Ja🔥☀️❤️so schön beschrieben🙏 😂😂😂😂 ja dem kann ich zustimmen 😂😂😂 Stimmt bei mir zu 💯 Prozent, LG Margit Knor Sehr gut machst du das! Power on! ❤️ Wie wahr! Da hat der sowas von recht!!!😍 So ein schöner und beglückender Beitrag 😻💫 Sehr schönes Zitat 🙌🔥👏 Oh jaaaaa, dieses Zitat begleitet mich schon sooooo lange 🙌😍 und es trifft wirklich komplett ins Schwarze. Danke fürs Erinnern❤️ Super Spruch! 😍",,2021-02-26T09:29:23.000Z
COxbhdGHf2i,https://www.instagram.com/p/COxbhdGHf2i/,166,#meditation #lebensfreude #weisheit #achtsamkeit #wahrheit #herzenswegfolgen #glaubandich #vision #werteleben #zitamartus #visionskurs #herzklar #freiheit,"Kenne deine Werte! Wenn dein Wert zum Beispiel Erfolg ist - dann frage dich auch was es für dich bedeutet! Für mich bedeutet Erfolg, dass ich mein Leben so gestalten kann wie es stimmig für mich ist! Sprich - ich folge Immer noch mehr meiner Freude, meinem Herzen und MEINEN  eigenen Glaubenskonzepten- losgelöst von dem Glauben meiner Mitmenschen, Eltern etc. - denn jeder Mensch ist individuell, hat andere Bedürfnisse, andere Sehnsüchte, andere Vorstellungen. Nur weil viele Menschen etwas vorleben, heißt das nicht, dass es auch für mich gilt. Wenn ich Menschen frage, sagen einige davon - wenn ich erfolgreich bin, habe ich diese Summe von Xxx auf meinem Konto! Das finde ich super und vollkommen berechtigt! Trotzdem muss ich mich selbst fragen - wie viel brauche ich zum Leben? Was erfüllt mich? Was macht mich wirklich glücklich? Ehrlichkeit ist hier der beste eigene Ratgeber!! In diesem Sinne - ein Hoch auf unsere Werte! Sie helfen uns Entscheidungen zu treffen, geben unsere Richtung vor und setzen klare Grenzen!🌺🌺🌺 Herzensgrüsse, Zita ♥️ 👉Nenne mir gerne deinen Lieblingswert und auch was er für dich bedeutet!🔥🔥🔥 Einer meiner Lieblingswerte ist Ehrlichkeit - mir selbst und anderen gegenüber ❤️ Es bedeutet für mich die Basis von Beziehung 🙏 Mein Lieblingswert ist zurzeit * Selbstvertrauen *. Er unterstützt mich dabei, Antworten/Lösunngen in mir zu erspüren u das Leben als größer zu erkennen als es im Alltag manchmal erscheint. Danke f deine inspirierenden Fragen ❤️🔥🙏 So ein guter Beitrag 🙏. Meine Werte sind Freiheit und Gerechtigkeit. Beide Werte bewirken, dass ich als Unternehmerin in diesem Sinn viel gestalten kann 🎈   Werte bestimmen unser ganzes Leben und wenn wir sie kennen und danach leben, können wir ein sehr viel zufriedeneres und glückliches Leben führen 🙏🍀 ❤️ Ja das stimmt 🔥",,2021-05-12T12:08:16.000Z
