id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CA3WIF8nLXR,https://www.instagram.com/p/CA3WIF8nLXR/,8,#Repost #hotshots #tablesoccer #tfchotshots #plexiglas #masken #wuzzeln #verein #immervoll #immervollgraz #garlando #tischfussball #tischfussballingraz,"  • • • • • • Immervoll Alles neu, alles etwas anders aber wir finden immer einen Weg für unsere Leidenschaft!                       ",,2020-05-31T19:57:03.000Z
CEDzRzXHa1n,https://www.instagram.com/p/CEDzRzXHa1n/,6,#Repost #supportlocal #bingoqueen #kingofthebingo #bingoqueen #kingofthebingo,"  • • • • • • HEUTE ab 20:18 Uhr findet via Insta & Facebook Livevideo die vorerst letzte Session (dieses Mal mit  ) statt! 😍🎸 🎵 Spielspaß & beste Sounds erwarten dich beim Musikbingo & Livekonzert! Und nice Preise kannst du auch gewinnen. ⚡️⚡️ 🎵 Hol dir deine individuelle Bingokarte auf www.bingosounds.com 🎵 Link zum Livevideo findet ihr ab 20 Uhr in unserer Bio! 🎵  - spielt auswärts in einem unserer Partnerlokale: -in Krems in der  -in Leonding im Manö Bar Pub Cafe -in Graz im  ,   oder im The Office Pub Graz 🎵 Wir haben extra Videos für euch vorbereitet, um alles zu erklären - ihr findet diese Clips gesammelt in unserem Story-Highlight ‚HOW TO BINGO‘! ✌🏽 🎵 Schaut euch die Videos an und/oder lest euch den Text hier durch und seid ready   /   zu werden! 👑 🎵 Am Besten schaust du auf einem Gerät beim Livevideo zu und auf einem zweiten Gerät hast du deine Bingokarte offen oder druckst diese vorab aus. 👀 Auf nur einem Gerät geht's aber natürlich auch - dann wechselst du einfach zwischen Musikbingo & Livevideo hin und her. 👌🏼 🎵 Beim Musikbingo werden kurze Ausschnitte von den Songs auf der Bingokarte gespielt, ohne deren Namen anzusagen. Es kommt aber auch vor, dass die Songs nicht auf deiner Bingokarte stehen, weil es einen größeren Pool an Songs gibt. 🎵 Sobald du einen Song erkennst, dann darfst du diesen markieren. Wenn du online spielst, dann einfach mit dem Finger oder der Maus auf den Song klicken. Sobald du 5 in einer Reihe hast, bist du  / ! Dann kannst du beim Gewinnspiel mitmachen & nice Preise im Wert von mehreren Hundert Euro gewinnen! 🔥💯 🎵 Wie machst du beim Gewinnspiel mit? poste einen Screenshot/Foto von deinem Bingo in deine Story, folge uns und markiere   +  . 🎵 Wenn du auch auf Facebook mitspielst, dann hast du natürlich doppelte Gewinnchancen. ✌🏽 🎵 Wichtig fürs Gewinnspiel: sende/poste dein Bingo gleich ein, sobald du eines hast. Mitmachen geht nämlich maximal bis zum Ende des Musikbingos, also bis zum Beginn des Livekonzerts der Bingo Ba 💛🙌🏼 🙊 😍",,2020-08-19T05:36:51.000Z
B_wUyYiHjkG,https://www.instagram.com/p/B_wUyYiHjkG/,17,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #quarantäne #wandern #zeitindernatur #zeitzuhause #bleibtgesund #mitarbeiterathome,Was machen unsere Mitarbeiter in der Quarantäne? Unsere   genießt die Zeit beim Wandern .                      ,,2020-05-04T05:59:16.000Z
CAvK5Dun-w-,https://www.instagram.com/p/CAvK5Dun-w-/,12,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #billard #pool #snooker #carambol #wuzeln #dart #foodanddrinks #comeandplay #baldistwiederoffen #opensoon,Bald ist es so weit 🐌 nur noch einmal schlafen dann öffnen wir wieder unsere Türen .                               👏👏👌👌😍,,2020-05-28T15:44:57.000Z
CC1YlfAjR9j,https://www.instagram.com/p/CC1YlfAjR9j/,7,#Repost #savethenight #bingoqueen #kingofthebingo #bingobussibaba #musikbingo #bingo #supportlocal #artist #band #music #live #concert #fun #game #austria #kingofthebingo #bingoqueen #savethenight #immervollgraz #immervoll,"  • • • • • • Unterstütze die lokale Gastro & erlebe Mittwoch die nächste Session auswärts! 😍 🎵 Wir starten unsere Kooperationen mit Live-Übertragungen in Lokalen in der Steiermark, in Graz. ✌🏽 🎵 Bald auch in deinem (Lieblings-)Lokal?  Gast oder Gastgeber - meldet euch bei Interesse. 🤙🏽 🎵 Link zu Livevideo & Bingokarte in Bio. 🎵 Wir garantieren Spielspaß und beste Sounds - zuerst beim Musikbingo und anschließend beim Livekonzert. 💯 🎵 Bingo Band kommende Session: wir freuen uns sehr, dass   uns am 22.Juli beehren werden! 🔥🎸 🎵 Folgt uns hier auf Insta & schenkt uns ein Like auf Facebook und erfährt alles über die nächsten Sessions. 🙌🏼 🎵 : Durch deine Teilnahme werden lokale Artists unterstützt. 💛 🎵 Hilf uns zu helfen: Supporte  , indem du uns in deiner Story erwähnst. ✌🏽 Erzähl’s deinen Friends und spielt bei der nächsten Session, am 22. Juli, ab 20:18 Uhr mit - via Livevideo hier auf Instagram oder Facebook.  🎵 Werde  / , sende uns dein Bingo & gewinne nice Preise im Wert von mehreren Hundert Euro! 🔥💯 🎵 powered by   🦌 🎵 Danke, bis bald &   😘👋🏻 🎵 🎵 🎵 🎵 🎵                              ",,2020-07-19T18:42:50.000Z
CDli3rsn9IU,https://www.instagram.com/p/CDli3rsn9IU/,15,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #billard #pool #snooker #carambol #wuzeln #dart #foodanddrinks #comeandplay,Auch bei uns kommt Summer feeling auf bei diesen tollen Temperaturen 🌞😎 .                          ,,2020-08-07T11:36:15.000Z
B_uD9BznwmS,https://www.instagram.com/p/B_uD9BznwmS/,13,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #quarantäne #zeitzuhause #spazierengehen #spaziergangmitbaby #bleibtgesund #mitarbeiterathome,Was machen unsere Mitarbeiter in der Quarantäne? Unsere   in Babypause nutzt die Zeit für Spaziergänge mit ihrer Tochter .                      ,,2020-05-03T08:53:41.000Z
CBQVqL9HwMY,https://www.instagram.com/p/CBQVqL9HwMY/,15,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #billard #pool #snooker #carambol #wuzeln #dart #foodanddrinks #comeandplay #playingpool #ourdoorsareopen #unseretürenstehenoffen,Auch bei diesem Unwetter sind unsere Türen für euch geöffnet ⛈️ .                                ,,2020-06-10T12:53:58.000Z
B_zcF1WnwRb,https://www.instagram.com/p/B_zcF1WnwRb/,15,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #quarantäne #radlfahrn #frischeluft #zeitzuhause #bleibtgesund #mitarbeiterathome,Was machen unsere Mitarbeiter in der Quarantäne? Unsere   nutzt die Zeit für Sport an der frischen Luft .                      ,,2020-05-05T11:00:48.000Z
CAIndZ3HtSH,https://www.instagram.com/p/CAIndZ3HtSH/,17,#immervollgraz #immervoll #grazlend #graz #lendplatz #billardcafe #billard #pool #snooker #carambol #wuzeln #dart #foodanddrinks #quarantäne #bleibtgesund,"Liebe Gäste, bei uns bleiben die Lichter voraussichtlich bis 29.5. weiterhin aus! Haltet durch und bleibts xund 😉 .                             😢 👌",,2020-05-13T16:24:12.000Z
