id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CI_AyAJntU-,https://www.instagram.com/p/CI_AyAJntU-/,"3,838",#classygirl #celebration #birthdaygirl #blondgirl #sparkling #champagne #longhair #longlegs #pantyhose #fashionblogger #pantyhosefashion #nylonlegs #photoshoot #girlie #strongwomen #happyday #tightsfashion #highheels #pumps #graz #igersgraz #igersaustria #model #oott #picoftheday #beauty #fashionblogger #wiwt #minidress,"Hey guys 💕 It's my birthday today woop woop 🎉🥳 Loooooooove my new outfit I got for presents 😍😍 Due to corona its a bit weird and just celebrating with my family at home but it's still a very beautiful and happy day for me! Hope all of you are having a fabulous weekend!! Lots of love 💕💕💕💕 . . .                                                         i don't know u but happy belated b-day. How was your Christmas? 🙌🙌🎉 Alles Liebe und Gute zum Geburtstag im Nachhinein und ein gutes Neues Jahr 2021 🎉 Alles gute zum Geburtstag 🤩☺️😉 Bit late but still, welcome to the club 3³! 👌😋 👌 alles gute nachträglich✨✨🍸🌸 👍👍👍👌⚘🙋‍♂️ 🎂🥳 👠😍 Happy birthday. I wish you a happy life ❤️",,2020-12-19T15:35:36.000Z
CF_4jlNHa2S,https://www.instagram.com/p/CF_4jlNHa2S/,"1,896",#venice #italylovers #italy #gondola #canalgrande #rialtobridge #travelblogger #fashionblogger #highheels #golddress #minidress #blondgirl #pumps #tightsfashion #nylonlegs #pantyhose #fashionphotography #travelphotography #oott #classygirl #classyfashion #wiwt #austriangirl #igersgraz #graz #igersvienna #vienna #travelgirl #modeling,"Hey guys 💕 Took a ride with this very pretty ""Gondola"" yesterday. I think it's amazing how the ""gondoliere"" managed to drive it through these little canals in Venice. He told us a lot about history and the beautiful palazzi here. It's a bit expensive but definitely worth it so maybe take a ride too when you're here! 😊 .  In the back you can see the Rialto Bridge, the most famous and oldest bridge of Venice. It was build in 1173 as a pontoon bridge, later it was rebuild several times and it's a stone arch bridge since 1591. . I'm having an amazing time! Stay tuned for more Venice posts, wish you all a great day!! 💕💕💕 . . . 👗  👖 👠  .                                                          🔥🔥🔥 👌 O..m.g 😍😍😍😍👍👏💘❤️❤️❤️❤️ BELLISSIMA STRAFIGA BELLE GAMBE SEXY ECCITANTI 💘💋💋❤️🔥🔥 I like when pictures come with their own stories; it’s more personable. Thank you. Waaauuw😍😍🔥😮🙌  Cori is wearing a dress with black tights and black high heels. Mnogo si moćna i zracis mnogo,ali sve jedno prelazak si😀😍😍🤗  the “beauty” of Venice! 🙂 Der Wahnsinn!!!!🌹 👠👍😍 😮😍😍😍",,2020-10-06T10:08:47.000Z
CKGjJX3nbKf,https://www.instagram.com/p/CKGjJX3nbKf/,"1,331",#blondgirl #boudoir #boudiorphotography #sensual_shots #sensual #longhair #girlie #strongwomen #austriangirl #portrait #portraitphotography #model #modeling #underwearmodel #selflove #selfconfidence #healthy #igersaustria #igersgraz #graz #boudoir #beauty #lingerie #portraitmood #portraitart #classygirl #fashionblogger #love #oott,"Hey guys 💕 I know it's quite silent here the last days, I'm actually feeling like I'm just working and sleeping at the moment 🙈 so I thought I need to do a little posting again for you 😊 here's another photo of the shooting with  .  Sending you lots of love from work and hope you're having a lovely weekend! 💕 . . 👙  . . .    #                                                        can 😍😘 You’re so beautiful ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ Bellissima 🙌 🔥😍❤️ Really Beautiful 😻 😍❤️ Wowww❤️❤️ Wow wie hübsch 😍 Wow! 🙌 so ein schönes Bild 😍 🙌🙌🙌🙌🙌👏👏👏😮😮😮😮 Lovely 🥰 Linda demais olhar 43 😍 Wow🔥",,2021-01-16T10:21:58.000Z
CSSId6_sY5t,https://www.instagram.com/p/CSSId6_sY5t/,393,#girlie #summervibes #travelblogger #minidress #travelgirl #italy #italylovers #cinqueterre #manarola #summerhat #beauty #blondhair #longhair #longlegs #modeling #ootd #qualitytime #strongwomen #sunnyday #sunbath #fashion #classy #classygirl #fashion #fashionblogger #portrait #myorsaymoment #photoshooting #vacation,"Hey guys 💕 How's your summer going? 😊 Here's a little shot of my day trip to Cinque Terre. It's so beautiful there but also very touristic and as you can see it was freaking hot there! 😂 If you want to visit maybe better in spring or autumn 😋 💕 . . . 👗 . . .                                                         Ich will da auch hin mit dir 😋😘 😍💙👑 Beautiful 😍 🔥🔥🔥😍😍😍😍 Love😍🔥❤️ Happy Weekend C🌷 🔥 Beautiful, you look amazing!❤️❤️❤️ 🙌🙌🙌 😉🥰 Nice view! Both 😁😉 Looking beautiful 🙌",,2021-08-07T18:30:53.000Z
CGKKrBznq6T,https://www.instagram.com/p/CGKKrBznq6T/,"1,406",#venice #italylovers #bellaitalia #travelblogger #travel #travelbook #travelphotography #veniceitaly #bookstagram #reading #oldbooks #minidress #highheels #pumps #blondgirl #myorsaymoment #longhair #strongwomen #girlie #longlegs #nylonlegs #pantyhose #fashion #classyfashion #stockings #classygirl #fashionista #beauty #library,Hey guys 💕 My last picture for you of Venice. Have been in this amazing book shop on my first day there. I think it's sad that you don't find more of these pretty old shops anymore! Do you love reading as much as I do? Already the smell of a new book makes me smile ☺️. Hope you're having a lovely weekend!! 💕 . . . 👗    👠    👖  . . .                                                         Stupenda 😍😍 Tolle Aufnahmen. Genieß den Tag. 😊😊😊😊 👌👌👌 Que rincón más bonito! Mamá mía!!! 😍❤️ What a lovely book shop in Venice Libreria dell'acqua alta Which books did you pick up? Nice stockings🔥🔥🔥 Cute!!!  wunderschön 👍😊 Trop belle,,2020-10-10T09:59:30.000Z
CIA_e2QHvix,https://www.instagram.com/p/CIA_e2QHvix/,"1,699",#reading #babyitscoldoutside #igersaustria #model #lingerie #longhair #boudoir #tights #tightsfashion #pantyhose #calzedonia #igersgraz #graz #qualitytime #nylonlegs #photoshoot #girlie #strongwomen #strumpfhose #fashion #classy #travelgirl #nylons #beautiful #austriangirl #longlegs #boudiorphotography #modelsofinsta #beauty,"Hey guys 💕 One of my favorite things I do in winter is reading. Soft light, orange punsh, a cosy blanket and a Christmas book. There's just nothing better on a cold, grey winters day! 😍 What's your favorite activity at home when it's cold outside? 🤗 . . photo:  . . .                                                         😍😍😍😍😍😍 GRAZIE AMORE MIO SEI BELLISSIMA STRAFIGA 💋💋🔥🔥💘 💙🖤💙 beauty Hello!Soy nice photo! Very beautiful!!!😍🔥❤️ 👃👣😘🍾🍾  I like your new picture of your black tights. 😍🖤🌹🌹🖤🖤 ❤️❤️🌹🌹😍 好漂亮性感丰满诱惑迷人火辣啊😍😘😁👍 ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍 OMG!!!🔥👏🔥 🙌🙌👏👏👏",,2020-11-25T13:31:20.000Z
CJwVCdCHe5B,https://www.instagram.com/p/CJwVCdCHe5B/,"1,038",#throwback #throwbackthursday #summerdress #summerday #barefoot #longlegs #sunny #beauty #blondhair #longhair #croatia #holiday #travelblogger #austriangirl #igersgraz #igersaustria #graz #fashion #classy #travelgirl #toes #summervibes #feetlovers #girlie #seascape #sundown #dress #classyfashion #beachvibes,"Hey guys 💕 Here's a throwback to summer days. I love winter but at the moment for me it feels like it's never getting warm again 😅 so I swiped through the pictures of this very beautiful holliday in Croatia with my best friends last year! Hope it can bring a bit summer to you too 🌞💕💕 . . 👗 . .                                                         Beautiful Visit my countryIn July then you will know what is the meaning of summer, BTW I love winter even If I am in Russia 🇭🇷❤️ 😘👸 What is the size of the shoe?? Ohhh da bekommt man Fernweh 💕 Venha me conhecer aqui no Rio de Janeiro,  Brasil. Vc é muito linda. ❤️😍 Thats wonderful Splendida ☀️ Absolutely beautiful!🤩🤩🤩🤩🤩 Beautiful and natural. Visit our page❤️❤️ beautiful dress❤️❤️❤️❤️ Pretty feet!!👣😋👣🤤👣😋😋",,2021-01-07T19:15:24.000Z
CM44vtpJycL,https://www.instagram.com/p/CM44vtpJycL/,"1,215",#picnic #springvibes #sunnyday #foodlover #austriangirl #austria #portrait #beautiful #girly #flowers #flowerdress #minidress #highheels #fashion #classy #travelgirl #longhair #longlegs #blondgirl #countryside #beauty #pantyhose #tightsfashion #barefoot #vinyard #winelover #travelblogger #ootd #strongwomen,"Hey guys 💕 First picnic this year, I officially opened the spring season 😋  it feels soooo good to be outside, without 325284 clothes on! How're you spending the first warm days this year? 😊 . I'm here at the Sausaler Weinstraße where you can find a lot of ""Buschenschank"", they offer delicious Austrian food and wine. Here at the   you can oder food and bottles for take away. You need to be at least 50m away because of the ""covid rules"" then you can enjoy your picnic. Don't forget your blanket to get cozy 😉 Loved it! 😍 . .                                                         👏👍 😍🧿💙 You’re so beautiful ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ 🌬⚘⚘ I wish I was beside you Thank you for being here and there Lovely Looking gorgeous dear 😍😍 😍😍😍😍😍 😍 Amazing picnic and gorgeous you😍 this is such a beautiful picture!!!!😍😍",,2021-03-26T16:35:31.000Z
CR6eU-Mp5P0,https://www.instagram.com/p/CR6eU-Mp5P0/,248,#radler #shandy #icetea #summerhat #sunflower #sunflowerfield #sundowner #afterwork #summervibes #summerday #summeroutfit #happygirl #longhair #travelgirl #girlie #graz #igersgraz #austriangirl #tuscany #italy #flowers #drinklocal #marryicetea #flowerdress #portrait #portraitphotography #sunshine #strongwomen #vacationmode,"Hey guys 💕 | unpaid ad What's your favorite drink on a hot summer day? Mine is Larry the new Ice-Tea-Beer of  , I loooooooove it's fresh berry scent 😍 Aaand I have a 20% discount code for you!! ☺️😁 Code: LARRY20 It'll work till 31.07.21 (23:59 UTC+2).  is a local brand of my hometown Graz and they're working sustainable with using local ingredients. Enjoy 💕 . . .                                                         👏😍 Beautiful my lovely Cori,you look amazing, love this photo!❤️❤️🌻🌻🌻🌻❤️❤️❤️💛💛💛 Nice click that nice picture! there is all your carefree dear❤️❤️😘 😍 👏👏👏👏 Yes beer or rose wine 🙌 Nothing fancy Cool ✌😍😍 ...just water with plenty of ice😂 Würd ein Schluckerl nehmen 😋 beautiful hands and nail color😍",,2021-07-29T14:00:08.000Z
CQLvYXGpeC7,https://www.instagram.com/p/CQLvYXGpeC7/,"1,092",#italylovers #italy #holiday #vacation #seacoast #puglia #austriangirl #travelblogger #travel #fashion #fashionblogger #bellaitalia #pantyhose #highheels #summervibes #blondgirl #strongwomen #girlie #igersgraz #graz #igersaustria #minidress #jumpsuit #sandals #beauty #ootd #modelling #photoshoot #portrait,"Hey guys 💕 Traveling is finally possible again and I'm sooooo happy about it! That's why I used my long weekend off for this short but, as always, very lovely italy trip 😍 seems like I just can't get enough of Puglia, especially of Monopoli 😁 people, food, sea, weather, architecture, nature... Just everything is beautiful there 😄 Did you travel this year already? 💕 . . 👗  👠  👖+🕶️  👜  . .                                                         Oh wow....oh so pretty🔥🔥🔥🔥 𝑮𝒐𝒓𝒈𝒆𝒐𝒖𝒔! 𝑫𝑴 𝒖𝒔  You so cool as always!🥰✨ Gorgeous 👏👏👏🔥🔥😍😍😍 So gorgeous🙌🏻🙌🏻🙌🏻 So happy to travel again too😍 You look so gorgeous ❤️ Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Goddess Nice jumpsuit🔥 Ich mag das Blau des Meeres😍",,2021-06-16T13:53:26.000Z
CHc0NNeHpak,https://www.instagram.com/p/CHc0NNeHpak/,"2,252",#graz #landhaushof #aufsteirern #throwback #throwbackthursday #reddress #tights #boots #highheels #sunnyday #beautiful #longhair #austriangirl #austria #pantyhose #fashion #fashionblogger #girlie #goodmood #nylonlegs #citytrip #travelblogger #longlegs #minidress #fairytail #igersgraz #portraitphotography #myorsaymoment,"Hey guys! 💕 Since it's all grey and cold outside here in Austria I thought I'd post a little throwback to warmer days. 😊 This beautiful courtyard in the old town of   is named   . Normally once a year I'm there to celebrate the   festival. Hope next year, after corona, we can do that again. 🙏 Is there a festival you missed this year because of corona? . . 👗  👢  👖  . .                                                 Bellissima fantastica ❤️ Woooooow🌹🌹 😍😍 Tu es vraiment magnifique... ❤️❤️❤️❤️❤️ Beautiful😍 Beautiful style 🌹 👌 J'ai aimé la robe❤️❤️❤️ 👏👏👏👏🔥😍😍 Attitude 🔥 It’s the pantyhose for me. 🔥def something I would wear. Chic with a dash of spice.",,2020-11-11T12:20:09.000Z
CFUJr3-HMgu,https://www.instagram.com/p/CFUJr3-HMgu/,"2,143",#graz #herzjesukirche #longhair #dress #minidress #highheels #pumps #backless #blondgirl #blondhair #austriangirl #girlie #fowers #legslegslegs #classygirl #classyfashion #pantyhose #nylonlegs #travelblogger #travel #church #strumpfhose #tights #weekend #lastdaysofsummer #fashion #shooting #outfitoftheday #model,Hey 💕 . Last shooting took place at Herz-Jesu-Kirche. I think that's the most beautiful church here in Graz. It's designed by  Georg Hauberrisser in neogothic style and the tower is 109.6m - so the third highest in Austria. 😍 . Think for the next shooting I'll need warmer clothes already! 😱🤣 Wish you all a lovely weekend!! 💕 . . 👗  👖  👠  . . .                                                          Love love love how good your legs look Great 💓 🔥❤️ Luv the color of the hose 👌👌👌 😍😍😍😍 💞💞💞💞 🔝🔝🔝 So cute cari.... 💖💖💖💖 Legs look so absolutely amazing 🔥🔥 Very beauty😍😍😍nice dress😍😍😍😍👗👗👗🌞🌞🌞🌷🌷🌹🌹🌹🌹🌷🌷🌷❤❤❤❤❤ Wauu luxus 😍😍😍😍😍😍,,2020-09-19T10:31:53.000Z
