id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
COnpkRTnMgj,https://www.instagram.com/p/COnpkRTnMgj/,13,#purkarthofer_eis #fernitz #gelatoforfuture #eisbox #tüteneis #icecream #coffee #happy #enjoyment,AM MUTTERTAG öffnen wir das Café ab 14 Uhr. 🥰😎 Es gibt Eis & Kaffee zum Mitnehmen. Der Eispavillon hat wie gewohnt geöffnet. Habt einen schönen Nachmittag und einen lustigen Tag mit euren Mamas!!! 🦆 🍦 🐧 🐦☕️🐭        zum Mitnehmen       to go   ,,2021-05-08T16:58:35.000Z
CPIdRE6nmNg,https://www.instagram.com/p/CPIdRE6nmNg/,30,#purkarthofer_eis #fernitz #happy #icecream #biketour #sunnydays #enjoy #happiness,"Yummy, tummy icecream! Das haben wir uns jetzt aber wirklich verdient! 🤪🍦🌞💜 Ab ins Wochenende! Wohooo!               ",,2021-05-21T10:46:03.000Z
COm_ELqn4ED,https://www.instagram.com/p/COm_ELqn4ED/,21,#purkarthofer_eis #fernitz #radweg #biketour #gelatoforfuture #icecream #stmk #love #eisbox #muttertag #mama #happy #eisdiele,Vorfreude auf den Muttertag! 🥰 Muttertagsplan: Eine Radtour mit der Family 🚴 und ein bisserl Sonne tanken mit einem leckeren Eis. 🌳☀️ Mama happy. Alle happy. 💜🥰🌷     im Süden von Graz                        PS: Eine Eisbox zaubert sicher auch ein Lächeln in das Gesicht eurer Mama. ;) 🥰☀️🍦,,2021-05-08T10:47:12.000Z
CQ6TqoapEgk,https://www.instagram.com/p/CQ6TqoapEgk/,24,#purkarthofer_eis #fernitz #icecream #frischeerdbeeren #eispavillon #eisdiele #erdbeereis #yummie #regional #genial,"🍓-Eis mit Erdbeeren aus Gössendorf Der Sommer meint es gut mit uns, denn wir wurden mit fantastisch, süßen Erdbeeren aus der Region beglückt. Die 🍓 für unser Erdbeereis stammen direkt vom Erdbeerland aus Gössendorf. Und sie schmecken einfach köstlich!! 🍓🍦🥰   össendorf  ärantonia we are very  happy!!!!         #          ",,2021-07-04T15:55:34.000Z
CQ8vyjQpYT6,https://www.instagram.com/p/CQ8vyjQpYT6/,11,#ferien #letzteSchulwoche #fernitz #purkarthofer_eis #icecream #happyday #happyweek #happy #school #enjoy #holidays,"In der LETZTEN SCHULWOCHE,  hat der EIS-PAVILLON 🍦 schon ab 9.00 Uhr GEÖFFNET! Schaut vorbei! 5.-11. Juli. und dann ab, in die wohl verdienten FERIEN!!! 🍦 🥳 🏝 🐬                  is over   ",,2021-07-05T14:39:48.000Z
CPV1FDDHGIp,https://www.instagram.com/p/CPV1FDDHGIp/,68,#nachhaltigeswirtschaften #gelatoforfuture #purkarthofereis #neuewege #verantwortungübernehmen #solutionsforfuture,"Gute Geschichten rund um die Kugel / 3 Herzlichen Dank an das Institut für Nachhaltiges Wirtschaften aus Graz für die Auszeichnung ""Nachhaltiges Unternehmen 2021""! 🥳 Wir freuen uns meeega! Gratulation auch an die weiteren tollen Grazer Unternehmen, die ausgezeichnet wurden! Das iNW schafft Räume, um ökologisch und sozial nachhaltiges Wirtschaften zu fördern - und prägt so die Etablierung eines nachhaltigen Wirtschaftssystems für eine lebenswerte Zukunft. Danke für euren wichtigen Einsatz, das tolle Onlinetool OPTIMATIC,  die Unterstützung für uns Pionierunternehmen und die tolle Vernetzung, die damit einhergeht! Neugierig geworden? www.nachhaltiges-wirtschaften.at          ",,2021-05-26T15:24:15.000Z
CQVNRFZHSso,https://www.instagram.com/p/CQVNRFZHSso/,24,#purkarthofer_eis #fernitzer_park #Schlemmen #eis #icecream #happy #entspannen #genießen #gelatoforfuture #cooling #abkühlung,Guten Morgen Fernitz! Wir wünschen euch einen entspannten Sonntag! 🥰🍉🍦🚴🌳               macht              ,,2021-06-20T06:07:45.000Z
CRokxGopHNc,https://www.instagram.com/p/CRokxGopHNc/,46,#Gewinnspiel #purkarthofer_eis #gelatoforfuture #regional #win #yummie #icecream #fun,"(closed) GEWINNSPIEL 🥰 Derzeit geht es heiß zur Sache, darum lieben wir eine geschmackvolle, eiskalte Erfrischung. An heißen Tagen setzen wir definitiv auf den erfrischenden Marry Icetea. Um auch euch die Sommertage zu versüßen, verlosen wir zusammen mit unserem Partner   👉🏼 einen Marry Tray + 2 Marry Icetea Baumwollsackerl für dich und deine Freunde zum Genießen. 🥳  MARRY Icetea gibt es bei uns, übrigens auch als EIS-Sorte. 🍦 Schmeckt, wie der Icetea, einfach beerig & super lecker.   ist ein Grazer Startup, das mit Liebe und Leidenschaft regionale Eistees mit angenehmer Süße produziert. Eine Kombination aus steirischen Früchten sowie Blüten und internationalen Tees machen den Eistee zum unverkennbaren Geschmackserlebnis. Somit vereinen Marry, Marry Rooibos + Red Berries (koffeinfrei) sowie Carry, Natur, Region, Gemeinschaft und Weltblick in einer Flasche.  So nimmst du teil:  💜 folge   und  💜 like diesen Beitrag  💜 markiere 3 Personen die sich über den Gewinn freuen würden  💜 um deine Chance zu erhöhen, teile dieses Gewinnspiel in deiner Story  👍🏽TIPP: Auch bei   gibt es etwas zu gewinnen. Schaut vorbei. Ihr habt die Möglichkeit bis Donnerstag, 29.07. (23:59 Uhr) teilzunehmen. Mehrfach mitmachen zählt natürlich auch!  🥰 Wir drücken die Daumen!  Teilnahmebedingungen: Die Teilnahme ist ab 16 Jahren und mit Wohnsitz in Österreich möglich. Die Auslosung des Gewinns erfolgt unter den TeilnehmerInnen auf Instagram. Der/Die GewinnerIn wird nach Beendigung des Gewinnspiels per Zufallsprinzip ermittelt und innerhalb von 48 Std. per DM benachrichtigt. Der Gewinn wird nach Bekanntgabe der Wohnadresse per Post zugesandt. Die persönlichen Daten werden nur für den Versand verwendet und nicht an Dritte weitergeleitet. Facebook bzw. Instagram ist in keiner Weise an diesem   beteiligt. Keine Barauszahlung. Der Rechtsweg ist ausgeschlossen.                      🙌😍      🍀🍀🍀      ❤️🥰❤️       ❤️          😄🍀                 Ich würde den Eistee super gerne probieren 😍 Schaut mal       🥳🥳",,2021-07-22T15:10:04.000Z
CR04ogbJTYv,https://www.instagram.com/p/CR04ogbJTYv/,15,,,,2021-07-27T09:54:33.000Z
CQDQSWgnMLT,https://www.instagram.com/p/CQDQSWgnMLT/,15,#purkarthofer_eis #fernitz #vatertag #icecream #happiness #boxtogo #icecreambox #gelatoforfuture #enjoy #biketour #radlen #parkflair #auszeit,Wir wünschen allen Papas einen wunderschönen VATERTAG!!! 🍦🥳🥰 Genießt euren Ehrentag 😎 und lasst euch g'scheit verwöhnen! ....vielleicht sogar mit einem leckeren Eis ;). 🍦👍😋 Happy SUNDAY!                     mit Papa     ,,2021-06-13T06:47:49.000Z
COpyc3UHu1q,https://www.instagram.com/p/COpyc3UHu1q/,14,#purkarthofer_eis #fernitz #happy #café #icecream #kaffee #gelatoforfuture #enjoyment #biketour,Wir wünschen allen Mamas einen wunderschönen Muttertag! Genießt euren Ehrentag! 🌷🥰😉💜         ist offen. Alles to go.         ,,2021-05-09T12:54:42.000Z
CR04-lBphkK,https://www.instagram.com/p/CR04-lBphkK/,27,#purkarthofer_eis #happy #break #genussmomente #enjoy,Die Pause habt ihr euch wirklich verdient! Genießt sie! 🥰🍦🌳          :),,2021-07-27T09:57:33.000Z
