cluster,used_hashtags
cluster 1,"['sea', 'sun', 'tennis', 'nye2021', 'beautifulafrica']"
cluster 2,"['thisisegypt', 'horseriding']"
cluster 3,"['weather', 'nye']"
cluster 4,"['snow', 'town', 'wow', 'egyptian']"
cluster 5,"['green', 'great']"
cluster 6,"['venice', 'tennis', 'nice', 'uae', 'happynewyear']"
cluster 7,"['soulmate', 'jp', 'bay', 'best', 'tennis', 'nye2021']"
cluster 8,"['happynewyear', 'cat', 'bay']"
cluster 9,"['tb', 'aufschlag']"
cluster 10,"['mydubai', 'downtowndubai']"
