id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CGsdepvlaOM,https://www.instagram.com/p/CGsdepvlaOM/,119,#latrappe #drinks #testing #beer #trappiste #netherlands #instabier #beertasting #bier #birra #beveridgers #beverage #biere #bierfreunde #tasting #bierstagram #craftfreunde #blond #hellesbier #bierprobieren #igersgraz #bierfotos #probieren #photoshooting #beerlove #beerlovers #niederlande #bierliebe #rating #trinken,"Name: La Trappe Blond  General: Alc/Vol: 6.5% Color: Bright Golden Origin: Netherlands  Originality: Normal Scent: Malty Sweet and Fruity Characteristics: Taste: Complex, Full Bodied, Honey Sweetness and Hoppy Sprightliness: High  Overall Rating: 14.3/20 For more Info and personal review check the link in the bio! Enjoy ✌                                                               😎🍺Cheers👏👏👏🍻🍻 😊😊😊✌... 😊😊😊✌!",,2020-10-23T17:38:01.000Z
CGFxmAtFafN,https://www.instagram.com/p/CGFxmAtFafN/,156,#beerfan #drinks #testing #beer #norway #igersgraz #photography #instabier #beertasting #beerblogger #bierblogger #beveridgers #bierbloggerlife #beernerds #biernerds #beerreview #drinkcraftnotcrap #tester #craftbeerpics #beersofinstergram #norwegen #instabeer #beerstagram #photoshooting #beerlove #beerlovers #beersoftheworld #productphotography #americanpaleale #trinken,"Name: Nøne Ø American Pale Ale General: Alc/Vol: 6 % Color: Hazy Amber Origin: Norway Originality: Normal Scent: Strong Fruity Scent Characteristics: Taste: Balanced Bitterness, Full Bodied, Citrus Fruits Sprightliness: Low Overall Rating: 17,3/20 Enjoy ✌                                                              🔥🔥🔥🔥 🔝😎🍻🍻🍻cheers",,2020-10-08T17:03:24.000Z
B8rZqy3JimE,https://www.instagram.com/p/B8rZqy3JimE/,598,#nextlevel #drinks #madeinaustria #photography #localhero #easypaleale #beer #beveridgers #beverage #paleale #taste #tasting #austrian_blogger #drinkblogger #beerblogger #tastetesting #igergraz #productfotography #austria #beerlove #nowater #craftbeer #craftbier #beerlovers #beertasting #vienna,"Name: Local Hero - Next Level Brewing  General: Alc/Vol: 5.3 % Color: Amber Origin: Austria Originality: Standard Scent: Fruity, Hops Characteristics: Taste: Tropical Fruitiness, Subtle Bitter Notes Sprightliness: medium Overall Rating: 17,3/20                                                    #𝚖𝚘𝚗𝚍𝚊𝚢𝚎𝚟𝚎𝚗𝚒𝚗𝚐 #𝚖𝚘𝚗𝚍𝚊𝚢𝚒𝚜𝚘𝚟𝚎𝚛 Nice pic 🍻 👌🏻 😀 Very nice, we like the surroundings 🐙🎉🍻 Nice, product placement like the squid etiquette Oh yumm Cooles Foto 😍👏 Schaut stark aus! Wo erhältlich ? Auch vom Fass möglich ? Lg",,2020-02-17T18:31:32.000Z
CGVQZfZphB2,https://www.instagram.com/p/CGVQZfZphB2/,127,#amberale #drinks #madeinaustria #bierfreunde #österreich #photography #instabeer #beertasting #austria #instagood #beveridgers #beverage #beerphotography #igersgraz #tasting #igersaustria #beerofinstagram #beerstagram #beerporn #austrian_bloggers #bierblog #beerlove #tastetesting #productfotography #beeradvocate #beeroftheday #beerart #herbstzeit #herbstbier,"Name: Trumer Herbstbier General: Alc/Vol: 4.9 % Color: Amber, Copper, Hazy Origin: Austria Originality: Normal Scent:  Malty, Slightly Sweet Characteristics: Taste:  Hoppy, Full Bodied Malt Aroma and Bread Nuances, shallower finish Sprightliness: Medium Overall Rating: 15.3/20 Enjoy ✌                                                          😁 Superb shot👌👌 🎃🎃🎃",,2020-10-14T17:21:11.000Z
CE9mNweFKrO,https://www.instagram.com/p/CE9mNweFKrO/,133,#naturtrüb #drinks #testing #craftbeer #organic #photography #instabeer #herbst #spezialität #instabeers #beveridgers #beverage #bayern #germany #tasting #emmer #riedenburgerbrauhaus #review #emmerbier #austrian_bloggers #blogger #bio #tastetesting #productfotography #unfiltered #craftbeer #durstlöscher #beersofinstagram #rating,"Name: Riedenburger Emmer - Bier  General: Alc/Vol: 5.5 % vol Color: Dark Amber  Origin: Germany  Originality: High  Scent: Malty, Sweet, Wheat Characteristics:  Taste: Malty Sweetness and Distinctive Grainy Taste of Emmer Sprightliness: Standard  Overall Rating: 15.3/20 Enjoy ✌                                                         😍 Super Foto👌👍🍻 🔝😎🍻🍻👏👏👏Cheers!!!",,2020-09-10T16:18:39.000Z
B8jkPW6JU8T,https://www.instagram.com/p/B8jkPW6JU8T/,472,#wien #drinks #testing #likör #hawara #photography #instaliquor #liquor #shots #madeinaustria #beveridgers #beverage #wienerhawara #samahawara #tasting #Freundschaft #friendship #typischwien #wienliebe #austrian_bloggers #igerswien #vаlеntinеsеvеning #tastetesting #productfotography #nowater #valentinesday #valentine #depot_online,"Name: Hawara General: Alc/Vol: 23 % Color: Golden Origin: Austria Originality: High Scent: Hints of Lime, Coffee, Cinnamon , Mustard and Horseradish Enjoy ✌                                                        Schönes Wochenende😀 Prost 😋🍺 Na dann wohl bekomm‘s 😅👌🏼 Schönen Abend noch! ❤️ Gaaaar nichts für mich, aber Prost 😉👌 Lasst es euch schmecken 💕 Zum Wohl und guten Durst 😊 Das hört sich gut an 😍 Tolles Bild schönen Abend✨ Einen schönen Abend 😊",,2020-02-14T17:29:59.000Z
COfdtQZlFhg,https://www.instagram.com/p/COfdtQZlFhg/,,#beveridgers #lockdown #öffnungsschritte #mai #singen #lustig #spaßmusssein #waschbär #craftbeer #baldwieder #19mai #lachenistgesund #graz #österreich #austria #igersgraz #igersaustria #steiermark #gitarrespielen #satire #witzig,"Der letzte Bier Post ist zwar schon lange her wir hoffen aber wir hoffen bald wieder zurück sein zu können! Schönen Mittwoch🍻                                         🙌🙌🙌🍺 cheers ! Ни слова не понял, но очень красиво))",,2021-05-05T12:41:25.000Z
B9hcWslJNFN,https://www.instagram.com/p/B9hcWslJNFN/,244,#brotherscider #drinks #testing #cider #uk #photography #instacider #cidertasting #cidre #lemon #beveridgers #beverage #ciders #taste #tasting #apples #igersgraz #apfelwein #zitronen #afterwork #probieren #getränke #tastetesting #photoshooting #ciderlove #ciderlovers #somerset #critics #lecker #trinken,"Name: Brothers Cloudy Lemon General: Alc/Vol: 4 % Color: Cloudy, Champange/Ivory Origin: United Kingdom Originality: High Scent: Apples and Lemons Characteristics: Taste: Sweet, Lemons and Apples Sprightliness: Standard Overall Rating: 15.3 /20 Enjoy ✌                                                             Way cool pic dude🔥",,2020-03-09T18:13:59.000Z
B8wjyGvJgLP,https://www.instagram.com/p/B8wjyGvJgLP/,509,#mingin #drinks #madeinaustria #photography #urbandrinks #Grapefruit #finnish #beveridgers #beverage #art #taste #tasting #igersgraz #drinkstagram #summerfeeling #gin #tastetesting #photoshooting #sommerdrink #urbanart #sommer #summerfeeling #trinken #austrian #kunst #tusche #longdrink #nowater #gindrink #weiberfastnаcht,"Name: Min Gin General: Color: White, Opage, Origin: Austria Scent: Citrus Fruits Characteristics: Sprightlyness: Medium  Taste: Nuances of Grapefruit and Tonic ABV: 5.5 % Kcal: 59/100ml  Art by  Enjoy ✌                                                           Sieht lecker aus 😁",,2020-02-19T18:36:07.000Z
CDzBVVDppvH,https://www.instagram.com/p/CDzBVVDppvH/,120,#floracola #drinks #madeinaustria #photography #urbandrinks #stayhydrated #vegan #beveridgers #beverage #cola #taste #tasting #igersgraz #kräuter #summerfeeling #vegandrink #tastetesting #photoshooting #regional #kärnten #austria #durstlöscher #trinken #softdrink #awesome #yummy #cola #österreich #erfrischend,Name: Flora Cola Natur Cola General: Color: Clear Origin: Austria Scent: Herbal  Characteristics: Taste: Herbal Sweet Cola Taste Sprightliness: High Vegan: Yes Caffeine: No Kcal: 28/100ml Enjoy ✌                                                           🤗,,2020-08-12T17:12:34.000Z
