id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CNzkkNfHaEY,https://www.instagram.com/p/CNzkkNfHaEY/,24,#homeoffice #mittagessen #nimmsmit #takeaway #lunch #menü #inklusion #barrierefrei #essen #regional #kräuter #foodie #hendl #forelle #faschiertelaibchen #chili #biogulasch #bio #gulasch #salat #genießen #kotelett #spitzkraut #lehrlingoesterreich #lehrling #catering #location #gastgarten #lorenzbox #lorenzpicknick,📌Hier sind die Wochenmenüs für dich!📌                                                            Tolle Menüs wie immer❤️❤️ Hört sich lecker,,2021-04-18T11:34:23.000Z
COzWLouKzhT,https://www.instagram.com/p/COzWLouKzhT/,26,#gastgarten #neuergastgarten #hecke #blühen #duften #duft #entspannen #relaxen #feiern #genießen #trinken #essen #anstossen #cocktail #schatten #sonnenschein #sponsion #genießen #food #foodie #natur #bäume #feierlocation #weddinglocation #hochzeitslocation #vintagelocation #geburtstagslocation #öffentlicherreichbar #parkplätze #barrierefrei #inklusiv,"„Ein wirklich feines Platzerl für unsere Gäste“ Steigende Temperaturen und sinkende Corona-Zahlen: die Zeichen stehen auf Gastgarten! Höchste Zeit also für eine neue Außengestaltung – auch weil der Neubau im Lorenz-Park dem schon lange angedachten Projekt neuen Schwung verliehen hat … Restaurant-Chefin Gertrude Klementi freut sich: „Wir haben mit Barbara Kupfersberger eine wunderbare Landschafts- und Gartengestalterin gefunden, die den Lorenz-Außenbereich in einen echten Gast-Garten verwandelt.“ Es wird blühen, duften und plätschern. Der (handgezeichnete!) Plan sieht viele Blühpflanzen wie zum Beispiel Kletterrosen vor, dazu schattenspendende Bäume,  Hecken für den Sichtschutz, einen Springbrunnen und natürlich einen Spielplatz für die ganz Jungen.  Gertrude: „Es ist ein spannendes Projekt, bei dem wir ein wirklich feines Platzerl für unsere Gäste gestalten“. Die Arbeiten haben gerade begonnen, es wurden bereits Bäume gepflanzt, nun sind die Erneuerung des Bodens und die Heckenpflanzung an der Reihe. Ende Mai soll der 1. „Bauabschnitt“ im Gastgarten fertig sein, und der Outdoor-Betrieb kann wiederaufgenommen werden. Die neuen Sonnenschirme sind jedenfalls schon bestellt! Dein Lorenzteam .                                                            ",,2021-05-13T06:00:05.000Z
CSCaifii1po,https://www.instagram.com/p/CSCaifii1po/,11,#urlaub #betriebsurlaub #entspannen,   ,,2021-08-01T16:00:57.000Z
CSmdokIiGXC,https://www.instagram.com/p/CSmdokIiGXC/,11,#food #menu #menü #bio #nachhaltigkeit #dessert #salat #update #new #lunch #lunchtime #together #gemeinsam #gemeinsamlernen #gastgarten #regional #barrierefrei #inklusiv #location #feiern #essen #genießen #neuigkeiten #hochzeit #wedding #daslorenz #daslorenzgraz #gutessengraz #graz,"💚Hier kommen die Wochenmenüs💚 . Wir freuen uns sehr auf dich! . Dein Lorenzteam .                                                          Schön, dass ihr wieder offen habt!",,2021-08-15T16:00:39.000Z
CQLeIulH-1T,https://www.instagram.com/p/CQLeIulH-1T/,65,#cocktails #summerinthecity #makava #daslorenz,Pünktlich zur ersten Hitzewelle gibt’s unseren alkoholfreien Cocktail - Granatapfel-Makava☀️        (Werbung selbstbezahlt) 😍👌💛,,2021-06-16T11:22:56.000Z
CQEPmQNK0Vw,https://www.instagram.com/p/CQEPmQNK0Vw/,17,,,,2021-06-13T16:01:02.000Z
CNtyp-THiv0,https://www.instagram.com/p/CNtyp-THiv0/,26,#salat #hendl #regional #graz #food #foodie #regional #ausdemgarten #mitliebegemacht #mitliebegekocht #instafood #igersgraz #igersaustria #insta #takeaway #nimmsmit #lehre #lehrling #lehrlingsausbildung #lorenzbox #picknickbox #barrierefrei #inklusiv #kernöl #location #feiern #feste,Hendl vom Lugitsch | Käferbohnen | Kartoffeln | grüner Salat | rote Rüben | Tomaten | Eier vom Heidemann                                                      Schaut lecker aus Ist es auch😀 Einfach vorbei kommen und selber verkosten.,,2021-04-16T05:42:03.000Z
CS4fM2ZKIwk,https://www.instagram.com/p/CS4fM2ZKIwk/,9,,,,2021-08-22T16:00:40.000Z
CSobiMoKeqS,https://www.instagram.com/p/CSobiMoKeqS/,18,#daslorenzgraz #lunch #wiewirlebenwollen #grazkulturjahr2020,Der   ist in the house😀                 📸 Christina W-Fuchs,,2021-08-16T10:20:47.000Z
CR3dhRJqpI3,https://www.instagram.com/p/CR3dhRJqpI3/,12,#lugitschsteirerhuhn #mittagsmenü #steirerthaicurry #steirer #thaifood #curry #foodie #instafood #igersgraz #hendl #lugitsch #reis #kresse #ausdemgarten #kernöl #kürbis #käferbohnen #ausdemgartenaufdenteller #daslorenzgraz #daslorenz #inklusivesrestaurant #inklusiv #barrierefrei,"🤩 Unser    zaubert heute ein Mittagsmenü mit Wow-Effekt: Steirer-Thai-Curry mit Hendl vom   und regionalem Gemüse. Kürbis, Kernöl, Käferbohnen und Co dürfen natürlich nicht fehlen!                                             ",,2021-07-28T09:55:21.000Z
