id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CRybHPcKFKZ,https://www.instagram.com/p/CRybHPcKFKZ/,54,#Freiheit #Kinesiologie #Blockaden #Mustern #Ursachenforschung #Unterbewusstsein #panikattacken #angst #allergie #schlafen #intuition,"Die Berge geben Dir ein Gefühl der   und lassen Dich Freude spüren. Es gibt keine Ablenkung, keine Arbeit, keine Besuche - nur Du und die Natur. Wir können so richtig abschalten und neue Kraft und Energie sammeln. ….. Deswegen gehts voller Schwung wieder los ""ready, set, go!""  Schluß mit Urlaub und auf in eine fantastische Zeit!  Die   entdeckt die Ursache für Ihre   und befreit Sie von alten  ! , falsche Verhaltensweisen, Blockaden oder Muster im   erkennen und sanft löschen. Emotionaler Stress - was steckt dahinter?! hello@greenbrain.at        ",,2021-07-26T10:58:07.000Z
CFHtlphnUyX,https://www.instagram.com/p/CFHtlphnUyX/,67,#emotionalerstress #rausausdemmuster #psychokinesiologie #opfer #kinesiologie,"Raus aus der Opferrolle und hinein in ein selbstbestimmtes, freies und authentisches ICH!  Lösen Sie emotionalen Stress und treten Sie heraus aus eingefahrenen Mustern.  Die Kinesiologie schaut immer hinter ein Thema und kann somit auch die Ursache von zB. Stress an der Wurzel packen und löschen!  https://www.greenbrain.at         Super !😎",,2020-09-14T14:35:29.000Z
CIQEDg0H9bw,https://www.instagram.com/p/CIQEDg0H9bw/,29,#trauma #Lockdown #COVID #Corona,"In den letzten Tagen habe ich die Themen reflektiert, wegen denen Kunden bisher meine Praxis aufgesucht haben.  Seit Ende des ersten Lockdowns hat sich der Fokus da ganz klar von Überlastungen und Abgrenzungsthemen in Richtung Ängste, Bedürfnisse leben, ins authentische Sein kommen ... gedreht.  Spannend und schön wenn wir uns selbst leben!  Und ich freue mich schon darauf, Sie ab 8.12. wieder in meiner Praxis begrüßen zu dürfen!         ",,2020-12-01T09:59:54.000Z
CHKqWGCHcg2,https://www.instagram.com/p/CHKqWGCHcg2/,55,#aufstellungsarbeit #familienaufstellung #energetischedynamiken #graz,"Was haben Stofftiere mit Kinesiologie am Hut? Das erzähle ich Ihnen gerne! +++NEU IN MEINER PRAXIS+++ Energetische Verstrickungen zu lösen kann harte Arbeit sein.  Diese Methode ist treffsicher, simpel und effektiv, um Verstrickungen zu erkennen und lästige Blockaden zu lösen. Diskret, sicher, nachvollziehbar und vor allem sanft. Ganz einfach finden wir die Dynamiken hinter Ihrem Thema und lösen sie ab.        Dauer 90min. €125.- Mehr dazu auf meiner Website:  https://www.greenbrain.at/das-loesen-von-verstrickungen.../ Ausstellungsarbeit ist so toll! 😍",,2020-11-04T11:07:39.000Z
CFzGtHZHioT,https://www.instagram.com/p/CFzGtHZHioT/,27,#Waschzwang #Computerspiele #kaufsucht #nikotinsucht #spielsucht #handysucht #kaffeesucht #arbeitssucht #arbeitswut #workaholism,"🔥Zwänge/ Süchte: Menschen, die an Süchten leiden, sind ihnen mal stärker und mal schwächer hilflos ausgeliefert.  Ob Raucher, Putz- und  , Drogen,   oder Alkohol: Süchte und Zwänge sind vielfältig, haben aber immer einen gemeinsamen Nenner.  Einen Trigger, der in Ihrem Unterbewusstsein abgespeichert ist und den Süchtige oft selbst nicht kennen.  Wenn auch Sie genug vom Glimmstängel haben oder den Putzkübel auf Urlaub schicken möchten, dann melden Sie sich bei mir! Gemeinsam finden wir heraus, wo das Geheimnis Ihres Verlangens in Ihrem Unterbewusstsein gespeichert ist.  Schmecken Sie die Freiheit schon? Dann melden Sie bei mir! www.greenbrain.at              ",,2020-10-01T11:02:18.000Z
CGp71Hon1S2,https://www.instagram.com/p/CGp71Hon1S2/,62,#intuition #bauchgefühl #releasethekraken #powerful #urkraft,"🧠Manchmal hat man es einfach verlernt seinem Bauchgefühl zu vertrauen, was ist richtig, welche Entscheidung soll ich treffen.... Hören, Tasten, Sehen, Schmecken und Riechen funktioniert genauso schnell wie die Kommunikation zwischen Bauch und Kopf. Würde die Vernunft immer über das Bauchgefühl siegen, täten wir sehr selten etwas Neues oder Verrücktes. Das kann ein Weg in Richtung Anpassung und Langeweile sein.  🦸‍♂️🦹‍♀️ Hören wir aber auf unser Herz, unseren Bauch, unsere Intuition, fühlen wir uns oft viel wohler mit uns, unserem Leben und unseren Entscheidungen. Nehmen Sie Kontakt mit mir auf, Vertrauen Sie wieder Ihrer Intuition, lösen Sie diese Blockade!  hello@greenbrain.at www.greenbrain.at        ",,2020-10-22T18:05:30.000Z
CMIOwL0HO7N,https://www.instagram.com/p/CMIOwL0HO7N/,52,,Merke☝️ Top Picture!!! 🤣🤣🤣👍 Da hast du vollkommen Recht!,,2021-03-07T19:05:02.000Z
CKdzGiRnFMh,https://www.instagram.com/p/CKdzGiRnFMh/,54,#Angstgefühle #angst #existenzangst #starre #booomyourlimits #praesentationen #höhenangst #angstvorkrankheit #angstvorarmut #angstvordiktatur #angstvorvirus #graz #kinesiologie,"Es gibt verschiedene Gründe und Auslöser für zB.  . Einige davon sind im Bewusstsein vorhanden und andere wiederum generiert das Unterbewusstsein, also unser ""Autopilot"".  Das Unterbewusstsein wiederum ist dafür verantwortlich, dass Ängste bleiben und nicht so einfach verschwinden, wie Sie es vielleicht gerne hätten. Schauen wir gemeinsam auf die Ursachen, warum sie eine Angst blockiert.  Die Kinesiologie ist eine einfache Methode, um mentale Blockaden, Stressoren und unbewusste Hindernisse sanft aufzulösen und nachhaltig zu löschen.            #           www.greenbrain.at",,2021-01-25T11:03:55.000Z
CJYDg_Zn_i9,https://www.instagram.com/p/CJYDg_Zn_i9/,54,#intuition #bauchgefühl #releasethekraken #powerful #urkraft,"🧠Manchmal hat man es einfach verlernt seinem Bauchgefühl zu vertrauen, was ist richtig, welche Entscheidung soll ich treffen.... Hören, Tasten, Sehen, Schmecken und Riechen funktioniert genauso schnell wie die Kommunikation zwischen Bauch und Kopf. Würde die Vernunft immer über das Bauchgefühl siegen, täten wir sehr selten etwas Neues oder Verrücktes. Das kann ein Weg in Richtung Anpassung und Langeweile sein.  🦸‍♂️🦹‍♀️ Hören wir aber auf unser Herz, unseren Bauch, unsere Intuition, fühlen wir uns oft viel wohler mit uns, unserem Leben und unseren Entscheidungen. Nehmen Sie Kontakt mit mir auf, Vertrauen Sie wieder Ihrer Intuition, lösen Sie diese Blockade!  hello@greenbrain.at www.greenbrain.at        ",,2020-12-29T09:00:30.000Z
CJTpM0UHitk,https://www.instagram.com/p/CJTpM0UHitk/,26,,"Das heisst?! Ski fahren ⛷ (erlaubt bei Euch)? Liebe Grüsse 🎈 😂 Hi:) Jep, Skifahren darf man! Es sind die Skihütten zu und apres Ski ist nicht erlaubt aber Sport darf man (👍) machen! LG",,2020-12-27T15:53:36.000Z
