id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CI-R8u-lkhX,https://www.instagram.com/p/CI-R8u-lkhX/,60,#proteinella #healthyco #chocolate #whitechocolate #saltedcaramel #hazelnutchocolate #pancakes #pancakeday #proteinpancakes #breakfastideas #breakfasttime #breakfastclub #coffeetime #coffeelife #flavours #strawberry1,"Samstags ist Pancake time 🥞 Getoppt mit den leckeren Proteinella Aufstrichen immer wieder ein Genuss...Haselnuss/schoko, weiße Schokolade oder salziges Karamell.  🔸️kein zusätzlicher Zucker 🔸️reich an Protein 🔸️kein Palmöl                            ",,2020-12-19T08:46:23.000Z
CIK-br0l3PT,https://www.instagram.com/p/CIK-br0l3PT/,64,#stockholmsbränneri #stockholm #drygin #röd #gin #ginfluencer #gintime #gintastic #xmas #weihnachtsgeschenke #santa #1advent #surprise #weihnachten #negroni #sweden #swedenlove #swedenshots #xmastime #santaclaus,"Einen zauberhaften 1. Advent ❤ Weihnachtsgeschenkesucher aufgepasst!! 💥 Die   hat den Negroni neu im Sortiment. Eine wärmende Version des winterlichen Klassikers, inspiriert vom schwedischen Mittwinter. Hergestellt aus dem hauseigenen Dry Gin, dem beliebten Röd und Weihnachtsbitter zusammen mit kaltgepresster Kirsche und schwarzer Johannisbeere.                                     😍😍😍 Ein kurzes Hallo",,2020-11-29T10:34:34.000Z
CGwsY2Llue2,https://www.instagram.com/p/CGwsY2Llue2/,78,#proteinella #breakfastbowls #breakfastfood #breakfast #breakfastgoals #healthy #chocolate #saltedcaramel #hazelnut #spread #cream #cozymorning #coffee #tea #coffeetime #frühstücksliebe #geschmacksentdecker #delicy #fallvibes #fall #autumn #breakfastinbed #cozy #orange #flowergram #foodtrend #happy,"Eine Stunde länger gemütlich frühstücken 🤗 Danke Zeitumstellung!! 🕙 proteinella von   macht jeden Morgen besonders. Ohne Palmöl, ohne zusätzlichen Zucker & einer Ladung Protein. So mag ich den Brotaufstrich.  Und das Beste? 3 verschiedene Sorten: Haselnuss - Schoko, gesalzenes Karamell oder weiße Schokolade 🥐                                                    ",,2020-10-25T09:05:15.000Z
CIIGYKwFJ3l,https://www.instagram.com/p/CIIGYKwFJ3l/,62,#chailover #chailatte #xmasdecor #happyweekend #saturday #goodmorning #coffeetime #coffegram #chailovers #teatime #morningview,happy weekend ☕🧡                     This cappuccino looks great ... enjoy it😍😍☕ ,,2020-11-28T07:46:17.000Z
CJLoZgIKhGr,https://www.instagram.com/p/CJLoZgIKhGr/,,#glögg #merrychristmas #weihnachten #geschenke #santaclaus #santa #xmas #plätzchen #essenmachtglücklich,Wir wünschen euch wundervolle Weihnachten 🎅🏼🤶🏼🎄 Haut euch den Bauch mit vielen Leckereien und Drinks voll.  Und ganz viel Spaß beim Verschenken ❤                ,,2020-12-24T13:12:59.000Z
CHlUY3hFZds,https://www.instagram.com/p/CHlUY3hFZds/,61,#sonnenuntergang #whenthesungoesdown #sunset #clouds #river #autumnvibes #november #beautifulnature #naturephotography #dresden #elbe #enjoy #happy #happyweekend #sunsetphotography,"November, 16:35 Uhr 🌅                             ☀️Draußen ist’s doch am schönsten 👏",,2020-11-14T19:35:17.000Z
CHDIjirl2qm,https://www.instagram.com/p/CHDIjirl2qm/,78,#instagin #ginlove #gincocktails #mixologist #cocktailbar #distillery #party #gintasting #happyhour #gintonica #gingin #food #gintastic #bartenderlife #bourbon #cocktailsofinstagram #drygin #barman #liquor #stockholm #ilovegin #ginfluencer #craftcocktails #stockholmsbränneri #friends #drinkup #catsofinstagram #cat,"...und zack haben wir den 1. November ⏰ Es wird also so langsam Zeit, sich über Weihnachtsgeschenke Gedanken zu machen. Für alle Gin-Liebhaber oder die, die es werden sollen. Stöbert mal auf www.stockholmsbranneri.de  & die Freude der Beschenkten habt ihr sicher! 🛒 Dry Gin *mit den Noten aus - Wacholderbeeren, Koriandersamen, Angelikawurzel, Zitronenschale, Heidekraut, Holunderblüten und Rosmarin. Diese Mischung ist klassisch und delikat, blumig zugleich                                                       Great gin! And sweet cat 😍 I love cat photos! This is an amazing shot!👏",,2020-11-01T12:57:42.000Z
CI1E8QiFs1e,https://www.instagram.com/p/CI1E8QiFs1e/,54,#christmas #xmas #weihnachtsgeschenke #köstlichkeiten #geschmacksentdecker #kamin #kaminfeuer #glögg #sweden #cozyfireplace #fireplace #swedish #cozytime #hohoho #santaclaus,"nur noch neun Tage  🎅🏼🤶🏼🎅🏼🤶🏼🎅🏼🤶🏼🎅🏼🤶🏼 Macht es euch gemütlich zu Hause und stöbert mal in unserem Shop. Wir haben leckere Köstlichkeiten, die ihr nur bei uns bekommt.  Den Glögg gibt es bei der                             ",,2020-12-15T18:59:33.000Z
CG5gCdwFHXI,https://www.instagram.com/p/CG5gCdwFHXI/,79,#gin #cocktails #gintonic #drinks #ginandtonic #ginlovers #cocktail #bar #ginstagram #mixology #drink #bartender #ginoclock #ginlover #xmaspresent #drinkstagram #alcohol #gintime #cheers #ginspiration #spirits #tonic #love #tonicwater,it's all about the gin. Der stärkste aus der Reihe der  . 57% voller Genuss! 🥃  Ps: macht sich super unter dem Weihnachtsbaum.                                                 Mega Idee 💥💪🏼 😍🇸🇪👌 Perfect.,,2020-10-28T19:10:30.000Z
CIu4AfoFPao,https://www.instagram.com/p/CIu4AfoFPao/,33,#3advent #christstollen #stollen #ginstollen #gin #xmas #weihnachten #ginandtonic #gintime #gintastic #ginglebells #weihnachtsgeschenk #santaclaus #weihnachtsbaum #christmas #christmastime #plätzchen #cozytime #surprisesurprise,"🎅🏼 Happy 3. Advent 🎄 Aufgepasst!! Der 1. Gin-Stollen Deutschlands trifft auf schwedischen Gin & Tonic Glögg.  Das Weihnachtspaket besteht aus einem 1.000g Gin-Stollen und dem Stockholms Bränneri Gin&Tonic Glögg (500ml). Liebevoll verpackt in einer limitierten Box. Der Gin-Stollen, von Hand gefertigt in einer der besten Bäckereien Dresdens, wird ausschließlich limitiert hergestellt. Neben den herkömmlichen Zutaten eines Christstollen, werden dem Teig zusätzlich Anteile des Stockholms Bränneri Dry Gin beigegeben. Ebenso werden die Grundbestandteile der Dry Gin Destillation zerkleinert und in geringen Mengen mit der Stollen-Teigmasse vermischt. Die besondere Gin-Note erhält der Gin-Stollen dadurch, dass die Rosinen anstatt in Rum für 24h in Gin eingelegt werden.                                    ",,2020-12-13T09:11:05.000Z
CHAv0F0lRP_,https://www.instagram.com/p/CHAv0F0lRP_/,69,#proteinella #chocolatecream #protein #noaddedsugar #nopalmoil #coffeeart #halloween #halloweenfoodideas #halloweenfood #halloweenparty #coffeelover #teatime #tea #delicy #autumn #fall #banana #scream,"how i drink my coffee on halloween... Grund zum Schreien gibts hier wirklich! Proteinella ist fast alle 😱 Schnell bestellen auf www.delicy.de ▪️kein zusätzlicher Zucker, dafür    eine extra Ladung Protein ▪️ 0 % Palmöl ▪️ 100% Suchtgefahr  ▪️ 3 Geschmacksrichtungen 👻 HAPPY HALLOWEEN 👻                                   😍😍😍",,2020-10-31T14:43:02.000Z
CJS1bVcF5wF,https://www.instagram.com/p/CJS1bVcF5wF/,49,#proteinella #healthyco #chocolate #breakfastgoals #breakfastfood #breakfastphotography #breakfast #healthylifestyle #instahealth #instabreakfast #pancakes #proteinpancakes #breakfastideas #xmasdecor #frühstücksliebe #frühstück #coffeelover #coffeeoclock #saltedcaramel #hazelnutchocolate,xmas breakfast 🕯 Das proteinella Trio ist bei vielen Naschkatzen als Geschenk angekommen 🎁  Viel Spaß beim Ausprobieren und Schlemmen! 🥐🥞🥯☕🍪                                       Es ist köstlich❣️ Lecker😍😍😍 😍😍😍😍,,2020-12-27T08:21:12.000Z
CIWIh3gl08B,https://www.instagram.com/p/CIWIh3gl08B/,52,#ginandtonic #gin #stockholm #stockholmsbränneri #instagin #ginandtonic #drygin #pinkgin #rhubarb #oakgin #flavours #sweden #gintastic #drinks #ginbottle,Damit du all deinen Liebsten eine Freude bereiten kannst ➡️   Bestell hier deine Favoriten und pack sie unter den 🎄                             This looks yummy! Love this gin 🍸,,2020-12-03T18:34:27.000Z
CIRFit0lUlX,https://www.instagram.com/p/CIRFit0lUlX/,56,#cookies #plätzchen #plätzchenbacken #christmas #christmastime #weihnachten #cookie #chocolate #hotchocolate #bakingcookies #weihnachtsbäckerei #weihnachtsduft,"...auf in den Dezember, mit allem was dazu gehört 🍪🍫                    ",,2020-12-01T19:32:09.000Z
CHXHof3FrhK,https://www.instagram.com/p/CHXHof3FrhK/,50,#healthyfood #healthylifestyle #chocolateaddict #choco #whitechocolate #hazelnut #spread #nosugar #nopalmoil #coffeeholic #coffeelife #hotchocolate #minipancakes #sweetlife #breakfastgoals #breakfastfood #breakfastphotography #geschmacksentdecker #breakfastinbed #breakfastclub #sweetbreakfast #chocolateaddict,"Eine Portion zartschmelzende Schokolade & der Montag sieht gleich viel besser aus 🌰☕ Dank  : Genießen, ohne zusätzlichen Zucker, frei von Palmöl & Abwechslung durch drei leckere flavours.  Bestell' Dir deine Schokocreme auf www.delicy.de 😍                                           Good angle...❤️❤️",,2020-11-09T07:14:27.000Z
