id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CEdx48OHp4k,https://www.instagram.com/p/CEdx48OHp4k/,42,#noctua #chromaxblack #pccooling #nhd15 #cpucooler #cpu #pccomponents #productdesign #produktvideo #productcommercial #commercial #productshots #advertising #cgi #vfx #motiondesign #3dmotiondesign #3danimation #3drendering #cgistudio #cgstudio #productioncompany #creativestudio #c4d #xparticles #redshift3d #werbung #werbeagentur #graz #austria,  ⚡️ . . .                                                          ,,2020-08-29T07:44:58.000Z
BLL4a2Ahpca,https://www.instagram.com/p/BLL4a2Ahpca/,39,#colorgrading,Great لایک پست خوبی بو,,2016-10-05T15:06:14.000Z
BO7t-uZhvAF,https://www.instagram.com/p/BO7t-uZhvAF/,116,#musicvideo #croword #graz #avbaby #filmstudio #kessler #kesslercrane #dji #ronin #followfocus #filmcrew #ligt #parlight #filmmaking #videography #metal #melodicmetal #metalvideo #bts,"musicvideo shoot for CroworD @ AVBaby filmstudio - Graz, Austria . . .                                     Very cool 👍 epic 💥 Sweet 🔥 ☺ Good stuff! 👌",,2017-01-06T18:32:44.000Z
Bg_XFefHzJC,https://www.instagram.com/p/Bg_XFefHzJC/,111,#iphone #shotoniphone #lightroom #lightroomcc #lightroomccmobile #greatstuff,I just had to.. . . .         Morris WWW. UPARSEGUIDORES .COM,,2018-03-31T13:54:44.000Z
CEZoFveHBoW,https://www.instagram.com/p/CEZoFveHBoW/,23,#noctua #chromaxblack #pccooling #nhd15 #cpucooler #cpu #pccomponents #productdesign #produktvideo #productcommercial #commercial #productshots #advertising #cgi #vfx #motiondesign #3dmotiondesign #3danimation #3drendering #cgistudio #cgstudio #productioncompany #creativestudio #c4d #xparticles #redshift3d #werbung #werbeagentur #graz #austria,  ⚡️ . . .                                                          ,,2020-08-27T17:02:22.000Z
CEdx62fn8Ir,https://www.instagram.com/p/CEdx62fn8Ir/,42,#noctua #chromaxblack #pccooling #nhd15 #cpucooler #cpu #pccomponents #productdesign #produktvideo #productcommercial #commercial #productshots #advertising #cgi #vfx #motiondesign #3dmotiondesign #3danimation #3drendering #cgistudio #cgstudio #productioncompany #creativestudio #c4d #xparticles #redshift3d #werbung #werbeagentur #graz #austria,  ⚡️    . . .                                                          ,,2020-08-29T07:45:14.000Z
CEZoDm3HLd_,https://www.instagram.com/p/CEZoDm3HLd_/,20,#noctua #chromaxblack #pccooling #nhd15 #cpucooler #cpu #pccomponents #productdesign #produktvideo #productcommercial #commercial #productshots #advertising #cgi #vfx #motiondesign #3dmotiondesign #3danimation #3drendering #cgistudio #cgstudio #productioncompany #creativestudio #c4d #xparticles #redshift3d #werbung #werbeagentur #graz #austria,  . . .                                                          ,,2020-08-27T17:02:05.000Z
BrK_jvsAsJ-,https://www.instagram.com/p/BrK_jvsAsJ-/,224,#setup #workspace #desksetup #cgi #vfx #visualeffects #vfxartist #postproduction #office #productionoffice #creativestudio #vfxstudio #productioncompany #minimalsetups #designyourworkspace #workstation #palettegear #logitech #logitechmxmaster #dell #gtx1080ti #c4d #cinema4d #redshift #trvp,"Where the magic happens! . . .                                                 Jaw-dropping shot. soo cool😎👍 Great shot! Keep up the awesome work.. nice photo Insane 🔝 Nice setup homie 💯💯 Love the setup, any info you can give on the desks you own? (This one and the white one) Cool!!!🎈!!",,2018-12-09T15:33:59.000Z
CN5AOswH_2I,https://www.instagram.com/p/CN5AOswH_2I/,46,#workspace #desksetup #advertising #visualeffects #execproducer #commercialproducer #vfxsupervisor #preproduction #postproduction #office #productionoffice #creativestudio #vfxstudio #productioncompany #minimalsetups #designyourworkspace #officedesign #studiodesign #meetingarea #modernoffice #onlinemeetings #ipadpro #appleipadpro #magickeyboard #bose700 #c4d #cinema4d #therenderers #graz,I really enjoy the chill area for meeting & brainstorm sessions 👨‍💻   . . .                                                        ,,2021-04-20T14:12:19.000Z
BO7tUmUBp_T,https://www.instagram.com/p/BO7tUmUBp_T/,103,#musicvideo #croword #graz #avbaby #filmstudio #kessler #kesslercrane #dji #ronin #followfocus #filmcrew #ligt #parlight #filmmaking #videography #metal #melodicmetal #metalvideo #bts,"musicvideo shoot for CroworD @ AVBaby filmstudio - Graz, Austria . . .                                     🙌🏽🔥 this is dope! You should work with   haha yeah! :D",,2017-01-06T18:26:59.000Z
