id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CMAgrESBtNY,https://www.instagram.com/p/CMAgrESBtNY/,"3,526",#team #lyrics,"You and I ❤☯️  🥰 Du und ich, wir sind ein  Jeder ist für den andern da. Und wenn ich am Boden bin, legst du dich neben mich ins Gras. Auch wenn die ganze Welt versucht uns auseinander zu bringen. Stehen wir gemeinsam, weil wir zwei sind ein Team ❤  Thx   für diesen Song 🙏 Schönes Bild von euch beiden! 👌🏻💯 So cute 😍 ❤️🙌❤️❤️ Ach Schnuffi🥰🥰🥰 So soll’s sein 😍😍🔥 bzw. so wie   auch total süß in ihrer Story gerade erwähnt hat - auch wenn’s mal schwierig is (wenn man sich gegenseitig nervt etc.) trotzdem immer füreinander da sein und nie vergessen warum man sich in den anderen verliebt hat und wieso es schön ist miteinander ☺️💗 ihr zwei seid auf jeden Fall mega süß & einfach (was man so mitkriegt) ein powercouple 💯💘 ❤️❤️❤️ That happy face 🙏🏼 Ihr seid einfach süß! ❤️ Have a nice week😍Both of you❤️ Zuckersüß ihr zwei 😍❤️ 🙌 so ein süßes Paar 😍👏",,2021-03-04T19:07:42.000Z
CMKwk14BKbx,https://www.instagram.com/p/CMKwk14BKbx/,"3,586",#weltfrauentag #mittelpunkt #couple #gleichberechtigung #ehrlichkeit #fairness,"Du stehst nicht nur heute am   in meinem Mittelpunkt ❤   ❤ sondern du bist mein   😇🙌  Ein fairer, ehrlicher und gleichberechtigter Umgang war schon immer die Basis unserer Beziehung 🙏 und ist meiner Meinung nach der Garant, für unser langes, glückliches Leben ❤        🙏😇 Wahre Worte 👏 🔥🔥 This is a great stylish photo with depth. Nice photo work done. My compliments. Cute 😊 HappY Couple😍😍 ❤️❤️❤️❤️❤️😍😍😍 Cute Have fun with your love😍❤️🔥 Amazing 🔥 Favorite😍😍😍 😍😍😍 ❤️❤️❤️❤️",,2021-03-08T18:39:04.000Z
CN5gJPxBxyI,https://www.instagram.com/p/CN5gJPxBxyI/,"2,454",#projekt #knusperhäuschen #fashionshoot #lockdown #shoppinglust #buylocal #couplefashion #couplestyle #coupleoutfits #austriancouple #austria #steiermark #graz #steinecker #steineckermoden,"Wieder mal ein schöner Tag ein Tag ein Tag mit dir   ❤  Heute haben wir die ersten 2 Unterschriften für unsere gemeinsame Zukunft platziert ❤    😇🙌 Und hoffentlich ist ab Mai dann auch das Wetter so perfekt wie beim   für   🥰🙏 Leute auch wenn gerade noch   in Nö und Wien ist.. Spart euch eure   auf und unterstützt heimische Betriebe 🔥    Die Mitarbeiter auf der Fläche, bei der Kasse, im Lager, in der Logistik und im Büro der Unternehmen, werden es euch danken 🙏 In diesem Sinne, heut war so ein schöner Tag ein Tag ein Tag sun is shining 🥰🙌                 Wow 🤩 ❤️😍 Like this dress😍 Beautiful😍😍😍 Sehr schönes Paar🌺 👌🏻👌🏻👌🏻👌🏻💓💓💓💓✨✨✨✨❣️❣️❣️❣️ 🔥🔥🔥 Super 👏👏😍😮 Tolles Paar 😍🙌 Ihr seid so ein tolles paar 🔥🔥👏 so schön 😍😍😍 🔥🔥🎉 ❤️❤️",,2021-04-20T18:51:31.000Z
CNu_WpqhyeM,https://www.instagram.com/p/CNu_WpqhyeM/,"2,770",#playoutside #hausberg #lockdown #wandern #wanderungen #wanderequipment #wandern #graz #steiermark #austria #igersgraz,"   🥰⚡  Wer weiss wo wir sind? 🔥 Durch den   haben   und ich das   für uns entdeckt 😍 Ich sags euch.. Es ist für mich Entspannung, Erholung und ausgleichender Sport in einem 🙌 Meine erste   habe ich noch mit Straßen-Laufschuhen, kurzer Hose und Leder-Büro Rucksack bestritten.. 😅 Rückblickend frage ich mich, warum ich nicht schon viel früher ordentliches   besorgt habe 🤣 Gsd. Waren wir vor 1-2 Wochen beim   in der   und haben 1) Outdoor Wanderschuhe 2) Eine Wanderhose und 3) einen richtig coolen Wanderrucksack gekauft 😍🔥 Die Touren machen mit dem neuen Equipment so viel mehr Spaß 🤣🙌  Endlich habe ich mit den Schuhen HALT. Endlich habe ich eine lange Hose, die ich zu einer kurzen machen kann wenns warm ist. Endlich bekomme ich vom Rucksack keine Rückschmerzen mehr. 🤣🙌 Gibt es noch etwas, was mir ein Wanderprofi empfehlen würde? Bzw. Was ist deine Grundausstattung? Bin gespannt auf eure Inputs 😇🙌         Great pic bro 😍😍😍 Coole Reels👏😍 Cute 🙌 💪🏽💪🏽💪🏽💪🏽💪🏽💪🏽💪🏽 Check your dm So ein cutie Hund von euch 🥰 ❤️👏 Trilha incrível 👏👏 Excellent😍😍 ♥️♥️♥️🐶 ❤️",,2021-04-16T16:52:46.000Z
CMz4ce9AAya,https://www.instagram.com/p/CMz4ce9AAya/,"2,428",#instagame #ostern #feiertagen #graz #steiermark #shoppingcityseiersberg #styleinspirations #menstyle #best_location🔥 #classicstyle🔥,"Woran denkst du gerade? 😅🙌   Ich denke mir, ob dieser Style wohl auch für die Osterfeiertage passend ist 😋😘 Meine Gedanken sind aber auch schon irgendwie bei   und den   die man in normalen Jahren mit der Familie verbringt.. 🙄 Auch habe ich heute erstmals daran gedacht, was wir unserem Patenkind, Eltern und Großeltern zu Ostern schenken könnten, gerade weil wir sie nur für einen Kurzbesuch sehen können..  Wer hat Ideen für mich? Blumen? Steirische Schmankerl zum Essen oder doch eine Packung Schokolade? 😅🙌  Auch wenn wir heute erst in der   einkaufen waren, kann ich euch eines sagen... Das Plastikeinhorn bleibt bei uns.. 🤣 das brauchen wir dann fürs Haus 🤣🙌         Hoty😍😍😍 Amazing shot 🔥🔥🔥 🔥🔥🔥 Good look 👌 I like this style 🙌👏🔥 J ‘ adore brother 💜  Das bild sieht richtig top aus mein Freund 👏 Style 🧨 🔥🔥🔥 J'adore ton style😍😍😍😍🙌",,2021-03-24T17:56:41.000Z
CLcYTWzB09w,https://www.instagram.com/p/CLcYTWzB09w/,"2,786",#ready #frühling #spring #winterschlussverkauf #gegönnt #werbung #hautrein #graz #steiermark #shoppingcityseiersberg #seiersberg #guess #jdsportsat #jdsports #hm #gymbassador,"Sowas von   für   😍🙌 Wer von euch noch? 🔥 Am meisten freue ich mich auf die angenehmen Temperaturen, wieder mehr Zeit draußen zu verbringen, die Frühlingsmode und auf die Natur die wieder zu blühen beginnt 😍 Auf was freust du dich? 💪😇 Für den   haben wir uns beim   in der   schon richtig coole Teile      Sport Hoodie von   (sehr cooles Material) 🔥 Sneakers von   (mega Preise für krasse Modelle) 🙌 Socken von   (coolsten Motive) 😇 Hose von   (nicht geshopped aber auch nice 😘) Was sagt ihr zu den Teilen? 🔥 Und wer von euch hat den Abverkauf auch zum Shoppen genutzt? 🔥🙌                   🧿💙👽🤪🤘 Gefällt mir gut 🙌🏿 Wir sind auch ready für den Frühling 🙌🔥❤️ Sieht klasse aus das ganze Outfit 😮🙌 Fresher look👏 Sieht mega aus mein Freund 🙌 hab noch einen schönen Abend grüsse aus der Schweiz 🇨🇭 Mega stylischer Kerl einfach und bomben Content 🔥🔥🔥 weiter so mate und bleib gesund Der Guess Pullover ist so Geil, Hammer 😍 ich liebe Guess 🔥🔥🔥 Perfect bro 🔥👏 🔥 🔥🔥🔥🔥🔥😍",,2021-02-18T18:21:54.000Z
CMh8JiJBPZk,https://www.instagram.com/p/CMh8JiJBPZk/,"2,291",#backontrack #afterlockdown #summerbody #werbung,"Time to get   🔥  Bin schon gespannt wie der   Sommer wird 😅🙌 Eigentlich hätten die meisten genügend Zeit um jetzt im Lockdown richtig gas zu geben und den   zu formen aber oft fehlt es an der Motivation..  Deswegen habe ich 2 Tipps für euch, wie es bei mir funktioniert 🙌 1) Habe ich täglich meine Shape Caps von     im Einsatz die meinen Grundumsatz steigern und den Stoffwechsel anregen und 2) Tägliche Workouts und Bewegung. Step 1 könnte ein tägliches Schrittziel von 10.000 Schritten (oder mehr) sein und Step 2 das Ganzkörper Workout, welches ich für euch zusammengestellt habe 🔥 Versucht es mal in euren Tag zu integrieren 🔥 💪 Train 30 Sek / Rest 10 Sek / 3 Runden⁣ ✅ Prisoner Squats⁣ ✅ Tuck Crunches⁣ ✅ Jumping Lunges⁣ ✅ Superman Lat Pull Down⁣ ✅ Plank to Push Ups⁣ ✅ Floor Tap Squats⁣ ✅ Mountain Climbers⁣ ⠀⁣ 💾 Vergesst nicht, das Workout zu speichern und jemanden zu markieren, der eine Erinnerung zum Trainieren & Motivation braucht ⚡ Viel Spaß beim Nachmachen 🔥 😍😍👏 👏👏👏👏👏👏 Hello' I'm your big fan, please, I would love it if you comment on My last share😎♥️ ❤️❤️❤️ Plz comment my pics plz plz plz 👏 I request❤️❤️❤️❤️ Da me Handsome bro 😍😍❤️❤️ ❤️ ❤️❤️ Sweet👏👏👏 Super Bilder auf deinem Profil 🔥 Super Strong 🔥",,2021-03-17T18:42:44.000Z
CMIPEtBhswv,https://www.instagram.com/p/CMIPEtBhswv/,"2,572",#sunday #post #woche #motivieren #monday #montag #international #chestday #werbung #gymbassador #gymwear #graz #steiermark #österreich,"   um dich für die neue   zu   🔥⚡😇 Morgen ist   - eine neue Woche startet und sie bringt DIR eine neue Chance mehr aus dir, mehr für dich oder auch etwas neues zu machen 🙌🙃 Was oder Wie ist   für dich? Anstrengend? Mühsam? Motivierend? Der beste Tag der Woche? Ein lockerer Tag um rein zu kommen? Für mich ist es klar der beste Tag der Woche 🙌😅 Montag ist wie Frühling.. nach dem Winter beginnt wieder alles zu blühen und zu ""arbeiten"" 🤣 Auch liebe ich den Montag, weil Montags normalerweise immer     ist und ich das GYM mit meinen neuen Sachen von   rocken könnte 🦾  Die Details der   Sachen habe ich euch ja schon in der Story gezeigt und ich feier die Sachen sehr 🔥Wenn jemand von euch neue  sucht, kann ich euch die Teile wirklich empfehlen. Top Styles, coole Details, durchdachte Taschen für Gym-Karten und der funktionelle Stoff trägt sich mega angenehm⚡🔥 Mit dem Code ""Knox10"" spart ihr euch noch dazu 10% 🔥 Haut rein liebe Freunde und einen schönen Abend und Start in die neue Woche 🙌   🔥 🙌🔥 🔥🔥🔥🔥 Stabil echt top 🔥🙌 Sporty digga 🙌 ❤️❤️❤️❤️❤️ Liking this super vibe 💪🏼💪🏼💪🏼 💪🏻👍🏻👌🏻 Broo👑 Nice😍❤️ Fitness😍😍😍",,2021-03-07T19:07:50.000Z
CR12wBLLNuI,https://www.instagram.com/p/CR12wBLLNuI/,"5,367",#auszeit #knusperhäuschen #shoppingday #aktiveregeneration #shoppingcityseiersberg #graz #igersgraz,"Ein Tag   vom   muss auch mal sein ❤🙏 und am besten nutzt man ihn mit einem   in der   mit meinem Schnuffi ❤     beim Shoppen funktioniert echt gut 🤣 Stressfrei durchspazieren, hier und da einen Snack gönnen (heute beim   und   ) und nebenbei kleine Erledigungen für das Haus (bei   ) und den Kleiderkasten (  und   ) machen 🙌 Man lernt es echt zu schätzen, wenn man mal kein Werkzeug in der Hand hat 🤣🙌 Heute hat nur noch das Verwöhnprogramm der   gefehlt und ich wäre als neuer Mensch nach Hause gekommen 🤣🙌 Es heisst ja, Frauen genießen solche Shopping-Tage viel mehr als wir Männer... Und wir Männer ""gehen halt mit"" 🤣  Aber ich sags euch. Das Glück ist oft nur eine Frage der Perspektive 🙌 und gerade in der   kann man es sich schon richtig gut gehen lassen 😇🙌     Genies den Rest day 🙌 Hammer Outfit 😍 steht dir total gut 👍 Die Auszeit sei auch mal gegönnt 💪🏼 cooles pic! 🔥 Auszeit ist so wichtig, macht einfach glücklich, nur das tun was einem Freude macht.😇😇😇👍👍👍 Super dass du so einen tollen Tag hattest 👏 Bis zum nächsten Mal 😍 Burgerista is immer eine gute Wahl 🙏🏻😋 Awesome look buddy 🔥🔥🔥 Stunning man 😍 Na klaaaar 💪🏻 Sehr schönes Foto von dir Philipp 👍🏼💯 Hört sich gut an 😍🙌",,2021-07-27T18:57:20.000Z
COHlOagh_IA,https://www.instagram.com/p/COHlOagh_IA/,"2,040",#jetzt #betterversionofme #knusperhäuschen #supplements #foodspringfamily #outdoorworkout," ist die perfekte Zeit 🔥 Um auf deinen Körper zu achten, um mit Sport wieder zu beginnen, um Mut zu fassen, dass die Pandemie bald vorbei ist und um neue Ziele anzustreben 💪🥰  ⚡ Unser Projekt   fordert beim Umbau einiges von uns ab.. Auf den Körper zu achten ist da nicht immer so einfach 😅 Mein Plan dafür ist folgender: 1) Gesunde und vielfältige Ernährung 🥰 2) Hochwertige   von   wie Aminos, Vegan Protein Shakes, Vitamine und Protein Bars 🔥  3) Guter und langer Schlaf - 8 Stunden ca. 4) 3 Ausgleichs-Workouts im Gym oder Outdoor 🔥🥰💪 Dafür habe ich auch ein   für euch aufgenommen, welches reingeht 💪🥰 🔥Jede Übung: ✅Train 45 Sek / Rest 15 Sek  ⚡3 Runden - Zwischen den Runden keine Pause 🔥 1️⃣ Floor Tap Squats⁣ 2️⃣ Jumping Lunges⁣ 3️⃣ High Knees Run 4️⃣ Mountain climbers 5️⃣ Burpees Viel Spaß beim Mitmachen und wenn ihr euch bei   was gönnt, verwendet den Code ""Knefzfsg"" und ihr bekommt 15% auf euren Einkauf 🥰 Sieht klasse aus 👏🔥 Can you leave a souvenir comment on my last photo. Please. 🌹🥰❤️  🔥🔥👏 Nice work Man 🔥🔥🔥 Keep going mein lieber 👏 Amazing 🔥🤙🏽 👏👏👏 Babe pls support my new post 🙏 👏👍🔝🔝 😮😮👏👏🔥 Du sportlicher typ 💪 Ur smile is preetiest😍",,2021-04-26T06:05:08.000Z
