username, is_a_company, is_a_deep_crawl
philippknefz,False,True
kathi.hfm,False,True
bluubleee,False,True
chrishell1984,False,True
cocoquadrat,False,True
elizzy000,False,True
likerosesinthestorm,False,True
philipp_jose,False,True
reindleva,False,True
vanessagoetze_,False,True
lapopsi_at,False,True
julia_schadinger,False,True
schlembo000,False,True
schmiedoli,False,True
_ntrphtgrphy_,False,True
sglauni,False,True
moritzpein_,False,True
lizztastic_,False,True
beerenkraefte_gin,False,True
ehrenwort.genussmomente,False,True
tigrib_u,False,True
schmolo37,False,True
regionalehelden.at,False,True
die_sonnentaenzerin,False,True
suligramm,False,True
gaedke.digital,False,True
toxeenfox,False,True
robert_berger_bergski,False,True
ellyswunderland,False,True
traeumerherz_fotografie,False,True
kevinchristphr,False,True
kasti_7.6,False,True
monschgiii,False,True
joinpoints,False,True
marissadorfer,False,True
tjara81,False,True
rubbygloom,False,True
rena_kaa,False,True
baki.yo,False,True
gepackt_und_los,False,True
marieuhl,False,True
viennese.vegan,False,True
juleslostinparadise,False,True
graz.city.photography,False,True
carina.hackl,False,True
lowartgie,False,True
2vegans1cup,False,True
gigi_who_,False,True
etivera_verpackungstechnik,False,True
about_katinka,False,True
betti_licious,False,True
x.adriii_1911.x,False,True
joerg_rath_art_photography,False,True
hempdrinks.gmbh,False,True
aglutenfreeaustrian,False,True
barbararatzenboeck,False,True
gedachtewisseling,False,True
jul.r7,False,True
elli.penz,False,True
sarah_scootie,False,True
doctorslifevibrations,False,True
tecc_graz,False,True
reha_buddy,False,True
runmylean,False,True
nd2der,False,True
xmrs.photographx,False,True
climbing.plus,False,True
chriprizz,False,True
maitzfenster,False,True
absolutelysugarfree,False,True
eins.zwo.drei,False,True
bernds1980,False,True
annxkli,False,True
ms.sandra.j,False,True
chris_thecurl_kent,False,True
hungry_austrians,False,True
_michaela_xr,False,True
stphips,False,True
koko.lorenz,False,True
apflbutzn,False,True
doneebayhan,False,True
willjofried.hackl,False,True
feierlaune_graz,False,True
lockstoffstore,False,True
zenzgudrun,False,True
f.iona.k,False,True
regionalshopping.at,False,True
montreet_,False,True
stefangaller.photo,False,True
grazer_phile,False,True
zmartup,False,True
pilz_christoph,False,True
ririanlai,False,True
matthias_k_r,False,True
domi.hue,False,True
my.beauty.daily,False,True
petra_valetitsch,False,True
ellieelisabeth,False,True
sebastian_sailor,False,True
aeijst_gin,False,True
elaschreibt,False,True
meloncholie_,False,True
verenamayer_,False,True
humuhumu_poke,False,True
peepsofgraz,False,True
punctum.media,False,True
jck.visuals,False,True
onaydrinks,False,True
_stalba_,False,True
lervic_music,False,True
jjw_youngnature,False,True
christinaxthaller,False,True
thisisdaniel_,False,True
lookaroundwhatifound,False,True
crowdstrudel,False,True
ma.eg,False,True
stadtundlandpartie,False,True
die_finanzmanagerin,False,True
the_classy_taste,False,True
alessiocarmen,False,True
chr1ssy__,False,True
kunsthauscafe_graz,False,True
gin_1404,False,True
patrick.habith,False,True
coconilla.vegan,False,True
conni_canelloni,False,True
iam_steff_,False,True
silvia.gangl,False,True
elkeefferl,False,True
kati_weiland,False,True
michaela_jolanda_lifecoach,False,True
sophie.httr,False,True
jayyy_se,False,True
_gh_stefanie,False,True
tenzi_official,False,True
,False,True
odinsonodin,False,True
hello_its_me_mary_,False,True
bee_lates.pilates,False,True
weristluisa,False,True
teresa_loves_delicious_food,False,True
matthias_medardt1982,False,True
southernxskies,False,True
randkunstgraz,False,True
letic_moment,False,True
zsolattart,False,True
trachteria,False,True
eleoh.nora,False,True
jaacqueline94,False,True
dave_krn,False,True
popupgschichtln,False,True
daves__dave,False,True
thesocialmediascientist,False,True
meine_vejnikkeit,False,True
mendigavric,False,True
gw_80,False,True
petersen_swe_,False,True
lakatyfox,False,True
daria_z_86,False,True
small_ly,False,True
nihannatak,False,True
caroline_mair_,False,True
eventfactorykg,False,True
dj.mike.fields,False,True
martiina_000,False,True
leitgebsarah,False,True
