id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CRDlwRCNsUR,https://www.instagram.com/p/CRDlwRCNsUR/,176,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens,Sporgassenliebe ❤️                                     Oh ja… und es lohnt sich bis zum Karmeliterplatz weiter zu gehen 💛💛💛 ❤️,,2021-07-08T06:26:48.000Z
CQPRpbwKUVI,https://www.instagram.com/p/CQPRpbwKUVI/,199,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark,Ab ins Wochenende 🍹😍                                   Die besten Brötchen ever! Besser geht’s nicht! 😍😍😍 Unsere Stadt ist so schön! 💛 Ich liebe unsere Stadt ❤️,,2021-06-17T22:50:35.000Z
CP42Msap6YC,https://www.instagram.com/p/CP42Msap6YC/,133,,GOLDEN FREUTAG 10 € Shopping-Bonus für den 11. Juni - für ein Einkaufserlebnis in der Grazer Innenstadt 🛍☀️😀 Gutscheinkarte heute (9.6.) als Tip On Karte auf vielen Ausgaben auf der WOCHE in Graz/GU oder erhältlich direkt in den teilnehmenden Geschäften (so lange der Vorrat reicht)!  Mach dir eine FREUde an diesem FreiTAG! Mehr Infos im Link in unserer bio 😘 Das hört sich toll an 👏,,2021-06-09T05:47:27.000Z
CRn7wtEKnIR,https://www.instagram.com/p/CRn7wtEKnIR/,113,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #stadtmeineslebens #magazzin #mode #fashion,"ECHT GRAZ PORTRAITS Das Magazzin, vormals Wisosport, gibt es schon seit 1972 und wird in zweiter Generation von den Geschwistern Kathrin Bauer und Tini Köck geführt. Ihr Portfolio besteht aus einer feinen Selektion hochwertiger und authentischer Sport- und Freizeitmode, in der sich jeder von früh bis spät wohl fühlt, und auf die man sich bei allen Gelegenheiten - sei es fürs Büro, die Galerieeröffnung oder den Spaziergang mit den Liebsten - verlassen kann. Unsere Inspirationen sind zeitgemäßes Design, „echte Typen“, Reisen und die Natur.  Kathrin: „Unsere vielseitigen Mitarbeiterinnen sind unsere größte Stärke. Jede Einzelne von ihnen hat ihren ganz eigenen, individuellen Stil und Kundenstamm, den sie persönlich mit viel Spaß betreut; oft mit einem kleinen „Tratscherl“ verbunden.“ Tini: „Man kann sagen, meine Schwester und ich sind wie Hund und Katz´, also sehr unterschiedlich. Es ist auch nicht immer leicht, wenn zwei „Chefinnen“ am Werkeln sind, jedoch ergänzen wir uns sehr gut und somit fühlen sich alle im Geschäft sehr wohl. Das Schönste ist es, wenn ein Kunde ein Outfit findet, das wie ein gemeinsames Kunstwerk entsteht. So macht die Arbeit am meisten Spaß, dann liegt das gewisse Etwas in der Luft, da bekomm´ ich oft richtig Gänsehaut.“ Beide: „Wir im Magazzin sind so wie wir sind und lieben, was wir machen.“                                          ",,2021-07-22T09:11:45.000Z
CQISLG9qiCu,https://www.instagram.com/p/CQISLG9qiCu/,137,#echtgraz #grazerinnenstadt #graz #citylove #murinsel #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #insel #supportyourlocal #igersgraz #steiermark #stadtmeineslebens,Reif für die Insel? 🏝😅                                         ❤️😂ja schön langsam schon❤️,,2021-06-15T05:40:30.000Z
CQVJDzvt92l,https://www.instagram.com/p/CQVJDzvt92l/,178,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #stadtmeineslebens #interiordesign #design,"ECHT GRAZ PORTRAITS Mit „Hi, nice to meet you!“, wird man bereits an der Tür des Slow Design Conceptstores TASH LIVING / concept Store in der Grazer Hofgasse 7, herzlich empfangen. Kreativer Kopf und Gründerin dieses atmosphärischen Ladens ist Natascha Galler, die sich nach Abschluss ihres Architekturstudiums mit TASH LIVING einen lang gehegten Traum erfüllte. Ihr Sortiment, das von besonderen Möbelstücken über genderneutrales Spielzeug bis hin zu feinem Schmuck reicht, unterliegt einem stetigen Wandel. Das Meiste gibt es nur in geringer Anzahl oder als Unikate und selten kommt etwas ein zweites oder drittes Mal in den Store, man sollte also bei Lieblingsstücken schnell sein. Was jedoch Bestand hat, sind die Werte und Kriterien, nach denen Natascha Galler alles persönlich auswählt. Sie möchte ihren eigenen bewussten Lebensstil auch bei TASH LIVING zum Ausdruck bringen, indem sie auf langlebige, natürliche Materialien setzt, jedes Produkt eine sinnvolle Funktionalität und ressourcenschonende Herstellung aufweisen muss und unverzichtbare Verpackungen weiterverwendbar sein sollen. Eine individuelle Vielfalt aus noch unbekannten Europäischen Brands, die großes Potential versprechen, lag von Beginn an im Fokus von TASH LIVING. Seit der Eröffnung im Frühjahr 2015 setzt sich die breitgefächerte, handverlesene Produktauswahl, mittlerweile aus über 140 Labels zusammen und wirkt dennoch wie aus einem Guss. Dies könnte allerdings auch an der detailverliebten und schön inszenierten Präsentationsweise liegen, in der alles millimetergenau justiert wird und die manche Kunden dazu anregt, hier am liebsten einziehen zu wollen.                                                 👏👏👏👏👏👏😍 Sehr schöne Fotos 👏 Herzlichen Dank für diesen Beitrag und die tollen Fotos! 😍😍❤️ Super Fotos !  schönster store!",,2021-06-20T05:30:59.000Z
CR0i_gloQsG,https://www.instagram.com/p/CR0i_gloQsG/,143,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens #murinsel,Urlaubsfeeling mitten in Graz.                                      ,,2021-07-27T06:45:27.000Z
CQdWTsfikgX,https://www.instagram.com/p/CQdWTsfikgX/,202,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens,Ein paar schattige Platzerl sind noch frei 😎😎                                     Gemütlich 😊 👏👏👏 👏👏👏🇮🇹🥾,,2021-06-23T10:00:41.000Z
CSMSeTOKtvg,https://www.instagram.com/p/CSMSeTOKtvg/,227,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens,Schlossbergplatz 😍                                     ❤️Wunderschöne Aufnahme ❤️,,2021-08-05T12:02:52.000Z
CSWCmM8qNpY,https://www.instagram.com/p/CSWCmM8qNpY/,115,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens,"ECHT GRAZ PORTRAITS Herzlich Willkommen bei  !  In der Sporgasse, nur wenige Schritte vom Hauptplatz von Graz liegt das upTown Art. Hier vermischt sich Kunst mit weltoffener Inspiration. Kunstbegeisterte können Werke unterschiedlichster Genres bestaunen und Künstler*innen beim kreativen Schaffen über die Schulter blicken. Bei monatlich wechselnden Ausstellungen sowie Vernissagen habt ihr die Möglichkeit, Künstler*innen persönlich kennenzulernen und Hintergründe über deren Schaffen zu erfahren. Zusätzlich zu den Exponaten findet ihr hier einen Shop für Handwerkskunst, handgefertigter und ausgefallener Geschenke sowie Kunstwerke mit Bezug zu Graz und der Steiermark. Du möchtest noch einen Schritt weiter gehen und Kunst in die eigene Hand nehmen? Die regelmäßigen Workshops, Events und Vernissagen bieten euch eine Plattform, um die eigenen Kreativität neue Impulse zu geben und Neues hautnah zu erleben. Mit dem upTown Art wird ein Treffpunkt geschaffen, der zum Austausch anregt, Horizonte erweitert und als Quelle der Inspiration dient.                                     👏👏👏👏👏 Oh klingt toll..muss ich vorbei schauen Die Mischung finde ich sehr ansprechend 🎨🖌 viel Erfolg",,2021-08-09T06:56:33.000Z
CPxK8vhqR2B,https://www.instagram.com/p/CPxK8vhqR2B/,152,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark,Einen farbenfrohen Sonntag 😍☀️                                    😍 ❤️ ❤️tolles Bild ❤️,,2021-06-06T06:14:51.000Z
CRNyN7CKoWl,https://www.instagram.com/p/CRNyN7CKoWl/,154,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens #maschenwerksatt #wolle,"ECHT GRAZ PORTRAITS Das sind Viktoria Schichl und Magdalena Truger und ihr Geschäft Maschenwerkstatt in der Mariahilferstraße. Die Maschenwerkstatt, das sind mehr als 11.000 hochwertige Wollknäuel & Garne von Pascuali Filati Naturali, Ito, LITLG - Life in the Long Grass, Malabrigo, Manos del Uruguay, Rosy Green Wool, Ferner Wolle, Sandnes und Hedgehog Fibres sowie Nadeln von ChiaoGoo und KnitPro auf 30 Quadratmetern! Vor sechs Jahren wagte Viktoria einen kompletten Neuanfang. Von Beginn an wurde sie von ihrer Freundin Magdalena unterstützt, die damals gerade dabei war, ihr Studium zu beenden. Was beide gemeinsam haben, ist das Faible für schöne, qualitativ hochwertige Materialien und das Stricken und Ausprobieren neuer Qualitäten und Techniken. Magdalena – als Physikerin ganz Zahlenfrau – hat immer den Überblick über die Zahlen und Lagerstände und wickelt die meisten Bestellungen ab. Viktoria – als Geisteswissenschafterin – hat mehr die geschäftliche „Großwetterlage“ im Blick. Zusätzlich arbeitet sie einige Stunden im Bereich Entwicklungszusammenarbeit - ihrer zweiten Berufung. Nun haben die beiden den schon länger geplanten nächsten Schritt vollzogen und diese Partnerschaft auch auf dem Papier besiegelt: Ab sofort firmieren sie als Maschenwerkstatt OG. Dazu gratulieren wir ganz herzlich! Gemeinsam bringen sie rund 60 Jahre Strickerfahrung mit, die sie in verschiedenen Kursen weitergeben. Nahezu alle Produkte findet man natürlich auch im Webshop www.maschenwerkstatt.at! Service & Beratung werden im Geschäft und im Onlineshop groß geschrieben: So gibt es zum Beispiel die Option Bestellungen bis 13 Uhr in Graz auch am gleichen Tag (Mo-Fr) zustellen zu lassen!                                         Tolle Sache 👏viel Erfolg 🙌",,2021-07-12T05:28:06.000Z
CQ5L16rCis0,https://www.instagram.com/p/CQ5L16rCis0/,127,#echtgraz #graz #visitgraz #geschenke #kaufingraz #grazerinnnestadt,"ECHT GRAZ PORTRAITS Ursula & Christian Aichholzer und ihr Shop OrangeandGreen.  Seine Ursprünge in Wien blickt der Familienbetrieb stolz auf knapp 25 Jahre Erfahrung zurück und so ist Orange and Green heute ein Geschäft mit vie-len Geschenkideen, Designartikel, Büro- und Küchenaccessoires und vielem mehr. Tausende Artikel die Inspiration und Freude schenken, findet man seit 2008 in der Färbergasse, nur wenige Schritte vom Hauptplatz entfernt. Christian, Ursula und ihr Team können stolz behaupten: die Artikelvielfalt hat noch für jeden Bedarf & Geschmack ein Angebot gefunden! Einfach vorbeikommen und sich ein wenig Zeit zum Stöbern nehmen! Die Produktauswahl trifft Ursula hauptsächlich mit einer klaren Entscheidungshilfe: lustig, schön und mit Nutzen sollen Produkte sein. Für Lachen und Staunen ist also gesorgt. Mittlerweile arbeitet die ganze Familie im Unternehmen, stark unterstützt durch Angela. Wer will kann auch digital shoppen und sich die Artikel online reservieren lassen: www.orangeandgreen.at. Ihre Kunden zu begeistern ist das erklärte Ziel. Aber auch Mitarbeiter, Partner und ein gesellschaftliches Miteinander liegen Familie Aichholzer sehr am Herzen: sie möchten einen sicheren Arbeitsplatz bieten, pflegen gute und nachhaltige Geschäftsbeziehungen mit ihren Partnern und Spenden regelmäßig an gemeinnützige Organisationen.                 Da muß ich unbedingt mal vorbeischaun 🔥😍 Mein Lieblingsgeschäft in Graz!! Wenn man ein Geschenk braucht und keine Ahnung hat, was man schenken soll...dort findet man immer etwas Passendes! 👌",,2021-07-04T05:27:58.000Z
CSdmL7YKNik,https://www.instagram.com/p/CSdmL7YKNik/,643,#echtgraz #grazerinnenstadt #graz #citylove #fotoderwochegraz #tradition #steiermark #visitaustria #buylocal #meinestadtgraz #igersgraz #kaufingraz #discovergraz #visitgraz #altstadtliebe #supportyourlocal #igersgraz #steiermark #diestadtmeineslebens #murinsel,"Perspektivenwechsel                                       Wow! Tolles Bild 🙌 😮😍 😮 Sieht ja cool aus! ❤️Traumhafte Perspektive ❤️ 🔥🔥🔥👏 😎👍🏼 👏👏👏 👏👏👏 😍😍😍 Das Foto würde ich mir sofort an die Wand hängen. Richtig hot! 🔥👏😮 👏👏👏👏👏😍 👏Schon oft gesehen; aber nicht so , super 🙋🏼‍♂️",,2021-08-12T05:22:13.000Z
