id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CStYWPoMxJt,https://www.instagram.com/p/CStYWPoMxJt/,28,#afghanistan #afghanistan🇦🇫 #fundraiser #donate #spreadtheword #share #insta #solidarity #protectminorities #fullsolidaritywithafghanistan #leavenoonebehind #humanrights #womensrights #againstdeportations,"!!! This fundraising campaign by   is raising money for planes to head to Kabul and save as many people as possible. Their aim was half a million, now it‘s almost 4Mill and they are raising more money to allow planes to keep doing more turns.  Pls donate whatever u can and share this campaign wide and far!  I know ppl, who are ashamed of donating 5€, but please this helps. Every penny helps. U can donate anonymously. But give whatever you can give. Thank you Rob   🙏🏼 **** The individuals in question are high-value targets - Afghan men and women who have worked as human rights lawyers, champions of Women’s and LGBTQ rights, journalists, government liaisons, artists, and interpreters - all of whom are at imminent risk of being executed by the Taliban, along with their families. We will be taking full family units. If these people do not get rescued as soon as possible, neither they nor their family will make it through the month. The Taliban have a KILL LIST and are going door to door, searching for these people and reportedly killing them on sight if found.  THE MONEY: What happens to the money I donate? We want to be clear: EVERY SINGLE NICKEL of everything raised will go to either pay for flights, or support these humans through various non-profits - such as The International Women’s Media Organization (IWMF). Important note: EVERYONE VOLUNTEERING ON THIS PROJECT IS DOING SO FOR FREE. EVERY DOLLAR GOES BACK TO THESE AFGHAN REFUGEES. WE ARE NOT TAKING A PENNY. I think this is important to emphasize as we sadly live in a world where we have to worry about these things.                           ❤️❤️❤️",,2021-08-18T08:29:08.000Z
CO7xyGiFHd_,https://www.instagram.com/p/CO7xyGiFHd_/,215,#videoshooting #hannakristall #uknow #musicvideo #urban #streetstyle #dance #dancers #chicas #onset #rollsroyce #trapbeats #igersvienna #vienna,"Shooting - day with ‚las chicas‘🔥🔥❤️❤️... I didn‘t know I had DIAMONDS in my hands when choosing my team for this video. Everything turned out to be PERFECT. Thank you for putting so much effort, love and mega vibezz into this. I LOVED this day and especially every single one of you. I’m thankful forever! ❤️ 🎬🎥   endless love and respect 4ever🤍                  . . .                           GEIL🤩🤩🤩 The pics look sick! 🔥 Promote it on   5M 🔥🔥❤️❤️ So excited to watch the outcome! 🔥🔥🔥🔥🔥 looks great 🤩🤩🤩 🔥🔥 es war einfach nur Cool 😎 🔥🔥🔥🔥🔥😍 Yasssss 🔥",,2021-05-16T12:35:11.000Z
CNsW9KYlE_c,https://www.instagram.com/p/CNsW9KYlE_c/,140,#pop #popmusik #popmusic #singer #singersongwriter #vocalist #igersaustria #vienna #igersvienna #fakeleather #curls #frauenrechte #empowerment #supportyourlocal #support #femalebusiness,"Liebe alle! Es passiert zur Zeit so viel in der Gesellschaft, dass es fast unmöglich ist, NICHT aktiv mitmischen zu wollen. Ich bin total leidenschaftlich, wenn es darum geht, für Gerechtigkeit und Gleichbehandlung aller Menschen einzutreten und ich hoffe ich bin nicht naiv, wenn ich denke, wirklich etwas bewirken zu können ... ein bisschen Zeit habe ich ja noch😁💪🏼💪🏼 ABER eigentlich melde ich mich, weil ich sagen wollte, dass es auch musikalisch gut läuft. Ich weiß, dass es von außen manchmal so aussieht, als würde sich gar nichts tun, aber das Gegenteil ist der Fall. So ein Karriereaufbau ist Knochenarbeit und glaubt mir: ihr wollt nicht alles wissen. Vor allem nicht, was alles schief laufen kann ;)  Am Ende des Tages bin ich einfach schon glücklich, DASS ES GUT LÄUFT und ich freu mich mega drauf, die Resultate mit euch zu teilen.  Und bis dahin: ICH LIEBE ES WENN IHR LAUT SEID UND FÜR DIE SACHEN EINSTEHT, DIE EUCH WICHTIG SIND IM LEBEN. BLEIBT LAUT, ICH SEHE EUCH ALLEN NUR ALLZU GERN DABEI ZU!!!  Bleibt gesund und DANKE für euren Support❤️💯Hanna 💋 . . .                               Promote it. DM  😘😘😘😘😘😘😘😘😘😘❤️❤️❤️ Engagement für die richtige Sache ist einfach wichtig. Kann es kaum noch erwarten auch noch zu deiner Musik abfeiern zu können. ❤️🙌❤️🙌 true words.. thankful about you ❤️❤️",,2021-04-15T16:20:46.000Z
CSydiwmskjF,https://www.instagram.com/p/CSydiwmskjF/,85,#afghanistan #afghanistan🇦🇫 #solidaritywithafghanistan #WhereIsMyName #royaheydari #lalehosmany #fundraiser #donate #spreadtheword #leavenoonebehind #humanrights #womensrights,"…on Taliban Death List I watched a documentary about women, who are on death list of the Taliban those days.  The documentary also shows a school that the Taliban attacked and where 80 girls were killed.  While the brutal takeover of the Taliban affects ALL Afghan people it is again women and young girls, who are being targeted primarily and brutally tortured. They are being burned, hit, their skin is being peeled off alive, raped (as kids!) etc.  The link you find in my bio will organise rescue flights for as many Afghan men and women as possible (and their families), who are at imminent risk of being executed by the Taliban. Among them are people, who worked for the US as translators, intellectuals, artists, journalists, LGBTIQ+, human right lawyers, activists (like   and   ), etc.  What saddens me most is that while Afghanistan was completely f**** by the ‚West‘ the worst thing is that Afghan people feel like HOPE is gone. And imagine, hope is the very last thing that you cling on when there is nothing else left. This is cruel. And while politicians are busy checking their interests it is again on us to act as humans, show solidarity and push this matter - as we did with George Floyd, rip. As long as we care, people will have hope.  Pls share and donate - link in bio.                        🙌 Just sharing the concern each is then free to do what they want obviously...but i thought your followers may be interested to know that there are concerns Are the shown women safe? Please be careful with these private fundraisers as there is no indication that they will be able to in fact fly to and from Afghanistan. After 31 august there is no clarity on what will happen at the kabul airport (not that it's great now). Also GoFundMe is currently not releasing funds for Afghanistan projects",,2021-08-20T07:50:45.000Z
CN6omj8l7QD,https://www.instagram.com/p/CN6omj8l7QD/,146,#mixing #singer #singersongwriter #popmusic #trapbeats #neon #fashion #vienna #igersvienna #igersösterreich #wien #goals #motivation #mixingandmastering #womeninmusicbusiness #femaleproducer #urban #contemporaryart #popart #contemporaryvienna,whats poppin!! 🌪yesterday i talked to the mixer of my confidence and got some more tips for my recording... the song is actually ready but i find myself not being able to stop working on it 😉 happens to all of us 🦦happy day chillers!!  . . .                                       I think I know your photographer 😅 😍 😉😉😉,,2021-04-21T05:24:20.000Z
CSozsjTM-8u,https://www.instagram.com/p/CSozsjTM-8u/,63,#solidarity #afghanistan,SIGN THE PETITION via   - link in bio It‘s heartbreaking to witness such cruelty - and all of it is happening right in front our very eyes. I don‘t even want to imagine how people in Afghanistan must feel right now. I don‘t know what we can do - but we have to do everything possible to help people leave Afghanistan as soon as possible. SIGN THE PETITON!!!!    💔😭 🙏🙏🙏😢 🙏🏾🙏🏾🙏🏾 ❤️❤️🙌 😢😢😢 Signed,,2021-08-16T13:51:55.000Z
COHei4VlOZX,https://www.instagram.com/p/COHei4VlOZX/,117,#sundowner #sachódsłońca #wiedeń #musicvideo #teledysk #shooting #popmusic #trapbeats #femaleartist #vienna #igersvienna #igersaustria #donau #altedonau,"SONSET / SACHÓD SŁOŃZA 🌇 . had a great weekend🦦tanking energy, chilling much and preparing stuff for my music video. we are def shooting 2nd week of may. this week i still need to check 2 outfits for 2 different locations and a lot of other details. anyways, b keeping u updated ... happy week wsystkich!😉 . 🇵🇱 Miałam wspaniały weekend🦦ladowałam energię, miałam dużo relaksu i przygotowywałam materiał do mojego teledysku. będziemy kręcić drugi tydzień maja. cieszę sie! szczęśliwego tygodnia wsystkich! 😉 . . .                           🤩🤩 Love it😍 ❤️❤️❤️❤️ 🔥❤️ So excited for you! ❤️",,2021-04-26T05:06:35.000Z
CMKhK52lvGi,https://www.instagram.com/p/CMKhK52lvGi/,158,#internationalwomensday #internationalerfrauentag #womensday #herstory #feminism #feminismus #diedohnal #thefutureisfemale #genderequality #genderdiversity #equality #flint,"  It’s HERSTORY and its EVERYBODY’S story! I believe in equality of EVERYBODY and I think that every single person has the right to live life as best as he/she/x can.  Life to me is about developing yourself and living your full potential. All this has nothing to do with gender. Yes, I do especially support young women and girls because I know that it is the group that is still not treated equally - and I will always support them.  BUT since I personally have long time ago stepped out of this thinking of gender roles etc. I want you to know that I always include everybody in my world, anytime - may it be female / male /  gender divers.  But politically I call myself a feminist and we do need equal rights for everybody. Therefore I go with one brilliant Austrian politician, Johanna Dohnal, who says that the vision of feminism is not about a female future. It is about a human future.  THERE YOU GO. BE HUMAN. BE FEMINISTS.                      Definitely Guuuuuuurl 🔥🔥🔥 👏👏👏",,2021-03-08T16:24:27.000Z
CPyiveOlAOU,https://www.instagram.com/p/CPyiveOlAOU/,127,#friedrichshain #chillin #berlinvibes #berlinbynight #hotel #xberg #kreuzberg #mood #chill #chillaxing #relajada #violet #sunglasses,"Berlin, mi amor!!🫀     . . .                     😘😘😘😘😘😘😘😂😂⚡️⚡️⚡️⚡️⚡️⚡️ 🧸🧸🧸🧸🧸 🔥😍 😍🌱🌸💜 🔥🔥🔥 ❤️❤️❤️❤️ 🔥🔥🔥🔥🔥🔥🔥🔥🔥 Ist das ein HighHeel in der oberen Ecke oder eine optische Täuschung? 😅 🔥🔥🔥🔥🔥🔥🔥 🔥",,2021-06-06T19:01:59.000Z
CJozNTmnByX,https://www.instagram.com/p/CJozNTmnByX/,,#repost #lockdown #vocalist #vocals #singer #cover #love #calumscott #youarethereason #goodnight #piosenkarka #gohanna #gohanna #womanpower #superstar #fame #super, from the first   in march 2020. I always do vocal warm-up in my bathroom and the voice is softest afterwards. Love when it flows🗯🪐enjoy!! 🎧                 👑👑👑👑👑 I love it🥰           😍 wow 😍 So beautiful! I really miss your concerts! 🙏🏽❤️🔥 Großartig wie immer ♥️ 👏🏼 ahh you’re so amazing! 😻😻 Wow your voice 🔥❤️   escuchala 👏🙌🔥😍 So schön!!!,,2021-01-04T21:05:33.000Z
CP1CjihlnE9,https://www.instagram.com/p/CP1CjihlnE9/,113,#hood #vienna😊 #funtime #fotoshooting #wanda #wandmusic #bologna #amore #vienna #donaustadt #wien, DANKE für den 🫀-lichsten Empfang in my  !! back in    . . .                 🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥🔥 ❤️❤️🔥🔥🔥🔥,,2021-06-07T18:18:27.000Z
COLGXz0FS_3,https://www.instagram.com/p/COLGXz0FS_3/,103,#donauinsel #neuedonau #wien #wiedeń #viena #plakat #miejski #urban #urbanstyle #streetstyle #poster #igersvienna #anuncio #estilourbano #hannakristall,About yesterday! what I found while biking 🚀🚀 . Lo que me enontré ayer yendome en bici 🚀🚀 . Zobaczycie zo znalazłam wczoraj podczas jeździłam na rowerze🚀🚀 . . .                             🔥🔥🔥👌💪,,2021-04-27T14:52:19.000Z
CKJafX7n8mV,https://www.instagram.com/p/CKJafX7n8mV/,,#popsinger #teaser #bloopers #funny #newmusic #music #wien #2021 #austria,"WHO IS   🗯👩🏼‍🎤🌵🍿🌈💪🏼💯- please enjoy my teaser! Sorry it’s in German, but all i’m saying is: • that i’m working on my next singles • that most of my songs are being written in my home-studio • AND that if u wanna know who I am —> FOLLOW ME & KEEP IN TOUCH 🗯🗯🌵🌵🥤🥤🍿🍿🌈🌈  ••••                 🔥🔥 🙌🏽🙌🏽🤗 🙌🏻🙌🏻 Sei einfach du selbst! Bin gespannt (noch) mehr über dich zu erfahren. “dass ist kein guter satz” hahah ich bin schon gespannt!! ❤️❤️ Wer ist den nun   ? 🤔🤔 ♥️🔥 Hervorragend 🔝  😍❤️🦋  🦄💘😍 Warum bist du so cool 1210.. Nice.. Cool 😎 zu hören das eine gute Stimme in der Nähe ist.. Ich und meine Freundin haben auch ein homestudio und suchen vielleicht Ende des Jahres gute Sänger zum samplen für ein Dub track.. Vielleicht finden wir mal Zeit im net zum quatschen",,2021-01-17T13:07:48.000Z
COar_wylJsJ,https://www.instagram.com/p/COar_wylJsJ/,109,#freestyler #citylife #urban #miejskadżungla #skate #halfpipe #longboarding #urbanjungle #havingfun #fun #igersvienna #popsinger #trapbeats,About yesterdayy 🌪🌪🛹🛹 📷 🫀 . . .                         🙌🔥 👏👏👏,,2021-05-03T16:09:41.000Z
CN5K_NzF1Sd,https://www.instagram.com/p/CN5K_NzF1Sd/,104,#VIENNA #shooting #urban #urbanstyle #flamingo #shirt #vienna #igersvienna #pop #popsinger #trap #trapbeats #popmusic #musicaustria,TUESDAYYY whats poppin🦦🦦🦦 i’ve been working on the ‚concept’ of my video and we are shooting in   first or second week of may. already checked some locations & props happyy  . . .                        ,,2021-04-20T15:46:19.000Z
