id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CKerZzhn7D9,https://www.instagram.com/p/CKerZzhn7D9/,43,,R.I.P Arik Brauer,,2021-01-25T19:15:53.000Z
CEFT9cSnCCW,https://www.instagram.com/p/CEFT9cSnCCW/,29,,„Nur die Liebe zählt“ ❤️❤️,,2020-08-19T19:41:40.000Z
CRbig97JaaU,https://www.instagram.com/p/CRbig97JaaU/,41,,Strawberry Lemonade at Vitamincek Bar Izola Geht!😍,,2021-07-17T13:40:16.000Z
CEI9g_wnR1B,https://www.instagram.com/p/CEI9g_wnR1B/,33,,Gin Tonic @ Marina Izola (Slovenia) sehr geiles Bild👏,,2020-08-21T05:42:30.000Z
CJLsISinT-M,https://www.instagram.com/p/CJLsISinT-M/,54,,Weihnachten mit Miss Rosy und Frog Super Foto 🐸🐸👍,,2020-12-24T13:45:16.000Z
CMKlP2Pn7kR,https://www.instagram.com/p/CMKlP2Pn7kR/,28,,Zum Weltfrauentag erinnere ich mich gerne an Johanna Dohnal - „Die Ikone der österreichischen Frauenbewegung“ Dm it👉  3M+,,2021-03-08T17:00:05.000Z
CIiz1DUnbZ5,https://www.instagram.com/p/CIiz1DUnbZ5/,41,,It‘s a cosy wine at home day,,2020-12-08T16:43:41.000Z
CSrSdHlKFY6,https://www.instagram.com/p/CSrSdHlKFY6/,,,Mojito @ Bau-Bar Primosten Lass es dir schmecken!!!!! Nicht nur diesen 😍 😂,,2021-08-17T13:01:51.000Z
CRHloB7B2i1,https://www.instagram.com/p/CRHloB7B2i1/,35,,Sunset Drink at Vitamincek Bar Izola Sieht nach einem gelungenen Abend aus🙌,,2021-07-09T19:42:38.000Z
CJf6s1JnghP,https://www.instagram.com/p/CJf6s1JnghP/,58,,the day after Silvester,,2021-01-01T10:17:24.000Z
CJvZ5fqnQf-,https://www.instagram.com/p/CJvZ5fqnQf-/,76,,Wenn der Postmann 3 mal klingelt - vielen Dank „Miss Rosy‘ für den tollen Gewinn. The Frog  freut sich schon auf einen Negroni mit Miss Rosy Sehr sehr gerne 🙏 genießt ihn 🥃,,2021-01-07T10:38:37.000Z
CJbwZMMHMTC,https://www.instagram.com/p/CJbwZMMHMTC/,54,,"Kostprobe für Silvester sieht aus wie feierwerk im Glas,  sehr cool👏 Very cool! Nice close up!",,2020-12-30T19:30:23.000Z
CNei2JVHn35,https://www.instagram.com/p/CNei2JVHn35/,22,,R.I.P.,,2021-04-10T07:35:18.000Z
CEQ884AHjzK,https://www.instagram.com/p/CEQ884AHjzK/,42,,Aperol Spritz @ Urbanis 1832 Trieste,,2020-08-24T08:11:30.000Z
CRJZcDZJYFI,https://www.instagram.com/p/CRJZcDZJYFI/,36,,Sex on the Beach at Svetilnik Beach Bar Izola Prost,,2021-07-10T12:34:37.000Z
CD9F5lbHqZ6,https://www.instagram.com/p/CD9F5lbHqZ6/,22,,Muskateller beim Stockingerhof in Dürnstein / Wachau - leider war Frog nicht dabei,,2020-08-16T15:04:53.000Z
CDhM6qwHBGP,https://www.instagram.com/p/CDhM6qwHBGP/,24,,Miss Rosy @ Platzhirsch,,2020-08-05T19:07:27.000Z
CSly85kK-lR,https://www.instagram.com/p/CSly85kK-lR/,9,,I am back - Marina Primosten,,2021-08-15T09:47:41.000Z
CN6Y3lHn5-6,https://www.instagram.com/p/CN6Y3lHn5-6/,31,,Die Gerechtigkeit hat gesiegt. 12 Geschworene haben ein Zeichen für „Black Lives Matter“ gesetzt,,2021-04-21T03:06:51.000Z
CEEUDWFnPID,https://www.instagram.com/p/CEEUDWFnPID/,25,,Reininghaus Bier @ „uptown bistro“ without the Frog,,2020-08-19T10:23:14.000Z
CNrP0XAHB6F,https://www.instagram.com/p/CNrP0XAHB6F/,25,,Bernie ist im Gefängnis gestorben. Mein Mitgefühl hält sich in Grenzen 🤥 R.I.H. 🔥,,2021-04-15T05:59:09.000Z
CN7rqSIHN7x,https://www.instagram.com/p/CN7rqSIHN7x/,50,,"Heute vor 5 Jahren hat Prince die Erde verlassen - ich hoffe wir sehen uns einmal wieder - Im Gedenken an die tolle Zeit, die ich mit den Songs von Prince erleben durfte - Du fehlst mir 😢 In Liebe dein größter Fan 😢 Mir fehlt er auch ❤️ Fantastischer Künstler!❤️ So gent es mir mit Chuck Berry 😩",,2021-04-21T15:10:18.000Z
CGZqbfVnScN,https://www.instagram.com/p/CGZqbfVnScN/,58,,Miss Rosy@myKitchen 🙌,,2020-10-16T10:25:36.000Z
CEAPQK3H4t4,https://www.instagram.com/p/CEAPQK3H4t4/,20,,The Frog @ 20.08.20 🥂👍💓,,2020-08-17T20:24:20.000Z
CEhfYkhHrTJ,https://www.instagram.com/p/CEhfYkhHrTJ/,57,,sunset drinks @ vitamincek beach bar (Izola Slovenia) great light😍 So schön! 😍,,2020-08-30T18:20:13.000Z
