community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 1,"['snow', 'skiing', 'mountains', 'sun', 'weather', 'beautiful', 'sunglasses']",43.875,k mean cluster 1,"['krisenmanagement', 'socialmediaauftritt', 'communitymanagement', 'socialmediamanager', 'arbeitsschutzmanagement']",6.875,levenshtein cluster 1,"['graz', 'great', 'grow', 'dream', 'brot', 'break', 'crazy', 'Graz']",18.0,community cluster 393,"['travel', 'nature', 'photography', 'fashion', 'instagood', 'coffee', 'break', 'art']",92.0
community cluster 2,"['snow', 'skiing', 'holiday', 'mountains', 'vacation', 'cat', 'sunglasses', 'croatia']",52.0,k mean cluster 2,"['weather', 'kesslercrane', 'nextlevel', 'reststop', 'herzklar', 'techleader', 'resilenz', 'nussfarm', 'nussoel', 'jerusalem', 'musslos', 'patissier', 'wasser', 'tester', 'yessafira', 'lesssugar', 'tierischer', 'jewellery', 'knowledge', 'köstlich', 'herbstbier', 'mikkeller', 'festbier', 'helles', 'teaser']",0,levenshtein cluster 2,"['summer', 'soccer', 'burger', 'yummi', 'yummy', 'sunset', 'kumberg', 'sommer', 'hunger']",35.875,community cluster 207,"['flowers', 'summervibes', 'sunnyday', 'marryicetea', 'christmastime', 'igersgraz', 'sunglasses', 'igersaustria']",86.0
community cluster 3,"['travel', 'cat', 'sun', 'vacation', 'beautiful', 'sunglasses', 'summer', 'venice']",60.0,k mean cluster 3,"['theniamexactlywhereineedtobe', 'SpectiveEarthianEternity']",3.5,levenshtein cluster 3,"['igergraz', 'igersgraz', 'igerslinz', 'cidergram', 'igerswien']",42.625,community cluster 1819,"['inspiration', 'summervibes', 'nature', 'outfit', 'art', 'flowerpower', 'igersaustria', 'spring']",86.0
community cluster 4,"['best', 'mountains', 'sun', 'beautiful', 'sunglasses', 'summer', 'great']",41.625,k mean cluster 4,"['manfrotto', 'ginandtonic', 'organiccotton', 'jadranskomore', 'schnittwoch', 'keramikstore', 'bergdoktor', 'konditor', 'juanamador', 'glaunandich', 'girlswithtattoos', 'zrmanjacanyon', 'zrmanjariver', 'girlsontour', 'traktor', 'enziangranatsteig', 'peanutbutter', 'urbanart', 'afghanistan']",0,levenshtein cluster 4,"['natur', 'winter', 'singer', 'wetter', 'nature', 'water', 'ingwer', 'mate', 'future']",40.25,community cluster 64,"['travelphotography', 'holiday', 'italy', 'love', 'photography', 'vacationmode', 'greece']",85.5
community cluster 5,"['best', 'travel', 'kroatien', 'sun', 'beautiful', 'summer', 'sea', 'venice']",51.0,k mean cluster 5,"['gottzuehrdemnächstenzurwehr', 'outdooradventures', 'JaPercebeuQueQuandoEuSorrio', 'femaleempowermentproject', 'worldwideadventures', 'ausdemgartenaufdenteller', 'austriaadventures']",11.25,levenshtein cluster 5,"['benq', 'dp', 'tarte', 'a7s', 'setup', 'startup', 'sun', 'stadt', 'startups']",30.625,community cluster 619,"['goodvibes', 'summervibes', 'sunday', 'friendship', 'weekendvibes', 'vacation', 'yummy', 'weekend']",85.0
community cluster 6,"['photooftheday', 'hiking', 'croatia', 'sun', 'pool', 'beautiful', 'summer', 'sea']",57.0,k mean cluster 6,"['travelcommunity', 'outdoorcommunity', 'diplomsommelier', 'vegancommunity']",6.0,levenshtein cluster 6,"['win', 'mut', 'jan', 'gin', 'fun', 'uk', 'hund', 'sun', 'funny']",42.0,community cluster 1182,"['music', 'photooftheday', 'holiday', 'love', 'tasty', 'instagood', 'goals', 'fun']",85.0
community cluster 7,"['view', 'holiday', 'spielberg', 'bay', 'nice', 'vacation', 'green', 'sea']",47.0,k mean cluster 7,"['brrrt', 'africa', 'pyramid', 'india', 'feuer', 'artist', 'YUMMY', 'vfxartist', 'arbeit', 'trump', 'frühstück', 'forest', 'fruits', 'split', 'freude', 'frauen', 'frausein', 'kürbis', 'fruitboom', 'fruitboomde', 'fruechte', 'frudist', 'frucht', 'frudism', 'driedfruits', 'portrait', 'farfetch', 'nofront', 'fit', 'blut', 'ansitz', 'nurmut', 'fresh', 'fruchtig', 'fruity', 'freitag', 'frisch', 'CLUSE', 'COFFEE', 'jumpsuit', 'portait', 'quiz', 'wholefruit', 'trust', 'fruhling', 'frisur', 'kraft', 'feethurt', 'prgirl', 'fachgruppeubit', 'first', 'COVID', 'fürmich', 'wirfürkurz', 'fernitz', 'ididit', 'Grapefruit', 'grapefruit', 'craft', 'flint', 'anuncio', 'moabit']",0,levenshtein cluster 7,"['pumps', 'sumpf', 'pop', 'sunny', 'yummi', 'curry', 'yummy', 'sun', 'funny']",32.375,,,
community cluster 8,"['photooftheday', 'hiking', 'croatia', 'instagood', 'sun', 'beautiful', 'great', 'summer']",59.0,k mean cluster 8,"['venice', 'nice', 'smile', 'family', 'office', 'cgi', 'cargirl', 'like', 'apple', 'grill', 'magazine', 'ice', 'acireale', 'dive', 'bowle', 'oscarwilde', 'style', 'otdmagazine', 'ajde', 'adobe', 'nike', 'gaypride', 'lgbtq', 'vanille', 'wolle', 'agave', 'live', 'candle', 'agilegraz', 'huila', 'bagels', 'langeweile', 'aeijst', 'uncle', 'magic', 'yasmintee', 'paradise', 'familie', 'pagisland', 'wagyubeef', 'time', 'attitude', 'magritte', 'teilen', 'pilze', 'allergie', 'ängste', 'juice', 'alsace', 'eisdiele', 'alley', 'stagbettle', 'paleale', 'apples', 'Ale']",0,levenshtein cluster 8,"['sundown', 'holidays', 'sunnydays', 'hund', 'holiday', 'sunday', 'funny', 'monday', 'friday']",39.375,,,
community cluster 9,"['view', 'holiday', 'bay', 'sun', 'nice', 'pool', 'vacation', 'cat']",53.0,k mean cluster 9,"['bookrecommendations', 'wiedereröffnungnachcorona', 'unternehmenskommunikation', 'corporatecommunication', 'corporatecommunications', 'externekommunikation', 'starkekommunikation', 'consumercommunication', 'eventkommunikation', 'wirliebenkommunikation', 'markenkommunikation', 'Businesskommunikation', 'erfolgreichekommunikation', 'krisenkommunikation']",3.5,levenshtein cluster 9,"['win', 'sea', 'cine', 'wine', 'gin', 'wein', 'sun', 'wien']",49.0,,,
community cluster 10,"['skiing', 'best', 'travelphotography', 'travel', 'tb', 'mountains', 'history', 'sun']",54.0,k mean cluster 10,"['idontneedbodyguards', 'dontworrybemarry', 'geniessereiammarkt', 'centerforamericanstudies', 'contemporaryvienna']",6.875,levenshtein cluster 10,"['Gewinnspiel', 'gewinnspiel']",28.0,,,
