UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
G4TV,@G4TV,2021-02-03T04:45:31.000Z,"Replying to 
@randy5572
 and 
@AustinCreedWins",tbh if you're a main character of a video game this is how you hold it,,1,1,76,[],https://twitter.com/G4TV/status/1356826123674345476
Tracey Lueders,@1PikaPein,2021-02-03T05:05:44.000Z,Also how a master of their craft represents themselves d Creed is a fantastic promo dude is full of passion... O yeah my guy is dope as hell n ring also! Swagger and always u have 2... #KeepItTight #uudd,,,,,,[],https://twitter.com/1PikaPein/status/1356831211306573827
sammy guevara,@sammyguevara,2021-02-02T18:01:03.000Z,"“4 dudes, 1 bathroom” - Vlog 305

 https://youtu.be/oKIG9g5WKUs",,▶,37,225,622,"['https://pbs.twimg.com/media/EtPWqRMXAAEpBHJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtPWqRTWgAMwe4L?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtPWqRTXAAEiAzg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtPWqRTXYAM7IaF?format=jpg&name=360x360']",https://twitter.com/sammyguevara/status/1356663939308871681
Tracey Lueders,@1PikaPein,2021-02-02T20:56:40.000Z,Jus still shocked that we have 2 Cody's!,,,,,2,[],https://twitter.com/1PikaPein/status/1356708133272436736
G4TV,@G4TV,2021-02-26T15:00:01.000Z,"Replying to 
@G4TV","Make sure to follow us to receive your prize!
Must be 18+ & in the U.S to be eligible to win! 
Full Rules ",➡,8,4,63,['https://pbs.twimg.com/card_img/1432102040235356166/Gw9ZR-iw?format=png&name=small'],https://twitter.com/G4TV/status/1365315691243597831
Tracey Lueders,@1PikaPein,2021-02-27T03:47:41.000Z,*clears throat*(pay no attention 2 last tweet lol) ANYWAY I used Pokemon 4 me and my wifes engagement and she still hasn't left me so BOOM! *cough cough* #B4G4 I'm still gettin used 2 Twitter again ok? Jeez,,,,,,[],https://twitter.com/1PikaPein/status/1365508880986476544
G4TV,@G4TV,2021-02-26T15:00:01.000Z,"EXCLUSIVE G4 T-SHIRT GIVEAWAY

Reply with #B4G4 and show me you are a fan of Pokémon without telling me you're a fan of Pokémon by EOD for a chance to win!",,👕 👕,309,48,440,[],https://twitter.com/G4TV/status/1365315689712615424
Tracey Lueders,@1PikaPein,2021-02-27T03:45:07.000Z,I used Pokemon 2 get engaged 2 my wife... And she still hasn't left me so BOOM!,,,,,,[],https://twitter.com/1PikaPein/status/1365508235747356672
sammy guevara,@sammyguevara,2021-02-21T03:28:56.000Z,"Everyone who subscribes gets a title shot! https://youtu.be/583YYy0Rgso

(
@callmekrisstat
 gets no title shot)",,,85,88,963,['https://pbs.twimg.com/media/EuuFQU1XAAAT43T?format=jpg&name=small'],https://twitter.com/sammyguevara/status/1363329831853838340
Tracey Lueders,@1PikaPein,2021-02-21T21:27:25.000Z,I mean I'm n Jax and we can do this thing... No handstands though might die,,,,,,[],https://twitter.com/1PikaPein/status/1363601242098970625
