UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-30T21:22:42.000Z,Stonks to the moon....,"Chief M2 on TikTok
#stockmarket #stock #doge #dogecoin #amc #gme #gamestop #crypto #wallstreetbets #invest
tiktok.com",,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1355627522952716296
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-23T02:26:27.000Z,Fuck your planet,,,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1352804862505971712
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-23T00:51:25.000Z,"For tomorrow at dawn, we hunt.",,,,,1,[],https://twitter.com/ASMRmoneystaxxx/status/1352780945091403782
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-15T00:24:10.000Z,I need a dog in my life bro..,"Manny Villanueva on TikTok
#gsd #germanshepherd #dogsoftiktok #puppylove #petsoftiktok #cheechandchong #2021 #fyp #foryourpage #dogslife #gsdpuppy #bestfriend
tiktok.com",,1,,,[],https://twitter.com/ASMRmoneystaxxx/status/1349874984223694849
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-29T20:58:50.000Z,Why is this hilarious to m3?,"MINI SUPERSTORE on TikTok
Reply to @michelletorrew thank u for your order#ps5 #iphone12 #apple #minisupermarket #minisuperstore #minis #tiktokdiy #foryoupage #typing #fyp
m.tiktok.com",✨,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1355259130940968961
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-16T22:08:00.000Z,Oh man I put the condom on inside out.,,,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1350565494693224448
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-16T12:29:39.000Z,The optics look crazy ,"Add your name on TikTok
#foryou #nurfgun #noveske
m.tiktok.com",🧐,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1350419947650953218
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-17T00:45:15.000Z,This nurse deserves our help,"Mei
@minato_mei
 · Jan 16
I haven’t bought new scrubs since 2019, it’s about time 
Show this thread",🍤 🙌,,,,"['https://pbs.twimg.com/profile_images/1340452117312487425/A3H_FzBJ_mini.jpg', 'https://pbs.twimg.com/media/Er4aP7vUYAAv8u0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Er4aP7vVoAEBqUk?format=jpg&name=360x360']",https://twitter.com/ASMRmoneystaxxx/status/1350605068257685507
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-16T12:30:23.000Z,These girls wild how they just appear ooutta nowhere ,"Scott Patrick on TikTok
#duet with @kungfushoe #snickers #sneakers #candy #fyp #foryoupage
m.tiktok.com",🤣,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1350420132741447686
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-16T09:24:41.000Z,"Me hosting a rave at my place in Boston for 
@kiwi_sunset
And friends","Jersey the Golden on TikTok
#jersey #goldenretrieverpuppy #goldenretrieverlife #goldenretriever
m.tiktok.com",,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1350373397402972160
First Squawk,@FirstSquawk,2021-01-14T22:09:44.000Z,BIDEN PLAN WOULD TOP UP LATEST $600 STIMULUS PAYMENTS BY $1400,,,9,24,130,[],https://twitter.com/FirstSquawk/status/1349841154481692673
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-15T00:27:55.000Z,I wish they paid us in bitcoin,,,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1349875928512557056
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-16T14:11:17.000Z,"Replying to 
@kiwithesmol",That looks so dope on you E-babe <3,,,,,[],https://twitter.com/ASMRmoneystaxxx/status/1350445522126057472
CosmicMistake,@KingRJ22,2021-01-17T01:26:49.000Z,Tucker missed???? ,,👀,3,,2,[],https://twitter.com/KingRJ22/status/1350615525626425344
Gary Peltonovich,@ASMRmoneystaxxx,2021-01-17T01:35:14.000Z,Looking at the weather patterns now,,,,,1,[],https://twitter.com/ASMRmoneystaxxx/status/1350617645335408640
