UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
A S Rai,@ASRai24991816,2021-06-12T04:14:11.000Z,"Replying to 
@majorgauravarya",Khanna wale ?,,,,,[],https://twitter.com/ASRai24991816/status/1403566275851284482
A S Rai,@ASRai24991816,2021-06-22T07:54:10.000Z,"Replying to 
@Arzookazmi30",Atibutiful,,,,,[],https://twitter.com/ASRai24991816/status/1407245514723135502
A S Rai,@ASRai24991816,2021-06-16T04:34:15.000Z,,,🙏 🙏 🙏,,,,['https://pbs.twimg.com/media/E3-jCpOVgAEPfCJ?format=jpg&name=small'],https://twitter.com/ASRai24991816/status/1405020877226315779
A S Rai,@ASRai24991816,2021-06-21T04:11:56.000Z,"                 *21 जून 2021*
  *[[मातृ देवो भव: पितृ देवो भव:]]*
                
*विश्व  योगा दिवस की शुभकामनाएं।*
                ",,🏆 🌈 🏆 🌈 🏆 🌈 🏆 🌈 🏆 🌻 🌻 🌻 ☘ ☘ ☘,,,,[],https://twitter.com/ASRai24991816/status/1406827197860483072
A S Rai,@ASRai24991816,2021-06-26T10:02:50.000Z,"*इस दुनिया में "" सफल "" होने का सबसे अच्छा तरीका है , उस "" सलाह ""  पर काम करना , जो आप "" दूसरों "" को देते हैं!*
                     
*समय से पहले बोले गए शब्द और मौसम से पहले तोड़े गए फल , दोनों ही व्यर्थ है मित्र",,⏰ ⏰ ⏰ 📚 ⏰ ⏰ 📚,,1,1,[],https://twitter.com/ASRai24991816/status/1408727446984171524
A S Rai,@ASRai24991816,2021-06-19T07:02:33.000Z,"Replying to 
@sanskrit4gkm
 and 
@Sanskritamritam",,,,,1,['https://pbs.twimg.com/media/E4OhwRoUUAYvI9z?format=jpg&name=small'],https://twitter.com/ASRai24991816/status/1406145361987522564
A S Rai,@ASRai24991816,2021-06-12T04:13:12.000Z,"Replying to 
@RealKhaanSir",Jai shri Ram,,,,2,[],https://twitter.com/ASRai24991816/status/1403566028831879172
A S Rai,@ASRai24991816,2021-06-22T08:01:22.000Z,"Replying to 
@realSonuNigam1",Yes,,,,2,[],https://twitter.com/ASRai24991816/status/1407247323986493442
A S Rai,@ASRai24991816,2021-06-05T09:07:33.000Z,"Replying to 
@sb_bharatiya",Sat partisan satya,,,,,[],https://twitter.com/ASRai24991816/status/1401103386481594374
A S Rai,@ASRai24991816,2021-06-15T17:19:13.000Z,"अशोक भटनागर 
९९१००१४११६
दिल्ली 110032",,,,,,[],https://twitter.com/ASRai24991816/status/1404850998619774977
