UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Aaliyah Whitmore,@AaliyahWhitmo18,2021-06-25T06:35:32.000Z,"Replying to 
@aubseniors21",We miss Hunter ,😭 😭 😭 😭,,,,[],https://twitter.com/AaliyahWhitmo18/status/1408312890071867398
Aaliyah Whitmore,@AaliyahWhitmo18,2021-07-01T01:40:37.000Z,"#love
#heartbroken 
Boys is jerk asshole.",,,,,1,[],https://twitter.com/AaliyahWhitmo18/status/1410412996191522816
Aaliyah Whitmore,@AaliyahWhitmo18,2021-07-18T00:52:29.000Z,"@ZGalbally
 tomorrow is your birthday. Happy birthday Zach",GIF,,,,,[],https://twitter.com/AaliyahWhitmo18/status/1416561480292569089
Mandy,@WWE_MandyRose,2021-07-19T00:44:03.000Z,Thank you all for the birthday wishes !! You guys are the best !!  #BLESSED #MITB,,💖 💖,487,636,13.8K,['https://pbs.twimg.com/media/E6nq0LnXsAMMW2N?format=jpg&name=small'],https://twitter.com/WWE_MandyRose/status/1416921744133271553
Aaliyah Whitmore,@AaliyahWhitmo18,2021-07-19T00:46:27.000Z,Happy birthday,,,,,,[],https://twitter.com/AaliyahWhitmo18/status/1416922348737998858
Aaliyah Whitmore,@AaliyahWhitmo18,2021-07-18T00:36:24.000Z,"Replying to 
@ZGalbally",Hi,,,,,[],https://twitter.com/AaliyahWhitmo18/status/1416557429781897217
Aaliyah Whitmore,@AaliyahWhitmo18,2021-07-18T21:47:10.000Z,"Replying to 
@lilsveti
 @lubricanne
 and 4 others",,🤤 💦 😋,,,1,[],https://twitter.com/AaliyahWhitmo18/status/1416877227648720902
Chase DeMoor,@ChaseDeMoor,2021-08-16T00:48:15.000Z,Is there a difference between spaghetti and lasagna?,,,9,1,46,[],https://twitter.com/ChaseDeMoor/status/1427069661267390473
Aaliyah Whitmore,@AaliyahWhitmo18,2021-08-17T05:45:59.000Z,Delicious Both are Italian food from Italy and Italian,,,,,,[],https://twitter.com/AaliyahWhitmo18/status/1427506977920495632
ZDOE,@ZGalbally,2021-08-14T21:05:55.000Z,age don’t make you grown a lot of y’all are kids fr,,🖤,1,1,3,[],https://twitter.com/ZGalbally/status/1426651322095394817
Aaliyah Whitmore,@AaliyahWhitmo18,2021-08-14T21:07:13.000Z,OK bro,,,,,1,[],https://twitter.com/AaliyahWhitmo18/status/1426651648944922624
Aaliyah Whitmore,@AaliyahWhitmo18,2021-08-24T09:04:41.000Z,"Replying to 
@ck_road
 and 
@PornhubModels",,🤤 🤤 🤤 🤤,,,,[],https://twitter.com/AaliyahWhitmo18/status/1430093695894892560
