UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T21:18:20.000Z,Fresh be what make #Drip wai,,,3,13,46,['https://pbs.twimg.com/media/EvbGvSBXAAIVBnl?format=jpg&name=small'],https://twitter.com/Accountbhim1/status/1366498061246152705
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T20:42:39.000Z,If you love stonebwoy say something nice under this post #Bhimnation,,,2,8,37,['https://pbs.twimg.com/media/Eva-knoXAAAaxbY?format=jpg&name=small'],https://twitter.com/Accountbhim1/status/1366489081744662532
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T17:28:47.000Z,Please we need ambulance  for this guy after dancing,,🚑,,4,5,['https://pbs.twimg.com/ext_tw_video_thumb/1366440146246258690/pu/img/3Fyr0y40RRosXoE8.jpg'],https://twitter.com/Accountbhim1/status/1366440292140875777
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T22:51:09.000Z,"h This year ankasa the collaboration go over 
@stonebwoyb
 big time just listen to this verse Charlie stonebwoy any day the girl be too much 
@whoiskaylan
  ttps://twitter.com/kwesiriley_/status/1366383325145890818/video/1","From 
𝒔𝒐𝒏 𝒐𝒇 𝒈𝒓𝒂𝒄𝒆",🌎,,14,30,['https://pbs.twimg.com/ext_tw_video_thumb/1366383255692468227/pu/img/f2P2AIX54X3-gM5V.jpg'],https://twitter.com/Accountbhim1/status/1366521416129122306
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T23:27:37.000Z,You too fine ur mama born you well,"ENISA
@IAmENISA
 · Mar 1
Here’s my face ",🥰,,,1,"['https://pbs.twimg.com/profile_images/1401799904662523906/5W0_svTd_mini.jpg', 'https://pbs.twimg.com/media/EvaLPkdXMAEY6_X?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvaLPkKXAAQhXS_?format=jpg&name=360x360']",https://twitter.com/Accountbhim1/status/1366530595837399049
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T20:39:52.000Z,The girl in the black wow trumu pants,"Akosua Amoabea
@akosua_amoabea
 · Mar 1
#Drip ",😅 ❤ 📌 📌 📌,,,1,"['https://pbs.twimg.com/profile_images/1433334513074163713/8OHkENFU_mini.jpg', 'https://pbs.twimg.com/media/EvazhJZWQAoA5dp?format=jpg&name=small']",https://twitter.com/Accountbhim1/status/1366488380037554183
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T20:43:58.000Z,"Follow 
@27Sabato
 for quick follow back",,,1,4,18,[],https://twitter.com/Accountbhim1/status/1366489413157543939
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T21:30:02.000Z,"I miss 
@iamedem
 from 2006 -2010 Charlie Edem get hits songs he a legend.",,,,4,8,[],https://twitter.com/Accountbhim1/status/1366501004217356290
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T22:32:45.000Z,Today midnight data de3 pono nkoaaaa ooo no dulling kraaaa xxnx I love that site ,,😂 😂 😂 😂,2,1,3,[],https://twitter.com/Accountbhim1/status/1366516787467218949
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T23:54:34.000Z,And u Dey talk about Barcelona hmmm this life errr,"Stonebwoy Ba Jesky
@daustedkhid
 · Mar 2
Replying to @Accountbhim1 @27Sabato and 6 others
Manchester United ",🚀 ❤ ❤ ❤ ❤ ❤ ❤,1,1,3,['https://pbs.twimg.com/profile_images/1434166226415140864/nDxvw0QK_mini.jpg'],https://twitter.com/Accountbhim1/status/1366537376080756737
BHIMNATION SAVAGE GUY,@Accountbhim1,2021-03-01T20:50:27.000Z,"Charlie 
@ImEfiaMenish1
 ein body de3 gyae ooo hips my messi I go marry am one day ",,😁 😁,,2,5,[],https://twitter.com/Accountbhim1/status/1366491043336708100
