UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Maurielle Lue,@MaurielleFOX2,2021-01-07T01:51:36.000Z,"I started #DryJanuary today .... 

I  ended Dry January today ",,🥴,37,9,261,[],https://twitter.com/MaurielleFOX2/status/1346997885443862532
Adam Orr,@Adamorr22,2021-01-07T02:23:53.000Z,Great effort though..,,,,,,[],https://twitter.com/Adamorr22/status/1347006009873731589
Mike Sullivan,@MikeSullivan,2021-01-02T15:02:22.000Z,Best gas station restaurant in Michigan? Go....,,,175,14,48,[],https://twitter.com/MikeSullivan/status/1345384947205484546
Adam Orr,@Adamorr22,2021-01-02T15:35:12.000Z,13 and Woodward Schwarmas,,,,,1,[],https://twitter.com/Adamorr22/status/1345393213457256451
Brad Galli,@BradGalli,2021-01-23T00:16:13.000Z,"In 2020, Green Lantern Pizza became one of our family’s favorites. 

My only regret is that it took so long to start eating it. ",,😋,30,6,292,['https://pbs.twimg.com/media/EsYDChEXcAA8pWw?format=jpg&name=small'],https://twitter.com/BradGalli/status/1352772085672800256
Adam Orr,@Adamorr22,2021-01-23T00:29:55.000Z,"I see you! 
@BradGalli
 @GLPizza
 .. the best!",,,1,,5,['https://pbs.twimg.com/media/EsYGLQ_XEAAK59P?format=jpg&name=small'],https://twitter.com/Adamorr22/status/1352775534015619073
Cora Jade,@CoraJadeWWE,2021-01-03T05:38:24.000Z,McDonald’s has the best fast food fries. Wendys has the absolute worst. Thoughts?,,,668,132,1.5K,[],https://twitter.com/CoraJadeWWE/status/1345605410229788678
Adam Orr,@Adamorr22,2021-01-03T17:09:11.000Z,"@Arbys
 great too..",,,,,,[],https://twitter.com/Adamorr22/status/1345779251656740871
Mike Sullivan,@MikeSullivan,2021-01-28T19:36:58.000Z,"Very generous drop-off by 
@MonsterEnergy
 at our office today! Thanks again... 

Who wants one!?",,🔥,29,,75,['https://pbs.twimg.com/media/Es18qe5XcAYjBgl?format=jpg&name=small'],https://twitter.com/MikeSullivan/status/1354876138313699341
Green Lantern Pizza,@GLPizza,2021-01-21T01:15:23.000Z,"Replying to 
@stoolpresidente",,,3,,21,['https://pbs.twimg.com/tweet_video_thumb/EsN9Z5cXAAUSDId.jpg'],https://twitter.com/GLPizza/status/1352062202686152708
Adam Orr,@Adamorr22,2021-01-21T01:41:24.000Z,,,,1,,2,['https://pbs.twimg.com/media/EsODWuDXUAgdsWl?format=jpg&name=small'],https://twitter.com/Adamorr22/status/1352068748069498882
Adam Orr,@Adamorr22,2021-01-19T01:28:59.000Z,"Replying to 
@CumminsChanning
 @MDGolfers
 and 
@JRoseWXYZ","@TheFortressGolf
 @FrankenmuthCity",,2,,,['https://pbs.twimg.com/media/EsDtVnWWMAEicjq?format=jpg&name=small'],https://twitter.com/Adamorr22/status/1351340848269680643
Adam Orr,@Adamorr22,2021-01-05T13:20:00.000Z,"Replying to 
@WhiskeyRiff","@ericchurch
 Desperate Man",,,,,[],https://twitter.com/Adamorr22/status/1346446349932359681
Adam Orr,@Adamorr22,2021-01-21T20:07:17.000Z,"Replying to 
@wxyzalicia",@GLPizza,,1,,2,[],https://twitter.com/Adamorr22/status/1352347054559932416
