UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Foot Locker Women,@FootLockerWomen,2021-07-15T01:03:19.000Z,Guarantee the W! Reply to this tweet by 10:30pm EST with your favorite sneaker of all time and 10 lucky winners will be randomly selected to receive a Foot Locker Golden Ticket to be redeemed for a future 2021 release of their choice! #FLHomeGame,,,690,75,274,['https://pbs.twimg.com/media/E6TIXYAWYA0YPYh?format=jpg&name=small'],https://twitter.com/FootLockerWomen/status/1415477042322317316
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T01:13:36.000Z,Nike air max 270,,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415479630740574213
Foot Locker Women,@FootLockerWomen,2021-07-15T01:08:32.000Z,"Ok we have one more prize, but can we just acknowledge how amazing this W all star game has been? These women have balled out! #FLHomeGame",,,67,35,179,[],https://twitter.com/FootLockerWomen/status/1415478353071644672
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T01:15:05.000Z,I had a amazing time!!,,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415480001307230211
Foot Locker,@footlocker,2021-07-09T02:52:01.000Z,For the love of the game! Reply to this tweet letting us know why you love basketball and 9 winners will be randomly selected to win a $500 FOOT LOCKER GIFT CARD! Entries due by 11:20pm EST *US ONLY* #FLHomeGame,,,802,100,319,['https://pbs.twimg.com/media/E50oEwDWYAgcE2Y?format=jpg&name=small'],https://twitter.com/footlocker/status/1413330070803001345
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T00:26:02.000Z,It's so fun and exciting to watch!!,,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415467657713815558
Foot Locker Women,@FootLockerWomen,2021-07-15T00:24:38.000Z,"If you won a $500 FL Gift Card, would you spend it all on yourself or share the love? No judgment  Reply to this tweet with your answer by 9:00pm EST for a chance to be 1 of 9 people randomly selected to win a $500 FL gift card! #FLHomeGame",,😂,707,78,256,['https://pbs.twimg.com/media/E6S_0t3WUAAn2ER?format=jpg&name=small'],https://twitter.com/FootLockerWomen/status/1415467304066945024
Foot Locker Women,@FootLockerWomen,2021-07-15T00:54:40.000Z,"The 
@maniere_USA
 AJ3s are inspired by a mother's wisdom. Reply to this tweet by 10:20pm EST with something your mom taught you for a chance to be 1 of 3 people who are randomly selected to win a pair of the A Ma Maniere 3s from 
@jumpman23
! #FLHomeGame",,,654,82,347,['https://pbs.twimg.com/media/E6TGwZYWUAQTgna?format=jpg&name=small'],https://twitter.com/FootLockerWomen/status/1415474865616965638
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T00:57:07.000Z,How to care and respect others,,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415475480883519489
Foot Locker Women,@FootLockerWomen,2021-07-15T00:48:55.000Z,"Breanna is ballin! In the season 
@breannastewart
 won MVP, what was the most amount of points she scored in a game? First 4 people to reply to this thread with the correct answer win a Stewie jersey! #FLHomeGame",,,188,16,73,['https://pbs.twimg.com/media/E6TFX4mWEAIFF9A?format=jpg&name=small'],https://twitter.com/FootLockerWomen/status/1415473418611404808
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T00:52:20.000Z,26 points,,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415474277143437313
Foot Locker Women,@FootLockerWomen,2021-07-15T00:56:46.000Z,"Our girl 
@tyoung11
 may have retired, but her fit game is timeless! First person to respond with the name of the shoes she's wearing in her IG post from May 28, 2021 wins a pair of 
@reebok
 Question Lows, SIGNED by Ty! #FLHomeGame",,,131,18,75,['https://pbs.twimg.com/media/E6THUuQXoAIQddJ?format=jpg&name=small'],https://twitter.com/FootLockerWomen/status/1415475394518687748
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T01:18:24.000Z,Reebok,,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415480835218812932
Amy Morgenstern,@AmyMorgenstern2,2021-07-15T00:55:44.000Z,"Replying to 
@FootLockerWomen",Yes,,,,,[],https://twitter.com/AmyMorgenstern2/status/1415475133381107713
Amy Morgenstern,@AmyMorgenstern2,2021-08-04T15:23:47.000Z,"Replying to 
@rayhigdon",,,,,,['https://pbs.twimg.com/profile_images/1396122049869930499/c0cDbps-_mini.jpg'],https://twitter.com/AmyMorgenstern2/status/1422941342599102476
