UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Charlyn Andilab,@AndilabCharlyn,2021-05-23T23:59:19.000Z,https://youtu.be/RWFw0TdA-hc,,,,,,[],https://twitter.com/AndilabCharlyn/status/1396616766306983937
Charlyn Andilab,@AndilabCharlyn,2021-05-24T00:17:37.000Z,Emanethttps://youtu.be/1YpvP7HDkqc,,,,,,[],https://twitter.com/AndilabCharlyn/status/1396621369970884610
Bestfriend Jollibee,@Jollibee,2021-08-07T07:00:00.000Z,More pies mean more people to share with! Order the Ube Cheese Pie now via the Jollibee App.,,,7,25,76,"['https://pbs.twimg.com/media/E7x6LwnVIAAdh2Z?format=jpg&name=small', 'https://pbs.twimg.com/media/E7x6LwnVkAAKIKH?format=jpg&name=small']",https://twitter.com/Jollibee/status/1423901723781959683
Charlyn Andilab,@AndilabCharlyn,2021-08-09T21:37:38.000Z,Love,,,,,1,[],https://twitter.com/AndilabCharlyn/status/1424847364951396352
Marsha Warcop,@MarshaWarcop,2021-08-02T16:17:07.000Z,"Does Maya look good in this hat? 
@EASTCOASTLIFEST",,,1,,5,['https://pbs.twimg.com/media/E7zGnFaWUAQwbel?format=jpg&name=small'],https://twitter.com/MarshaWarcop/status/1422229987864809484
Charlyn Andilab,@AndilabCharlyn,2021-08-02T23:49:36.000Z,Hi Baby,,,,,1,[],https://twitter.com/AndilabCharlyn/status/1422343860819161088
Jollibee,@JollibeeUSA,2021-08-23T15:02:51.000Z,"Replying to 
@AndilabCharlyn
 and 
@Jollibee",Hi there! We have multiple locations in California. Find out which one is nearest you at,🐝,1,,2,[],https://twitter.com/JollibeeUSA/status/1429821443089604614
Charlyn Andilab,@AndilabCharlyn,2021-08-24T02:22:53.000Z,Thank you,,,,,1,[],https://twitter.com/AndilabCharlyn/status/1429992577630052360
Charlyn Andilab,@AndilabCharlyn,2021-08-05T00:02:31.000Z,Eģghttps://twitter.com/takeaDailybreak/status/1400565457099399169?s=09,,,1,,,[],https://twitter.com/AndilabCharlyn/status/1423071884875239430
Charlyn Andilab,@AndilabCharlyn,2021-08-05T00:02:31.000Z,Egg,,,,,,[],https://twitter.com/AndilabCharlyn/status/1423071886448070661
Charlyn Andilab,@AndilabCharlyn,2021-08-19T01:28:13.000Z,"Replying to 
@Jollibee",Sana mayron sa USA California,,1,,3,[],https://twitter.com/AndilabCharlyn/status/1428166883233046531
Juan Geraldo,@DalivaGerald,2021-08-01T05:09:02.000Z,"Dahil bitin ang lunch. To the resque si 
@Jollibee",,,2,1,20,['https://pbs.twimg.com/media/E7rkIdDVEAIZ0hH?format=jpg&name=small'],https://twitter.com/DalivaGerald/status/1421699469477769216
Charlyn Andilab,@AndilabCharlyn,2021-08-09T21:42:06.000Z,Waw Love Jollibee Spaghetti Coke Float,,,,,,[],https://twitter.com/AndilabCharlyn/status/1424848488597123077
