UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ankur Bhutani,@AnkurBhutaniIND,2021-01-27T13:00:04.000Z,"Replying to 
@yadavakhilesh",May your holy soul rest in peace ASAP (Toti Chor) ,🙏,,,,[],https://twitter.com/AnkurBhutaniIND/status/1354413868987027460
Ankur Bhutani,@AnkurBhutaniIND,2021-01-27T13:05:53.000Z,"Replying to 
@JainKiran6",100%  Ayervedic Ilaj Without Surgery Results 100%,,,,1,[],https://twitter.com/AnkurBhutaniIND/status/1354415333109428224
Er Aijaz Hussain,@IAmErAijaz,2021-01-25T16:58:35.000Z,Anyone in my friend list who can help me in writing the posts in Hindi.,,🙏,270,239,2.7K,[],https://twitter.com/IAmErAijaz/status/1353749115679608833
Ankur Bhutani,@AnkurBhutaniIND,2021-01-25T17:44:43.000Z,Use Google translator,,,,,,[],https://twitter.com/AnkurBhutaniIND/status/1353760725307539457
Arif Aajakia,@arifaajakia,2021-01-25T19:22:40.000Z,"Happy Republic day to every one with the DNA of Bhaarat...
Bhaarat Maata ki jai..
#Vandemataram 
#RepublicDay 
#JaiHind 
#JaiShriRam",,,316,1.5K,11.3K,['https://pbs.twimg.com/media/Esmcn1GXEAAUC2I?format=jpg&name=small'],https://twitter.com/arifaajakia/status/1353785377732096002
Ankur Bhutani,@AnkurBhutaniIND,2021-01-26T05:36:29.000Z,Happy Republic Day Sir  ,,🙏,,,,[],https://twitter.com/AnkurBhutaniIND/status/1353939848286101504
Indigenous,@captsinghjs,2021-01-25T17:01:43.000Z,"Sep Gurtej Singh of 3 Punjab , the warrior has been awarded Vir Chakra Posthumously for his tenacious approach and indomitable courage displayed during Galwan Valley clash with PLA.",,,65,708,3K,"['https://pbs.twimg.com/media/Esl8WPyW8AUUsz6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Esl8WPqXAAMU5gv?format=jpg&name=240x240']",https://twitter.com/captsinghjs/status/1353749905987272705
Ankur Bhutani,@AnkurBhutaniIND,2021-01-25T17:53:28.000Z,"  
Salute to the brave, Nation will always be grateful for your supreme sacrifice   Jai Hind ",,🙏 🙏 🙏 🙏,,,1,[],https://twitter.com/AnkurBhutaniIND/status/1353762927761756160
Imtiyaz Hussain,@hussain_imtiyaz,2021-01-24T17:05:09.000Z,"Srinagar, Kashmir after fresh snow fall yesterday.  SheikhDanish",,📸,38,211,2.8K,['https://pbs.twimg.com/media/EsgziGxVoAAmZwd?format=jpg&name=small'],https://twitter.com/hussain_imtiyaz/status/1353388380021682176
Sukhpreet singh,@sukh_slatch,2021-01-23T19:52:59.000Z,"Influenced by the langar system, the young Christian boy converted to Sikhism.
We do not forcibly convert people, people themselves are influenced by Sikhism and our religious maryada (rules and norms)
(Part-1)",,♥,7,66,151,['https://pbs.twimg.com/ext_tw_video_thumb/1353067980431650822/pu/img/wB7Ij_SBgCzjdzdn.jpg'],https://twitter.com/sukh_slatch/status/1353068231745933313
