UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BlindingHalo525,@BHalo525,2021-01-16T05:42:32.000Z,I decided to reflim my crafting dead series with a better mod https://youtu.be/IHSXPqRGBhs,,,,,,[],https://twitter.com/BHalo525/status/1350317492380573699
NDV Games,@NdvGames,2021-01-16T04:43:22.000Z,Have a good weekend everyone! ,,🙂,2,2,3,[],https://twitter.com/NdvGames/status/1350302603033407488
BlindingHalo525,@BHalo525,2021-01-16T04:43:56.000Z,You Too NDV,,,,,1,[],https://twitter.com/BHalo525/status/1350302743160827909
NDV Games,@NdvGames,2021-01-26T00:08:11.000Z,"Lets go! 12,000 Subscribers on YouTube! Thank you for all the support everyone ",,🥳 🙂,2,1,3,[],https://twitter.com/NdvGames/status/1353857230576242694
BlindingHalo525,@BHalo525,2021-01-26T00:09:59.000Z,It was a great honor to be apart of that journey NDV,,,,,,[],https://twitter.com/BHalo525/status/1353857680088117248
BlindingHalo525,@BHalo525,2021-03-10T20:44:48.000Z,I just found out my warzone report,,,,,1,['https://pbs.twimg.com/media/EwJVYBuXIAAWl3J?format=jpg&name=medium'],https://twitter.com/BHalo525/status/1369751110672658435
BlindingHalo525,@BHalo525,2021-03-15T00:55:18.000Z,Im Live On Twitch Playing Some HardPoint in Modern Warfare,"blindinghalo2004 - Twitch
Small Streamer and YouTuber
twitch.tv",,,,1,[],https://twitter.com/BHalo525/status/1371263702901661704
BlindingHalo525,@BHalo525,2021-03-09T01:12:44.000Z,"Congratulations on 13k 
@NdvGames
 Keep Up The Good Work",,,1,,1,[],https://twitter.com/BHalo525/status/1369093763142914050
BlindingHalo525,@BHalo525,2021-03-20T13:40:52.000Z,"Two Years Ago Today On March 20, 2019 I Uploaded My Very First YouTube Video and Began My Very Awesome Journey On YouTube",,,,,,[],https://twitter.com/BHalo525/status/1373268304727576585
NDV Games,@NdvGames,2021-03-23T19:43:07.000Z,Got my first SnD Ace! So pumped right now,,,2,,2,[],https://twitter.com/NdvGames/status/1374446629361610752
BlindingHalo525,@BHalo525,2021-03-23T19:47:25.000Z,Awesome,,,,,,[],https://twitter.com/BHalo525/status/1374447711332667401
