UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joey Gase Racing,@JoeyGaseRacing,2021-01-14T18:28:36.000Z,Our kids are nuts lol,"0:17
512 views",,5,1,45,[],https://twitter.com/JoeyGaseRacing/status/1349785503453818891
Barry Massa,@BarryCMassa,2021-01-15T12:41:25.000Z,I think that's Bam Bam from the Flintstones.,,,,,1,[],https://twitter.com/BarryCMassa/status/1350060519768682497
Lance McAlister,@LanceMcAlister,2021-01-28T23:35:21.000Z,"Would you deal your 5th OF (Aristides Aquino) for your Opening Day SS (Amed Rosario)....at salary of $2.4M? 
Potentially a 1-year bridge to Jose Garcia w/ option to walk away from him after 2021.
Thoughts?
#Reds",,,128,12,213,[],https://twitter.com/LanceMcAlister/status/1354936130811162627
Barry Massa,@BarryCMassa,2021-01-29T00:08:42.000Z,No brainer.,,,,,,[],https://twitter.com/BarryCMassa/status/1354944521382080519
Diane Massa,@DianeMassa5,2021-01-28T01:32:34.000Z,"In honor of national spouses day. My much better half ⁦
@BarryCMassa
⁩",,,1,,4,['https://pbs.twimg.com/media/EsyEd4jWMAQx1UX?format=jpg&name=small'],https://twitter.com/DianeMassa5/status/1354603241741438980
Barry Massa,@BarryCMassa,2021-01-28T02:38:41.000Z,Thanks hon. 33 years and counting. It's been fun.,,,,,2,[],https://twitter.com/BarryCMassa/status/1354619879228366849
Barry Massa,@BarryCMassa,2021-01-04T02:29:33.000Z,"Replying to 
@LndsPatterson",I trust your judgment.,,,,,[],https://twitter.com/BarryCMassa/status/1345920273170755589
Barry Massa,@BarryCMassa,2021-01-11T20:01:33.000Z,"Each butterfly represents an organ or tissue donor 
@LifeCenterCincy
 during 2020. Despite the pandemic, because of these donor's and their family's generosity,  more lives were saved through organ and tissue donation than in anytime in our history.",,,,1,3,['https://pbs.twimg.com/media/ErefQ_ZWMAAaffK?format=jpg&name=small'],https://twitter.com/BarryCMassa/status/1348721730349658115
Marisa Contipelli,@BengalsMarisa,2021-01-03T21:05:16.000Z,"Head Coach Zac Taylor: ""We're a better team than what we showed today.""",,,53,11,80,[],https://twitter.com/BengalsMarisa/status/1345838663591227394
Barry Massa,@BarryCMassa,2021-01-03T21:36:50.000Z,"After 2 games with lots of energy,  had zero energy or swagger today. Played like they wanted to just get the season over. Disappointing.",,,,,1,[],https://twitter.com/BarryCMassa/status/1345846608324423682
Lindsay Patterson,@LndsPatterson,2021-01-04T13:56:15.000Z,"Replying to 
@LanceMcAlister",Lance I’m so sorry to hear this. Keeping your family in my prayers. ,❤,1,,6,[],https://twitter.com/LndsPatterson/status/1346093085588127746
Barry Massa,@BarryCMassa,2021-01-04T16:50:52.000Z,My thoughts and prayers are with you and your family.,,,,,,[],https://twitter.com/BarryCMassa/status/1346137029298581504
Lindsay Patterson,@LndsPatterson,2021-01-03T19:17:27.000Z,I wish it was an NFL rule in Week 17 if you’re out of the playoffs you have to go for it on 4th and inches.,,,13,9,148,[],https://twitter.com/LndsPatterson/status/1345811528612794368
Barry Massa,@BarryCMassa,2021-01-03T19:21:57.000Z,Why not be aggressive? Bengals have nothing to lose at this point.,,,1,,,[],https://twitter.com/BarryCMassa/status/1345812661481697280
Tony Welty,@welty_a,2021-01-15T13:45:31.000Z,"Replying to 
@CoachKamC",Take Zach Wilson and find a trade partner ASAP. Someone will want him.,,1,,,[],https://twitter.com/welty_a/status/1350076650160009224
Barry Massa,@BarryCMassa,2021-01-15T15:54:52.000Z,Best available OL or Micah Parsons of Penn State to help D.,,,,,,[],https://twitter.com/BarryCMassa/status/1350109202677694464
Barry Massa,@BarryCMassa,2021-01-17T20:06:59.000Z,"Replying to 
@__mattbyrne
 and 
@mahad_minhas",Repossessed cars for a bank,,,,1,[],https://twitter.com/BarryCMassa/status/1350897427054788615
Lindsay Patterson,@LndsPatterson,2021-01-04T00:46:12.000Z,Joe Burrow reuniting with Ja’Marr Chase wouldn’t be a bad thing for the Bengals offense (we will have to say this a couple times. The Bengals can fix the offensive line in the draft and FA),"Andre Perrotta
@andreperrotta13
 · Jan 4
Way too early Top-5 prediction:

1.) Jags - Trevor Lawrence
2.) Jets - Justin Fields
3.) Dolphins - Penei Sewell
4.) Falcons - Zach Wilson
5.) Bengals - Ja'Marr Chase",,16,1,52,['https://pbs.twimg.com/profile_images/3564915362/84d8d58a503eae73c0bba1d3fa4925ad_mini.jpeg'],https://twitter.com/LndsPatterson/status/1345894264098729990
Barry Massa,@BarryCMassa,2021-01-04T02:14:31.000Z,Bypass Devonta Smith for Chase? Hmm.,,,1,,,[],https://twitter.com/BarryCMassa/status/1345916488608337922
Lindsay Patterson,@LndsPatterson,2021-01-05T15:45:05.000Z,If they sign a talented/experienced guard in FA that would make a lot of fans happy.,"Lindsay Patterson
@LndsPatterson
 · Jan 5
Say Bengals go Ja’Marr Chase with the 5th pick. Heavy on O-line in FA, re-sign Lawson and add to the d-line and defense in the draft. How would that make you feel?
Show this thread",,8,,20,['https://pbs.twimg.com/profile_images/1181755109069529088/sFNWSTAW_mini.jpg'],https://twitter.com/LndsPatterson/status/1346482860681793536
Barry Massa,@BarryCMassa,2021-01-05T17:13:58.000Z,Who are the OL that will be free agents?  What about D-lineman and WR's?,,,,,,[],https://twitter.com/BarryCMassa/status/1346505232684097537
Syed A. Ahmad,@SyedAAhmad5,2021-02-05T15:48:54.000Z,One of the cartoons I loved reading growing up was the Far Side. Here is a great one.,,,2,2,19,['https://pbs.twimg.com/media/EteVLrbVcAAd_84?format=jpg&name=small'],https://twitter.com/SyedAAhmad5/status/1357717844725760000
Barry Massa,@BarryCMassa,2021-02-05T16:56:09.000Z,This is the funniest Far Side comic for me.,,,1,1,3,['https://pbs.twimg.com/media/EteklBNXcAIWVdO?format=jpg&name=900x900'],https://twitter.com/BarryCMassa/status/1357734772127240192
Barry Massa,@BarryCMassa,2021-02-13T16:37:45.000Z,"After our niece Marissa asking me to marry her over a year ago, yesterday she became Mrs. Marissa Siegel. Very honored to officiate.",,,,1,5,"['https://pbs.twimg.com/media/EuHtFLdXYAAzfli?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EuHtFfPXABAHUuI?format=jpg&name=360x360']",https://twitter.com/BarryCMassa/status/1360629245190496258
Barry Massa,@BarryCMassa,2021-02-20T00:21:08.000Z,Doesn't everyone in Cincy?,"Cincy Shirts
@CincyShirts
 · Feb 20
RT if you own a Cincy Shirts tee.",,1,,3,['https://pbs.twimg.com/profile_images/1423288382461857799/07wX210D_mini.jpg'],https://twitter.com/BarryCMassa/status/1362920184714059776
Local 12/WKRC-TV,@Local12,2021-02-08T00:02:25.000Z,"What did you think of the National Anthem on a scale of 1 (poor) to 10 (excellent)?

Eric Church and Jazmine Sullivan performed before the #SuperBowl.",,,56,4,62,['https://pbs.twimg.com/media/EtqZSwWWgAINIbh?format=jpg&name=small'],https://twitter.com/Local12/status/1358566820219932673
Mo Egger,@MoEgger,2021-02-09T17:22:44.000Z,Yes. Rob Manfred is incompetent.,"FOX Sports: MLB
@MLBONFOX
 · Feb 9
MLB will bring back 7-inning doubleheaders & a runner will start on 2nd base in extra innings in 2021.

There will be no expanded playoffs or universal DH. 

Thoughts?",,38,36,330,"['https://pbs.twimg.com/profile_images/1351632023547482114/Cey9cLde_mini.jpg', 'https://pbs.twimg.com/media/EtzF9fdWQAAF2nE?format=jpg&name=small']",https://twitter.com/MoEgger/status/1359191011654856709
Barry Massa,@BarryCMassa,2021-02-09T18:55:45.000Z,Which is why baseball will slip below MLS soccer in ratings within a few years. MLS knows its audience.,,,1,,1,[],https://twitter.com/BarryCMassa/status/1359214421239865352
Tony Welty,@welty_a,2021-02-26T16:21:05.000Z,"@BarryCMassa
  I remember watching this game @ your house on South Rd.","Nick Kirby
@Nicholaspkirby
 · Feb 26
#34 - May 7, 2013: Reds were down 4-3 with 2 outs in the bottom of the 9th. They were facing Craig Kimbrel, who at that point was the most dominant pitcher in baseball. 

Devin Mesoraco & Shin-Soo Choo stunned the baseball world. 

#Top100Reds",,1,,,"['https://pbs.twimg.com/profile_images/1138451508222189572/yANoOeVK_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1359181231766855686/pu/img/OE6qLWiYZ7Ook1wt.jpg']",https://twitter.com/welty_a/status/1365336089112834050
Barry Massa,@BarryCMassa,2021-02-26T17:03:12.000Z,Too fun.,,,,,,[],https://twitter.com/BarryCMassa/status/1365346691910672385
