UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Brandi Barnett,@BeeBarnett18,2021-01-27T18:17:22.000Z,Lunch #peachcobbler,,,,,,['https://pbs.twimg.com/media/Eswg2KIXAAU2uut?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1354493720427687936
Brandi Barnett,@BeeBarnett18,2021-01-29T21:24:55.000Z,"The makings of 
@TheAmandaGorman
 #schoolcounselor #counselorbee #inclusionanddiversity #iread #writers",,,,,2,['https://pbs.twimg.com/media/Es7e9XUXYAQByGi?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1355265691696422924
Brandi Barnett,@BeeBarnett18,2021-01-29T00:45:53.000Z,Job well done... faithful servant!,,,,,,['https://pbs.twimg.com/media/Es3DXTMXYAoRG6V?format=jpg&name=900x900'],https://twitter.com/BeeBarnett18/status/1354953880635928578
Brandi Barnett,@BeeBarnett18,2021-01-29T00:45:27.000Z,Book arrived today?! Kiss my grandma for me Ms. Cicely Tyson! ,,🕊,,,,['https://pbs.twimg.com/media/Es3DQ5rXIAMmRNw?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1354953769784635407
Brandi Barnett,@BeeBarnett18,2021-01-25T01:43:55.000Z," “ɪ ɢᴏᴛ ᴘᴇᴏᴘʟᴇ ɪɴ ᴍʏ ʙᴜꜱɪɴᴇꜱꜱ, ʙᴜᴛ ᴅɪᴅɴ’ᴛ ꜱᴜᴘᴘᴏʀᴛ ᴍʏ ʙᴜꜱɪɴᴇꜱꜱ...”- ʙɪɢ ꜱᴇᴀɴ

•Small business owner isn’t for everybody #goatyourownspeed
•You can’t force sales (even from family or friends) 
•Use emails gently 
•Have fun & be open",,🎶,1,1,2,['https://pbs.twimg.com/media/EsiqSqKXEAApZp_?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1353518931697348608
TasharaTakesTexas,@TasharaParker,2021-01-26T11:36:26.000Z,"Has the pandemic made your relationship more complicated or more connected?

Be honest, God is watching.  
#Iamup @News8Daybreak",,🤣 👀,27,5,96,['https://pbs.twimg.com/ext_tw_video_thumb/1354030376839208960/pu/img/JYlGqf1B9XhH12XD.jpg'],https://twitter.com/TasharaParker/status/1354030432640233472
Brandi Barnett,@BeeBarnett18,2021-01-26T15:13:21.000Z,Connected,,,1,,2,['https://pbs.twimg.com/media/EsqtJTHXMAowlkk?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1354085022232432642
Brandi Barnett,@BeeBarnett18,2021-01-24T16:21:11.000Z,"Replying to 
@nhannahjones",Oatmeal (Georgia girl) ,🍑,,,,[],https://twitter.com/BeeBarnett18/status/1353377316588679169
CounselorCrank,@CounselorCrank,2021-01-28T14:55:28.000Z,21-22 Scheduling season has begun!,GIF,,7,4,58,['https://pbs.twimg.com/tweet_video_thumb/Es08O0sVkAUNVmM.jpg'],https://twitter.com/CounselorCrank/status/1354805295386484744
Brandi Barnett,@BeeBarnett18,2021-01-29T21:39:16.000Z,Why did I just giggle lol! It is upon us lol,,,,,1,[],https://twitter.com/BeeBarnett18/status/1355269304657338368
Brandi Barnett,@BeeBarnett18,2021-01-24T16:19:27.000Z,"Replying to 
@nhannahjones",Oatmeal,,1,,,[],https://twitter.com/BeeBarnett18/status/1353376881219928064
Brandi Barnett,@BeeBarnett18,2021-01-24T05:04:24.000Z,@meenaharris so “Ambitious Girl” is simply beautiful for us educators! Signed Authored School Counselor ,,🐝,,,,[],https://twitter.com/BeeBarnett18/status/1353206998389706752
Brandi Barnett,@BeeBarnett18,2021-01-26T11:36:04.000Z,"It’s #nationalspouseday 
Thank you for the reminder 
@wfaa
This year we will celebrate the big 10 years!  
Follow : @herosethebarber https://instagram.com/p/CKgbkkphiu2/?igshid=1vcl1qwe7fx82…",,💍,,,,[],https://twitter.com/BeeBarnett18/status/1354030342362062848
Brandi Barnett,@BeeBarnett18,2021-01-20T22:56:50.000Z,Just posted a photo https://instagram.com/p/CKSMtL2sD25/?igshid=ks2q1if6bds0…,,,,,,[],https://twitter.com/BeeBarnett18/status/1352027332169625600
Brandi Barnett,@BeeBarnett18,2021-01-24T16:31:48.000Z,"What is a woman’s “place”? I saw this comment suggested to 
@Spindeezy
 on her views of being powerless and a viewer  replied she should’ve known her place? Help me make it make sense.",,,,,,[],https://twitter.com/BeeBarnett18/status/1353379988058353668
Barnes & Noble,@BNBuzz,2021-01-26T03:18:33.000Z,What’s keeping everyone up tonight?,,,117,45,258,[],https://twitter.com/BNBuzz/status/1353905136477868033
Brandi Barnett,@BeeBarnett18,2021-01-26T11:17:17.000Z,Looking to request my books in your stores ... Wishing on A Star is a baby book with the baby boom ,,🥰 🐝,,,,[],https://twitter.com/BeeBarnett18/status/1354025614009901058
JessecaRabbit,@DArealBBJUDY,2021-01-24T01:24:55.000Z,What’s your SELF CARE routine ?,,,22,9,53,[],https://twitter.com/DArealBBJUDY/status/1353151763050852353
Brandi Barnett,@BeeBarnett18,2021-01-24T16:20:20.000Z,DND set for particular hours to be connected with my own family; no work emails after contract hours.,,,,,,[],https://twitter.com/BeeBarnett18/status/1353377102108782593
Brandi Barnett,@BeeBarnett18,2021-01-21T16:01:48.000Z,"@yenedamtew
 
Nobody 
Me: unpacking my pink rollers and round tooth brush... ordering another silk bonnet!?! Yasssss!?! #hairslay #gogirl #flatironmagic #michelleobama #womengoals https://instagram.com/p/CKUCAU2s-Yc/?igshid=qfaf09n6jt0…",,,,,,[],https://twitter.com/BeeBarnett18/status/1352285274198446080
Spinderella,@Spindeezy,2021-01-22T19:41:10.000Z,"Sorry but I gotta speak on this Lifetime special.., Too often, Black women who have made meaningful contributions in their industry are left out of historical narratives.",,,399,2.3K,8.5K,[],https://twitter.com/Spindeezy/status/1352702867438764032
Brandi Barnett,@BeeBarnett18,2021-01-24T16:25:35.000Z,As Martin said in House Party... it’s the DJ! The DJ is always apart of the group... what’s Run DMX without... what’s Grand Master Flash without... you’re just as great!,,,,,,[],https://twitter.com/BeeBarnett18/status/1353378422697979904
Brandi Barnett,@BeeBarnett18,2021-01-28T02:17:48.000Z,"“Ryder the Biter” available via 
@amazon
 @amazonkindle
 @barnesandnoble
 or 
@etsy
 . The main character is actual a biracial five year old girl who marches to the beat of her own  drum, at least until someone makes her mad!",,🥁,,,,['https://pbs.twimg.com/media/EsyO0PTW8AE8Xig?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1354614622918209538
Brandi Barnett,@BeeBarnett18,2021-01-21T11:45:05.000Z,,,,,,,['https://pbs.twimg.com/media/EsQNh83XIAAp-PL?format=jpg&name=small'],https://twitter.com/BeeBarnett18/status/1352220671795998721
Brandi Barnett,@BeeBarnett18,2021-01-28T02:28:49.000Z,,,,,,,['https://pbs.twimg.com/media/EsyRVgvXcAYX67-?format=jpg&name=900x900'],https://twitter.com/BeeBarnett18/status/1354617394220724225
Brandi Barnett,@BeeBarnett18,2021-01-24T15:59:41.000Z,https://vm.tiktok.com/ZMJKQCD38/,,,,,,[],https://twitter.com/BeeBarnett18/status/1353371905458397190
Brandi Barnett,@BeeBarnett18,2021-01-28T14:28:27.000Z,https://vm.tiktok.com/ZMJEEM4yY/,,,,,,[],https://twitter.com/BeeBarnett18/status/1354798499280416771
