UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
GrammieOnTheGo,@BlueCrossGirl1,2021-02-11T19:13:34.000Z,Here's my entry for a chance to win Stella's #SixFeetAScarf #Giveaway!,"Enter to Win Yours!
Tweet #SixFeetAScarf",,,,,['https://pbs.twimg.com/ad_img/1359933075426340873/Mtj0jeyJ?format=png&name=small'],https://twitter.com/BlueCrossGirl1/status/1359943678064816137
Camping World,@CampingWorld,2021-02-27T22:00:17.000Z,Do you prefer RV parks or boondocking?  #CampingWorldMobile,,🚐,68,20,106,['https://pbs.twimg.com/media/EvQ9KfGXYAMhxVI?format=jpg&name=small'],https://twitter.com/CampingWorld/status/1365783841571504136
GrammieOnTheGo,@BlueCrossGirl1,2021-02-27T22:01:30.000Z,#CampingWorldMobile Boomdocking usually is our preferred choice,,,,,,[],https://twitter.com/BlueCrossGirl1/status/1365784149437669383
Grubhub,@Grubhub,2021-02-08T16:15:00.000Z,"Tell us which restaurant or driver holds the key to your heart with #LoveDelivered, and we'll support restaurant and driver organizations with $1 per tweet (up to $200K). Plus, you’ll get the chance to win 1 of 50 $50 Grubhub gift cards. 

Rules: http://grhb.me/LoveDelivered",,,3.2K,788,2.8K,['https://pbs.twimg.com/ext_tw_video_thumb/1356705163042562051/pu/img/9CditZerotwzRWQq.jpg'],https://twitter.com/Grubhub/status/1358811577676402690
GrammieOnTheGo,@BlueCrossGirl1,2021-02-11T05:05:30.000Z,"#LoveDelivered, 
@Cheesecake
 is my go to",,,,,1,[],https://twitter.com/BlueCrossGirl1/status/1359730255381098496
GrammieOnTheGo,@BlueCrossGirl1,2021-02-10T12:55:23.000Z,"@TMobile
 #TMobileTuesdays + #contest",,,,,,[],https://twitter.com/BlueCrossGirl1/status/1359486121001025536
GrammieOnTheGo,@BlueCrossGirl1,2021-02-22T18:20:07.000Z,"@TMobile
  #5Gsfor5G #contest",,,,,,[],https://twitter.com/BlueCrossGirl1/status/1363916495923855373
GrammieOnTheGo,@BlueCrossGirl1,2021-02-28T23:16:23.000Z,"Replying to 
@marcuslemonis
 @TeamTrackhouse
 and 3 others",7th #campingworldnascar,,,,,[],https://twitter.com/BlueCrossGirl1/status/1366165380494942215
GrammieOnTheGo,@BlueCrossGirl1,2021-02-22T21:16:02.000Z,"@TMobile
 #5Gsfor5G  #Contest",,,,,,[],https://twitter.com/BlueCrossGirl1/status/1363960764277612551
GrammieOnTheGo,@BlueCrossGirl1,2021-02-10T20:07:36.000Z,"@TMobile
  #TMobileTuesdays + #contest",,❤ ❤ ❤,,,,[],https://twitter.com/BlueCrossGirl1/status/1359594891689545734
GrammieOnTheGo,@BlueCrossGirl1,2021-02-22T22:42:50.000Z,"@TMobile
 @TMobile
 #5Gsfor5G  #Contest",,,,,,[],https://twitter.com/BlueCrossGirl1/status/1363982609102077956
Camping World,@CampingWorld,2021-03-04T21:33:00.000Z,"Ready to 𝙍𝙊𝙇𝙇 𝙏𝙃𝙀 𝘿𝙄𝘾𝙀 this weekend in Vegas? Bet on your Camping World Trucks for a chance to be entered into our biggest RV Giveaway YET. 

How to enter: 
 Must RT this tweet
 Must use #campingworldnascar
 Must be following 
@CampingWorld",,✅ ✅ ✅,1.1K,2.6K,1.3K,['https://pbs.twimg.com/media/EvqaGzjWQAAjy8Z?format=jpg&name=small'],https://twitter.com/CampingWorld/status/1367588913762689024
GrammieOnTheGo,@BlueCrossGirl1,2021-03-05T04:03:21.000Z,#campingworldnascar this is so awesome. Can’t wait to watch,,,,,,[],https://twitter.com/BlueCrossGirl1/status/1367687148003004418
Camping World,@CampingWorld,2021-03-06T03:01:36.000Z,"Time to shift into a new gear Stage 3 means $1000 merch certs for every Camping World driver to finish in the Top 5 I know, best intern ever. -the intern",,🏁 👀,226,134,417,[],https://twitter.com/CampingWorld/status/1368033996303708165
GrammieOnTheGo,@BlueCrossGirl1,2021-03-06T04:18:25.000Z,#campingworldnascar you outdid yourself tonight intern!! ,,😍,,,,[],https://twitter.com/BlueCrossGirl1/status/1368053330958823429
Camping World,@CampingWorld,2021-03-24T20:56:27.000Z,"𝙂𝙍𝙄𝙇𝙇 𝙒𝙄𝙏𝙃 𝙏𝙃𝙀 𝙐𝙋𝙎𝙀𝙏 
 
Brackets are fun, RV giveaways 𝙖𝙧𝙚 𝙗𝙚𝙩𝙩𝙚𝙧. Who wants to win an RV? -the intern
 
 Must RT this tweet
 Must use #CampingWorldMadness
 Must follow 
@campingworld",,🚨 🚨 ✅ ✅ ✅,551,1.1K,631,['https://pbs.twimg.com/media/ExReNKNW8AIEvYh?format=jpg&name=small'],https://twitter.com/CampingWorld/status/1374827474668912640
GrammieOnTheGo,@BlueCrossGirl1,2021-03-24T22:52:20.000Z,#CampingWorldMadness everything the intern does is better ,,😂,,,,[],https://twitter.com/BlueCrossGirl1/status/1374856638478348288
Camping World,@CampingWorld,2021-03-23T22:07:56.000Z,"The Grill is headed to the championship 

RT + use #CampingWorldMadness to be our next $500 merch cert winner.","Camping World
@CampingWorld
 · Mar 22
Grill vs Cast Iron Skillet
Show this poll",🔥,216,465,296,['https://pbs.twimg.com/profile_images/904708651650351104/8eTOGxjT_mini.jpg'],https://twitter.com/CampingWorld/status/1374483074314948618
GrammieOnTheGo,@BlueCrossGirl1,2021-03-24T22:52:01.000Z,#CampingWorldMadness,"Camping World
@CampingWorld
 · Mar 24
𝙂𝙍𝙄𝙇𝙇 𝙒𝙄𝙏𝙃 𝙏𝙃𝙀 𝙐𝙋𝙎𝙀𝙏 
 
Brackets are fun, RV giveaways 𝙖𝙧𝙚 𝙗𝙚𝙩𝙩𝙚𝙧. Who wants to win an RV? -the intern
 
 Must RT this tweet
 Must use #CampingWorldMadness
 Must follow @campingworld",🚨 🚨 ✅ ✅ ✅,,,,"['https://pbs.twimg.com/profile_images/904708651650351104/8eTOGxjT_mini.jpg', 'https://pbs.twimg.com/media/ExReNKNW8AIEvYh?format=jpg&name=small']",https://twitter.com/BlueCrossGirl1/status/1374856557377286148
GrammieOnTheGo,@BlueCrossGirl1,2021-03-05T04:02:46.000Z,#campingworldnascar,"Camping World
@CampingWorld
 · Mar 4
Ready to 𝙍𝙊𝙇𝙇 𝙏𝙃𝙀 𝘿𝙄𝘾𝙀 this weekend in Vegas? Bet on your Camping World Trucks for a chance to be entered into our biggest RV Giveaway YET. 

How to enter: 
 Must RT this tweet
 Must use #campingworldnascar
 Must be following @CampingWorld",✅ ✅ ✅,,,,"['https://pbs.twimg.com/profile_images/904708651650351104/8eTOGxjT_mini.jpg', 'https://pbs.twimg.com/media/EvqaGzjWQAAjy8Z?format=jpg&name=small']",https://twitter.com/BlueCrossGirl1/status/1367687003790319616
GrammieOnTheGo,@BlueCrossGirl1,2021-03-18T12:52:01.000Z,"@MountainDew
 #DEWLostLureSweepstakes",,,,,,['https://pbs.twimg.com/media/Eww14oWXEAQjZ6d?format=jpg&name=small'],https://twitter.com/BlueCrossGirl1/status/1372531236833529856
GrammieOnTheGo,@BlueCrossGirl1,2021-03-06T04:25:05.000Z,"Replying to 
@LVMotorSpeedway
 and 
@buckedupsupps","#BuckedUp200 | #GetBuckedUp 
@AuntieJuJu713",,,,,[],https://twitter.com/BlueCrossGirl1/status/1368055008638496769
GrammieOnTheGo,@BlueCrossGirl1,2021-04-13T16:14:08.000Z,"#BetOnBacon giddy up 
@KentuckyDerby
 @SmithfieldBrand",,🐎,,,,[],https://twitter.com/BlueCrossGirl1/status/1382004186011811842
Good Sam,@GoodSam,2021-04-12T17:02:00.000Z,"How do you like yours? 

#NationalGrilledCheeseDay","National Grilled Cheese Day
goodsam.com",🤔,52,9,57,['https://pbs.twimg.com/ad_img/1381627503522017282/RoEDbOZK?format=png&name=small'],https://twitter.com/GoodSam/status/1381653841372880904
GrammieOnTheGo,@BlueCrossGirl1,2021-04-12T22:47:26.000Z,#NationalGrilledCheeseDay B but add Bacon,,,,,,[],https://twitter.com/BlueCrossGirl1/status/1381740774191198213
GrammieOnTheGo,@BlueCrossGirl1,2021-04-12T02:38:04.000Z,#GoodDeedsDay,"Good Sam
@GoodSam
 · Apr 11
Didn't wanna leave you out... retweet for a chance to win a $100 merchandise certificate! #GoodDeedsDay

*𝙈𝙪𝙨𝙩 𝙗𝙚 𝙛𝙤𝙡𝙡𝙤𝙬𝙞𝙣𝙜 @GoodSamFamily",,,,,"['https://pbs.twimg.com/profile_images/1356410741071310848/D2SxvBPB_mini.jpg', 'https://pbs.twimg.com/media/EysgOLCXMAEaQM-?format=jpg&name=small']",https://twitter.com/BlueCrossGirl1/status/1381436424780713985
GrammieOnTheGo,@BlueCrossGirl1,2021-04-07T21:03:54.000Z,#BuschBeerMoney #Sweepstakes,"Busch Beer
@BuschBeer
 · Apr 7
It’s #NationalBeerDay, so we’re handing out $25,000 in beer money for happy hour!  

RT this today with #BuschBeerMoney & #Sweepstakes for a chance to get a $50 Venmo to cover your next round.",,,,,"['https://pbs.twimg.com/profile_images/1410724029514846210/ntXdm-c5_mini.jpg', 'https://pbs.twimg.com/media/EyX4roiW8AE0sTc?format=jpg&name=small']",https://twitter.com/BlueCrossGirl1/status/1379902779339251717
GrammieOnTheGo,@BlueCrossGirl1,2021-05-21T01:01:26.000Z,#DQSweetestSeasonPass #DQSweepstakes Frosted Animal Cookie,"Dairy Queen
@DairyQueen
 · May 18
Enter for a chance to win $5K in BLIZZARD Treats! Retweet this post w/ #DQSweetestSeasonPass + #DQSweepstakes & your favorite 2021 Summer BLIZZARD Treat Menu flavor. 

No Purch. Nec. Ends 5/24/21. 18+, US only (excl. TX). Rules: https://bit.ly/3fhEoMa.
Show this thread
0:13
268.7K views",,,,,['https://pbs.twimg.com/profile_images/1150800282189737984/BkIKjaQt_mini.png'],https://twitter.com/BlueCrossGirl1/status/1395545233761308677
Marcus Lemonis,@marcuslemonis,2021-05-30T00:47:10.000Z,"First person to tell me exactly where this is wins a New RV.. must be specific.. must follow 
@CampingWorld
 ..Must use #campingworldroadtrip ... one answer per tweet.",,,4.1K,216,788,['https://pbs.twimg.com/ext_tw_video_thumb/1398802632135880711/pu/img/cQUIWnUbWN3wrRhP.jpg'],https://twitter.com/marcuslemonis/status/1398803134068166662
GrammieOnTheGo,@BlueCrossGirl1,2021-05-30T13:39:48.000Z,Key Largo #campingworldroadtrip,,,,,,[],https://twitter.com/BlueCrossGirl1/status/1398997576100335617
GrammieOnTheGo,@BlueCrossGirl1,2021-05-01T18:53:42.000Z,"Replying to 
@marcuslemonis
 @NASCAR
 and 3 others",John Nemechek 48 laps #campingworldcash,,,,,[],https://twitter.com/BlueCrossGirl1/status/1388567320805711873
GrammieOnTheGo,@BlueCrossGirl1,2021-05-21T01:01:26.000Z,#DQSweetestSeasonPass #DQSweepstakes Frosted Animal Cookie,"Dairy Queen
@DairyQueen
 · May 18
Enter for a chance to win $5K in BLIZZARD Treats! Retweet this post w/ #DQSweetestSeasonPass + #DQSweepstakes & your favorite 2021 Summer BLIZZARD Treat Menu flavor. 

No Purch. Nec. Ends 5/24/21. 18+, US only (excl. TX). Rules: https://bit.ly/3fhEoMa.
Show this thread
268.7K views
0:03 / 0:15",,,,,['https://pbs.twimg.com/profile_images/1150800282189737984/BkIKjaQt_mini.png'],https://twitter.com/BlueCrossGirl1/status/1395545233761308677
GrammieOnTheGo,@BlueCrossGirl1,2021-06-28T18:23:50.000Z,"What would I do with $5,000 from 
@TMobile
? ANYTHING I WANT   #5Gsfor5G & #Contest","Tap to enter 
Tweet #5Gsfor5G",🤑 👇,,,,['https://pbs.twimg.com/ad_img/1408467258519687171/XzjMaI7K?format=png&name=small'],https://twitter.com/BlueCrossGirl1/status/1409578300213764098
Spotify USA,@SpotifyUSA,2021-06-02T13:00:13.000Z,"Got the shot*? Tell us why you’re excited for the safe return of live music using #SafeBeforeShows + #Sweepstakes and you could win tickets to a select independent regional concert venue  

Rules: https://bit.ly/2SzdyaA",,🎫,1.7K,430,1.1K,['https://pbs.twimg.com/media/E24Nk_LXMAUlS9z?format=jpg&name=small'],https://twitter.com/SpotifyUSA/status/1400074776882958340
GrammieOnTheGo,@BlueCrossGirl1,2021-06-03T22:40:00.000Z,#SafeBeforeShows + #Sweepstakes I’m excited to see live shows again.  Nothing compares to live music.,,,,,,[],https://twitter.com/BlueCrossGirl1/status/1400583070764388361
GrammieOnTheGo,@BlueCrossGirl1,2021-06-25T06:05:21.000Z,"@TheGeneralAuto
 #TGSummerBreak 
  ",,🏖 🌊 🤿,,,,['https://pbs.twimg.com/media/E4tOMxPXoAAeITf?format=jpg&name=small'],https://twitter.com/BlueCrossGirl1/status/1408305292593541121
GrammieOnTheGo,@BlueCrossGirl1,2021-05-31T17:20:42.000Z,"@MetroByTMobile
  + #RuleYourDay #Sweepstakes",,🎵,,,,[],https://twitter.com/BlueCrossGirl1/status/1399415555002716172
GrammieOnTheGo,@BlueCrossGirl1,2021-06-22T16:52:33.000Z,"Replying to 
@BuschBeer",#BuschLightAppleDrop #Sweepstakes,,,,,[],https://twitter.com/BlueCrossGirl1/status/1407381002549399557
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T18:56:35.000Z,#BuschLightApple #Sweepstakes,,,,,,[],https://twitter.com/BlueCrossGirl1/status/1411760869369913349
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T19:29:08.000Z, #BuschLightApple #Sweepstakes,,🍻,,,,[],https://twitter.com/BlueCrossGirl1/status/1411769062401654792
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T20:25:47.000Z,#BuschLightApple #Sweepstakes 34,,😍,,,,[],https://twitter.com/BlueCrossGirl1/status/1411783320401235968
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T20:38:34.000Z,#BuschLightApple #Sweepstakes ,,🍻,,,,[],https://twitter.com/BlueCrossGirl1/status/1411786535272435716
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T21:01:26.000Z,#BuschLightApple #Sweepstakes  ,,🍎 🚘 🚗 😉,,,,[],https://twitter.com/BlueCrossGirl1/status/1411792291887472642
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T21:08:17.000Z,#BuschLightApple #Sweepstakes  ,,🙏 😎,,,,[],https://twitter.com/BlueCrossGirl1/status/1411794014798549000
GrammieOnTheGo,@BlueCrossGirl1,2021-07-02T17:12:30.000Z,"Replying to 
@StellaArtois",#StellaSummerFriday,,1,,,[],https://twitter.com/BlueCrossGirl1/status/1411009903586689027
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T20:43:42.000Z,#BuschLightApple #Sweepstakes ,,😉,,,,[],https://twitter.com/BlueCrossGirl1/status/1411787826828656640
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T20:25:39.000Z,"Replying to 
@BuschBeer",#BuschLightApple #Sweepstakes 34,😍 😍,,,,[],https://twitter.com/BlueCrossGirl1/status/1411783283889868800
GrammieOnTheGo,@BlueCrossGirl1,2021-07-04T20:46:51.000Z,#BuschLightApple #Sweepstakes ,,🚘 🚘,,,,[],https://twitter.com/BlueCrossGirl1/status/1411788621808558085
