UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Wendy's,@Wendys,2021-06-18T22:26:17.000Z,"Sir, this is a Morty’s.","0:08
3.3M views",,1.7K,13.5K,125.7K,[],https://twitter.com/Wendys/status/1406015436915945475
Braxton Richardson,@Braxton89649650,2021-06-27T18:12:55.000Z,My family loves Wendy’s and they love Rick and Morty,,,,,,[],https://twitter.com/Braxton89649650/status/1409213165435510790
Wendy's,@Wendys,2021-06-18T22:26:17.000Z,"Sir, this is a Morty’s.","3.3M views
0:03 / 0:10",,1.7K,13.5K,125.7K,[],https://twitter.com/Wendys/status/1406015436915945475
Braxton Richardson,@Braxton89649650,2021-07-09T23:02:40.000Z,"@Wendys
 dm back ASAP",,,,,,[],https://twitter.com/Braxton89649650/status/1413634737898409986
Domino's Pizza,@dominos,2021-07-10T15:00:03.000Z,You can only pick 1 side:,,,184,65,489,['https://pbs.twimg.com/media/E58YbQFVUAQBXyW?format=jpg&name=small'],https://twitter.com/dominos/status/1413875670992637956
Braxton Richardson,@Braxton89649650,2021-07-13T16:31:15.000Z,Stuffed cheese bread,,,,,,[],https://twitter.com/Braxton89649650/status/1414985787150589955
Braxton Richardson,@Braxton89649650,2021-07-09T23:07:55.000Z,"@dominos
 thank you for correcting my order and making things right With High Satisfaction and Simplicity",,,,,,[],https://twitter.com/Braxton89649650/status/1413636061025210373
Domino's Pizza,@dominos,2021-07-11T15:00:17.000Z,The best topping is _____.,,,519,144,676,[],https://twitter.com/dominos/status/1414238117213528067
Braxton Richardson,@Braxton89649650,2021-07-12T21:04:13.000Z,"BBQ sauce with bacon sausage and banana peppers and spinach on gluten free crust from 
@dominos
 of course",,,,,,[],https://twitter.com/Braxton89649650/status/1414692095705632772
Braxton Richardson,@Braxton89649650,2021-07-22T15:28:32.000Z,Kid stuck to the tv  as am I #TurnerAndHooch,,😭 😂 😂,,,,[],https://twitter.com/Braxton89649650/status/1418231493051265025
Cash App,@CashApp,2021-07-23T16:00:25.000Z,"Lean your phone back and tell us what you see. Drop your answer and your $cashtag for a chance to win a $100 Anywhere Boost to use with your Cash Card 

http://bit.ly/anywhereboost",,,30.1K,3.7K,7.6K,['https://pbs.twimg.com/media/E6_ibzgX0AEDug1?format=jpg&name=small'],https://twitter.com/CashApp/status/1418601907640225795
Braxton Richardson,@Braxton89649650,2021-07-29T15:21:36.000Z,"$pineappleb1
$$$$ Booooooooooooost",,,1,,,[],https://twitter.com/Braxton89649650/status/1420766464886329346
Johnny Dang,@JohnnyDangandCo,2021-07-17T19:26:14.000Z,Peepthis hybrid invisible set grillThe baguettesspeak for themselves #diamondboyz #Diamonds #Gold #Grill #Grills,"The following media includes potentially sensitive content. Change settings
View",👀 🥶 💎,3,5,26,[],https://twitter.com/JohnnyDangandCo/status/1416479376280072196
Braxton Richardson,@Braxton89649650,2021-07-17T23:06:33.000Z,When you can see into the future or a fairy tale through the precision of craftsmanship,,,,,,[],https://twitter.com/Braxton89649650/status/1416534821166362632
Johnny Dang,@JohnnyDangandCo,2021-07-28T16:18:36.000Z,Custom name pendant done by the one and onlyKing of Bling#diamondboyz #custom #diamonds #houston #texas,"The following media includes potentially sensitive content. Change settings
View",👑 👑,1,4,9,[],https://twitter.com/JohnnyDangandCo/status/1420418423029383170
Braxton Richardson,@Braxton89649650,2021-07-28T17:48:14.000Z,I like the clasp engraving,,,,,1,[],https://twitter.com/Braxton89649650/status/1420440980436701187
Johnny Dang,@JohnnyDangandCo,2021-07-07T15:07:14.000Z,"What’s up Atlanta?!?!

I fly out to your city today.

What you need? ",,💎,5,2,18,[],https://twitter.com/JohnnyDangandCo/status/1412790314465697793
Braxton Richardson,@Braxton89649650,2021-07-15T16:19:33.000Z,Hollywood white veneer availability,,,,,,[],https://twitter.com/Braxton89649650/status/1415707619700871180
