UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Brian Amback,@BrianAmback,2021-01-07T06:34:23.000Z,Nice giveaway,,,,,,[],https://twitter.com/BrianAmback/status/1347069047867895808
Brian Amback,@BrianAmback,2021-01-07T06:37:02.000Z,Awesome giveaway,,,,,,[],https://twitter.com/BrianAmback/status/1347069715429134339
Brian Amback,@BrianAmback,2021-01-08T07:18:25.000Z,Cool giveaway,,,,,1,[],https://twitter.com/BrianAmback/status/1347442520196853760
Brian Amback,@BrianAmback,2021-01-08T07:21:02.000Z,Amazing giveaway,,,1,,1,[],https://twitter.com/BrianAmback/status/1347443178589319168
Brian Amback,@BrianAmback,2021-01-01T17:39:11.000Z,Awesome  giveaway,,,,,1,[],https://twitter.com/BrianAmback/status/1345062027128172545
Brian Amback,@BrianAmback,2021-01-07T22:19:49.000Z,I just entered to win a Leatherwood M1000-PRO!! #fingerscrossed,"Leatherwood ART M1000-PRO 2-10X42 Rifle Scope Giveaway
The original Auto-Ranging Telescope (ARTel) was issued to US Army and Marine Corp servicemen over 40 years ago. Since then, Hi-Lux has refined and improved the battle-proven ART system to compensate...
d3ffbnollkw6jg.cloudfront.net",,,,,[],https://twitter.com/BrianAmback/status/1347306976045359105
Brian Amback,@BrianAmback,2021-01-09T20:47:43.000Z,Less than 8 hours remain in this amazing giveaway.,,,,,,[],https://twitter.com/BrianAmback/status/1348008574933471239
Brian Amback,@BrianAmback,2021-01-15T04:11:18.000Z,Welcome to 2021 Giveaway #giveaway #win https://kingsumo.com/g/lqxkgh/welcome-to-2021-giveaway/ez042pz…,,,,,1,[],https://twitter.com/BrianAmback/status/1349932145540804608
Brian Amback,@BrianAmback,2021-01-11T05:14:44.000Z,Check out Aero Precision's Monthly Rifle Giveaway! http://gvwy.io/2s10a14d,,,,,,[],https://twitter.com/BrianAmback/status/1348498555120574469
Brian Amback,@BrianAmback,2021-01-13T13:24:26.000Z,Enter To Win The Holley Detroit Muscle Sweepstakes!,"The Holley Detroit Muscle Sweepstakes
Enter for a chance to win this 2001 C5 Corvette Z06 built on Detroit Muscle!For more information about Holley and their products, visit https://www.holley.com. 
app.viralsweep.com",,,,,['https://pbs.twimg.com/card_img/1432934757051113472/ssmqFs-t?format=jpg&name=small'],https://twitter.com/BrianAmback/status/1349346569607380992
Brian Amback,@BrianAmback,2021-01-15T00:03:54.000Z,"I just entered to win $10,000 with Ben and Kelly's $10,000 Bribe on 99.7 DJX!","I just entered to win $10,000 with Ben and Kelly's $10,000 Bribe on 99.7 DJX!
Enter here for your chance to win!
ul.ink",,,,,[],https://twitter.com/BrianAmback/status/1349869882691743746
Brian Amback,@BrianAmback,2021-01-03T23:05:20.000Z,"I just entered to #win a $150 Gift Card to 
@WilliamsOutfit
! #free #giveaway Enter the giveaway here:","Monthly Giveaway
Enter for a chance to win a gift card to Williams Outfit each month and fund your next sporting goods purchase!
willoutfit.com",,,,,['https://pbs.twimg.com/card_img/1432124856024240132/US-xgB7D?format=jpg&name=small'],https://twitter.com/BrianAmback/status/1345868878468042762
Brian Amback,@BrianAmback,2021-01-07T20:38:55.000Z,"I just entered to win a Sig Sauer MPX Copperhead & Colt Python Revolver from 
@ClassicFirearm
! Valued At $3500! #sweepstakes #Sig #SigSauer #SigMPX #MPXCopperhead #SigCopperhead 
@sigsauerinc
 #Colt #ColtPython #gungiveaway #winagun #dreamgun Enter Here -","Win A Sig Sauer MPX Copperhead & Colt Python Revolver
classicfirearms.com",,,1,,[],https://twitter.com/BrianAmback/status/1347281584832045059
Brian Amback,@BrianAmback,2021-01-07T22:25:07.000Z,"@RTactical2
 Is Giving Away ANOTHER UPPER!","T2R UPPER GIVE-A-WAY
T2R UPPER GIVE-A-WAY With Magpul OD Green Forearm: comes with a 16"" M4 CONTOUR WITH A 1-8 TWIST M4 contour barrel, Chambered 223Wylde With Gas Hole drilled and parkerized finish. 7075 T6 Forged Upper...
gleam.io",,,,,[],https://twitter.com/BrianAmback/status/1347308308407971841
Brian Amback,@BrianAmback,2021-01-04T04:14:45.000Z,"I just entered the 
@slavguns
 giveaway for the AWESOME Element Optics Helix FFP Riflescope! Check out the big brother scope!  https://youtube.com/watch?v=GBpJAPlbxh8&feature=youtu.be… #giveaway","Element Optics Titan 5-25x56 FFP Rifle Scope - A Titan of a Scope!
In this video we take a deep dive into the new Titan 5-25x56 rifle scope by Element Optics. This is a brand new optic from Element Optics featuring a First ...
youtube.com",,,,1,['https://pbs.twimg.com/card_img/1431584909433270277/BsKIya6U?format=jpg&name=240x240'],https://twitter.com/BrianAmback/status/1345946747747659776
