UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Popeyes,@Popeyes,2021-01-27T23:23:26.000Z,"We can be mild, or spicy... what sign do y'all think we are? ",,🤔,96,27,291,[],https://twitter.com/Popeyes/status/1354570741308526592
Bruce 1966,@Bruce19662,2021-01-28T11:43:33.000Z,Spicy,,,,,,[],https://twitter.com/Bruce19662/status/1354756997963505666
Hostess Snacks,@Hostess_Snacks,2021-01-26T16:21:43.000Z,"The heart wants what it wants. 
...
#HostessSnacks #Valentine #ValentinesDay #CupCake #CupCakes #Chocolate #DarkChocolate #DarkChocolateRaspberry #LimitedEdition #Love #TreatYourself #SelfLove",,❤,5,6,36,['https://pbs.twimg.com/media/Esq8yvgW8AIBkzP?format=jpg&name=small'],https://twitter.com/Hostess_Snacks/status/1354102226692825090
Bruce 1966,@Bruce19662,2021-01-26T19:16:44.000Z,Very yummy,,,,,,[],https://twitter.com/Bruce19662/status/1354146269795643395
Bruce 1966,@Bruce19662,2021-01-29T19:50:41.000Z,"Replying to 
@LAYS",Lol,,,,,[],https://twitter.com/Bruce19662/status/1355241976686403585
SNICKERS,@SNICKERS,2021-02-07T16:00:01.000Z,Win or lose make game day satisfying with SNICKERS.,,,9,27,196,['https://pbs.twimg.com/media/EtfYt1wVgAERR5v?format=jpg&name=small'],https://twitter.com/SNICKERS/status/1358445419529871367
Bruce 1966,@Bruce19662,2021-02-07T21:23:57.000Z,Yummy. My favorite candy bar,,,,,,[],https://twitter.com/Bruce19662/status/1358526939561082886
Bruce 1966,@Bruce19662,2021-02-08T01:24:30.000Z,"Replying to 
@Starburst",Yes,,1,,,[],https://twitter.com/Bruce19662/status/1358587477603344395
Life Below Zero,@LifeBelowZeroTV,2021-07-13T16:18:56.000Z,Very excited for this honor! #EmmyNoms,,,23,27,184,['https://pbs.twimg.com/media/E6MHKF5WEAE6PZF?format=jpg&name=small'],https://twitter.com/LifeBelowZeroTV/status/1414982685773160451
Bruce 1966,@Bruce19662,2021-07-13T17:06:31.000Z,Love your show awesome,,,,,2,[],https://twitter.com/Bruce19662/status/1414994660838232067
Richard Petty Motorsports,@RPMotorsports,2021-07-02T12:00:02.000Z,"7x champ, NASCAR Hall of Famer, The King.  Today's a big day!

Drop a message below to help us wish Richard Petty a very Happy Birthday ",,🎂 🥳 🎉,274,258,1.8K,['https://pbs.twimg.com/media/E5Qgx33XIAMC9yy?format=jpg&name=small'],https://twitter.com/RPMotorsports/status/1410931267743281152
Bruce 1966,@Bruce19662,2021-07-02T12:49:25.000Z,Happy birthday king,,,,,,[],https://twitter.com/Bruce19662/status/1410943693574582277
Bruce 1966,@Bruce19662,2021-07-20T13:06:47.000Z,"Replying to 
@noteableyfood",4,,,,,[],https://twitter.com/Bruce19662/status/1417471047905984550
SNICKERS,@SNICKERS,2021-08-02T14:00:01.000Z,Tomorrow is National Grab Some Nuts Day so we’re giving 20 lucky people a free box of SNICKERS exclusively in Fleets. Check out our Fleets today to see how you might get one.,,,113,109,408,['https://pbs.twimg.com/media/E7yjVTqWQAQe3Pe?format=jpg&name=small'],https://twitter.com/SNICKERS/status/1422195483385032706
Bruce 1966,@Bruce19662,2021-08-02T15:44:05.000Z,My favorite candy bar snickers yummy,,,,,,[],https://twitter.com/Bruce19662/status/1422221673252761600
Godfather's Pizza,@GoGodfathers,2021-07-30T19:06:00.000Z,"Bring home the gold or pizza, we'll love you either way!",,,1,,5,['https://pbs.twimg.com/media/E7kQglzXEAAQBCT?format=jpg&name=small'],https://twitter.com/GoGodfathers/status/1421185325129469961
Bruce 1966,@Bruce19662,2021-07-31T10:53:16.000Z,Yummy pizza .my whole family loves godfathers pizza,,,1,,,[],https://twitter.com/Bruce19662/status/1421423713489199104
New York Yankees,@Yankees,2021-08-12T22:30:55.000Z,"It was the game… The sounds, the smells…

#MLBatFieldofDreams",,,40,341,2.8K,"['https://pbs.twimg.com/media/E8n7tHmWQAgxKXC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8n756vXsAAcosO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8n74D3XIA4euJd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8n78vnXsAAxJaG?format=jpg&name=360x360']",https://twitter.com/Yankees/status/1425947937411112964
Bruce 1966,@Bruce19662,2021-08-12T22:41:09.000Z,Thanks for going to field of dreams .awesome,,,,,1,[],https://twitter.com/Bruce19662/status/1425950513187770369
SNICKERS,@SNICKERS,2021-08-19T22:29:15.000Z,"If you don't follow 
@SNICKERS
 maybe you just need a SNICKERS.",,,102,69,468,[],https://twitter.com/SNICKERS/status/1428484232477876227
Bruce 1966,@Bruce19662,2021-08-19T22:42:23.000Z,I just pickup a big bag of snickers.  Yummy,,,,,,[],https://twitter.com/Bruce19662/status/1428487537337716739
✭ Ruben ✭,@Lineman88,2021-08-20T02:35:52.000Z,Texas chili cheese dog!!!! ,,😋,41,43,472,['https://pbs.twimg.com/media/E9M3Ru5VUAc1phy?format=jpg&name=small'],https://twitter.com/Lineman88/status/1428546293710741506
Bruce 1966,@Bruce19662,2021-08-20T13:53:38.000Z,Looks good yummy,,,,,1,[],https://twitter.com/Bruce19662/status/1428716860661436422
