UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
GoatedKD,@DameLogo3Ball,2021-07-10T04:49:30.000Z,"Replying to 
@BullsGotNext",Better then Stephenie Curry,🐐,3,,14,[],https://twitter.com/DameLogo3Ball/status/1413722021746380801
Bustan Rodai,@BustanRodai,2021-07-10T04:51:05.000Z,"Talk to 
@BetsKingMaster",,,,,,['https://pbs.twimg.com/media/E56NDMdXMAUiNen?format=jpg&name=small'],https://twitter.com/BustanRodai/status/1413722421455212545
Fox Footy,@FOXFOOTY,2021-07-10T04:19:10.000Z,"First career goal = mobbed by teammates 

 BLOG: http://bit.ly/3wuYjxY
 MATCH CENTRE: http://bit.ly/3k8SDqV
 WATCH #AFLHawksFreo on 
@kayosports
: http://bit.ly/3e3aRpN",This video is not available in your location.,😂 📝 🔢 📺,5,3,13,[],https://twitter.com/FOXFOOTY/status/1413714390772174854
Bustan Rodai,@BustanRodai,2021-07-10T04:22:16.000Z,"Winning has never been easier unless you work with great minds the likes of 
@BetsKingMaster
 then you will know the secret....sometimes if you tell sone fools the facts they go ahead to block you thinking you are spoiling their  time wasting posts",,,,,,['https://pbs.twimg.com/media/E56GdHHXoAA24sh?format=jpg&name=small'],https://twitter.com/BustanRodai/status/1413715170283728896
AFL,@AFL,2021-07-10T04:49:35.000Z,"YIKES!

Sorry Josh, we had to 

#AFLHawksFreo",,😂,4,17,87,['https://pbs.twimg.com/media/E56Mqt7VIAUykGh.jpg'],https://twitter.com/AFL/status/1413722042923249664
Bustan Rodai,@BustanRodai,2021-07-10T04:50:30.000Z,"Have you heard about this 
@BetsKingMaster",,,,,,['https://pbs.twimg.com/media/E56M6j0XIAALDIH?format=jpg&name=small'],https://twitter.com/BustanRodai/status/1413722273387712512
Bustan Rodai,@BustanRodai,2021-07-08T18:10:57.000Z,"Replying to 
@BetsKingMaster
 @bbosports
 and 
@yagosabuncuoglu",Good matches,,,,,[],https://twitter.com/BustanRodai/status/1413198939415777280
Bustan Rodai,@BustanRodai,2021-07-10T04:22:58.000Z,"Replying to 
@BetsKingMaster",Good start king,,,,,[],https://twitter.com/BustanRodai/status/1413715346465378304
Bustan Rodai,@BustanRodai,2021-07-10T04:50:53.000Z,"Replying to 
@VettelsBlues
 and 
@BullsGotNext","Follow 
@BetsKingMaster",,,,,[],https://twitter.com/BustanRodai/status/1413722371421310978
Bustan Rodai,@BustanRodai,2021-07-10T04:51:20.000Z,"Replying to 
@VettelsBlues
 @DameLogo3Ball
 and 
@BullsGotNext","The only one with us is 
@BetsKingMaster",,,,,[],https://twitter.com/BustanRodai/status/1413722484868886529
Fox Footy,@FOXFOOTY,2021-07-10T04:49:05.000Z,"""Never in doubt""

David Mundy hooks a stunner 

 BLOG: https://bit.ly/3wuYjxY
 MATCH CENTRE: https://bit.ly/3k8SDqV
 WATCH #AFLHawksFreo on 
@kayosports
: https://bit.ly/3e3aRpN",This video is not available in your location.,🔥 📝 🔢 📺,1,3,19,[],https://twitter.com/FOXFOOTY/status/1413721915919790080
Bustan Rodai,@BustanRodai,2021-07-10T04:49:56.000Z,"Have you heard about 
@BetsKingMaster
  ?",,,,,,['https://pbs.twimg.com/media/E56Mx4dWYAETzEa?format=jpg&name=900x900'],https://twitter.com/BustanRodai/status/1413722133189038085
Carlton FC,@CarltonFC,2021-07-10T08:30:51.000Z,"Last quarter underway. 

CARL 25 | GEEL 43

#AFLBluesCats",,⏰,10,2,15,[],https://twitter.com/CarltonFC/status/1413777726696083456
Bustan Rodai,@BustanRodai,2021-07-10T08:31:13.000Z,"Winning has never been easier unless you work with great minds the likes of 
@BetsKingMaster
 then you will know the secret....sometimes if you tell sone fools the facts they go ahead to block you thinking you are spoiling their  time wasting posts",,,,,1,['https://pbs.twimg.com/media/E56_bxuXEAMcvqt?format=jpg&name=small'],https://twitter.com/BustanRodai/status/1413777819331616769
