UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-28T07:05:40.000Z,Vodafone menmunum #vodafonepişmanlıktır,,,,,,[],https://twitter.com/Canbura08199125/status/1398173612805349376
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-15T19:49:56.000Z,Sonuna kadar Ali Koç #AliKocİstifa,,,,,,[],https://twitter.com/Canbura08199125/status/1393654903810166794
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-14T16:13:53.000Z,Yayınlansın izlemesiniz olur biter bu kadar basit #netflixiptal,,,,,,[],https://twitter.com/Canbura08199125/status/1393238146545029124
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-16T15:10:24.000Z,Çok istiyorsanız gidin milli takımı destekleyin #ŞenolGüneşFenere,,,,,,[],https://twitter.com/Canbura08199125/status/1393946945681567747
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-28T17:05:25.000Z,Yiğit şardan şeçilsin daha çok beter olun umarım ,,😀 😀 😀,,,,[],https://twitter.com/Canbura08199125/status/1398324544901947396
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-19T16:28:36.000Z,Donanmaymış ne donanması güzelim boğazı kirletmesinler bari ,,😀 😀,,,,[],https://twitter.com/Canbura08199125/status/1395053786675228673
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-17T19:00:27.000Z,Güzelim denizi kirletirsiniz izin vermeyin kargalara#BeşiktaşDonanmasıBoğaza,,,,,,[],https://twitter.com/Canbura08199125/status/1394367225830780930
Ahmet Ercanlar,@ahmetercanIar,2021-05-26T08:59:55.000Z,Gerçekten yazık. TFF'ye güvensem komik deyip geçeceğim. Ama TFF yarın yine düşmeyi kaldırabilir. Bir telefona bakar.,"Denizlispor Kulübü
@Denizlispor
 · May 26
 KAMUOYUNA SAYGIYLA

#YukatelDenizlispor",📢,186,58,1.6K,"['https://pbs.twimg.com/profile_images/1415227980981362688/XUjcZEBR_mini.jpg', 'https://pbs.twimg.com/media/E2TQXomXMAQlAa9?format=jpg&name=small']",https://twitter.com/ahmetercanIar/status/1397477588877066245
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-26T11:43:29.000Z,Olmaz şaçma birşey,,,,,,[],https://twitter.com/Canbura08199125/status/1397518748966440961
Canburak 𝓕𝓮𝓷𝓮𝓻𝓫𝓪𝓱𝓬𝓮 ¹ ⁹ ⁰ ⁷ 𓅪,@Canbura08199125,2021-05-16T22:27:57.000Z,Emre belözoğlu yalnız değildir bu tagı açanlar Fenerbahçeli olamaz#Emreİstifa,,,,,,[],https://twitter.com/Canbura08199125/status/1394057057314148355
