UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Austin B,@Austin_Vols,2021-01-29T18:53:28.000Z,We better get about 30 players out of the transfer portal too,,,8,2,110,[],https://twitter.com/Austin_Vols/status/1355227581054910467
CK,@CeliaKHall,2021-01-29T22:50:28.000Z,Hope we have enough guys to have a team this year.,,,,1,1,['https://pbs.twimg.com/media/Es7yi0xW4AQwLDR?format=jpg&name=small'],https://twitter.com/CeliaKHall/status/1355287223143456773
Good Ol Rocky Top,@GiveYourAllUT,2021-01-30T17:43:45.000Z,"I would also be disappointed that our punter just entered the transfer portal. But again, we score TDs now. We don’t punt.","Good Ol Rocky Top
@GiveYourAllUT
 · Jan 29
Our kicker is transferring. I would be disappointed, but we score TDs now. Just need a guy to kick PATs.",🍊 🍊,2,1,25,['https://pbs.twimg.com/profile_images/890644471116902400/ZpVwEzN4_mini.jpg'],https://twitter.com/GiveYourAllUT/status/1355572421143760897
CK,@CeliaKHall,2021-01-30T17:48:21.000Z,JT Carver has our back. I really hope we score this year. Nothing is guaranteed. I hope we have enough guys to play this year.,,,1,1,4,['https://pbs.twimg.com/media/Es_2-s_XYAAkM1Z?format=jpg&name=small'],https://twitter.com/CeliaKHall/status/1355573578209570818
CK,@CeliaKHall,2021-01-30T18:03:22.000Z,"Replying to 
@CeliaKHall
 @gencarter
 and 2 others",Update 1-30-21,,,1,4,['https://pbs.twimg.com/media/Es_6abTXAAIbMcf?format=jpg&name=small'],https://twitter.com/CeliaKHall/status/1355577360423247872
GoVolsXtra,@GoVolsXtra,2021-01-29T16:53:35.000Z,Tennessee football's Brent Cimaglia to enter transfer portal,"Tennessee football's Brent Cimaglia to enter transfer portal
Tennessee kicker Brent Cimaglia will join the stream of departures and head for the NCAA transfer portal.
knoxnews.com",,8,6,6,['https://pbs.twimg.com/card_img/1432379862879195150/9wECu2VJ?format=jpg&name=small'],https://twitter.com/GoVolsXtra/status/1355197411254284288
Vol Report,@AllVolReport,2021-01-27T16:39:18.000Z,Can we bring back the white cleats now?,,,11,11,163,[],https://twitter.com/AllVolReport/status/1354469039054139396
CK,@CeliaKHall,2021-01-27T16:53:42.000Z,Orange cleats would be cool. ,,😎,,,2,[],https://twitter.com/CeliaKHall/status/1354472664434417666
Peerless Price,@PeerlessTheVol,2021-01-27T18:19:04.000Z,Just got off the phone with my Quarterback Tee Martin and to say my guy his hurting is an understatement! My brother if my vision was ever clouded I have clear sight on everything you’ve sacrificed for our University. Damn the pain in my brothers voice I’ve never heard before!,,,174,282,1.7K,[],https://twitter.com/PeerlessTheVol/status/1354494145713336324
CK,@CeliaKHall,2021-01-27T18:50:49.000Z,Coach is a fool if he doesn't keep Tee. He's a great coach and recruiter. We need and love Tee.,,,,,6,[],https://twitter.com/CeliaKHall/status/1354502136638418950
