UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-03T11:01:31.000Z,"Just because I put it in doesn't mean am into  you 
@AdanZamuh
 
@5_peopl_e
 @Crazy_Nairabian 
@osoroKE
 
@its_Iann0",,😵 😵 😵,,,3,[],https://twitter.com/Chiefsauce5/status/1356920750599503875
Mr Handsome,@MrHandsomeSR,2021-02-05T19:27:47.000Z,Reply with your handles lets follow you .,,❣,51,33,91,[],https://twitter.com/MrHandsomeSR/status/1357772931066126339
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-05T19:28:40.000Z,Mnifollow,,,,,4,[],https://twitter.com/Chiefsauce5/status/1357773150780592132
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-03T10:22:39.000Z,"Replying to 
@HermaeineM",Ff,,,,7,[],https://twitter.com/Chiefsauce5/status/1356910968245215233
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-06T13:12:15.000Z,"Replying to 
@HermaeineM",,❤ ❤ ❤,1,,16,[],https://twitter.com/Chiefsauce5/status/1358040814337851396
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-05T19:29:14.000Z,"Replying to 
@EasyGentle",Ffff,,,,4,[],https://twitter.com/Chiefsauce5/status/1357773293810507780
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-05T19:29:32.000Z,"Replying to 
@HRMIrene",Fff,,,,8,[],https://twitter.com/Chiefsauce5/status/1357773368993406980
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-03T11:02:34.000Z,"Replying to 
@HermaeineM",,😟 😟 😟,,,6,[],https://twitter.com/Chiefsauce5/status/1356921013368406016
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-06T13:11:42.000Z,"It's February..... Makosa kidogo unaachwa
@comradefyat
 
@its_Iann0",,😂 😂 😂 😂,,,1,[],https://twitter.com/Chiefsauce5/status/1358040672826249216
𝗠𝗘𝗡𝗔𝗖𝗘,@Chiefsauce5,2021-02-03T10:15:47.000Z,"Replying to 
@kaybTUK",Kiburi fc,😂 😂 😂 😂 😂 😂 😂 😂,,,,[],https://twitter.com/Chiefsauce5/status/1356909240816984070
