UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ze cook man,@CookeYouTube,2021-01-29T21:25:19.000Z,Woooo I hit 500 followers..... again,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355265793970335746
ze cook man,@CookeYouTube,2021-01-30T02:48:10.000Z,My dog tweeted this,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355347040973320200
ze cook man,@CookeYouTube,2021-01-28T02:41:56.000Z,"the new 
@trvisXX
 album, no wait im sorry the new travisscotchtape album",,🍪 🍪,,,,['https://pbs.twimg.com/media/EsyUVyeW8AMiGNW?format=png&name=small'],https://twitter.com/CookeYouTube/status/1354620698891849734
Anime Hoop,@AnimeHoop,2021-01-29T21:33:47.000Z,"Congratulations 
@CookeYouTube
 for reaching 500 followers again ",,🎉,1,2,3,[],https://twitter.com/AnimeHoop/status/1355267924198633474
ze cook man,@CookeYouTube,2021-01-30T02:48:53.000Z,Thanks :D,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355347223635238919
ze cook man,@CookeYouTube,2021-01-26T15:11:40.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",This place’s about to blow oh oh oh,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354084596288282632
ze cook man,@CookeYouTube,2021-01-26T15:11:56.000Z,Blow oh oh oh,,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354084667125886978
ze cook man,@CookeYouTube,2021-01-30T15:04:45.000Z,"Replying to 
@ReclinesMC",*death sounds*,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355532408901275656
snqcks,@Snqcks_,2021-01-26T15:14:37.000Z,"Replying to 
@CookeYouTube",felt this,,1,,3,[],https://twitter.com/Snqcks_/status/1354085339170828292
ze cook man,@CookeYouTube,2021-01-26T15:14:59.000Z,Check my pinned maybe you will feel that as well lmao,,🍪 🍪,,,1,[],https://twitter.com/CookeYouTube/status/1354085431294492676
Blays,@BlaysYouTube,2021-01-28T23:50:20.000Z,attack on cooke,,,1,1,4,['https://pbs.twimg.com/media/Es22nUqXAAIiB2T?format=png&name=small'],https://twitter.com/BlaysYouTube/status/1354939901482070025
Reclines,@ReclinesMC,2021-01-30T15:02:10.000Z,"Replying to 
@CookeYouTube",I’m German tho ,🤔,1,,2,[],https://twitter.com/ReclinesMC/status/1355531760004718601
ze cook man,@CookeYouTube,2021-01-30T15:02:39.000Z,Do do do dooooo bummmm bummm bummmmmmmm,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355531880318296064
Reclines,@ReclinesMC,2021-01-30T15:14:57.000Z,"Replying to 
@CookeYouTube
 @TheRealMster
 and 
@BlaysYouTube",also lie,,1,,2,[],https://twitter.com/ReclinesMC/status/1355534974418624515
ze cook man,@CookeYouTube,2021-01-30T15:15:05.000Z,True,,🍪 🍪,,,1,[],https://twitter.com/CookeYouTube/status/1355535010623873027
ze cook man,@CookeYouTube,2021-01-26T15:12:25.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",Notice me Kesha,🍪 🍪,,,,[],https://twitter.com/CookeYouTube/status/1354084784969015300
Blays,@BlaysYouTube,2021-01-30T14:59:50.000Z,"Replying to 
@CookeYouTube",EA sports,,1,,1,[],https://twitter.com/BlaysYouTube/status/1355531171493535744
ze cook man,@CookeYouTube,2021-01-30T15:00:03.000Z,It’s in the game,,🍪 🍪,,,,[],https://twitter.com/CookeYouTube/status/1355531224526299137
ze cook man,@CookeYouTube,2021-01-26T15:10:04.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",Get used to it ok,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354084197036658690
ze cook man,@CookeYouTube,2021-01-26T15:08:40.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",Throw some glitter,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354083842156605440
Zyphon ♡,@ZyphonYT,2021-01-30T03:00:26.000Z,Describe me in 3 words,,,238,3,395,[],https://twitter.com/ZyphonYT/status/1355350127519670279
ze cook man,@CookeYouTube,2021-01-30T05:36:15.000Z,Doesn’t answer emails,,🍪 🍪,,,,[],https://twitter.com/CookeYouTube/status/1355389339530891264
ze cook man,@CookeYouTube,2021-01-30T15:14:43.000Z,"Replying to 
@ReclinesMC
 @TheRealMster
 and 
@BlaysYouTube",Your the only active one,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355534919049613316
Blays,@BlaysYouTube,2021-01-30T15:13:45.000Z,"Replying to 
@TheRealMster
 @CookeYouTube
 and 
@ReclinesMC",me over here stealing other people ideas ,👀,2,,2,"['https://pbs.twimg.com/media/Es_TmcmXMAULon7?format=jpg&name=900x900', 'https://pbs.twimg.com/media/Es_TmcjXcAIpj3Q?format=jpg&name=900x900']",https://twitter.com/BlaysYouTube/status/1355534673397608450
ze cook man,@CookeYouTube,2021-01-30T15:14:17.000Z,You could use new thumbnails :3,,🍪 🍪,,,,[],https://twitter.com/CookeYouTube/status/1355534809100144645
ze cook man,@CookeYouTube,2021-01-26T15:08:00.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",Let me see their hands hands,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354083674199908354
ze cook man,@CookeYouTube,2021-01-26T15:09:49.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",We are taking over *blow oh oh oh*,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354084132008157187
 Mster,@TheRealMster,2021-01-30T15:09:13.000Z,"Replying to 
@CookeYouTube
 @ReclinesMC
 and 
@BlaysYouTube",fr I upload once a month,🎗,2,,2,[],https://twitter.com/TheRealMster/status/1355533534274981889
ze cook man,@CookeYouTube,2021-01-30T15:09:38.000Z,I upload once every 50 years,,🍪 🍪,2,,1,[],https://twitter.com/CookeYouTube/status/1355533636683100162
Blays,@BlaysYouTube,2021-01-30T15:10:51.000Z,"Replying to 
@CookeYouTube
 @TheRealMster
 and 
@ReclinesMC",bruh,,3,,2,['https://pbs.twimg.com/media/Es_S78YW4AkNm7E?format=jpg&name=small'],https://twitter.com/BlaysYouTube/status/1355533944104562696
ze cook man,@CookeYouTube,2021-01-30T15:12:25.000Z,Oh heyyyy that’s my yearly upload ok I’m good for another year now,,🍪 🍪,2,,1,[],https://twitter.com/CookeYouTube/status/1355534340059516931
Reclines,@ReclinesMC,2021-01-30T15:05:08.000Z,"Replying to 
@CookeYouTube",Activate screaming Cooke,,1,,2,[],https://twitter.com/ReclinesMC/status/1355532505449979909
ze cook man,@CookeYouTube,2021-01-30T15:05:30.000Z,"@BlaysYouTube
 care to send the file ?",,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355532595874959360
 Mster,@TheRealMster,2021-01-30T15:09:40.000Z,"Replying to 
@TheRealMster
 @CookeYouTube
 and 2 others",and when I try to record I’m just lazy,🎗,1,,2,[],https://twitter.com/TheRealMster/status/1355533648137756672
ze cook man,@CookeYouTube,2021-01-30T15:10:08.000Z,I just don’t have ideas,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355533764550684674
 Mster,@TheRealMster,2021-01-30T15:08:33.000Z,"Replying to 
@CookeYouTube
 @ReclinesMC
 and 
@BlaysYouTube",bruh,🎗,2,,3,[],https://twitter.com/TheRealMster/status/1355533364166619136
ze cook man,@CookeYouTube,2021-01-30T15:08:58.000Z,"I am dead, much like my YouTube channel",,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355533470244753410
 Mster,@TheRealMster,2021-01-30T15:10:36.000Z,"Replying to 
@CookeYouTube
 @ReclinesMC
 and 
@BlaysYouTube",i just try to do commentary,🎗,1,,1,[],https://twitter.com/TheRealMster/status/1355533882104418305
ze cook man,@CookeYouTube,2021-01-30T15:11:28.000Z,"Nice, I personally stick to videos with twists on my game such as Minecraft but my mouse is inverted",,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1355534097997848577
Reclines,@ReclinesMC,2021-01-30T15:07:49.000Z,"Replying to 
@CookeYouTube
 and 
@BlaysYouTube",NO IVE LOST THE WAR,,1,,2,[],https://twitter.com/ReclinesMC/status/1355533180309282819
ze cook man,@CookeYouTube,2021-01-30T15:08:13.000Z,YEA AND TO A DEAD PERSON,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355533281085812740
ze cook man,@CookeYouTube,2021-01-30T02:47:56.000Z,Fete)&/(&6’fnfn,,🍪 🍪,1,,1,[],https://twitter.com/CookeYouTube/status/1355346984241127428
ze cook man,@CookeYouTube,2021-01-30T15:19:22.000Z,"Replying to 
@TheRealMster
 @BlaysYouTube
 and 2 others",Bet,🍪 🍪,,,1,[],https://twitter.com/CookeYouTube/status/1355536087695896578
Pixelated,@PixelatedReal,2021-01-30T20:38:20.000Z,"Replying to 
@29planets
 and 
@a6doff",C,,1,,11,[],https://twitter.com/PixelatedReal/status/1355616356394295297
ze cook man,@CookeYouTube,2021-01-30T20:38:29.000Z,D,,🍪 🍪,1,,3,[],https://twitter.com/CookeYouTube/status/1355616394881200129
ze cook man,@CookeYouTube,2021-01-26T15:08:24.000Z,"Replying to 
@CookeYouTube
 and 
@RhysesPuff",Go insane go insane,🍪 🍪,1,,,[],https://twitter.com/CookeYouTube/status/1354083777266462724
