UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Croc Daddy,@CrocDaddy5,2021-07-20T01:25:29.000Z,"Still waiting on my sponsorship 
@Crocs
  look at the brand awareness I can bring to the table. This #safari getup is unbeatable.","0:14
11 views",,,1,2,[],https://twitter.com/CrocDaddy5/status/1417294558094712835
Crocs Shoes,@Crocs,2021-07-28T18:38:20.000Z,Crocs on a first date: yes or yes? ,,😍,69,183,1.1K,[],https://twitter.com/Crocs/status/1420453587373596676
Croc Daddy,@CrocDaddy5,2021-07-29T15:53:56.000Z,Is you for real? Crocs on every date.,,,,,,[],https://twitter.com/CrocDaddy5/status/1420774602909782016
Jodi Andrea ◍,@reaIannoyed,2021-07-17T23:43:11.000Z,"If California’s treatment of a pedo and a racist anti-Semite is any indication, 2022 looks like we could be riding a new blue wave. #MattGaetzIsAPervert #MarjorieTaylorGreeneIsAMonster",,,52,325,1.3K,[],https://twitter.com/reaIannoyed/status/1416544038094839820
Croc Daddy,@CrocDaddy5,2021-07-18T05:04:31.000Z,California is not a good state to base anything off of at all ever.,,,1,,2,[],https://twitter.com/CrocDaddy5/status/1416624906054246400
#MovingAmericaForward,@KoaCalifornia,2021-07-18T16:31:01.000Z,"Replying to 
@CrocDaddy5
 and 
@reaIannoyed",we have the 5th largest economy in the world. Keep crying.,😆,3,,,[],https://twitter.com/KoaCalifornia/status/1416797666634129410
Croc Daddy,@CrocDaddy5,2021-07-18T16:34:27.000Z,And you’re losing electoral votes because people are leaving the state.,,,,,,[],https://twitter.com/CrocDaddy5/status/1416798531004735489
Croc Daddy,@CrocDaddy5,2021-07-18T16:32:50.000Z,"Replying to 
@KoaCalifornia
 and 
@reaIannoyed",And you still can’t keep poop off of the streets of your cities.,,,,,[],https://twitter.com/CrocDaddy5/status/1416798125189001218
The Chosen One : I YOU FRESHIE 4EVER,@KidCudi,2021-07-17T23:43:24.000Z,"Turned my comments off on instagram.  Seems people really have a problem w me painting my nails.  I got tired of blockin so many accounts.  I really need u to understand, if u dont like me doin this or anything I do, please dont buy my albums, dont come to my shows. Fuck way off.",,💖,1.4K,10.3K,99.4K,[],https://twitter.com/KidCudi/status/1416544093434388482
Croc Daddy,@CrocDaddy5,2021-07-18T00:28:39.000Z,"Why would anyone care about virtually anything other than whether or not you have your own line of signature 
@Crocs",,,,,,[],https://twitter.com/CrocDaddy5/status/1416555481422655489
