UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Никита,@EvileTorch,2021-08-17T15:40:00.000Z,Люд_-_и,,,1,,,[],https://twitter.com/EvileTorch/status/1427656466656268294
Никита,@EvileTorch,2021-08-17T15:40:11.000Z,СОШЛИ С УМА,,,,,,[],https://twitter.com/EvileTorch/status/1427656511787085834
посмертие,@h__amlet,2021-08-27T06:44:37.000Z,всем привет надеюсь у вас хороший день,,,1,,5,['https://pbs.twimg.com/media/E9xzWSXWEAAgrfe?format=jpg&name=240x240'],https://twitter.com/h__amlet/status/1431145611731034115
Никита,@EvileTorch,2021-08-27T10:15:25.000Z,"Привет!Надеюсь, у тебя он еще лучше",,,1,1,1,['https://pbs.twimg.com/media/E9yjd6iXsAIFt6_?format=jpg&name=small'],https://twitter.com/EvileTorch/status/1431198658138103809
Никита,@EvileTorch,2021-08-18T04:17:26.000Z,Требую справедливости и обнимашек!!!,,,,,,[],https://twitter.com/EvileTorch/status/1427847078265475073
Герр Хальт,@hatenant,2021-08-02T23:46:31.000Z,"Replying to 
@hatenant","как находить к вам подход, если вы не даете мне подступиться?",,1,,1,[],https://twitter.com/hatenant/status/1422343084327817216
Никита,@EvileTorch,2021-08-17T15:19:41.000Z,глубокомысленно,,,,,,[],https://twitter.com/EvileTorch/status/1427651353619406860
посмертие,@h__amlet,2021-08-22T09:31:55.000Z,"Replying to 
@EvileTorch","да пока ничего нет, рано радоваться))
но да есть такое",,2,,1,[],https://twitter.com/h__amlet/status/1429375774809808899
Никита,@EvileTorch,2021-08-22T09:38:23.000Z,"Да прибудет с тобой любовь и доброта!А я пошёл, сделаю некоторые дела...",,😳,,,,[],https://twitter.com/EvileTorch/status/1429377400643674118
Герр Хальт,@hatenant,2021-07-11T13:21:58.000Z,"бля, может в лигу вернуться",,,1,,1,[],https://twitter.com/hatenant/status/1414213377321275393
Никита,@EvileTorch,2021-08-17T15:26:03.000Z,А ДА ?,,,,,2,[],https://twitter.com/EvileTorch/status/1427652954610352136
Никита,@EvileTorch,2021-08-22T08:56:59.000Z,"Replying to 
@EvileTorch
 and 
@h__amlet",Обэмы или Жирика?,,1,,1,[],https://twitter.com/EvileTorch/status/1429366979878600707
посмертие,@h__amlet,2021-08-22T09:01:30.000Z,"Replying to 
@EvileTorch",а обэма?,,1,,1,[],https://twitter.com/h__amlet/status/1429368120037318660
Никита,@EvileTorch,2021-08-22T09:03:52.000Z,"Он смешной, когда напьётся, и очень милый когда трезвый.Никого не напоминает?",,,1,,1,[],https://twitter.com/EvileTorch/status/1429368715074809858
посмертие,@h__amlet,2021-08-22T08:58:59.000Z,"Replying to 
@EvileTorch",если крутой то почему объект насмехательств?,,1,,,[],https://twitter.com/h__amlet/status/1429367483488690177
Никита,@EvileTorch,2021-08-22T09:01:01.000Z,"Крутой, круче всех в своё время был, но президентом так и не стал.Потом превратился в клоуна.Но клоуна с пиздатым полит. прошлым",,🧐,1,,1,[],https://twitter.com/EvileTorch/status/1429367996145930242
Никита,@EvileTorch,2021-08-22T09:24:44.000Z,"Replying to 
@EvileTorch
 and 
@h__amlet","Перевожу с ДревнеЖириновского: ""Нет смысла фармить деньги что бы их экономить. Я считаю, это имеет смысл только если есть какая-то цель!""",,,,1,[],https://twitter.com/EvileTorch/status/1429373966305660932
посмертие,@h__amlet,2021-08-22T08:56:06.000Z,"Replying to 
@h__amlet","так хочется денег 
но они будут лежать у меня до следующего года потому что жаба душит тратить 
ну а что зато экономия",😔,2,,6,[],https://twitter.com/h__amlet/status/1429366758012506113
Никита,@EvileTorch,2021-08-22T09:22:54.000Z,"Так а фармить бабки, если ты их собираешься в итого просто экономить?Собирать деньги и тратить их на определённые прихоти-_-вот цель фарма рубликов!",,🧐,2,,1,[],https://twitter.com/EvileTorch/status/1429373504663740416
посмертие,@h__amlet,2021-08-22T09:24:51.000Z,"Replying to 
@EvileTorch",не знаю пока куда лучше потратить,,1,,1,[],https://twitter.com/h__amlet/status/1429373996445880320
Никита,@EvileTorch,2021-08-22T09:30:29.000Z,"Ммммм, как тебе везёт!Предвкушение покупки и выбор товара, осознание того, что у тебя есть деньги, которые ты можешь потратить куда захочется,сам факт наличия денег,возможности и выбора...Он опьяняет ",,🤑,1,,1,[],https://twitter.com/EvileTorch/status/1429375411826438144
посмертие,@h__amlet,2021-08-22T08:57:12.000Z,"Replying to 
@EvileTorch",жирик,,1,,1,[],https://twitter.com/h__amlet/status/1429367035406999560
Никита,@EvileTorch,2021-08-22T08:58:08.000Z,"Нет, он объект насмехательств с моей стороны(-_-). Но мужик крутой",,,1,,1,[],https://twitter.com/EvileTorch/status/1429367271223439367
