UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kristian Fabella,@FabellaKristian,2021-02-03T02:31:03.000Z,"@julieike1
 gave me a “Little Lift” by getting us a cat 
@TurboTax
 #LittleLifts #Sweepstakes",,,,,,[],https://twitter.com/FabellaKristian/status/1356792285678067712
Miley Ray Cyrus,@MileyCyrus,2021-03-31T17:00:37.000Z,"Nothing is more important than investing in yourself. I want to spread ownership to as many people as I can, so I’m teaming up with 
@CashApp
 to give out $1 MILLION in stocks. Share your $Cashtag & favorite company name for your chance to own#INVESTINYOU #partner #15YearsofMiley",,📈,79.9K,22.5K,51.8K,['https://pbs.twimg.com/media/Ex0rcoUW8AQYIxX?format=jpg&name=small'],https://twitter.com/MileyCyrus/status/1377304839949066240
Kristian Fabella,@FabellaKristian,2021-03-31T21:44:49.000Z,American airlines (AAL) is my fav. My cashtag is $jki96744 thanks!,,,,,,[],https://twitter.com/FabellaKristian/status/1377376361166237697
Kristian Fabella,@FabellaKristian,2021-04-03T04:47:22.000Z,American airlines (AAL) is my fav. My cashtag is $jki96744 thanks! #investinYou,,,1,,,[],https://twitter.com/FabellaKristian/status/1378207473639714823
Kristian Fabella,@FabellaKristian,2021-04-01T02:34:12.000Z,A #CountdownEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1377449184828084225
Kristian Fabella,@FabellaKristian,2021-05-09T21:42:11.000Z,"#Win The Magnificent - Nebulizing Diffuser by 
@organicaromas
 https://bit.ly/3eTYmfE #retweet","Organic Aromas Weekly Giveaway May 3 2021
This week we are giving away Magnificent - Nebulizing Diffuser by Organic Aromas. Try the Magnificent - beautifully hand-crafted Nebulizing Essential Oil Diffuser with a smooth, rounded plantation...
organicaromas.com",,,,,['https://pbs.twimg.com/card_img/1433138122343129089/NiVEhgFi?format=jpg&name=360x360'],https://twitter.com/FabellaKristian/status/1391508824666763271
Cold Stone Creamery,@ColdStone,2021-04-26T21:45:02.000Z,"Nominate a teacher to win $250 in Cold Stone gift cards to share with their fellow teachers!

 Tag the teacher you want to nominate below
 Tell us why they are extra special
 That's it! We will select 10 winner's on 05/10

> Official rules: https://bit.ly/3euUlOP",,🍦 🍦 🍦,136,52,119,['https://pbs.twimg.com/media/Ez7l4llXoAY972v?format=jpg&name=small'],https://twitter.com/ColdStone/status/1386798499338063873
Kristian Fabella,@FabellaKristian,2021-05-01T03:06:40.000Z,I nominate Angelina Diep because she is a good teacher!,,,,,1,[],https://twitter.com/FabellaKristian/status/1388328991820419072
Chili's Grill & Bar,@Chilis,2021-05-02T18:38:14.000Z,"On 5/5, we’re hiding 25 piñatas filled with a $500 gift card + Cinco swag in 5 select cities! Plus, enter to win your own merch piñata by:  
 -Dropping a piñata emoji  in the comments & tagging up to 5 people below 
Check out the full rules here: https://ch1l.is/cincogiveaway",,🪅,1.8K,452,1K,['https://pbs.twimg.com/media/E0Z0fKlWEAIqtO1?format=jpg&name=small'],https://twitter.com/Chilis/status/1388925815295991809
Kristian Fabella,@FabellaKristian,2021-05-05T16:32:50.000Z,"I don't have the emoji 
@julieike1",,,,,,['https://pbs.twimg.com/media/E0o0qPvUYAExtlv?format=png&name=240x240'],https://twitter.com/FabellaKristian/status/1389981424338366464
Kristian Fabella,@FabellaKristian,2021-05-13T20:11:59.000Z,A #CountdownEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935675863846913
Kristian Fabella,@FabellaKristian,2021-05-13T20:12:38.000Z,E #CrunchClassicEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935842360938497
Kristian Fabella,@FabellaKristian,2021-05-13T20:12:10.000Z,E #CountdownEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935723720863745
Kristian Fabella,@FabellaKristian,2021-05-13T20:12:36.000Z,D #CrunchClassicEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935830713344000
Kristian Fabella,@FabellaKristian,2021-05-13T20:12:33.000Z,C #CrunchClassicEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935819896180737
Kristian Fabella,@FabellaKristian,2021-05-13T20:12:31.000Z,B #CrunchClassicEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935809242730497
Kristian Fabella,@FabellaKristian,2021-05-13T20:12:28.000Z,A #CrunchClassicEntry,,,,,,[],https://twitter.com/FabellaKristian/status/1392935796491968514
Kristian Fabella,@FabellaKristian,2021-05-08T06:09:04.000Z,"Replying to 
@Venmo",@julieike1,,,,,[],https://twitter.com/FabellaKristian/status/1390911612177944580
Natural Light,@naturallight,2021-06-02T14:00:07.000Z,"House feeling crowded? We're sending someone's parents to ALASKA so you can have the place to yourself for a week. We’ll even give you $1K! 

Tell us your parents need to leave w/o telling us your parents need to leave with #SendMyParentsAway #Sweepstakes for your chance to win",,,842,150,543,['https://pbs.twimg.com/media/E24eTQjXoAAA1_K?format=jpg&name=small'],https://twitter.com/naturallight/status/1400089852662722563
Kristian Fabella,@FabellaKristian,2021-06-14T00:32:54.000Z,#sendmyparentsaway #sweepstakes my parents need to get out. Alaska would be a dream come true for them,,,,,,[],https://twitter.com/FabellaKristian/status/1404235361992151040
Kristian Fabella,@FabellaKristian,2021-06-14T01:29:05.000Z,#BuschToTheMoon and #Sweepstakes,,,,,,[],https://twitter.com/FabellaKristian/status/1404249500592472069
