UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Secretary Antony Blinken,@SecBlinken,2021-08-28T02:42:33.000Z,"During my call with Qatar's Deputy Prime Minister & Minister of Foreign Affairs 
@MBA_AlThani_
, I thanked him again for Qatar’s continued support to transit U.S. citizens, 
@USEmbassyKabul
 personnel, & foreign nationals from Afghanistan. Qatar has gone above & beyond with its help.",,,289,447,2.2K,[],https://twitter.com/SecBlinken/status/1431447081093304323
Farooq Darman,@FarooqDarman,2021-08-28T02:43:19.000Z,"I am from Afghanistan 
I am in danger here I need to visa",,,1,6,16,[],https://twitter.com/FarooqDarman/status/1431447272215228417
Farooq Darman,@FarooqDarman,2021-08-27T18:06:15.000Z,"Replying to 
@wastelandr69
 and 
@WhiteHouse",Thanks friend,,,,,[],https://twitter.com/FarooqDarman/status/1431317148803162115
Demcorrupt,@hongkongpepe,2021-08-28T02:31:11.000Z,"Replying to 
@OttoHuang120
 and 
@JennaEllisEsq",He doesn’t want to listen,,1,,,[],https://twitter.com/hongkongpepe/status/1431444218925441024
Farooq Darman,@FarooqDarman,2021-08-28T03:37:53.000Z,"He Friend 
I am from Afghanistan 
I am Journalist
I want to some special talking with you give me your what's app number",,,,,1,[],https://twitter.com/FarooqDarman/status/1431461006530723841
Joe Andrews,@JoeAndr72507805,2021-08-27T01:09:04.000Z,"Replying to 
@FarooqDarman
 @SecBlinken
 and 
@DominicRaab",Can you get through to the state department,,1,,,[],https://twitter.com/JoeAndr72507805/status/1431061168181809155
Farooq Darman,@FarooqDarman,2021-08-27T01:13:27.000Z,"Give me your what's app number
I will give my all information",,,2,,,[],https://twitter.com/FarooqDarman/status/1431062269606121473
ian bremmer,@ianbremmer,2021-08-28T12:30:01.000Z,"Where will Afghan refugees go?

Most will aim to reach Europe, but the countries along the way don't want them.

What if they can't leave Afghanistan?
@csantamir
 @gzeromedia","No exit from Afghanistan
Where will Afghan refugees go? Most will try to head to Europe, but few countries anywhere along that route want to take them in. Here are three examples on the way.
gzeromedia.com",,18,15,52,['https://pbs.twimg.com/card_img/1432476076236750857/FA0VmPbg?format=jpg&name=small'],https://twitter.com/ianbremmer/status/1431594919920128009
Farooq Darman,@FarooqDarman,2021-08-28T12:33:48.000Z,"I am Afghan 
I am Journalist I need to America vis a I am in danger here pls senx text message",,🙏 👈,,,,[],https://twitter.com/FarooqDarman/status/1431595874535280642
John Stallings,@JohnSta04243440,2021-08-28T01:16:40.000Z,"Replying to 
@FarooqDarman
 @wastelandr69
 and 
@WhiteHouse","Hasbara© disabled it w 5,000+ FB friends. ",❄ 😶 ❄,1,,,['https://pbs.twimg.com/media/E91x3l5XIAI--3N?format=jpg&name=medium'],https://twitter.com/JohnSta04243440/status/1431425466108452868
