UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rex Chapman,@RexChapman,2021-01-07T01:28:28.000Z,I want to know where in the hell Donald Trump is. For reals.,,,1.7K,753,12K,[],https://twitter.com/RexChapman/status/1346992063489966081
Matthew James Gager,@Gagermade,2021-01-07T01:34:46.000Z,He got locked out of his Twitter Bro.,,,,,,[],https://twitter.com/Gagermade/status/1346993647561142275
Matthew James Gager,@Gagermade,2021-01-07T01:48:06.000Z,"Replying to 
@AdamU247
 and 
@NikScalzo","He has an opportunity, you have a computer screen, a keyboard, and a porn addiction. God loves you!",,1,,12,[],https://twitter.com/Gagermade/status/1346997003180515331
Matthew James Gager,@Gagermade,2021-01-30T14:11:25.000Z,"Replying to 
@FightCentralTV",I probably wouldn’t invite it and stand there.,,,,,[],https://twitter.com/Gagermade/status/1355518985924710401
Matthew James Gager,@Gagermade,2021-01-30T14:39:30.000Z,"Replying to 
@FightCentralTV",Did he have brass Knucks on?,,,,,[],https://twitter.com/Gagermade/status/1355526055260520453
NY SPORTS,@NYSPORT43136937,2021-01-06T23:51:24.000Z,"Replying to 
@lnsane_Fights",No you go reflect on the bad decision you just made ,😂,1,1,32,['https://pbs.twimg.com/media/ErFj7IlXIAAb68C?format=jpg&name=medium'],https://twitter.com/NYSPORT43136937/status/1346967634072498177
Matthew James Gager,@Gagermade,2021-01-30T13:52:39.000Z,Definitely didn’t go how he had imagined it would.,,,,,1,[],https://twitter.com/Gagermade/status/1355514263448780807
TheC,@thecfrom1982,2021-01-29T21:03:22.000Z,"Replying to 
@lnsane_Fights","That last shot landed wasn’t necessary. Pisses me off, he could hurt him bad! People don’t think when they fight, don’t do unnecessary roughness, you’ll regret it later. He was already down, why you want to land that hand!!",,5,,,[],https://twitter.com/thecfrom1982/status/1355260268473937921
Matthew James Gager,@Gagermade,2021-01-30T13:51:52.000Z,"The elbow don’t piss you off and the attempted choke don’t piss you off, but the 2nd hit on the guy pisses you off. SMDMFH",,,,,1,[],https://twitter.com/Gagermade/status/1355514068887609347
Vulcanus,@Vulcanus14,2020-12-21T14:08:37.000Z,"Replying to 
@FightCentralTV",What I never understand: why does someone never help?  So many strong men who just watch and film.,,4,,20,[],https://twitter.com/Vulcanus14/status/1341022766045249536
Matthew James Gager,@Gagermade,2021-01-30T14:30:50.000Z,Why tf does someone always ask this question? The one asked a question and the other answered it with a curb stomp. Ain’t no room for the weak in the fight game. Lol,,,,,1,[],https://twitter.com/Gagermade/status/1355523872184004610
Matthew James Gager,@Gagermade,2021-01-30T14:22:59.000Z,a toaster!!!!,,😂 🤣 😂 🤣 😂 🤣 😂 🤣 😂 🤣 🤣,,,,[],https://twitter.com/Gagermade/status/1355521896163516421
Mike Wallace,@mikeponyindy,2020-12-03T15:59:45.000Z,"Replying to 
@FightCentralTV","If only this was the first video I've seen like this I would have truly have felt I dont know like sad maybe, but after countless videos with the same same exact situation. C'mon man Insanity is an understatement. And really you gone have kill me for all that money.",,1,,9,[],https://twitter.com/mikeponyindy/status/1334527752146477058
Matthew James Gager,@Gagermade,2021-01-30T14:49:53.000Z,"You gonna die over, $2500-3000? You dumb.",,,,,,[],https://twitter.com/Gagermade/status/1355528667364007938
trailmix,@jaedon20448780,2021-01-07T18:24:09.000Z,"Replying to 
@torqaa
 and 
@lnsane_Fights","No, it didn’t.",,1,,2,[],https://twitter.com/jaedon20448780/status/1347247669228560384
Matthew James Gager,@Gagermade,2021-01-30T13:49:53.000Z,I mean he did turn around and ask what happened?..! ,,😂 😂 😂 😂,1,,,[],https://twitter.com/Gagermade/status/1355513566066053124
Boo Boo,@EhhhhYoo,2021-01-21T20:26:14.000Z,"Replying to 
@lnsane_Fights",Damn stranger things laid him out,,5,1,79,[],https://twitter.com/EhhhhYoo/status/1352351823181578252
Matthew James Gager,@Gagermade,2021-01-30T14:03:57.000Z,I ducking just died!!! Stranger things!!!!,,😂 😂 😂 😂 😂,,,,[],https://twitter.com/Gagermade/status/1355517106943623169
Matthew James Gager,@Gagermade,2021-01-30T14:35:56.000Z,"Replying to 
@reign_beau_
 and 
@FightCentralTV",True but he may have just got there.,,,,,[],https://twitter.com/Gagermade/status/1355525157075509256
