UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oladiposburner 0-0,@Goatpoburner,2021-08-27T03:00:52.000Z,James harden was really doing this on the regular in 2019,,🌴 🌴,2,,7,"['https://pbs.twimg.com/media/E9xAIFvWEAYmw74?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xAIcsWQAMetT1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xAISyXEAY1V3j?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xAIlzWUAEX9Ds?format=jpg&name=360x360']",https://twitter.com/Goatpoburner/status/1431089299714416643
Oladiposburner 0-0,@Goatpoburner,2021-08-28T23:46:04.000Z,"My MVPs From The Last 20 Years:

2000: Shaq
2001: Shaq
2002: Shaq
2003: KG
2004: KG
2005: Nash
2006: Nash
2007: Nash 
2008: LBJ
2009: Wade
2010: LBJ
2011: LBJ 
2012: LBJ
2013: LBJ 
2014: LBJ
2015: cp3
2016: LBJ
2017: JH
2018: LBJ
2019: JH
2020: Akumpo
2021: Butler",,🌴 🌴,,1,1,[],https://twitter.com/Goatpoburner/status/1431765055138377728
Oladiposburner 0-0,@Goatpoburner,2021-08-27T03:00:52.000Z,Wade still clear tho,,🌴 🌴,,,3,[],https://twitter.com/Goatpoburner/status/1431089301517971461
Oladiposburner 0-0,@Goatpoburner,2021-08-25T13:09:48.000Z,Classy,"Oladiposburner 0-0
@Goatpoburner
 · Jun 21
BLACK PEOPLE DISGUST ME
#Whitesavior
Show this thread",🌴 🌴 🌴 🌴,,,1,['https://pbs.twimg.com/profile_images/1431997848787238913/zgjADcHD_mini.jpg'],https://twitter.com/Goatpoburner/status/1430517768626098179
𝙁𝙡𝙖𝙢𝙚𝙨,@FlamesNBA21,2021-08-28T23:38:33.000Z,"Replying to 
@Goatpoburner
 and 
@IIReeceIl",Nah it was 09-11 I'm pretty sure,🔥,1,,2,[],https://twitter.com/FlamesNBA21/status/1431763164224540672
Oladiposburner 0-0,@Goatpoburner,2021-08-28T23:39:49.000Z,Im including 06 because that run was legendary in the playoffs and i heard he had a good season 08 i don't look at stats that much,,🌴 🌴,,,2,[],https://twitter.com/Goatpoburner/status/1431763481263550464
Oladiposburner 0-0,@Goatpoburner,2021-08-27T11:06:31.000Z,"Replying to 
@jvh41178566
 and 
@HeatNationCom",I would leave too if i was lebron tho,🌴 🌴,1,,,[],https://twitter.com/Goatpoburner/status/1431211517895188481
Oladiposburner 0-0,@Goatpoburner,2021-08-26T00:21:49.000Z,Magic fan btw,"EVRYDAY Magic
@EVRYDAYMagic
 · Aug 26
Replying to @Wadesburner
You sound upset",🌴 🌴,1,1,2,['https://pbs.twimg.com/profile_images/1378648494949478403/4_jBiF8H_mini.jpg'],https://twitter.com/Goatpoburner/status/1430686888583733250
Oladiposburner 0-0,@Goatpoburner,2021-08-27T02:16:15.000Z,"Replying to 
@j0seirl","Im leaving this app. To all the friends i made here, its been real.",🌴 🌴,1,,,[],https://twitter.com/Goatpoburner/status/1431078072355364873
Oladiposburner 0-0,@Goatpoburner,2021-08-27T11:02:25.000Z,Think we see a tweet about a superstar like this daily,"Hoop Central
@TheHoopCentral
 · Aug 27
Is Tim Duncan The Most Underappreciated Superstar In NBA History? 

(via @FadeawayWorld)

https://fadeawayworld.net/nba/tim-duncan-is-the-most-underappreciated-superstar-in-nba-history…",🌴 🌴,,,1,['https://pbs.twimg.com/profile_images/789575321905270785/YAnuXhye_mini.jpg'],https://twitter.com/Goatpoburner/status/1431210485874143232
Oladiposburner 0-0,@Goatpoburner,2021-08-26T00:05:37.000Z,Butler and it isn't remotely close,"𝕸𝖔𝖈𝖍𝖎
@Lakers_4_layp
 · Aug 26
Beal or Butler
Show this thread",🌴 🌴 🏀,1,,4,"['https://pbs.twimg.com/profile_images/1432917197685346309/SRFHKOSm_mini.jpg', 'https://pbs.twimg.com/media/E9rJhrSVEAIy_5x?format=jpg&name=small', 'https://pbs.twimg.com/media/E9rJhrRVIAUbgwb?format=jpg&name=small']",https://twitter.com/Goatpoburner/status/1430682811023994884
BEE,@beebutextra,2021-08-28T16:27:35.000Z,"Replying to 
@DownBadForDevin
 @classyk1ng
 and 
@classydy1an",girl ur literally 15 stop being a pick me and go do ur math homework ,🌸 🌸 ☹,5,,1,[],https://twitter.com/beebutextra/status/1431654707295105028
Oladiposburner 0-0,@Goatpoburner,2021-08-28T20:11:06.000Z,Respect liz?,,🌴 🌴,,,2,[],https://twitter.com/Goatpoburner/status/1431710954337804295
Oladiposburner 0-0,@Goatpoburner,2021-08-27T02:20:05.000Z,Air if maga,,🌴 🌴,,1,,['https://pbs.twimg.com/media/E9w2zTMX0AI9ZIo?format=jpg&name=small'],https://twitter.com/Goatpoburner/status/1431079038370656257
Justin CLB FRIDAY,@WustinRoadFlows,2021-08-28T01:26:58.000Z,English ? Kanye fans are so dumb,"The following media includes potentially sensitive content. Change settings
View",🌷,1,,1,[],https://twitter.com/WustinRoadFlows/status/1431428057601019906
Oladiposburner 0-0,@Goatpoburner,2021-08-28T01:27:33.000Z,Drake clear,,🌴 🌴,2,,1,[],https://twitter.com/Goatpoburner/status/1431428206003949568
Oladiposburner 0-0,@Goatpoburner,2021-08-26T00:00:05.000Z,NOTIS,"Oladiposburner 0-0
@Goatpoburner
 · Aug 26
Replying to @fcbjosee @BammyBurner and @Wxrpzbutclassy
Own a paycheck",🌴 🌴 🌴 🌴,,,,['https://pbs.twimg.com/profile_images/1431997848787238913/zgjADcHD_mini.jpg'],https://twitter.com/Goatpoburner/status/1430681418607251459
𝙊𝙢𝙚𝙜𝙖𝙡𝙤𝙙𝙖𝙣’¹³,@OmegaAndDon,2021-06-21T02:01:29.000Z,"Replying to 
@Goatpoburner",Facts ,💯,1,,,[],https://twitter.com/OmegaAndDon/status/1406794371974918147
Oladiposburner 0-0,@Goatpoburner,2021-08-25T13:10:08.000Z,Unrel,,🌴 🌴,,,1,[],https://twitter.com/Goatpoburner/status/1430517850813476869
Oladiposburner 0-0,@Goatpoburner,2021-08-28T23:34:05.000Z,Wade clear imo,"𝙁𝙡𝙖𝙢𝙚𝙨
@FlamesNBA21
 · Aug 28
You decide.
Show this thread",🌴 🌴 🔥,1,1,4,"['https://pbs.twimg.com/profile_images/1432375791392903174/ELrocUj6_mini.jpg', 'https://pbs.twimg.com/media/E96AmNOWEAA7-9k?format=jpg&name=small']",https://twitter.com/Goatpoburner/status/1431762036644589578
Ahmed,@WestBrodie4,2021-08-27T03:03:16.000Z,"Replying to 
@Goatpoburner
 @AkiEkezie
 and 
@JHarden13",Yeah but if harden wins one ring I think he clears him in all time,,1,,2,[],https://twitter.com/WestBrodie4/status/1431089907036999685
Oladiposburner 0-0,@Goatpoburner,2021-08-27T03:22:50.000Z,The text first logic in friendships or relationships is so flawed lmao. It can go either way.,,🌴 🌴,,1,,[],https://twitter.com/Goatpoburner/status/1431094828469719046
Heat/Fins,@Heat4life01,2021-08-25T23:40:53.000Z,Why is Heat twitter always arguing  why can’t we just agree on something for once,,🔥 🐬 😭,11,1,40,[],https://twitter.com/Heat4life01/status/1430676587800846345
Oladiposburner 0-0,@Goatpoburner,2021-08-25T23:42:01.000Z,Hate when other fanbases barge in,,🌴 🌴,1,,2,[],https://twitter.com/Goatpoburner/status/1430676870459179009
Oladiposburner 0-0,@Goatpoburner,2021-08-27T02:17:08.000Z,"Replying to 
@fcbjosee",nuggets w mavs*,🌴 🌴,2,,,[],https://twitter.com/Goatpoburner/status/1431078296117207042
Oladiposburner 0-0,@Goatpoburner,2021-08-27T02:17:40.000Z,Basically first option pg this season. League in trouble. Clips r clear.,,🌴 🌴,1,,,[],https://twitter.com/Goatpoburner/status/1431078428522995723
Oladiposburner 0-0,@Goatpoburner,2021-08-28T01:40:16.000Z,"Replying to 
@DownBadForDevin",Its just nba chat without the name nba,🌴 🌴,,,,[],https://twitter.com/Goatpoburner/status/1431431405700096000
B*nny,@GrandSlamXander,2021-08-25T23:42:17.000Z,the right pasta make me nut ong,"julian
@takeoverjulian
 · Aug 26
Replying to @GrandSlamXander
pasta and pizza is elite",🌨,3,2,7,['https://pbs.twimg.com/profile_images/1428535738971295748/tvzjPOKd_mini.jpg'],https://twitter.com/GrandSlamXander/status/1430676937433812996
Oladiposburner 0-0,@Goatpoburner,2021-08-26T00:31:26.000Z,Rare W,,🌴 🌴,,,,[],https://twitter.com/Goatpoburner/status/1430689307157831690
Oladiposburner 0-0,@Goatpoburner,2021-08-26T00:26:54.000Z,"Replying to 
@ClappedAgent","Hey great post, like really great post, but I think it would’ve been better if it had some sort of connection to Precious’s greatness.",🌴 🌴,2,,2,[],https://twitter.com/Goatpoburner/status/1430688167041150984
