UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
VIG Gold Jay,@Gold_Jay114,2021-01-07T18:15:26.000Z,MY FIRST ACE,"0:55
7 views",,,,1,[],https://twitter.com/Gold_Jay114/status/1347245473938202629
VIG Gold Jay,@Gold_Jay114,2021-01-07T19:37:10.000Z,Second ACE of the day!,,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1347264448239702022/pu/img/6d9Ys7k6D0DJQT9Y.jpg'],https://twitter.com/Gold_Jay114/status/1347266043530653697
VIG Gold Jay,@Gold_Jay114,2021-01-10T15:35:39.000Z,"Replying to 
@zTxns",Playing more Valorant now.,,,,,[],https://twitter.com/Gold_Jay114/status/1348292426092449793
VIG Gold Jay,@Gold_Jay114,2021-01-08T02:54:29.000Z,"Replying to 
@OnePercentHQ",@FRANKIEISCRACK1,,,,,[],https://twitter.com/Gold_Jay114/status/1347376097776828420
VIG Gold Jay,@Gold_Jay114,2021-01-07T18:15:26.000Z,MY FIRST ACE,"7 views
0:03 / 0:56",,,,1,[],https://twitter.com/Gold_Jay114/status/1347245473938202629
VIG Gold Jay,@Gold_Jay114,2021-01-16T00:28:54.000Z,PC SETUP WOO!!,,,3,,4,['https://pbs.twimg.com/media/Er0CyETXcAExo-Y?format=jpg&name=small'],https://twitter.com/Gold_Jay114/status/1350238565066805253
ALIENWARE,@Alienware,2021-01-15T21:19:15.000Z,Want a chance to win an opportunity to play with our next VIP player? Reply below by 1/19/21 w/your gamertag + #WhatDoTheyCallYou (must follow us to reply) to enter & 3 ppl may play #FallGuys with a surprise guest. NO PURCHASE NECESSARY. Official Rules: https://dell.to/3qmkoMp,,,273,204,2.5K,['https://pbs.twimg.com/media/ErzXVtiXIAMS8_p?format=jpg&name=small'],https://twitter.com/Alienware/status/1350190838224211969
VIG Gold Jay,@Gold_Jay114,2021-01-16T00:18:42.000Z,Gamertag: Gold Jay #WhatDoTheyCallYou #FallGuys,,,,,4,[],https://twitter.com/Gold_Jay114/status/1350235996114321411
VIG Gold Jay,@Gold_Jay114,2021-01-28T07:33:10.000Z,WE DID IT!! WE GOT TO 90!! 24 Hour stream if we reach 100!,,,,,1,['https://pbs.twimg.com/media/EszW54CW8AYp5ev?format=png&name=small'],https://twitter.com/Gold_Jay114/status/1354693986791919622
VIG Gold Jay,@Gold_Jay114,2021-01-28T09:40:39.000Z,https://twitch.tv/Gold_Jay114 EVERYONE JOIN UP!,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,1,['https://pbs.twimg.com/card_img/1430857903578107911/JDCHkvel?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1354726071292358657
MisfitMayhem,@Misfit_Mayhem_,2021-01-21T00:58:35.000Z,"To all of our longtime supporters, you truly are what motivates us to keep delivering content and striving to be the best we can be. Thank you
@noteven5minutes
 @coolsammy30
 @Gold_Jay114
 @ORumpleforskinn
 @rtfassassin
 and everyone from the 
@C45Empire",,💜 💚 💙,4,9,10,[],https://twitter.com/Misfit_Mayhem_/status/1352057973560860672
VIG Gold Jay,@Gold_Jay114,2021-01-21T18:54:09.000Z,Much love Misfits!,,,,,2,[],https://twitter.com/Gold_Jay114/status/1352328646393008130
minx,@JustaMinx,2020-07-18T17:30:54.000Z,not my finest moment,,,1.7K,18K,215K,['https://pbs.twimg.com/ext_tw_video_thumb/1284541141984194561/pu/img/eDCR6qN8N6J7UYX6.jpg'],https://twitter.com/JustaMinx/status/1284541165598134273
VIG Gold Jay,@Gold_Jay114,2021-01-18T06:31:16.000Z,LMFAOOO,,,,,,[],https://twitter.com/Gold_Jay114/status/1351054533854711809
VIG Gold Jay,@Gold_Jay114,2021-01-28T09:40:49.000Z,"Replying to 
@starsmitten_",Hi Celine!,,,,1,[],https://twitter.com/Gold_Jay114/status/1354726114162323459
Mike - Valorant Leaks & Info,@ValorLeaks,2021-01-20T19:27:17.000Z,Horizon Locker Showcase | #VALORANT,,,28,55,461,['https://pbs.twimg.com/ext_tw_video_thumb/1351974450128945152/pu/img/qayVC_CakVapcXAt.jpg'],https://twitter.com/ValorLeaks/status/1351974597776834563
VIG Gold Jay,@Gold_Jay114,2021-01-28T07:51:26.000Z,When is it coming?,,,,,,[],https://twitter.com/Gold_Jay114/status/1354698585678503937
Mike - Valorant Leaks & Info,@ValorLeaks,2021-01-27T18:10:42.000Z,Would you guys like to see a new map next act? | #VALORANT,,,202,70,2.9K,[],https://twitter.com/ValorLeaks/status/1354492042785804296
VIG Gold Jay,@Gold_Jay114,2021-01-28T07:41:43.000Z,Yes! New agents too!,,,,,,[],https://twitter.com/Gold_Jay114/status/1354696139799408640
Jacksepticeye,@Jacksepticeye,2021-01-27T21:52:32.000Z,My father passed away today. I wont be doing anything for a while. Please respect me and my family’s privacy during this time.,,,66.4K,37.9K,1M,[],https://twitter.com/Jacksepticeye/status/1354547868833607680
VIG Gold Jay,@Gold_Jay114,2021-01-28T07:34:50.000Z,Oh no Jack. Hope you feel better!,,,,,1,[],https://twitter.com/Gold_Jay114/status/1354694406755012608
VIG Gold Jay,@Gold_Jay114,2021-01-16T00:29:34.000Z,"Thanks to 
@ArtesianBuilds
 and 
@VastGG
 for this!!!",,,,,2,[],https://twitter.com/Gold_Jay114/status/1350238730515263495
VIG Gold Jay,@Gold_Jay114,2021-02-14T21:11:08.000Z,Streamer Boys Back at it agane l !commands,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1361060431863943171
VIG Gold Jay,@Gold_Jay114,2021-02-02T00:44:10.000Z,THANK YOU FOR 100 FOLLOWERS!! l 24 hr stream! l Vibin l !commands,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1356402998726041603
VIG Gold Jay,@Gold_Jay114,2021-02-06T01:55:26.000Z,Vibing with Justin!  l REAL 24 hr stream! l Vibin l !commands,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1357870484667432961
VIG Gold Jay,@Gold_Jay114,2021-02-06T08:58:37.000Z,"Replying to 
@LilyPichu",Make Rae and Sykkuno!!,,,,1,[],https://twitter.com/Gold_Jay114/status/1357976983913783296
VIG Gold Jay,@Gold_Jay114,2021-02-02T05:21:58.000Z,PC Crashed sorry l 24 hr stream! l Vibin l !commands,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1356472910664318978
VIG Gold Jay,@Gold_Jay114,2021-02-19T23:26:25.000Z,Playing Games l !squad !commands !schedule,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1362906414289674240
VIG Gold Jay,@Gold_Jay114,2021-02-22T23:49:21.000Z,I made a VTuber! l !schedule !VTuber !commands,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1363999348963618817
VIG Gold Jay,@Gold_Jay114,2021-02-15T20:16:37.000Z,Streamer Trio! l Playing Valo!! l !schedule !commands,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1361409100542836741
VIG Gold Jay,@Gold_Jay114,2021-02-28T06:15:03.000Z,Playing Bloons for the first time then Valo later! l !schedule !VTuber !commands !squad,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1365908352690237441
VIG Gold Jay,@Gold_Jay114,2021-02-18T21:55:08.000Z,Playing Valo!! l !schedule !commands !squad,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1362521056280522755
VIG Gold Jay,@Gold_Jay114,2021-02-28T19:47:21.000Z,Bloons then Valo for a lil bit l !schedule !VTuber !commands !squad,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1366112775232245760
VIG Gold Jay,@Gold_Jay114,2021-03-01T01:17:16.000Z,Valo with friends! !schedule !VTuber !commands !squad,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1366195801173733381
VIG Gold Jay,@Gold_Jay114,2021-03-05T23:17:05.000Z,https://twitch.tv/Gold_Jay114 JOIN UP!!,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,1,['https://pbs.twimg.com/card_img/1430857903578107911/JDCHkvel?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1367977496101220354
VIG Gold Jay,@Gold_Jay114,2021-03-03T00:27:25.000Z,NEW ACT POG! VALO 4 STACK! l !schedule !VTuber !commands !squad,"Gold_Jay114 - Twitch
I stream on YouTube now!! https://www.youtube.com/channel/UC-3FLoq4T1AYOPZ8s_mQzQQ
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1431339020219744256/3BRSQRVr?format=png&name=240x240'],https://twitter.com/Gold_Jay114/status/1366908033352220683
