UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-13T13:39:32.000Z,Pulling someone down will never help you reach the top.,,,,2,4,[],https://twitter.com/HASSANHUSSAINM7/status/1426176597732777987
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-13T11:59:50.000Z,Fortune favors the bold. Keep working.,,,,1,2,[],https://twitter.com/HASSANHUSSAINM7/status/1426151504914825217
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-13T11:34:46.000Z,"Start investing in yourself :

- Read
- Exercise
- Meditate
- Take action
- Lift weights
- Eat real foods  
- Learn new skills 
- Start that business
- Strengthen your mind
- Get out of comfort zone
- Surround yourself with people who remind you of the future, not the past",,,,,,[],https://twitter.com/HASSANHUSSAINM7/status/1426145200058081281
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-12T06:55:59.000Z,"4 Simple rules:

1. Sleep.
Proper rest allows your body to reset. Sleep well and wake up early.

2. Self education is key.
Read an hour a day minimum.

3. Stay healthy.
Eat clean and workout.

4. Work ethic.
Never compare yourself to anyone.
Work harder than you did yesterday.",,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1425712653356384259
Professor Passive Income,@ProfPassiveInc,2021-08-07T15:55:27.000Z,Affiliate marketing is education disguised as sales,,,30,47,365,[],https://twitter.com/ProfPassiveInc/status/1424036475696525320
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-07T15:59:39.000Z,Well said,,,,,2,[],https://twitter.com/HASSANHUSSAINM7/status/1424037533546172417
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-07T17:21:52.000Z,"Replying to 
@ProfPassiveInc",Hope for a Follow Back,,,,1,[],https://twitter.com/HASSANHUSSAINM7/status/1424058222625890306
Professor Passive Income,@ProfPassiveInc,2021-07-19T14:06:00.000Z,"Affiliate marketing is the easiest way to make money on Twitter 

2 sales a day = $1,500 a month 

5 sales a day = $3,750 a month

10 sales a day = $7,500 a month

No more excuses. You need to get started today.",,,17,59,329,[],https://twitter.com/ProfPassiveInc/status/1417123560078733315
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-07T08:30:09.000Z,How to learn affiliate marketing on Twitter,,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1423924409522442240
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-12T09:19:26.000Z,"Replying to 
@AskKubeir",Details about visa for Canada,,,,,[],https://twitter.com/HASSANHUSSAINM7/status/1425748754880159745
Eliud Kipchoge - EGH,@EliudKipchoge,2021-08-08T03:35:44.000Z,"The Olympic dream is a special dream. For every athlete here it has taken a lifetime of preparation to get to this point. Today I lived my Olympic dream. I always say that sport is like life, whereby you can win and lose. But today was a day where I won.",,,1.6K,12.6K,55.9K,"['https://pbs.twimg.com/media/E8PR54GXsAIkL6J?format=jpg&name=small', 'https://pbs.twimg.com/media/E8PR54JWEAEbZAU?format=jpg&name=small', 'https://pbs.twimg.com/media/E8PR54NXoAE7VqZ?format=jpg&name=360x360']",https://twitter.com/EliudKipchoge/status/1424212704630292481
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-08T06:32:49.000Z,Congratulations,,,,,,[],https://twitter.com/HASSANHUSSAINM7/status/1424257271962513408
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-07T16:38:55.000Z,"Replying to 
@ProfPassiveInc",Follow back please,,,,2,[],https://twitter.com/HASSANHUSSAINM7/status/1424047412075810823
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-09T09:28:51.000Z,"Replying to 
@brickgems",Unable to access,,,,,[],https://twitter.com/HASSANHUSSAINM7/status/1424663960360529920
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-08T08:17:43.000Z,"Replying to 
@SerkanArikan06",Hope would win this,,,,,[],https://twitter.com/HASSANHUSSAINM7/status/1424283671490596865
Upwork,@Upwork,2021-06-08T15:02:03.000Z,"Why does good #VideoEditing matter? Learn how to edit your videos, best practices and top tools (paid and free) to have your 
@YouTube
 videos looking their best. https://buff.ly/3uUezaR #YouTubeMarketing","How to Edit YouTube Videos: A Detailed Guide | Upwork
Learn how to edit and create attention-grabbing videos on YouTube and leverage your business.
upwork.com",➕ 😍,3,2,16,['https://pbs.twimg.com/card_img/1431147200084680705/6ajsr-LQ?format=jpg&name=small'],https://twitter.com/Upwork/status/1402279762803015690
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-12T10:34:57.000Z,Very informative & full of learning,,,1,2,2,[],https://twitter.com/HASSANHUSSAINM7/status/1425767758411730946
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-08T08:16:54.000Z,"Replying to 
@ladycryptonic",#Cluecoin,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1424283464442990598
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-08T08:18:54.000Z,"Replying to 
@CryptoGrandpas","@mahmoodsaeed
 @ramzanaslam1996
 @HASSANHUSSAINM7",,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1424283969063895040
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-09T15:59:33.000Z,"Replying to 
@dacryptodiamond",0x77931d9b20aa9bC745C3A7E0f909d38fA90D61Aa,,,,1,[],https://twitter.com/HASSANHUSSAINM7/status/1424762283100618761
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-25T10:28:06.000Z,Thanks to all following.,,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1430477074935042053
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T04:39:27.000Z,Wants to sell Binance NFT,,,,1,1,['https://pbs.twimg.com/media/E9SdJjHXIAIyBQD?format=jpg&name=small'],https://twitter.com/HASSANHUSSAINM7/status/1428939784559411200
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T04:40:48.000Z,Want to sell Binance NFT.  Interested please contact me,,,,6,4,['https://pbs.twimg.com/media/E9Sddk1WYAceuFZ?format=jpg&name=small'],https://twitter.com/HASSANHUSSAINM7/status/1428940123782238211
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T17:22:43.000Z,Thanks to all for Following.  Thanks for your great cooperation. #200TwitterFollowers,,,,,1,[],https://twitter.com/HASSANHUSSAINM7/status/1429131864619499529
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-25T14:47:16.000Z,"Invest in yourself for the highest returns:

- Read
- Exercise daily 
- Avoid fast food 
- Start a side hustle 
- Be action oriented 
- Stop procrastinating 
- Push your comfort zone
- Create multiple income streams

Anything else?",,,,3,4,[],https://twitter.com/HASSANHUSSAINM7/status/1430542296240508936
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T06:54:18.000Z,"How to change your life in a year:

1. Practice humility.
2. Work on yourself.
3. Develop profitable skills.
4. Remove negative people.
5. Learn from past mistakes.
6. Commit 100% to your goal.
7- Increase your physical activity.",,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1428973721822318593
David Dill,@CureIncome,2021-08-25T14:41:53.000Z,"3 profitable skills in 2021:

- copywriting
- social media
- affiliate marketing

You will find wealth",,,24,83,448,[],https://twitter.com/CureIncome/status/1430540941358600195
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T09:18:27.000Z,"Replying to 
@Phoenixpromote
 and 
@Phoenixclaims11",I Had DM there,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1429009996277297155
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-17T12:29:48.000Z,"Replying to 
@inspired_M_R
 @gregkihlstrom
 and 8 others",Follow back please,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1427608598763511811
The Human Giraffe,@DaHumanGiraffe,2021-08-12T17:56:25.000Z,"Hey  Lovelies, I’m new here. Kindly show me around.",,👋,13,8,109,['https://pbs.twimg.com/media/E8m9PuaWUAQqr97?format=jpg&name=small'],https://twitter.com/DaHumanGiraffe/status/1425878856221745162
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T06:23:13.000Z,Follow back please,,,,,1,[],https://twitter.com/HASSANHUSSAINM7/status/1428965897645998088
HASSAN HUSSAIN MOOSA (Cricket Players),@HASSANHUSSAINM7,2021-08-21T09:29:18.000Z,"Replying to 
@Phoenixpromote
 and 
@Phoenixclaims11",Hope soon would receive a response,,,1,1,[],https://twitter.com/HASSANHUSSAINM7/status/1429012726832115715
