UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
José João Madeira,@JJ_Madeira,2021-01-24T20:33:15.000Z,Enter to win this competition: PCX and KSX Airdrop - MXC will support the airdrop of KSX https://share-w.in/707898-22470,,,,,,[],https://twitter.com/JJ_Madeira/status/1353440752383229952
José João Madeira,@JJ_Madeira,2021-01-16T12:15:05.000Z,"Replying to 
@rubenbranco123",,,,,7,[],https://twitter.com/JJ_Madeira/status/1350416281258909698
Sara Sampaio,@SaraSampaio,2021-01-19T13:45:45.000Z,Ontem à noite cheirava muito a merda aqui perto de minha casa. Já percebi porquê... houve um comício do chega aqui ao lado. ,,🤮,527,2.9K,16.6K,[],https://twitter.com/SaraSampaio/status/1351526259361243136
José João Madeira,@JJ_Madeira,2021-01-19T14:21:53.000Z,Muito bom  a parrachita chorou,,😂 😂 😂,,,26,['https://pbs.twimg.com/media/EsGePMWXEAE5EqO?format=jpg&name=small'],https://twitter.com/JJ_Madeira/status/1351535354680135681
José João Madeira,@JJ_Madeira,2021-01-07T01:11:57.000Z,"Replying to 
@AndreCVentura",,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErF2W3AXIAAqjmI.jpg'],https://twitter.com/JJ_Madeira/status/1346987906464944129
José João Madeira,@JJ_Madeira,2021-01-08T00:35:04.000Z,"Replying to 
@realDonaldTrump",,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErK3gTuXUAA9iS0.jpg'],https://twitter.com/JJ_Madeira/status/1347341013480861697
José João Madeira,@JJ_Madeira,2021-01-24T02:08:23.000Z,"Replying to 
@knight_atlantic
 and 
@amconmag",Mais um puto otario  deves passar mal então pensas que os fachos te safam.,😂 😂,,,,['https://pbs.twimg.com/tweet_video_thumb/EsdmTGVXcAEOHpb.jpg'],https://twitter.com/JJ_Madeira/status/1353162701095235584
Joao Madeira Silva,@Jodihike,2021-01-02T17:26:53.000Z,"Replying to 
@RuiPinto_FL","Preocupas-te tanto com a verdade e a corrupção será q n consegues descobrir quem foi o caudisiaco português que elaborou o parecer jurídico que ilibou o teu clube, FêCêPê do apito dourado? E podes descobrir onde ele vê os jogos? E se paga os bilhetes ou se foi tudo por amor?",,8,,11,[],https://twitter.com/Jodihike/status/1345421318121017347
José João Madeira,@JJ_Madeira,2021-01-02T18:20:30.000Z,"Foi o mesmo que fez com o teu presidente fica-se fora do processo, tou a ver que essa memória seletiva está em grande.",,,,,3,[],https://twitter.com/JJ_Madeira/status/1345434810072911873
Inês João Rodrigues,@inesjfrodrigues,2021-01-02T01:28:15.000Z,Isto é real? ISTO É MESMO REAL? Foda-se.,,,392,959,1.9K,['https://pbs.twimg.com/ext_tw_video_thumb/1345179997259112454/pu/img/Zbl8wDI05vquCIBi.jpg'],https://twitter.com/inesjfrodrigues/status/1345180068348358658
José João Madeira,@JJ_Madeira,2021-01-02T23:48:32.000Z,"É menos estado enquanto as “empresas” dão lucro, quando a corda aperta viram o bico ao prego e dizem que o estado devia de ajudar a economia e as empresas. Mais do mesmo.",,🍪 🍚,,,,[],https://twitter.com/JJ_Madeira/status/1345517363702198274
Joel Carvalho,@JJLcarvalho,2021-01-07T11:09:06.000Z,"Replying to 
@PedroMCoelho","Pensei que os jornalistas serviam para informar, afinal eles são os maiores influenciadores, mas porque escolheram o lado da esquerda para influenciar? Ideologia? Interesses financeiros? Um dia tudo se vai descobrir.",,4,,19,[],https://twitter.com/JJLcarvalho/status/1347138186364006402
José João Madeira,@JJ_Madeira,2021-01-07T14:10:48.000Z,De esquerda  até porque os fundador do PSD dono da SIC era de esquerda ou à TVI fundada pela Igreja tb é ,,😂 😂 😂 😂 😂 😂 🍪 🍚,,,,[],https://twitter.com/JJ_Madeira/status/1347183909998645249
