UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
John Wesalowski,@JWesalowski,2021-01-01T22:54:26.000Z,"Can it just be Sunday....
@joethomas73
 #Browns",,,,,,['https://pbs.twimg.com/media/Eqrm7_XXIAA6fd2?format=jpg&name=900x900'],https://twitter.com/JWesalowski/status/1345141359276126212
John Wesalowski,@JWesalowski,2021-01-11T01:26:55.000Z,#Browns is the Browns,,,,,,[],https://twitter.com/JWesalowski/status/1348441223334395905
John Wesalowski,@JWesalowski,2021-01-05T16:33:58.000Z,This is why we can't have nice things! #browns,,,,,,[],https://twitter.com/JWesalowski/status/1346495164404158474
Eric Ebron,@Ebron85,2020-11-29T21:23:25.000Z,where they going bro? ,"LeBron James
@KingJames
 · Nov 29, 2020
8-3! Keep going!! #Browns  @Browns",😑,1.6K,6.1K,20.6K,['https://pbs.twimg.com/profile_images/1421530540063092736/xqtcu8HX_mini.jpg'],https://twitter.com/Ebron85/status/1333159654659121153
John Wesalowski,@JWesalowski,2021-01-11T11:48:24.000Z,Divisional round stone hands!! #browns,,,,,,[],https://twitter.com/JWesalowski/status/1348597625151479820
gabb goudy,@gabbgoudy,2021-01-11T01:37:47.000Z,HEY BROWNS TWITTER I LOVE YOU!!! say it back,,⭐,366,77,2.1K,[],https://twitter.com/gabbgoudy/status/1348443961132806144
John Wesalowski,@JWesalowski,2021-01-11T01:45:12.000Z,I love you!,,,,,,[],https://twitter.com/JWesalowski/status/1348445826197180420
Dustin Fox,@DustinFox37,2021-01-21T17:36:44.000Z,There are pretty much two qualities that eliminate me from being your friend. Standing up early on an airplane. And leaving your shopping cart in the parking lot in random spots.,,,142,110,1.8K,[],https://twitter.com/DustinFox37/status/1352309164387786759
John Wesalowski,@JWesalowski,2021-01-21T22:59:19.000Z,I literally stare people down or say something to them about the cart. My wife hates it,,,,,,[],https://twitter.com/JWesalowski/status/1352390348316827656
John Wesalowski,@JWesalowski,2021-01-06T16:24:53.000Z,"Replying to 
@BoogiQueen",Booger picker off the bang switch!!,,,,1,[],https://twitter.com/JWesalowski/status/1346855264864112641
John Wesalowski,@JWesalowski,2021-01-15T00:54:59.000Z,"Replying to 
@thecombatbarbie",Absolutey! Love the trigger discipline!!,,,,2,[],https://twitter.com/JWesalowski/status/1349882738296426500
John Wesalowski,@JWesalowski,2021-01-11T13:41:34.000Z,"Replying to 
@lanamarie27",He's cuddled between his Aunt and Mom right now sucking his thumb...,,,,,[],https://twitter.com/JWesalowski/status/1348626104026849280
Rep. Jim Jordan,@Jim_Jordan,2021-01-28T18:53:03.000Z,So you agree that human life begins at conception?,"President Biden
@POTUS
United States government official
 · Jan 28
Science will always guide my Administration.",,3.5K,5.6K,27.1K,"['https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig']",https://twitter.com/Jim_Jordan/status/1354865086347800581
Jedrick Wills Jr.++,@JWills73,2021-01-18T00:50:23.000Z,We will be back.,,® 💕,402,1K,23.9K,[],https://twitter.com/JWills73/status/1350968746786119684
John Wesalowski,@JWesalowski,2021-01-18T01:08:54.000Z,Yes sir! Heck of a rookie season!,,💪 💪,,,,[],https://twitter.com/JWesalowski/status/1350973404837531652
John Wesalowski,@JWesalowski,2021-01-18T00:49:42.000Z,Manziel was definitely a moped.,,,,,,[],https://twitter.com/JWesalowski/status/1350968573020274688
Mr.BetterThan,@CALLME_WOOD,2021-01-05T22:40:05.000Z,"1 book a month is my NewYears Resolution.  

Whats yours?",,,304,74,2.4K,[],https://twitter.com/CALLME_WOOD/status/1346587298729762817
John Wesalowski,@JWesalowski,2021-01-05T23:21:52.000Z,Not drag racing and smoking weed while making the playoffs....,,,,,1,[],https://twitter.com/JWesalowski/status/1346597815913476097
Jerk,@Mhmm_ok_sure,2021-01-09T15:24:44.000Z,Saturday mornin’ mooood....,,,15,3,179,['https://pbs.twimg.com/media/ErTMufUW8AAEy0_?format=jpg&name=small'],https://twitter.com/Mhmm_ok_sure/status/1347927293214289926
John Wesalowski,@JWesalowski,2021-01-09T18:29:07.000Z,Almost commited to starting the day,,,1,,1,[],https://twitter.com/JWesalowski/status/1347973693587279873
"Erica Fett, Bigfoot Tracker @ Camp Cryptid Podcast","Erica Fett, Bigfoot Tracker @ Camp Cryptid Podcast",2021-01-17T23:08:54.000Z,Browns came so far this season and I'm so excited for next season already  #GoBrowns,,😭 ♥,30,14,762,[],https://twitter.com/ericafett/status/1350943208537288706
John Wesalowski,@JWesalowski,2021-01-17T23:11:15.000Z,YES!! Defense needs addressed,,,,,1,[],https://twitter.com/JWesalowski/status/1350943799086903297
NFL Films,@NFLFilms,2021-01-19T22:19:15.000Z,".
@Mathieu_Era
 takes a licking and keeps on ticking ",,🤣 😳,342,5.9K,36.3K,['https://pbs.twimg.com/media/EsIKRaBXIAAtTix.jpg'],https://twitter.com/NFLFilms/status/1351655485808779266
John Wesalowski,@JWesalowski,2021-01-20T00:37:40.000Z,"@joethomas73
 PANCAKE!",,,,,1,[],https://twitter.com/JWesalowski/status/1351690319981588484
John Wesalowski,@JWesalowski,2021-01-07T19:48:57.000Z, #clevelandindians,,🤦 🤦 🤦 🤦,,,,['https://pbs.twimg.com/media/ErJ2BjXW4AU6VY3?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1347269009109098496
John Wesalowski,@JWesalowski,2021-01-11T04:42:21.000Z,Corvette #browns,,,,,,['https://pbs.twimg.com/media/ErbM4USXUAAcC8d?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1348490408893050881
John Wesalowski,@JWesalowski,2021-01-01T16:13:34.000Z,,,,,,1,['https://pbs.twimg.com/media/EqqLL8pXUAAGk7y?format=jpg&name=900x900'],https://twitter.com/JWesalowski/status/1345040478413213696
John Wesalowski,@JWesalowski,2021-01-11T04:35:43.000Z,,,,,,1,['https://pbs.twimg.com/media/ErbLXLYWMAI7F3Y?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1348488739887190016
John Wesalowski,@JWesalowski,2021-01-11T05:15:45.000Z,,,,,,1,['https://pbs.twimg.com/media/ErbUhmdXUAIp4-2?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1348498813691056128
John Wesalowski,@JWesalowski,2021-01-04T00:40:21.000Z,"Replying to 
@joethomas73",,,,,,['https://pbs.twimg.com/media/Eq2SXCuXcAAZ7Z4?format=jpg&name=900x900'],https://twitter.com/JWesalowski/status/1345892791726047233
John Wesalowski,@JWesalowski,2021-01-11T01:04:06.000Z,"Replying to 
@Dan6erousScott",#GoBrowns,,,,,[],https://twitter.com/JWesalowski/status/1348435481185423360
John Wesalowski,@JWesalowski,2021-01-24T19:02:51.000Z,"Replying to 
@jenhunt_",,🧡 🤎,,,14,[],https://twitter.com/JWesalowski/status/1353418000620118017
John Wesalowski,@JWesalowski,2021-01-17T01:52:22.000Z,"Replying to 
@JustJim2020",,🧡 🤎 🧡 🤎,,,28,[],https://twitter.com/JWesalowski/status/1350621956492709888
John Wesalowski,@JWesalowski,2021-01-04T00:34:31.000Z,"Replying to 
@Lintendo_64",,💯,,,,[],https://twitter.com/JWesalowski/status/1345891321714798599
John Wesalowski,@JWesalowski,2021-01-17T23:19:37.000Z,"Replying to 
@Lintendo_64",,🤎 🧡 🤎 🧡,,,,[],https://twitter.com/JWesalowski/status/1350945905302757376
John Wesalowski,@JWesalowski,2021-01-23T03:09:53.000Z,"Replying to 
@Tim_Matheson",Douchebag,,,,4,[],https://twitter.com/JWesalowski/status/1352815790505025537
John Wesalowski,@JWesalowski,2021-01-04T21:50:33.000Z,"Replying to 
@BLKDOG99
 and 
@Browns",,🙏,,,,[],https://twitter.com/JWesalowski/status/1346212446026018816
John Wesalowski,@JWesalowski,2021-01-22T09:32:56.000Z,"Replying to 
@DonnaVann14
 and 
@CawthornforNC",Shutup Karen,,,,5,[],https://twitter.com/JWesalowski/status/1352549799933976576
John Wesalowski,@JWesalowski,2021-02-07T16:09:38.000Z,"Happy Birthday to my wife!! You know you love the #Browns when 
@joethomas73
 makes the photos!",,,,,2,['https://pbs.twimg.com/media/EtotHCbXcAU4R1o?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1358447840272519170
John Wesalowski,@JWesalowski,2021-02-24T12:17:22.000Z,I'm sure she's telling me how it's done.,,,,,,['https://pbs.twimg.com/media/Eu_a-TkWQAMjTd5?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1364549980376231939
P B Harrison,@hunkybloodydory,2021-02-21T11:48:51.000Z,"Do you really need to own a gun?
Really? Really really fucking really?",,,6.1K,1.5K,1.2K,[],https://twitter.com/hunkybloodydory/status/1363455644058193921
John Wesalowski,@JWesalowski,2021-02-22T10:58:51.000Z,Stupid tweet of the day!! Same reason you own a fire extinguisher! .#protection,,,,,,[],https://twitter.com/JWesalowski/status/1363805448500088833
Cleveland Indians,@Indians,2021-02-28T15:40:18.000Z,"""Get in, [winners]. We're going to game 1.""

#CLESpring",,,83,250,1.3K,['https://pbs.twimg.com/media/EvSFV0hVoAAK84z?format=jpg&name=small'],https://twitter.com/Indians/status/1366050604930396168
John Wesalowski,@JWesalowski,2021-02-28T17:30:07.000Z,Covid or no covid with a lineup like this the stands we'll be empty,,,,,,[],https://twitter.com/JWesalowski/status/1366078240868155395
John Wesalowski,@JWesalowski,2021-02-11T00:17:31.000Z,"Replying to 
@JWills73",Where is this available?,,2,,,[],https://twitter.com/JWesalowski/status/1359657784300761094
Rep. Jim Jordan,@Jim_Jordan,2021-02-09T23:22:27.000Z,"There’s one line from President Trump’s speech that the Democrats left out of their video today:

“Peacefully and patriotically make your voices heard.”",,,15.7K,25.2K,94K,[],https://twitter.com/Jim_Jordan/status/1359281537431265287
Andrew,@BrownsDad80,2021-02-10T23:09:57.000Z,"Just won this at an auction today!!  Starting 5 o-line autograph 10x28!!!! 
@JoelBitonio
 @Jack_Conklin78
 @JWills73
 @JCTretter",,🐶 🏈,26,11,385,['https://pbs.twimg.com/media/Et5qE9CXMAImsy-?format=jpg&name=small'],https://twitter.com/BrownsDad80/status/1359640779828903942
John Wesalowski,@JWesalowski,2021-02-11T00:15:02.000Z,That's sweet!,,,,,1,[],https://twitter.com/JWesalowski/status/1359657159143923713
John Wesalowski,@JWesalowski,2021-02-27T03:09:46.000Z,"Replying to 
@TSECleveland",,,,,,['https://pbs.twimg.com/media/EvM6aS-XMAAbUNW?format=jpg&name=small'],https://twitter.com/JWesalowski/status/1365499337715965958
John Wesalowski,@JWesalowski,2021-02-07T15:45:15.000Z,"#greenmountaingrills #bustitchallange #porkbutt #superbowl @greenmountaingrills
@howtobbqright
 
@buehlersfreshfoods
https://instagram.com/reel/CK_nSM0FVbVpPxdTrXbxgeAER2o_HL67IB3YD40/?igshid=1x4mr555azjne…",,,,,,[],https://twitter.com/JWesalowski/status/1358441701988331525
John Wesalowski,@JWesalowski,2021-02-09T11:58:08.000Z,"Replying to 
@IlhanMN",#ignorance #basiceconomics,,,,,[],https://twitter.com/JWesalowski/status/1359109324921004032
John Wesalowski,@JWesalowski,2021-02-08T01:35:15.000Z,"Replying to 
@gabbgoudy",,🤎 🧡,,,,[],https://twitter.com/JWesalowski/status/1358590182136643588
John Wesalowski,@JWesalowski,2021-02-17T19:35:54.000Z,"Replying to 
@JJWatt",,🧡 🤎 🧡 🤎 🧡 🤎,,,,[],https://twitter.com/JWesalowski/status/1362123628914106370
John Wesalowski,@JWesalowski,2021-02-28T17:29:11.000Z,"Replying to 
@Indians",Who??,,,,,[],https://twitter.com/JWesalowski/status/1366078006771482624
Andrew,@BrownsDad80,2021-02-18T23:51:34.000Z,"Replying to 
@JWesalowski
 and 
@Browns",Thank you sir!,,1,,1,[],https://twitter.com/BrownsDad80/status/1362550354064326661
John Wesalowski,@JWesalowski,2021-02-18T23:53:59.000Z,No problem! Keep sharing!,,,1,,1,[],https://twitter.com/JWesalowski/status/1362550966063620099
Ricky Smith,@Rickonia,2021-03-30T16:44:47.000Z,Drums or flats?,,,256,169,123,['https://pbs.twimg.com/media/ExveO8VWYAQVJ-B?format=jpg&name=small'],https://twitter.com/Rickonia/status/1376938465548460040
John Wesalowski,@JWesalowski,2021-03-30T22:27:47.000Z,Flats,,,,,,[],https://twitter.com/JWesalowski/status/1377024786803609600
jules,@notsocooljules,2021-03-24T01:50:28.000Z,now WHY is baker on this???? are they dumb???? must be a steelers fan,,🤠,19,4,65,['https://pbs.twimg.com/media/ExNYAWaXIAAti7M?format=jpg&name=small'],https://twitter.com/notsocooljules/status/1374539078495055876
John Wesalowski,@JWesalowski,2021-03-24T17:07:14.000Z,Must have meant Manziel,,,,,,[],https://twitter.com/JWesalowski/status/1374769788778639362
Jedrick Wills Jr.++,@JWills73,2021-03-23T00:29:46.000Z,If you ever don’t get enough guac @ chipotle on your bowl.. Just ask for a side instead.. you get double the amount of their baby scoops ;))),,® 💕,50,39,853,[],https://twitter.com/JWills73/status/1374156379213139975
John Wesalowski,@JWesalowski,2021-03-23T01:07:45.000Z,Just like telling them double steak after they dump the first scoop!,,,,,2,[],https://twitter.com/JWesalowski/status/1374165939508379648
Pumpkinhead,@PumpkinNation,2021-03-23T00:52:30.000Z,,,🎃 💯 📸 💪,3,1,46,['https://pbs.twimg.com/media/ExIBJh5WUAI4XWF?format=jpg&name=small'],https://twitter.com/PumpkinNation/status/1374162102324199428
John Wesalowski,@JWesalowski,2021-03-23T01:09:27.000Z,,,💪 💯,,,,[],https://twitter.com/JWesalowski/status/1374166368715730946
Newsmax,@newsmax,2021-04-25T19:30:06.000Z,Psaki: Biden will be the first president to create 1M jobs in his first 100 days http://ow.ly/EH9650EwynI,,,2.4K,472,579,['https://pbs.twimg.com/media/Ez19acjX0AAwOhn?format=jpg&name=small'],https://twitter.com/newsmax/status/1386402154689269765
John Wesalowski,@JWesalowski,2021-04-25T23:59:08.000Z,Ha how many has he destroyed.......,,🤦,,,,[],https://twitter.com/JWesalowski/status/1386469859719004162
Chief David Njoku,@David_Njoku80,2021-04-05T20:06:56.000Z,Sooo Can tight ends get single digit numbers too?? Or are we too fat,,,52,35,1.4K,[],https://twitter.com/David_Njoku80/status/1379163667095298050
John Wesalowski,@JWesalowski,2021-04-05T23:14:46.000Z,Like an elephant riding a peanut! Or a fat guy riding a sportster!,,,,,,[],https://twitter.com/JWesalowski/status/1379210937631117315
Mr.BetterThan,@CALLME_WOOD,2021-04-02T01:06:59.000Z,Wassup,,,151,27,1.2K,[],https://twitter.com/CALLME_WOOD/status/1377789623863287812
John Wesalowski,@JWesalowski,2021-04-02T02:47:37.000Z,How was Salt Bae?,,,,,,[],https://twitter.com/JWesalowski/status/1377814949167251456
Joe Thomas,@joethomas73,2021-04-27T20:21:51.000Z,"NFL draft CLE let’s go!!! Pure joy

Excited to team up with the guys at 
@gvartwork
 on another awesome tee! We had some fun on this one.

Can’t wait to whet my line in Lake Erie this week

Anybody know where the fish are biting?!? 

https://gvartwork.com/products/joe-thomas-draft-day-t-shirt…",,,32,30,706,"['https://pbs.twimg.com/media/E0AcbidXEAUHtVT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0AcbicWUAAT5k5?format=jpg&name=360x360']",https://twitter.com/joethomas73/status/1387139953457512450
John Wesalowski,@JWesalowski,2021-04-27T22:34:34.000Z,"Just ordered mine. Let's go fishing Captain!! 
@joethomas73",,,,,1,[],https://twitter.com/JWesalowski/status/1387173352419246092
Jedrick Wills Jr.++,@JWills73,2021-04-12T23:23:06.000Z,Must be nice to be a skill player,"Bleacher Report
@BleacherReport
 · Apr 12
Alvin Kamara signed a $75M contract last offseason.

He hasn’t spent $1 of it. @brgridiron 

(via @ClubShayShay, @uninterrupted)",® 💕 💰,103,107,2.6K,"['https://pbs.twimg.com/profile_images/1266052551989919745/4D5slyzm_mini.jpg', 'https://pbs.twimg.com/media/Eyx7d-yXAAUwt3H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Eyx7mX4XIAElzQV?format=jpg&name=360x360']",https://twitter.com/JWills73/status/1381749749917872131
John Wesalowski,@JWesalowski,2021-04-13T00:50:31.000Z,"The book club needs a higher salary. 
@progressive
 @bakermayfield",,,,,,[],https://twitter.com/JWesalowski/status/1381771749235249154
John Wesalowski,@JWesalowski,2021-04-14T23:46:31.000Z,"Replying to 
@Hawk
 and 
@joethomas73",YES!,,,,,[],https://twitter.com/JWesalowski/status/1382480419002712065
John Wesalowski,@JWesalowski,2021-04-22T22:00:48.000Z,"Replying to 
@JoshNorris","@joethomas73
 
@Hawk",,,,,[],https://twitter.com/JWesalowski/status/1385352916039569412
