UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ryan,@thisismeryan13,2021-01-01T04:52:29.000Z,Andy Cohen is a dick as an interviewer.,,,15,,67,[],https://twitter.com/thisismeryan13/status/1344869080222879744
Jay Mavis4,@JayMavis4,2021-01-01T15:52:41.000Z,Thank you!,,,,,1,[],https://twitter.com/JayMavis4/status/1345035223738716161
Jay Mavis4,@JayMavis4,2021-01-10T04:15:39.000Z,"Replying to 
@The_Shackler",Nicely done.,,,,,[],https://twitter.com/JayMavis4/status/1348121298178740224
HumiliatedLad,@HumiliatedLad,2021-01-06T15:10:03.000Z,"My last story had a bit of a mixed reception. But don't worry it hasn't put me off writing another one.

Cannot decide what topic to write about next.

Give me some suggestions in the comments and I will do a poll to decide the best topic! I'll then write the story for you all!",,,13,,9,[],https://twitter.com/HumiliatedLad/status/1346836431889719303
Jay Mavis4,@JayMavis4,2021-01-06T17:59:43.000Z,Being forced to pose naked in a college Life Drawing class.,,,,,4,[],https://twitter.com/JayMavis4/status/1346879132970283008
Jay Mavis4,@JayMavis4,2021-01-13T18:52:53.000Z,"Replying to 
@JoeNielsen10",ROFL!!! ,🪤 💣 🧨,,,1,[],https://twitter.com/JayMavis4/status/1349429224822644736
Jay Mavis4,@JayMavis4,2021-01-14T06:07:46.000Z,"Replying to 
@DomLeatherTop","Nice, Sir.",,1,,1,[],https://twitter.com/JayMavis4/status/1349599067047751681
Jay Mavis4,@JayMavis4,2021-01-14T04:22:59.000Z,"Replying to 
@bigbullb0ss",All that AND YOU'RE SCOTTISH? ,🔥 🔥 🔥,,,,[],https://twitter.com/JayMavis4/status/1349572697051725824
Jay Mavis4,@JayMavis4,2021-01-11T19:29:40.000Z,"Replying to 
@Imyourdaddy25","What is a backshot, Sir?",,1,,,[],https://twitter.com/JayMavis4/status/1348713706335571968
Bryan,@BearAdmirerCH,2021-01-10T15:54:04.000Z,"Replying to 
@BearAdmirerCH","That was quick ! I think I found some that sells vintage ones on ebay/etsy   Thanks ! 

Also found that on the same firemen gear website.. mdam this is a Wendy ",😘 🐻 😀 😅,1,,6,['https://pbs.twimg.com/media/ErYdCKwXIAE6GBh?format=jpg&name=medium'],https://twitter.com/BearAdmirerCH/status/1348297064090894337
Jay Mavis4,@JayMavis4,2021-01-10T19:18:07.000Z,What are the closures called?,,,,,,[],https://twitter.com/JayMavis4/status/1348348411431407617
Jay Mavis4,@JayMavis4,2021-01-12T17:19:16.000Z,"Replying to 
@Alphawolves181
 and 
@alphawolf181",What a great smile You have!  HBD!,🧡,,,,[],https://twitter.com/JayMavis4/status/1349043277555646464
Joe Nielsen,@JoeNielsen10,2021-01-11T03:26:11.000Z,"Does anyone know how to wipe an old laptop (Windows Vista) clean WITHOUT any discs? I now have a new computer, so I need to recycle the old laptop. However, I don't feel safe doing so unless it's back to factory settings. Thanks! 

#Computers #ComputerHelp #Tech #TechHelp #Help",GIF,🙏,3,,2,['https://pbs.twimg.com/tweet_video_thumb/Era7cWfU0AEQiyg.jpg'],https://twitter.com/JoeNielsen10/status/1348471239292063745
Jay Mavis4,@JayMavis4,2021-01-11T04:10:23.000Z,Did you see Breaking Bad? Get a magnet like Walter White had!,,,1,,1,[],https://twitter.com/JayMavis4/status/1348482364620505088
Salvatore Esposito,@SalvioEspo,2021-01-11T15:22:12.000Z,"Back to work #Gomorra5 #Gomorrah 
@SkyItalia
 @hbomax",,,116,455,2.5K,['https://pbs.twimg.com/media/ErdfU81XcAE7qpJ?format=jpg&name=small'],https://twitter.com/SalvioEspo/status/1348651430681436160
Jay Mavis4,@JayMavis4,2021-01-11T16:44:38.000Z,"Please bring back your Mother! Flashbacks or a twin sister. She was brilliant, and they killed off her character much too soon.",,,,,,[],https://twitter.com/JayMavis4/status/1348672174798761984
Jay Mavis4,@JayMavis4,2021-01-06T19:52:14.000Z,"Replying to 
@robiac3
 and 
@Tobey3000",I would have lifted the vibrator at 24 seconds. ,😈,,,4,[],https://twitter.com/JayMavis4/status/1346907448238501889
Jay Mavis4,@JayMavis4,2021-01-14T14:48:38.000Z,"Replying to 
@truckerhorny1",So damn sexy.,,,,1,[],https://twitter.com/JayMavis4/status/1349730147994222592
Mara,@travelgeek770,2021-01-06T18:16:31.000Z,"Replying to 
@Angry_Staffer",It’s absolutely DISGUSTING seeing members of Congress give a standing ovation to overthrow democracy!,,2,14,104,[],https://twitter.com/travelgeek770/status/1346883360124264451
Jay Mavis4,@JayMavis4,2021-01-06T19:06:39.000Z,That's exactly what it was. ,,🤬,,,,[],https://twitter.com/JayMavis4/status/1346895976842186752
Jay Mavis4,@JayMavis4,2021-01-14T15:59:42.000Z,"Replying to 
@The_Shackler
 and 
@leatherkin",Nice work,,1,,,[],https://twitter.com/JayMavis4/status/1349748031457959936
Jay Mavis4,@JayMavis4,2021-01-13T19:36:55.000Z,"Replying to 
@Damazonia_
 and 
@TheFemdomEmpire",I cannot tell WHAT she's doing. What is the ring attached to?,,,,,[],https://twitter.com/JayMavis4/status/1349440307620823041
Jay Mavis4,@JayMavis4,2021-01-28T18:01:34.000Z,It shows 1600 military time on the sundial.,,,1,2,8,['https://pbs.twimg.com/media/Es1m1HRUYAMN2Z3?format=jpg&name=small'],https://twitter.com/JayMavis4/status/1354852128515190784
Jay Mavis4,@JayMavis4,2021-01-24T20:41:20.000Z,"Replying to 
@kinkXcircuit",Own it! ,🔥 🔥 🔥,,,2,[],https://twitter.com/JayMavis4/status/1353442785358094336
Jay Mavis4,@JayMavis4,2021-01-19T21:11:55.000Z,"Replying to 
@mywildside8",But its so fab!!!,,,,1,[],https://twitter.com/JayMavis4/status/1351638542049394688
ADiscoveryOfWitchTV,@ADiscoveryOfWTV,2021-01-29T21:00:44.000Z,alright guys the episode is starting so i'm about to leave get in your last minute questions asap,,,14,3,200,[],https://twitter.com/ADiscoveryOfWTV/status/1355259606302404609
Jay Mavis4,@JayMavis4,2021-01-30T02:46:47.000Z,Where is the new episode -- Season 2 Episode 4???? It is SUPPOSED to be on tonight! ,,🤬 🤬 🤬,,,,[],https://twitter.com/JayMavis4/status/1355346691608637444
The Sports Drop,@TheSportsDrop1,2020-12-21T04:10:28.000Z,A list of female reporters who are at the top of their game and who look good while doing it.,"The Most Beautiful Female Reporters On The Planet
thesportsdrop.com",,260,266,5.8K,['https://pbs.twimg.com/ad_img/1340870142163623937/Ow4TyuN0?format=jpg&name=small'],https://twitter.com/TheSportsDrop1/status/1340872238514511872
Jay Mavis4,@JayMavis4,2021-01-16T00:04:15.000Z,Sexist much?,,,,,1,[],https://twitter.com/JayMavis4/status/1350232358503419905
Salvatore Esposito,@SalvioEspo,2021-01-21T14:28:37.000Z,"Do you remember us ?  

#Gomorra 
#Gomorrah 
#ComingSoon 
#CiroDiMarzio
#GennySavastano 
@SkyItalia
 @hbomax",,😈,101,162,1.4K,['https://pbs.twimg.com/media/EsQy9vgW8AEMy0v?format=jpg&name=small'],https://twitter.com/SalvioEspo/status/1352261826390712325
Jay Mavis4,@JayMavis4,2021-01-25T15:02:58.000Z,"Replying to 
@project_durden_",That looks amazing!,,,,,[],https://twitter.com/JayMavis4/status/1353720019901771776
