UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Xbox Ambassadors,@XboxAmbassadors,2021-01-29T22:06:20.000Z,"Hey, you! 

Hope you have a fantastic weekend. ",,👀 💚,64,42,544,[],https://twitter.com/XboxAmbassadors/status/1355276116743778306
Jhoffre,@Jhoffre17,2021-01-30T02:32:54.000Z,Thank you,,,,,1,[],https://twitter.com/Jhoffre17/status/1355343199380893702
Jhoffre,@Jhoffre17,2021-01-21T07:37:40.000Z,"Replying to 
@gigagisa",6,,,,1,[],https://twitter.com/Jhoffre17/status/1352158407588016128
Immortalmex Gaming Life,@ImmortalmexL,2020-12-30T19:38:26.000Z,"Replying to 
@MiKAuditore
 @Jhoffre17
 and 3 others",Puras excusas pinche Xbox me caga que andaba mame y mame que su consola es mejor y no valen pa pura verga ni un juego bueno desde 2014 que sea bueno y sacaron su manada de #XboxSeries sin un juego exclusivo que le saque provecho a la consola...,,2,,,[],https://twitter.com/ImmortalmexL/status/1344367258752192513
Jhoffre,@Jhoffre17,2021-01-21T07:45:17.000Z,Revisando los twets y creia que no era hate.,,,1,,,[],https://twitter.com/Jhoffre17/status/1352160320974974977
Garrett Hanna,@Garretthanna,2021-02-08T23:32:42.000Z,Cleaned up,,,101,3.3K,24.2K,['https://pbs.twimg.com/media/EtvcF7tUUAA3y1F?format=jpg&name=small'],https://twitter.com/Garretthanna/status/1358921730824146945
Jhoffre,@Jhoffre17,2021-02-09T22:47:49.000Z,Ray Gun?,,,,,,['https://pbs.twimg.com/media/Et0bbZZXcAA-lxg?format=jpg&name=small'],https://twitter.com/Jhoffre17/status/1359272821675892736
Jhoffre,@Jhoffre17,2021-02-16T17:46:19.000Z,"Replying to 
@sadboy1822
 @odst02
 and 2 others","""Sadboy1822""",,,,,[],https://twitter.com/Jhoffre17/status/1361733664153825283
Akko,@ImAkk0,2020-09-04T18:27:20.000Z,"Replying to 
@ferran3f
 @ulrika_lindmark
 and 2 others","No lodices
Pero los haters de sasel con sus publicaciones obviamente lo hacen.
Yo odio a sasel y si simplemente no me gusta lo ignoro.
No importa cuántas veces le tires hate solo se burlaría o te ignora",,2,,,[],https://twitter.com/ImAkk0/status/1301949988491218946
Jhoffre,@Jhoffre17,2021-02-07T01:47:27.000Z,Por que no vi esto en x videos?,,,,,,[],https://twitter.com/Jhoffre17/status/1358230864849743873
Jhoffre,@Jhoffre17,2021-02-24T02:04:13.000Z,"Replying to 
@ArtemisLynx1",Y al final si te la compraste xd,,,,,[],https://twitter.com/Jhoffre17/status/1364395677338374146
Jhoffre,@Jhoffre17,2021-02-07T06:42:44.000Z,"Replying to 
@SoyFedelobo","Jeilo y gos of guars 

(Halo y God Of War)",,,,,[],https://twitter.com/Jhoffre17/status/1358305177032400897
ricky,@RickyEdit,2021-02-16T12:50:28.000Z,"¿qué pasaría si este vídeo fuera al contrario? (un tío persiguiendo con el coche a una tía y gritándole cositas)
os leo",,,287,1.6K,4K,['https://pbs.twimg.com/ext_tw_video_thumb/1361659158190243844/pu/img/rgxZVcVeGvlQk-YN.jpg'],https://twitter.com/RickyEdit/status/1361659207368458241
John Gallardo,@JohnGH010,2021-02-07T06:42:15.000Z,"Replying to 
@SoyFedelobo","Def Jam Fight Four NY
Un juego que me vicio varias horas ",♥,1,,13,['https://pbs.twimg.com/tweet_video_thumb/EtmrPe-XIAAYOGS.jpg'],https://twitter.com/JohnGH010/status/1358305053283598337
Jhoffre,@Jhoffre17,2021-02-07T06:43:31.000Z,Quiciese ver otra futura entrega,,,,,1,[],https://twitter.com/Jhoffre17/status/1358305373346803712
Alan V,@AlanVel4,2021-02-17T07:57:35.000Z,"Replying to 
@AlanVel4
 @sadboy1822
 and 4 others",Ah y por cierto...Si tanto odias a los mexicanos ¿POR QUE MIERDA RETWITTEASTE LA PÚBLICACION DE UNA STREAMER  M E X I C A N A?,,1,,,['https://pbs.twimg.com/media/EuacYxmUUAATmPd?format=jpg&name=small'],https://twitter.com/AlanVel4/status/1361947891036610563
Jhoffre,@Jhoffre17,2021-02-18T09:02:32.000Z,El man me bloqueo xD,,,,,,[],https://twitter.com/Jhoffre17/status/1362326624889413633
Cyaneko,@Cyaneko_youtube,2021-01-31T14:04:05.000Z,"Replying to 
@RedfieldSblood",Tan imposible no será ya que Tomonobu Itagaki se ha ofrecido abiertamente a una compra de su nuevo estudio por parte de Xbox,,1,,3,[],https://twitter.com/Cyaneko_youtube/status/1355879530196590592
Jhoffre,@Jhoffre17,2021-02-07T04:02:23.000Z,"Salav, que tan desinformado estoy. De casualidad tienes el link bro",,,,,,[],https://twitter.com/Jhoffre17/status/1358264822350110720
Jhoffre,@Jhoffre17,2021-02-16T17:59:00.000Z,Preparate para un bombardeo de personas que entraran a tu perfil y luego te van a funar hasta por acoso sexual,,,,,,[],https://twitter.com/Jhoffre17/status/1361736852944818176
Jhoffre,@Jhoffre17,2021-03-05T06:20:36.000Z,"Replying to 
@mamidbichos",No lo se,,,,,[],https://twitter.com/Jhoffre17/status/1367721688503255044
Immortalmex Gaming Life,@ImmortalmexL,2021-03-04T19:48:21.000Z,"Si pudieras ELEGIR, ¿Qué COMBO Prefieres?

 #PS5 + Nintendo Switch
 #XBOXSeriesX + Nintendo Switch

Como podéis observar, no hay combo válido sin una #NintendoSwitch ",,❤ 🔁 😏,1,1,3,"['https://pbs.twimg.com/media/EvqO6HrWYAMx8So?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvqO6ibXYAA6XoZ?format=jpg&name=360x360']",https://twitter.com/ImmortalmexL/status/1367562576612126720
Jhoffre,@Jhoffre17,2021-03-04T20:11:47.000Z,Como puedo elegir a xbox y ps5 ?,,🙁,1,,1,[],https://twitter.com/Jhoffre17/status/1367568477779750912
PLAY 5 ESPAÑA,@Play5E,2021-03-10T17:10:38.000Z,"Este es el resultado a nivel global. #PlayStation vs #Xbox .
SONY GANA. ",,💙 👇 🙌 🎮,51,16,28,['https://pbs.twimg.com/media/EwIkW5NXIAMWyaO?format=jpg&name=small'],https://twitter.com/Play5E/status/1369697214872879104
Jhoffre,@Jhoffre17,2021-03-10T21:14:43.000Z,Aun hace falta aprender inglés basico,,,,,,[],https://twitter.com/Jhoffre17/status/1369758641071480842
LeoSanJuan,@ArGut1295,2021-03-10T02:07:04.000Z,"Replying to 
@Julamun","pipero promedio ""xbox solo tiene shooters""",,1,,,[],https://twitter.com/ArGut1295/status/1369469825114857483
Jhoffre,@Jhoffre17,2021-03-10T05:20:03.000Z,"En otros caso seria ""indies""",,,1,,,[],https://twitter.com/Jhoffre17/status/1369518389522227200
Zedd,@Zedd,2021-05-23T17:26:27.000Z,I’m sexy and I know it,,,87,170,3.6K,['https://pbs.twimg.com/media/E2Ftn9EXMAEpIVh?format=jpg&name=900x900'],https://twitter.com/Zedd/status/1396517898001207297
Jhoffre,@Jhoffre17,2021-05-23T17:33:46.000Z,"I see what you're wearing, there's nothing beneath it 
Forgive me for staring, forgive me for breathing 
We might not know why, we might not know how 
But, baby, tonight we're beautiful now…

I love this song",,,,1,11,[],https://twitter.com/Jhoffre17/status/1396519739665666049
Jhoffre,@Jhoffre17,2021-07-16T06:01:59.000Z,Yeah,"Aorus (ES)
@aorus_es
 · Jul 15
Cuando fuiste a la tienda por lo más necesario

#RTXOn #RTX30",,,,,"['https://pbs.twimg.com/profile_images/1248222326899879936/gGCOYuXp_mini.jpg', 'https://pbs.twimg.com/media/E6VqnBgXsAcl14K?format=jpg&name=small']",https://twitter.com/Jhoffre17/status/1415914592274894850
Jhoffre,@Jhoffre17,2021-07-27T04:59:02.000Z,"Replying to 
@Rubiu5",Quien?,,,,,[],https://twitter.com/Jhoffre17/status/1419885013504569352
Jhoffre,@Jhoffre17,2021-07-14T05:27:43.000Z,:v,"marinya
@takeomeow
 · Jul 13
Dumbest dishface but———!!! SPLIT !!! I guess I want it again",🧪 ⚡,,,,"['https://pbs.twimg.com/profile_images/1407035232860229633/IAaQzSWA_mini.jpg', 'https://pbs.twimg.com/media/E6K-263XEAAttQ0?format=jpg&name=small', 'https://pbs.twimg.com/media/E6K-27MWYAIXODF?format=jpg&name=small']",https://twitter.com/Jhoffre17/status/1415181192178151426
Jhoffre,@Jhoffre17,2021-07-17T06:59:53.000Z,Aun recuerdo cuando no sabía gestionar cables,"Aorus (ES)
@aorus_es
 · Jul 12
Imagen ... Relleno

#PCBUILD #Cables",😝,,,,"['https://pbs.twimg.com/profile_images/1248222326899879936/gGCOYuXp_mini.jpg', 'https://pbs.twimg.com/media/E6Hd4BfXMAcjauF?format=jpg&name=small']",https://twitter.com/Jhoffre17/status/1416291549839863810
Jhoffre,@Jhoffre17,2021-07-17T23:19:04.000Z,"Replying to 
@PilasEn2021
 @SomosXbox
 and 
@Saselandia",,,,,2,['https://pbs.twimg.com/media/E6iNxuCVcAEf-5L?format=jpg&name=small'],https://twitter.com/Jhoffre17/status/1416537970518069248
Jhoffre,@Jhoffre17,2021-07-12T18:47:50.000Z,"Replying to 
@_JaY_R0ck_",Ken block simulator?,,,,,[],https://twitter.com/Jhoffre17/status/1414657772524908544
