UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jo Anna,@JoAnna46965078,2021-01-09T17:55:09.000Z,"Today walk through  small forest, local park #lockdown2021 #january2021 #photography #photoshoot #excercise #doingsteps #Fitbit #relaxation #photographylovers #naturephotography #natureloverrs #SaturdayVibes #morningwalk #nostresszone",,,,1,,['https://pbs.twimg.com/media/ErTvJ9YW4AMZHUQ?format=jpg&name=small'],https://twitter.com/JoAnna46965078/status/1347965146929524737
Jo Anna,@JoAnna46965078,2021-01-15T20:20:59.000Z,"#fridayvibes 
#photography 
#photoshoot 
#dogphotography 
#jackrussell 
Millie is having fun    
#lockdown2021 
#feelingblessed 
#feelingcrazy 
#movie
#partnerincrime 
#photographylovers 
#Workinghard",,😄 😍 😀,,,,['https://pbs.twimg.com/media/ErzKEtGXAAA9gCN?format=jpg&name=small'],https://twitter.com/JoAnna46965078/status/1350176173041582083
Jo Anna,@JoAnna46965078,2021-01-01T23:28:51.000Z,"#tier4lockdown  #Government #NHS #coronavirus #loockdown2021 stay on alert   everyone  and #staysafe  #WashYourHands #keepingdistance #coveryourface, this is very serious",,📢,,,,"['https://pbs.twimg.com/media/Eqruz7IXYAMwY_c?format=jpg&name=small', 'https://pbs.twimg.com/media/Eqru0EsXcAIk9pR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Eqru0PJXAAEUa9P?format=jpg&name=small']",https://twitter.com/JoAnna46965078/status/1345150022225186818
Jo Anna,@JoAnna46965078,2021-01-06T14:37:53.000Z,"#picturess #photography #photoshoot #fullmoon #photographylovers #photographer #hobby #naturephotography #parkrelaxation #photography2020  #photographerlifestyle #photography2021 
Less photography    #tier5 #lockdown2021 #WorkFromHome, I try my best  #coronavirus #staysafe",,,,,,"['https://pbs.twimg.com/media/ErDlOi4XUAAt6Aj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErDlO6CXEAEm2j4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErDlOszXUAMqYT4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErDlPERXIAIZu2j?format=jpg&name=360x360']",https://twitter.com/JoAnna46965078/status/1346828338967539714
Jo Anna,@JoAnna46965078,2021-01-12T21:14:07.000Z,"Mulled Wine  and movie night  
Peaceful  night 
No stress  zone",,🍷 🌙,,,,['https://pbs.twimg.com/media/Erj5d2SXEAEsNW2?format=jpg&name=small'],https://twitter.com/JoAnna46965078/status/1349102382190387203
Backstreet Boys,@backstreetboys,2021-01-09T18:14:00.000Z,"Happiest of birthdays to one of the best guys around 
@aj_mclean
  You are so dedicated to all that you do and you’re the most loving father, husband, brother, and friend. We are so proud of all that you’ve accomplished and are so grateful to be on this journey with you.",,🖤,440,899,6.5K,"['https://pbs.twimg.com/media/ErTzeBKVQAEEWjj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErTzd7vUcAIzTHR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErTzd7ZVoAE6iDu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErTzd-hVoAIfIbK?format=jpg&name=360x360']",https://twitter.com/backstreetboys/status/1347969889605013505
Jo Anna,@JoAnna46965078,2021-01-09T18:50:20.000Z,Wishing all the best Happy Birthday   and  stay safe.,,🎂 🥳,,,,[],https://twitter.com/JoAnna46965078/status/1347979035595460616
Jo Anna,@JoAnna46965078,2021-01-03T17:07:31.000Z,,,,,,,['https://pbs.twimg.com/media/Eq0qtwhXAAM0PLh?format=jpg&name=small'],https://twitter.com/JoAnna46965078/status/1345778831634919424
Jo Anna,@JoAnna46965078,2021-01-08T22:47:36.000Z,,,,,,,['https://pbs.twimg.com/media/ErPogLpXcAItZDs?format=jpg&name=small'],https://twitter.com/JoAnna46965078/status/1347676355895422978
Jo Anna,@JoAnna46965078,2021-01-29T22:13:44.000Z,#fullmoon  #january2021 #lockdown2021 Been taking break from social media due to personal reasons let all #smile #warmth bring  #peace and  #love #photography #moonphotography #naturephotography #staypositive #staymotivated #staysafe #vampire #witchyvibes,,,,,2,['https://pbs.twimg.com/media/Es7qIzyXMAMMkOg?format=jpg&name=small'],https://twitter.com/JoAnna46965078/status/1355277978008219650
