UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joe Cynic,@JoeCynic,2021-01-14T05:02:21.000Z,I miss you.,,,1,,1,[],https://twitter.com/JoeCynic/status/1349582603129536514
Joe Cynic,@JoeCynic,2021-01-02T08:30:55.000Z,Every day feels like it gets a little bit closer.,,,,,,[],https://twitter.com/JoeCynic/status/1345286436002570241
Joe Cynic,@JoeCynic,2021-01-13T03:56:37.000Z,But man am I exhausted.,,,,,,[],https://twitter.com/JoeCynic/status/1349203674476658689
Joe Cynic,@JoeCynic,2021-01-13T12:25:33.000Z,I can't wait to see you again.,,,,,,[],https://twitter.com/JoeCynic/status/1349331751131234309
Joe Cynic,@JoeCynic,2021-01-15T17:28:00.000Z,Ugh. You make me so mad sometimes.,,,1,,,[],https://twitter.com/JoeCynic/status/1350132638938349570
Joe Cynic,@JoeCynic,2021-01-14T05:02:29.000Z,Not you Cee lol,,,,,1,[],https://twitter.com/JoeCynic/status/1349582636142874628
Joe Cynic,@JoeCynic,2021-01-13T04:03:32.000Z,People wanna be rude af because they're stupid and can't get free help.,,,,,,[],https://twitter.com/JoeCynic/status/1349205413221126145
Joe Cynic,@JoeCynic,2021-01-13T03:56:28.000Z,Day after day it doesn't seem to get any better.,,,1,,,[],https://twitter.com/JoeCynic/status/1349203634924318721
Joe Cynic,@JoeCynic,2021-01-13T05:17:15.000Z,Are the bottom corners not even???,"Archillect
@archillect
 · Jan 13",,,,,"['https://pbs.twimg.com/profile_images/1045579977067024384/S0luKMwQ_mini.jpg', 'https://pbs.twimg.com/media/Erlm1YUXEAEWA_E?format=jpg&name=small']",https://twitter.com/JoeCynic/status/1349223965772767238
Joe Cynic,@JoeCynic,2021-01-13T04:03:04.000Z,"Dear people, If you go to a retail store looking for professional help, remember, you went to a retail store. They ain't professionals, you have to pay those. So if you call them dumbasses for not knowing something, you yourself are in that category too for not knowing shit too.",,,,,,[],https://twitter.com/JoeCynic/status/1349205296556736512
Joe Cynic,@JoeCynic,2021-01-13T04:04:42.000Z,"Tell me why you wanna ask me how to make your own hose, because you don't want to buy a hose... THAT'S CHEAPER THAN MAKING IT. Like bro... What?",,,,,,[],https://twitter.com/JoeCynic/status/1349205706797318145
Joe Cynic,@JoeCynic,2021-01-15T05:08:24.000Z,"I should really try and go to bed at a decent hour since I work at 5am tomorrow, instead of being a dumbass and going to bed at 12am...  Prolly won't tho",,🤔,,,,[],https://twitter.com/JoeCynic/status/1349946512592158720
Cee,@ceebootycakess,2021-01-13T04:14:24.000Z,"Replying to 
@JoeCynic",do you wanna cry,🍑 🍑,1,,1,[],https://twitter.com/ceebootycakess/status/1349208147785699330
Joe Cynic,@JoeCynic,2021-01-13T04:18:14.000Z,Lol no I'm fine.,,,,,1,[],https://twitter.com/JoeCynic/status/1349209115814285312
Cee,@ceebootycakess,2021-01-15T02:30:11.000Z,"Replying to 
@JoeCynic",a lot ,🍑 🍑 😁,1,,1,[],https://twitter.com/ceebootycakess/status/1349906697821671424
Joe Cynic,@JoeCynic,2021-01-15T05:02:06.000Z,A little bit. Lol,,,,,1,[],https://twitter.com/JoeCynic/status/1349944930802667521
Cee,@ceebootycakess,2021-01-15T01:30:01.000Z,"Replying to 
@JoeCynic",i miss you!,🍑 🍑,1,,1,[],https://twitter.com/ceebootycakess/status/1349891555134345222
Joe Cynic,@JoeCynic,2021-01-15T02:21:22.000Z,Lol ok ok I miss you too. A little.,,,1,,1,[],https://twitter.com/JoeCynic/status/1349904479093547008
Joe Cynic,@JoeCynic,2021-01-09T04:11:07.000Z,  ,"The Associated Press
@AP
 · Jan 9
BREAKING: Twitter permanently suspends Donald Trump from its platform, citing ""risk of further incitement of violence."" Find updates here: http://apne.ws/5RYwkHH
Show this thread",🤣 🤣 🤣,,,,['https://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_mini.png'],https://twitter.com/JoeCynic/status/1347757770120982528
Joe Cynic,@JoeCynic,2021-01-13T05:30:12.000Z,"Replying to 
@DevonGengarelli",,🤣,,,,[],https://twitter.com/JoeCynic/status/1349227222830256129
Joe Cynic,@JoeCynic,2021-01-24T03:52:52.000Z,Facts,,,,,,['https://pbs.twimg.com/media/Esd-OFoVoAEewri?format=jpg&name=small'],https://twitter.com/JoeCynic/status/1353188995707015168
Joe Cynic,@JoeCynic,2021-01-21T19:57:17.000Z,Dead,"Kevín
@KevOnStage
 · Jan 20
Joe Biden got his Bible from King James himself.",,,,,"['https://pbs.twimg.com/profile_images/1389980077400727557/cKeK2Dyi_mini.jpg', 'https://pbs.twimg.com/media/EsMczWtVkAE4UlM?format=jpg&name=small']",https://twitter.com/JoeCynic/status/1352344537344008193
Joe Cynic,@JoeCynic,2021-01-23T20:14:57.000Z,Someone will always be there to prove you wrong. Lol,,,,,,[],https://twitter.com/JoeCynic/status/1353073758915846146
Joe Cynic,@JoeCynic,2021-01-24T04:13:55.000Z,Girl that hair does not look good on you. Just saying.,,,,,,[],https://twitter.com/JoeCynic/status/1353194294476042242
Joe Cynic,@JoeCynic,2021-01-24T04:15:44.000Z,For some reason. I really wants some strawberry lemonade vodka right now. ,,😅,,,,[],https://twitter.com/JoeCynic/status/1353194750648623106
Joe Cynic,@JoeCynic,2021-01-21T19:53:54.000Z, These are amazing.,"EJ
@thewrightej
 · Jan 20
Why do y’all play so much? Get Bernie down from there 
Show this thread",🤣 🖤 😂,,,,"['https://pbs.twimg.com/profile_images/1352927987977478146/i-sp-7yA_mini.jpg', 'https://pbs.twimg.com/media/EsNOgOsUcAAAoU1?format=jpg&name=small']",https://twitter.com/JoeCynic/status/1352343684969230337
Joe Cynic,@JoeCynic,2021-01-23T20:06:30.000Z,I really want to go home right now.,,,,,,[],https://twitter.com/JoeCynic/status/1353071632823185412
Joe Cynic,@JoeCynic,2021-01-23T20:14:35.000Z,"At work discussing whether to put a price tag on each box on top of sign already going on the display...

Sign maker: ""our customers aren't stupid, this one sign will be enough""
Customers: ""how much is this?""
Me: ",,,,,,[],https://twitter.com/JoeCynic/status/1353073663906484225
Devon,@DevonGengarelli,2021-01-24T03:14:34.000Z,"Replying to 
@DevonGengarelli",or not,,1,,2,[],https://twitter.com/DevonGengarelli/status/1353179358052147200
Joe Cynic,@JoeCynic,2021-01-24T03:54:44.000Z,"Lol I haven't watched any good ones. I kinda watched one on scientology. Kinda interesting kinda stupid. Then there ""I am a murderer"" which I thought was really stupid.",,,,,,[],https://twitter.com/JoeCynic/status/1353189467759099905
#TheDogeConf2022,@DogecoinRise,2021-01-29T01:18:10.000Z,You Can Buy #dogecoin On Robinhood. It’ll Be Pending But It’ll Go Through. Be Patient. Let’s RISE!!! ,"Join Robinhood with my referral link. Limitations apply.
Join millions of customers on Robinhood. Investing, plus the tools you need to put your money in motion. Certain limitations apply.
join.robinhood.com",🚀 📈 🚀 📈,67,195,632,['https://pbs.twimg.com/card_img/1432427831015903233/hC5dPYcB?format=jpg&name=small'],https://twitter.com/DogecoinRise/status/1354962005417889805
Joe Cynic,@JoeCynic,2021-01-29T02:01:04.000Z,Lol already have both.,,,,,,[],https://twitter.com/JoeCynic/status/1354972802265264129
Cee,@ceebootycakess,2021-01-15T23:43:45.000Z,"Replying to 
@JoeCynic",sorry ,🍑 🍑 ☹,1,,1,[],https://twitter.com/ceebootycakess/status/1350227202101526530
Joe Cynic,@JoeCynic,2021-01-16T04:55:03.000Z,Not you stupid.,,,1,,1,[],https://twitter.com/JoeCynic/status/1350305541592031236
Joe Cynic,@JoeCynic,2021-01-23T00:46:15.000Z,,"GIF
Sommer Ray
@SommerRay
 · Jan 22
God is in control.. remember that",,,,,['https://pbs.twimg.com/profile_images/1321300542828777477/1ScZPU5p_mini.jpg'],https://twitter.com/JoeCynic/status/1352779646966722560
Joe Cynic,@JoeCynic,2021-01-21T19:53:29.000Z,  ,"Ashley K.
@AshleyKSmalls
 · Jan 20
“This could’ve been an email”
Show this thread",🤣 🤣 🤣,,,,"['https://pbs.twimg.com/profile_images/1330023918598574080/3CeSvWOP_mini.jpg', 'https://pbs.twimg.com/media/EsMEp66XAAMNFUq?format=jpg&name=small']",https://twitter.com/JoeCynic/status/1352343578589200390
Joe Cynic,@JoeCynic,2021-02-09T07:17:26.000Z,Being alone had a freedom that I don't think anything will ever beat.,,,,,1,[],https://twitter.com/JoeCynic/status/1359038682599071744
Joe Cynic,@JoeCynic,2021-02-09T07:16:41.000Z,"It's weird. For a while there I didn't want to be alone, but now that I'm not, I miss it a lot.",,,,,1,[],https://twitter.com/JoeCynic/status/1359038492802641923
Joe Cynic,@JoeCynic,2021-02-12T16:48:52.000Z,Aaaaaaaand I'm single again ,,🎉,,,2,[],https://twitter.com/JoeCynic/status/1360269653629497344
Joe Cynic,@JoeCynic,2021-02-01T18:03:24.000Z,"Mentally, today is a horrible day. Mood dropped and I can't focus on shit.",,,,,,[],https://twitter.com/JoeCynic/status/1356302142185861122
Joe Cynic,@JoeCynic,2021-02-04T08:51:34.000Z,Are we still doing this covid bullshit? Is that even really a thing?,,,,,,[],https://twitter.com/JoeCynic/status/1357250434268758016
Joe Cynic,@JoeCynic,2021-02-01T16:33:28.000Z,Work has been interesting this morning. God I miss the days where things were a lot simpler. So much fake shit.,,,,,,[],https://twitter.com/JoeCynic/status/1356279512351322113
Joe Cynic,@JoeCynic,2021-02-04T21:10:23.000Z, There’s a special referral event going on in the #Webull mobile app  Participate to win awesome prizes!,"Spin the Webull Wheel
act.webull.com",✨ 😍,,,,['https://pbs.twimg.com/card_img/1418304341035782145/L7RWoPyB?format=png&name=small'],https://twitter.com/JoeCynic/status/1357436361708474369
Joe Cynic,@JoeCynic,2021-02-04T08:40:59.000Z,"I don't know what's going to happen, and that scares me. All I do know is that I'm not happy, and I need to change that.",,,,,,[],https://twitter.com/JoeCynic/status/1357247771158347776
Joe Cynic,@JoeCynic,2021-02-01T00:38:17.000Z,"You ever see someone looking Hella attractive, and then they take that mask off and you question all your life's choices? Just me?",,,,,,[],https://twitter.com/JoeCynic/status/1356039131093217282
Devon,@DevonGengarelli,2021-02-01T01:48:26.000Z,a year ago today i attempted to fly in a cheer stunt in my kitchen and face planted into the ground cuz my friends didn’t catch me. yes there is a video.,,,1,,6,[],https://twitter.com/DevonGengarelli/status/1356056786516762625
Joe Cynic,@JoeCynic,2021-02-01T07:32:59.000Z,Where? Lol,,,,,,[],https://twitter.com/JoeCynic/status/1356143493471559686
Devon,@DevonGengarelli,2021-02-13T01:59:28.000Z,i literally just want someone to send tik toks back and forth with. is that so much to ask for??? anybody??????,,,2,,12,[],https://twitter.com/DevonGengarelli/status/1360408216367153154
