UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Payton,@KPA1_,2021-01-30T19:00:52.000Z,"How it started
How it went
How it’s going

#Rolex24",,🏁,,1,7,"['https://pbs.twimg.com/media/EtAHfzIXYAMXJCE?format=jpg&name=small', 'https://pbs.twimg.com/media/EtAHg8pXAAExMeN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtAHhyEXYAELQIb?format=jpg&name=360x360']",https://twitter.com/KPA1_/status/1355591830717476864
Payton,@KPA1_,2021-01-30T23:39:45.000Z,"nobody:

IMSA Radio:",,🏁,,,7,['https://pbs.twimg.com/media/EtBHaG2XAAAs_gx?format=jpg&name=small'],https://twitter.com/KPA1_/status/1355662011313618945
Payton,@KPA1_,2021-01-30T17:11:23.000Z,"It's one of THOSE days, huh?",,🏁,1,1,2,['https://pbs.twimg.com/media/Es_uepiW4Agp3fK?format=png&name=360x360'],https://twitter.com/KPA1_/status/1355564278292611072
Payton,@KPA1_,2021-01-30T21:38:42.000Z,"nobody:

NBC: HEY DID YOU KNOW NASCAR CUP CHAMPION CHASE ELLIOTT IS IN THIS",,🏁,,2,7,['https://pbs.twimg.com/media/EtArshxXMAMXtCC?format=jpg&name=small'],https://twitter.com/KPA1_/status/1355631550218575875
Payton,@KPA1_,2021-01-30T22:24:24.000Z,"nobody

IMSA & IndyCar: LONG ASS YELLOWS",GIF,🏁,,1,2,['https://pbs.twimg.com/tweet_video_thumb/EtA2KnnW4AAna3p.jpg'],https://twitter.com/KPA1_/status/1355643049628594181
Payton,@KPA1_,2021-01-30T14:46:16.000Z,That's good to hear!,GIF,🏁,1,,,['https://pbs.twimg.com/tweet_video_thumb/Es_NTr2XYAQkI43.jpg'],https://twitter.com/KPA1_/status/1355527756965150722
Payton,@KPA1_,2021-01-30T19:37:56.000Z,"I'M

WHAT THE SCALLOPS?","Every SpongeBob Frame In Order
@SbFramesInOrder
 · Jan 30
The SpongeBob SquarePants Movie - Frame 13185 out of 15688",🏁,1,,,"['https://pbs.twimg.com/profile_images/1412030797712924676/xfqaEmdT_mini.jpg', 'https://pbs.twimg.com/media/EtAPxhmXYAI2KK_?format=jpg&name=small']",https://twitter.com/KPA1_/status/1355601157377417222
Alex,@AlexD77_,2021-01-30T15:43:57.000Z,HAPPY #Rolex24 DAY EVERYONE!!! WHO’S EXCITED FOR TODAY’S RACE?! ,GIF,🏁,2,,4,['https://pbs.twimg.com/tweet_video_thumb/Es_agUwU4AIGBKK.jpg'],https://twitter.com/AlexD77_/status/1355542273572827142
Payton,@KPA1_,2021-01-30T15:45:49.000Z,I AM!!!! THE RACING SEASON IS BACK!!,GIF,🏁,1,,1,[],https://twitter.com/KPA1_/status/1355542745549570053
Payton,@KPA1_,2021-01-30T20:05:56.000Z,I just finished relistening to the two part episode of Dale Sr. and Jr. doing the 2001 Rolex on the NASCAR on NBC podcast and I still wonder how cool it would've been if Sr. went to Le Mans in 2002 with Corvette,,🏁,,,,[],https://twitter.com/KPA1_/status/1355608202507919362
Payton,@KPA1_,2021-01-30T23:26:07.000Z,"Ferrari and sending a prototype into the depths of hell

name a better duo, i'll wait",,🏁,1,,2,[],https://twitter.com/KPA1_/status/1355658582193299456
Payton,@KPA1_,2021-01-30T23:52:06.000Z,Geo got me through the NBCSN IndyCar races last year. I miss him already.,,🏁,2,,7,[],https://twitter.com/KPA1_/status/1355665120395980802
