UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kelly Duarte,@Kellythabad1,2021-07-19T14:07:14.000Z,"Replying to 
@Latto",So beautiful ,❤,,,,[],https://twitter.com/Kellythabad1/status/1417123871250124801
BIG LATTO,@Latto,2021-07-17T19:15:33.000Z,Slept on,"BIG LATTO
@Latto
 · Dec 11, 2020
“Sex Lies” ft. @lilbaby4PF starring @waydamin fine ass  https://mulatto.lnk.to/SexLies
0:25
434.4K views",🎰 🎰 😍,147,961,6.3K,['https://pbs.twimg.com/profile_images/1400211765930172418/q2N1R_7T_mini.jpg'],https://twitter.com/Latto/status/1416476686653304841
Kelly Duarte,@Kellythabad1,2021-07-21T02:17:31.000Z,Nice,,,,,,[],https://twitter.com/Kellythabad1/status/1417670040887963648
Kelly Duarte,@Kellythabad1,2021-07-19T14:15:30.000Z,"Replying to 
@Latto","Latto,cardi,thee stallion would colab great together for a song",,,,,[],https://twitter.com/Kellythabad1/status/1417125953264918537
Kelly Duarte,@Kellythabad1,2021-07-15T12:25:24.000Z,Good day ,,💖,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1415648654464008192/pu/img/W2AwMu6AL7cIIWaX.jpg'],https://twitter.com/Kellythabad1/status/1415648694385401856
Kelly Duarte,@Kellythabad1,2021-07-19T14:08:22.000Z,"Replying to 
@Latto",Get it girl,🥳 🙌,,,,[],https://twitter.com/Kellythabad1/status/1417124155141591040
quanthemodel.,@__kools__,2021-07-18T19:36:13.000Z,"Replying to 
@Latto",You really made my whole day  I’m probably the BIGGEST Fan  I LOVE YOUU,😭 😭 😭 💓,16,170,2.2K,['https://pbs.twimg.com/ext_tw_video_thumb/1416844194505805834/pu/img/GjGtpzEUOFx_sb-4.jpg'],https://twitter.com/__kools__/status/1416844276844093443
Kelly Duarte,@Kellythabad1,2021-07-19T14:09:27.000Z,Nice ass doe  LOL ,,😂 💯,,,,[],https://twitter.com/Kellythabad1/status/1417124428803149829
Kelly Duarte,@Kellythabad1,2021-07-15T12:31:32.000Z,#selflove,,,,,,['https://pbs.twimg.com/media/E6VmX65XEAE2u3n?format=jpg&name=medium'],https://twitter.com/Kellythabad1/status/1415650237407010818
Kelly Duarte,@Kellythabad1,2021-07-15T12:25:42.000Z,,,,,,,['https://pbs.twimg.com/media/E6VlDG7XMAEHGQY?format=jpg&name=900x900'],https://twitter.com/Kellythabad1/status/1415648767634726917
