UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Coin Master,@CoinMasterGame,2021-01-11T10:02:31.000Z,Uh oh - these letters are out of order. Name the village for a chance to win 300 spins AND a golden chest! ,"0:00
55.4K views",🎁,859,172,1.1K,[],https://twitter.com/CoinMasterGame/status/1348570979807731714
Tenesha L Holmes,@Ladytea34,2021-01-12T01:29:34.000Z,Magic show,,,,,,[],https://twitter.com/Ladytea34/status/1348804279243563009
Tenesha L Holmes,@Ladytea34,2021-01-28T01:47:11.000Z,"Replying to 
@CoinMasterGame",B,,,,,[],https://twitter.com/Ladytea34/status/1354606920015994880
Coin Master,@CoinMasterGame,2021-01-11T10:02:31.000Z,Uh oh - these letters are out of order. Name the village for a chance to win 300 spins AND a golden chest! ,"55.4K views
0:00 / 0:01",🎁,859,172,1.1K,[],https://twitter.com/CoinMasterGame/status/1348570979807731714
Tenesha L Holmes,@Ladytea34,2021-02-25T00:11:54.000Z,"Replying to 
@CoinMasterGame",USA Michigan,,,,,[],https://twitter.com/Ladytea34/status/1364729799210631169
Tenesha L Holmes,@Ladytea34,2021-02-03T15:28:00.000Z,"Replying to 
@CoinMasterGame",B,,,,,[],https://twitter.com/Ladytea34/status/1356987813208723456
Tenesha L Holmes,@Ladytea34,2021-03-13T15:49:15.000Z,"Replying to 
@CoinMasterGame",C,,,,,[],https://twitter.com/Ladytea34/status/1370763899344146437
Tenesha L Holmes,@Ladytea34,2021-04-18T15:14:17.000Z,#vbmnation,,,,,,[],https://twitter.com/Ladytea34/status/1383801061601734662
Tenesha L Holmes,@Ladytea34,2021-04-07T00:04:26.000Z,"Replying to 
@CoinMasterGame",18,,,,,[],https://twitter.com/Ladytea34/status/1379585823729942530
Tenesha L Holmes,@Ladytea34,2021-04-11T09:12:42.000Z,"Replying to 
@CoinMasterGame",C,,,,,[],https://twitter.com/Ladytea34/status/1381173350140100608
Tenesha L Holmes,@Ladytea34,2021-06-10T06:23:19.000Z,"Replying to 
@CoinMasterGame",Vanilla bean,,,,,[],https://twitter.com/Ladytea34/status/1402873996098654208
Tenesha L Holmes,@Ladytea34,2021-06-03T08:11:09.000Z,"Replying to 
@CoinMasterGame",B,,,,,[],https://twitter.com/Ladytea34/status/1400364417297092608
Tenesha L Holmes,@Ladytea34,2021-06-21T09:35:29.000Z,"Replying to 
@CoinMasterGame",C,,,,,[],https://twitter.com/Ladytea34/status/1406908622882344960
Tenesha L Holmes,@Ladytea34,2021-07-01T08:22:05.000Z,"Replying to 
@CoinMasterGame",1,,,,,[],https://twitter.com/Ladytea34/status/1410514029680893952
Tenesha L Holmes,@Ladytea34,2021-07-02T12:24:51.000Z,"Replying to 
@CoinMasterGame",A,,,,,[],https://twitter.com/Ladytea34/status/1410937513859072011
Tenesha L Holmes,@Ladytea34,2021-07-02T12:25:46.000Z,"Replying to 
@CoinMasterGame",B,,,,,[],https://twitter.com/Ladytea34/status/1410937743170015238
