UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tetley UK,@tetleyuk,2021-07-28T08:30:08.000Z,"We've gone for a new look on our Earl Grey and English Breakfast blends, but don't worry, they still have the same great taste you’re used to. Find them at your nearest 
@asda
.",,,5,1,9,"['https://pbs.twimg.com/media/E7XryN1XIAIRQT5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7XrygBXsAIIyUX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7XrzEsWYAAcSXs?format=jpg&name=360x360']",https://twitter.com/tetleyuk/status/1420300529587081219
teaoklockgh,@LampteyApril,2021-07-28T14:36:25.000Z,Want to order these packs but can't find them in stores.,,,,,,[],https://twitter.com/LampteyApril/status/1420392708292685833
teaoklockgh,@LampteyApril,2021-08-03T00:04:05.000Z,"CONFIDENCE! If you have it, you can make ANYTHING look good 

I decide my vibe
#confidence",,😍,,,1,['https://pbs.twimg.com/media/E70xgVVXMAcS9mo?format=jpg&name=small'],https://twitter.com/LampteyApril/status/1422347504092385285
teaoklockgh,@LampteyApril,2021-08-03T10:04:12.000Z,"Lord let them know you are GOD in our lives.. 
Let them KNOW..
#itiswell",,,,,1,[],https://twitter.com/LampteyApril/status/1422498528769806338
teaoklockgh,@LampteyApril,2021-07-31T17:36:19.000Z,"Life is like a cup of tea,it's all in how you make it!#masalachai
#coffee #teatime #tealover",,,,,1,['https://pbs.twimg.com/media/E7pFlU2XsAUhsNi?format=jpg&name=small'],https://twitter.com/LampteyApril/status/1421525142614777857
teaoklockgh,@LampteyApril,2021-07-31T23:47:23.000Z,What did #Yousef bring to entertain us?,,🤔,,,1,[],https://twitter.com/LampteyApril/status/1421618525467291650
teaoklockgh,@LampteyApril,2021-07-31T23:36:25.000Z,"“A small misunderstanding will expose how people really feel about you.” -
#selflove",,,,,1,[],https://twitter.com/LampteyApril/status/1421615764075958277
teaoklockgh,@LampteyApril,2021-07-31T23:45:01.000Z,"May God REPACKAGE you
 and REINTRODUCE you THOSE who 
WROTE you OFF like He did for Joseph.
#HappyWeekend.",,,,,1,[],https://twitter.com/LampteyApril/status/1421617930526146562
teaoklockgh,@LampteyApril,2021-08-01T06:32:04.000Z,"The blessing on your life will override any force that’s trying to hold you back.

#Restoration",,,,,1,[],https://twitter.com/LampteyApril/status/1421720367471767554
teaoklockgh,@LampteyApril,2021-07-31T15:36:42.000Z,"Lord grant this wish of mine,in thee I pray.",,🙏,,,1,['https://pbs.twimg.com/media/E7oqNJPWUAIDdFh?format=jpg&name=small'],https://twitter.com/LampteyApril/status/1421495040266878984
teaoklockgh,@LampteyApril,2021-07-31T15:09:14.000Z,This really cracked me up.what do you think about these shoes,,🤣 🤣 🤣 🤣,,,1,['https://pbs.twimg.com/media/E7oj6wnWUAUbpQu?format=jpg&name=small'],https://twitter.com/LampteyApril/status/1421488127647043587
teaoklockgh,@LampteyApril,2021-07-31T23:43:58.000Z,"Be careful with how much you tolerate. You are teaching them how to treat you. Set your boundaries right, so they don’t come walking over you.
#self-respect",,,,,1,[],https://twitter.com/LampteyApril/status/1421617664666050563
teaoklockgh,@LampteyApril,2021-08-01T07:01:36.000Z,"Dear August, 
Just as every month comes with its baggages I'm sure you won't be an exception. 
All I ask is for you to be better than the previous one.
 You are the month that precedes the “ember” months.
 Please be kind to us in all our endeavors. 
Thanks & Happy New Month.",,,,,1,[],https://twitter.com/LampteyApril/status/1421727798947897345
teaoklockgh,@LampteyApril,2021-07-31T12:25:46.000Z,"Am sure Oswald  was used as a tool of instrument of Blessing for Mrs.Appiah and his classmates.
Not forgetting his parents,this life!!!
Favour,Grace and Mercy locate us all.",,🙌 🥺,,,,[],https://twitter.com/LampteyApril/status/1421446988885807104
lil juicy,@znuieaahjefi,2021-08-01T05:39:26.000Z,"Issa wig, who want it? ","lil juicy
@znuieaahjefi
 · Jul 31",😭 🧡,14,4,259,"['https://pbs.twimg.com/profile_images/1424779741869973535/kxetW2Ew_mini.jpg', 'https://pbs.twimg.com/media/E7lxX9fUcAE1tI_?format=jpg&name=small']",https://twitter.com/znuieaahjefi/status/1421707120538390529
teaoklockgh,@LampteyApril,2021-08-01T06:47:23.000Z,I want it,,,,,1,[],https://twitter.com/LampteyApril/status/1421724220820762629
nana Owusu DeLa,@nanaowusudela,2021-07-31T07:12:38.000Z,Action Speaks Louder Than Words “I Love You” Is Words “Payment Received” Is Action ,,🏀 😅 😅 😅,20,140,306,[],https://twitter.com/nanaowusudela/status/1421368186902089737
teaoklockgh,@LampteyApril,2021-07-31T16:16:42.000Z,On point sir ,,👉 👌,,,1,[],https://twitter.com/LampteyApril/status/1421505107062136836
teaoklockgh,@LampteyApril,2021-07-31T16:14:25.000Z,"Replying to 
@Babyjanelov",Eeerrmm!!!,,,,,[],https://twitter.com/LampteyApril/status/1421504534115983363
teaoklockgh,@LampteyApril,2021-08-28T16:47:03.000Z,"No matter how you can relate to their story, don't share your own. Just listen and advice accordingly.
 People are not people oo anuanom
#loyalty",,🙅,,,,[],https://twitter.com/LampteyApril/status/1431659604954517504
SMPOLICE,@adjah_ernest,2021-08-22T06:13:45.000Z,"+ 1 Today  Happy birthday  to me  if you come across it ,don’t just scroll up wish me guys  I need it  #Twitter do your thing #SMP",,🎂 🎊 🎁 💥 🎊 🎉 🥳 😎 👈 👆 🙌 🙌,122,271,2.4K,['https://pbs.twimg.com/media/E9X8TzVX0AY8rh1?format=jpg&name=900x900'],https://twitter.com/adjah_ernest/status/1429325901230231552
teaoklockgh,@LampteyApril,2021-08-22T13:43:17.000Z,Happy fantastic birthday ,,😊 🎂,1,1,1,[],https://twitter.com/LampteyApril/status/1429439033323753481
