UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Laxziz602,@Laxziz602,2021-06-23T20:05:28.000Z,#Smite you know he big mad,"0:09
5 views",,,,1,[],https://twitter.com/Laxziz602/status/1407791940372996103
Laxziz602,@Laxziz602,2021-06-28T23:39:47.000Z,My little child Rosko! #corgi,,,,,1,['https://pbs.twimg.com/media/E5AcT1tXMAEEG5r?format=jpg&name=small'],https://twitter.com/Laxziz602/status/1409657813077413892
Laxziz602,@Laxziz602,2021-06-11T21:50:05.000Z,BDO Console mini clip. RNG Greatness #bdoconsole #xbsx,,😃,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1403469566882242562/pu/img/L-3fSYbuCGAqU_vb.jpg'],https://twitter.com/Laxziz602/status/1403469613531344898
Lost Ark,@PlayLostArk,2021-06-17T15:14:04.000Z,i can't wait to #playlostark because...,,,646,54,1.1K,[],https://twitter.com/PlayLostArk/status/1405544279083192325
Laxziz602,@Laxziz602,2021-06-17T16:01:14.000Z,I need something new in my MMO life ,,😭,1,,,[],https://twitter.com/Laxziz602/status/1405556147080339458
WWE on BT Sport,@btsportwwe,2021-06-17T11:42:49.000Z,"Your month of birth determines who you fight inside Hell in a Cell 

#HIAC",,🔥 🗓,496,556,877,"['https://pbs.twimg.com/media/E4FOjmlXEAArmYg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4FOjmpX0AEmreU?format=jpg&name=360x360']",https://twitter.com/btsportwwe/status/1405491116762439683
Laxziz602,@Laxziz602,2021-06-17T16:05:02.000Z,"vs 
@RandyOrton
 getting hit with that RKO will be the best moment in my life.",,,,,,[],https://twitter.com/Laxziz602/status/1405557105357213710
Laxziz602,@Laxziz602,2021-06-23T20:13:43.000Z,OP Succ Nova 1V2 #blackdesertconsole,"0:43
6 views",,,,,[],https://twitter.com/Laxziz602/status/1407794015215497216
Laxziz602,@Laxziz602,2021-06-28T20:48:46.000Z,"Replying to 
@WWE",@RandyOrton,,,,,[],https://twitter.com/Laxziz602/status/1409614774703431680
Laxziz602,@Laxziz602,2021-06-23T20:13:43.000Z,OP Succ Nova 1V2 #blackdesertconsole,"6 views
0:02 / 0:44",,,,,[],https://twitter.com/Laxziz602/status/1407794015215497216
