UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
heidi,@Leeshapiro5,2021-05-19T18:17:27.000Z,I love this emoji because this is actually how I live my life. #Happyface #Bitcoin,,,,,1,['https://pbs.twimg.com/media/E1xS76oXEAELFyG?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1395081182526771200
heidi,@Leeshapiro5,2021-05-19T09:11:15.000Z,Let’s #dogecoin it up  ,,💣 🚀,,,,[],https://twitter.com/Leeshapiro5/status/1394943725294456837
heidi,@Leeshapiro5,2021-05-19T17:21:44.000Z,"Bitcoin crashing?
#Bitcoin #dogecoin #dogecoin",,,,,,[],https://twitter.com/Leeshapiro5/status/1395067158036627457
heidi,@Leeshapiro5,2021-05-22T17:03:01.000Z,Today’s going to be a good day. What  are we expecting today from #DogeCoinTo1Dollar,,,,,,[],https://twitter.com/Leeshapiro5/status/1396149611207725063
heidi,@Leeshapiro5,2021-05-18T07:16:14.000Z,I’m seriously looking into selling off my bitcoin for Doge #dogecoin,,,,,1,[],https://twitter.com/Leeshapiro5/status/1394552390225965056
heidi,@Leeshapiro5,2021-05-21T22:27:25.000Z,RT and reply if you want me to send you 2 #Bitcoin.,,,,,,[],https://twitter.com/Leeshapiro5/status/1395868862319583234
heidi,@Leeshapiro5,2021-05-20T08:13:36.000Z,Let’s shoot to the ,,🌙,,,,[],https://twitter.com/Leeshapiro5/status/1395291604618031107
Elon Musk,@elonmusk,2021-05-13T23:30:52.000Z,As always,,,37.4K,52.8K,367.3K,['https://pbs.twimg.com/media/E1ThIutVgAE2AgM?format=jpg&name=small'],https://twitter.com/elonmusk/status/1392985728271884288
heidi,@Leeshapiro5,2021-05-19T09:16:21.000Z,#doge never panic,,,,,,[],https://twitter.com/Leeshapiro5/status/1394945010236329985
heidi,@Leeshapiro5,2021-05-21T07:45:41.000Z,"I’ll be giving out #DogeCoinTo1Dollar to a random person who retweets this within the next 96 hours. 

Winner must be following so i can DM you if you win. 

RT + Comment",,,,,,[],https://twitter.com/Leeshapiro5/status/1395646966303019013
heidi,@Leeshapiro5,2021-05-19T17:27:47.000Z,Twitter please bring back my followers,,🤧,1,,,[],https://twitter.com/Leeshapiro5/status/1395068683215589383
heidi,@Leeshapiro5,2021-05-19T09:13:47.000Z,"Replying to 
@TheCryptoLark",Come let’s #dogecoin things up ,🚀,,,,[],https://twitter.com/Leeshapiro5/status/1394944363269169153
heidi,@Leeshapiro5,2021-05-19T17:29:50.000Z,Thanks  they are back,,🙏,,,,[],https://twitter.com/Leeshapiro5/status/1395069197340790785
Nantsika,@Elethu_Neev,2021-05-25T18:43:50.000Z,Is there gonna be a Pride parade this year?,,🌈,2,2,5,[],https://twitter.com/Elethu_Neev/status/1397262147118321667
heidi,@Leeshapiro5,2021-05-25T20:44:57.000Z,Can I use this?,,❤,,,,[],https://twitter.com/Leeshapiro5/status/1397292626353721349
Cale,@coffeencrypt0,2021-05-18T21:25:25.000Z,I’ve got a great idea. Hear me out: let’s start a #dogecoin pizza company,,🥬 👀,289,300,2.2K,[],https://twitter.com/coffeencrypt0/status/1394766096394227713
heidi,@Leeshapiro5,2021-05-19T06:41:57.000Z,Sounds great,,,,,,[],https://twitter.com/Leeshapiro5/status/1394906151184183305
heidi,@Leeshapiro5,2021-05-20T22:27:43.000Z,"@msomi_the
 hi pls open your Dm",,,,,,[],https://twitter.com/Leeshapiro5/status/1395506551784357891
heidi,@Leeshapiro5,2021-05-27T08:17:51.000Z,"@CashApp
 it’s been 6 days a direct deposit was made into my CashApp but till now I haven’t received the fund in my CashApp and the client said she has been debited from her bank. What is the reason for the delay?",,,1,,,[],https://twitter.com/Leeshapiro5/status/1397829388746596353
Makeala Cachola,@Makeala_Cachola,2021-05-17T05:27:44.000Z,"I’m trying to get a painting done of my dad with the kiddos, if you guys could recommend someone or a company I’d lovvveeee that",,❤,38,9,887,[],https://twitter.com/Makeala_Cachola/status/1394162700695920643
heidi,@Leeshapiro5,2021-05-17T14:53:25.000Z,I can fi mix that for you,,,,,,[],https://twitter.com/Leeshapiro5/status/1394305059509477383
heidi,@Leeshapiro5,2021-05-22T17:07:30.000Z,"Replying to 
@ALoren69811754
 and 
@KimKardashian",Hi,,,,,[],https://twitter.com/Leeshapiro5/status/1396150740889083906
heidi,@Leeshapiro5,2021-05-20T22:29:47.000Z,"Replying to 
@Tiarra_olivia
 and 
@amrezy",Hi,,,,,[],https://twitter.com/Leeshapiro5/status/1395507068547837956
heidi,@Leeshapiro5,2021-05-17T14:20:26.000Z,"Replying to 
@CryptAbby",Yes,,,,,[],https://twitter.com/Leeshapiro5/status/1394296756544880642
Elon Musk,@elonmusk,2021-07-26T06:21:22.000Z,The Biggest Bang Theory,,,14.9K,13.3K,209.5K,[],https://twitter.com/elonmusk/status/1419543347467784195
heidi,@Leeshapiro5,2021-07-26T07:32:05.000Z,Please help us,,,,,,['https://pbs.twimg.com/media/E7NLVMsX0AAOEWN?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1419561145753559043
Elon Musk,@elonmusk,2021-07-25T18:26:49.000Z,"Replying to 
@Teslarati
 and 
@KlenderJoey",I was at Giga Texas yesterday. Team is making excellent progress. Building will be almost a mile long when complete.,,526,643,10.3K,[],https://twitter.com/elonmusk/status/1419363526322397186
heidi,@Leeshapiro5,2021-07-25T18:41:33.000Z,Single mother needs help for sick dog.,,,,,,['https://pbs.twimg.com/media/E7Ka97KX0AEBfQC?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1419367230731653120
Jaclyn Hill,@Jaclynhill,2021-07-25T20:39:45.000Z,"Jordan and I have been spending all our time on the couch resting & healing. What are some good TV recommendations for us?!? 
We’ve been really into horror/thrillers!",,,693,32,3.3K,[],https://twitter.com/Jaclynhill/status/1419396978740535303
heidi,@Leeshapiro5,2021-07-25T21:58:54.000Z,Hello please I need help in caring for my sick Dog,,,1,,,['https://pbs.twimg.com/media/E7LIIofWEAMpgid?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1419416895556575232
Charlie,@nudog71,2021-07-27T21:00:22.000Z,We're absolutely crushed. Another pair of maga neighbors have stopped speaking to us!!!,,👍 👍 👍 👍 👍,459,165,2.7K,[],https://twitter.com/nudog71/status/1420126943748321281
heidi,@Leeshapiro5,2021-07-27T21:23:47.000Z,Please who can assist me in caring for my sick baby,,,,,,['https://pbs.twimg.com/media/E7VTRxEWUAMVQZN?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1420132835801845761
heidi,@Leeshapiro5,2021-07-26T13:05:28.000Z,I have a sick baby and I can’t afford to give it proper treatment. I need help but no one seems to be interested in helping us,,😭 😭,,,,['https://pbs.twimg.com/media/E7OXoizWEAAEk2v?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1419645041107259392
melissa,@LateBoomer59,2021-07-28T01:27:12.000Z,"Replying to 
@Leeshapiro5
 and 
@chipfranklin",The injury is very swollen and looks raw.  Has he been seen by a vet?  Is that what you need help with?,,1,,,[],https://twitter.com/LateBoomer59/status/1420194093112700935
heidi,@Leeshapiro5,2021-07-28T21:32:24.000Z,Yes that’s what I need help with. We have seen a Vet but we can’t come up with the bill at the moment and it’s beginning to affect my baby ,,😭,,,,[],https://twitter.com/Leeshapiro5/status/1420497390633721856
heidi,@Leeshapiro5,2021-07-26T11:51:53.000Z,"Replying to 
@dan_fuzz
 and 
@chloemcaleese",Yes I have responded,,,,,[],https://twitter.com/Leeshapiro5/status/1419626524022554627
Moosette.,@krispydragun,2021-07-26T15:33:10.000Z,"Replying to 
@Leeshapiro5
 and 
@Jaclynhill",Sure!,,1,,,[],https://twitter.com/krispydragun/status/1419682210840461315
heidi,@Leeshapiro5,2021-07-26T16:33:06.000Z,Your DM is locked. You can send me a dm,,,,,,[],https://twitter.com/Leeshapiro5/status/1419697293113143302
heidi,@Leeshapiro5,2021-07-25T21:57:07.000Z,"Replying to 
@dan_fuzz
 and 
@chloemcaleese",Can I DM?,,,,,[],https://twitter.com/Leeshapiro5/status/1419416450641629187
heidi,@Leeshapiro5,2021-07-26T07:16:30.000Z,"Replying to 
@dan_fuzz
 and 
@chloemcaleese",Your DM isn’t open,,,,,[],https://twitter.com/Leeshapiro5/status/1419557222468751375
Tee(Theresa) Roets,@Theresaroets911,2021-07-25T16:01:20.000Z,Can you get Covid even if you're vaccinated?,,🕵,1.9K,267,1.7K,[],https://twitter.com/Theresaroets911/status/1419326914313981954
heidi,@Leeshapiro5,2021-07-25T18:54:26.000Z,Hello please I need help in caring for my Dog,,,,,,['https://pbs.twimg.com/media/E7Kd57AXIAEaujR?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1419370476275736579
heidi,@Leeshapiro5,2021-07-23T13:07:15.000Z,"@prplhayeshz
 come to the DM",,,,,,[],https://twitter.com/Leeshapiro5/status/1418558328335179777
heidi,@Leeshapiro5,2021-07-23T13:10:15.000Z,"@Justfreshb
 send a DM please",,,,,,[],https://twitter.com/Leeshapiro5/status/1418559084522049541
heidi,@Leeshapiro5,2021-07-23T13:01:07.000Z,"@NAMaste19670
 If you DM us we’ll take a look at this ASAP!",,,,,,[],https://twitter.com/Leeshapiro5/status/1418556784692838407
heidi,@Leeshapiro5,2021-08-09T22:42:31.000Z,$Hporay please I need the money to care for my sick baby  #CashAppExtraCredit,,,1,,1,[],https://twitter.com/Leeshapiro5/status/1424863690185224204
Charlie,@nudog71,2021-07-29T20:09:26.000Z,What if stores offered a ten percent discount to any shopper who correctly wears a mask while they are shopping and checking out in their store?,,,74,71,429,[],https://twitter.com/nudog71/status/1420838899392258050
heidi,@Leeshapiro5,2021-07-30T13:04:19.000Z,Any one willing to help us out?,,,,,,['https://pbs.twimg.com/media/E7i9uiyWQAQtTeX?format=jpg&name=small'],https://twitter.com/Leeshapiro5/status/1421094304337076228
