UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
LUNCH TIME!,@LunchtimeForAll,2021-08-18T17:25:53.000Z,Lunch time!! #lunch,,,,1,1,['https://pbs.twimg.com/media/E9FvzmvXEAYRNOQ?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1428045498208997378
LUNCH TIME!,@LunchtimeForAll,2021-08-24T16:06:50.000Z,"Hi lunchtime!!! 

#kfc #lunch",,,,1,1,['https://pbs.twimg.com/media/E9kXQmnXIAIeIBm?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1430199934259798022
LUNCH TIME!,@LunchtimeForAll,2021-08-19T16:44:36.000Z,Lunchtime!  #Lunchtime,,,,,1,['https://pbs.twimg.com/media/E9Kv6k_WQAIiFdz?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1428397498696146947
LUNCH TIME!,@LunchtimeForAll,2021-08-23T17:21:16.000Z,"Lunchtime. 

#Lunchtime",,,,,,['https://pbs.twimg.com/media/E9fesu3XoAA7iAI?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1429856278252244993
LUNCH TIME!,@LunchtimeForAll,2021-08-20T17:34:17.000Z,LUNCHTIME #lunch #culvers,,,2,1,1,['https://pbs.twimg.com/media/E9QE6WkWYAML01Y?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1428772390411153410
LUNCH TIME!,@LunchtimeForAll,2021-08-12T17:23:01.000Z,Lunch time!!,,,,,1,['https://pbs.twimg.com/media/E8m1mNCXIAQBAg4?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1425870449230090244
LUNCH TIME!,@LunchtimeForAll,2021-08-06T18:24:39.000Z,"Lunch time!! 
@Wendys
 #latelunch",,,,,1,['https://pbs.twimg.com/media/E8IKLhdX0AMrHaF?format=jpg&name=900x900'],https://twitter.com/LunchtimeForAll/status/1423711632203649027
LUNCH TIME!,@LunchtimeForAll,2021-08-25T17:27:51.000Z,Lunch lunch,,,,,,['https://pbs.twimg.com/media/E9pzYBdX0AIXaba?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1430582709353689095
LUNCH TIME!,@LunchtimeForAll,2021-08-14T17:28:56.000Z,Lunchtime.,,,,,1,[],https://twitter.com/LunchtimeForAll/status/1426596715084361728
LUNCH TIME!,@LunchtimeForAll,2021-08-11T17:06:37.000Z,LUNCHTIME!,,,,,1,[],https://twitter.com/LunchtimeForAll/status/1425503937679998991
LUNCH TIME!,@LunchtimeForAll,2021-07-30T17:24:01.000Z,LUNCH TIME!,,,,,1,[],https://twitter.com/LunchtimeForAll/status/1421159659910672385
LUNCH TIME!,@LunchtimeForAll,2021-08-22T18:50:31.000Z,Lunchtime,,,,,1,[],https://twitter.com/LunchtimeForAll/status/1429516349076815880
LUNCH TIME!,@LunchtimeForAll,2021-08-27T17:26:20.000Z,Lunchtime?,,,,,1,[],https://twitter.com/LunchtimeForAll/status/1431307101813497865
LUNCH TIME!,@LunchtimeForAll,2021-08-12T02:04:59.000Z,“She who skips lunch…is doomed to have a pretty shitty afternoon.” Confucius,,,,,1,[],https://twitter.com/LunchtimeForAll/status/1425639418224910340
LUNCH TIME!,@LunchtimeForAll,2021-08-21T17:15:46.000Z,"Lunch time. 

#lunch #sad #mentalhealth",,,,,1,[],https://twitter.com/LunchtimeForAll/status/1429130116743974913
LUNCH TIME!,@LunchtimeForAll,2021-08-07T16:43:12.000Z,Lunch   Time,,,1,,2,[],https://twitter.com/LunchtimeForAll/status/1424048491911856132
LUNCH TIME!,@LunchtimeForAll,2021-08-15T18:50:59.000Z,Lunch time.,,,1,,1,[],https://twitter.com/LunchtimeForAll/status/1426979752368349186
Justin Baragona,@justinbaragona,2021-08-13T03:05:55.000Z,"Laura Ingraham: ""What if we just cut off the unemployment? Hunger is a pretty powerful thing.""

Bar Rescue guy: ""They only feed a military dog at night, because a hungry dog is an obedient dog. Well, if we are not causing people to be hungry to work...""",,,6.1K,14.2K,11.5K,['https://pbs.twimg.com/ext_tw_video_thumb/1426016984903430145/pu/img/tMekigqdobFpISL5.jpg'],https://twitter.com/justinbaragona/status/1426017141724270597
LUNCH TIME!,@LunchtimeForAll,2021-08-14T02:01:10.000Z,Dammit!!! I wanted to love Taffer!!!,,,,,,[],https://twitter.com/LunchtimeForAll/status/1426363237222789120
alyssa.,@wyssaaa,2021-08-12T00:31:28.000Z,getting tacos now & a blaze pizza for later ,,,2,,5,[],https://twitter.com/wyssaaa/status/1425615887613190152
LUNCH TIME!,@LunchtimeForAll,2021-08-12T05:09:33.000Z,You’re a champ,,,,,,[],https://twitter.com/LunchtimeForAll/status/1425685867746758661
LUNCH TIME!,@LunchtimeForAll,2021-07-30T19:26:37.000Z,#fishandchips,,,,,,['https://pbs.twimg.com/media/E7kVPFuWEAIBF5_?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1421190512791404545
LUNCH TIME!,@LunchtimeForAll,2021-08-04T17:32:39.000Z,,,,,,,['https://pbs.twimg.com/media/E79rFFnWQAEH0rx?format=jpg&name=small'],https://twitter.com/LunchtimeForAll/status/1422973773255528460
LUNCH TIME!,@LunchtimeForAll,2021-08-07T17:02:57.000Z,"Replying to 
@BiscuitofYork",Yo  mama,,,,,[],https://twitter.com/LunchtimeForAll/status/1424053459385557005
LUNCH TIME!,@LunchtimeForAll,2021-08-13T19:21:13.000Z,@tacobell,,,,,,[],https://twitter.com/LunchtimeForAll/status/1426262583162642435
