UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lzx~keke刘(互关),@Lzx91829422,2021-06-29T23:57:13.000Z,,"0:15
44 views",,,,7,[],https://twitter.com/Lzx91829422/status/1410024590085017607
Lzx~keke刘(互关),@Lzx91829422,2021-06-20T02:02:05.000Z,#新头像,,,1,,6,['https://pbs.twimg.com/media/E4Smke2WEAEHT4r?format=jpg&name=small'],https://twitter.com/Lzx91829422/status/1406432132482936832
Lzx~keke刘(互关),@Lzx91829422,2021-06-20T01:54:44.000Z,,,,,,1,['https://pbs.twimg.com/media/E4Sk4d_XMAA63fB?format=jpg&name=small'],https://twitter.com/Lzx91829422/status/1406430281733656576
Lzx~keke刘(互关),@Lzx91829422,2021-06-20T01:58:08.000Z,,,,,,1,['https://pbs.twimg.com/media/E4SlqqEXMAEsD5M?format=jpg&name=medium'],https://twitter.com/Lzx91829422/status/1406431139011739650
Lzx~keke刘(互关),@Lzx91829422,2021-06-20T01:17:21.000Z,@xyy81843490,,,,,1,[],https://twitter.com/Lzx91829422/status/1406420874262110209
Lzx~keke刘(互关),@Lzx91829422,2021-06-20T01:20:09.000Z,@clj5875,,,,1,2,[],https://twitter.com/Lzx91829422/status/1406421579895087104
Lzx~keke刘(互关),@Lzx91829422,2021-07-03T10:23:38.000Z,"GKC-V2, namely Phoenix smart chain, is an optimal version of V1,compatible with/but superior to ETH. V2 will finally be integrated as a combination of ETH + UNI (DEX)+ AVE + WBTC, which will certainly take a leading role in the Defi  applications.",,,,15,64,[],https://twitter.com/Lzx91829422/status/1411269396471947268
Lzx~keke刘(互关),@Lzx91829422,2021-07-04T07:48:25.000Z,热爱区块链技术，热爱生活。,"0:13
325 views",,3,2,44,[],https://twitter.com/Lzx91829422/status/1411592720682913794
Lzx~keke刘(互关),@Lzx91829422,2021-07-09T23:33:11.000Z,期待已久的映射来了，GKCV2的家人们干活了，映射持续到这个月29号。敬请通知到每一位持金者。,,,1,10,79,"['https://pbs.twimg.com/media/E55DteZVUAMHzzz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E55DtyLVcAEpuhr?format=jpg&name=900x900']",https://twitter.com/Lzx91829422/status/1413642420701462529
Lzx~keke刘(互关),@Lzx91829422,2021-07-08T02:17:52.000Z,Gkc朋友们，一起加油！,,,2,,49,['https://pbs.twimg.com/media/E5vWzQqXIAg4YZY?format=jpg&name=small'],https://twitter.com/Lzx91829422/status/1412959087202119681
Lzx~keke刘(互关),@Lzx91829422,2021-07-24T04:52:45.000Z,,,,1,,7,['https://pbs.twimg.com/media/E7CTsH1WEAEfNDy?format=jpg&name=small'],https://twitter.com/Lzx91829422/status/1418796272241283076
Lzx~keke刘(互关),@Lzx91829422,2021-07-09T23:32:30.000Z,,"辉煌
@GKCv2_lhq179218
 · Jul 10
期待已久的映射来了，GKCV2的家人们干活了，映射持续到这个月29号。敬请通知到每一位持金者。",,,,11,"['https://pbs.twimg.com/profile_images/1402119363147096067/0W7tSqeU_mini.jpg', 'https://pbs.twimg.com/media/E55DteZVUAMHzzz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E55DtyLVcAEpuhr?format=jpg&name=900x900']",https://twitter.com/Lzx91829422/status/1413642247808057344
Lzx~keke刘(互关),@Lzx91829422,2021-07-13T13:17:12.000Z,,,,,,7,['https://pbs.twimg.com/ext_tw_video_thumb/1414936862196645890/pu/img/dpCZMPsQyYQ5daA9.jpg'],https://twitter.com/Lzx91829422/status/1414936952470712338
Lzx~keke刘(互关),@Lzx91829422,2021-07-12T04:37:10.000Z,,"0:10
33 views",,,,7,[],https://twitter.com/Lzx91829422/status/1414443696464961541
Lzx~keke刘(互关),@Lzx91829422,2021-07-03T10:19:48.000Z,"GKC-V2是当下最完美的区块链！
GKC-V1干了BTC/ETH想干没干成的挖矿模式与出块机制，符合当下世界节能减排，迎合了国内碳中和的政策方针，同时对节点建设零门槛的设置使其普通大众能够参与的真正区块链数字币。
GKC-V2正在干的是BTC/ETH/DOT/BNB/UN---真正去中心化/高TPS/跨链/低GAS/",,,,,4,[],https://twitter.com/Lzx91829422/status/1411268428703404032
Lzx~keke刘(互关),@Lzx91829422,2021-07-12T04:37:10.000Z,,"33 views
0:01 / 0:10",,,,7,[],https://twitter.com/Lzx91829422/status/1414443696464961541
Lzx~keke刘(互关),@Lzx91829422,2021-08-09T13:18:58.000Z,"@V2Chain
 Introduction to PEC smart public Chain Project",,,,3,22,"['https://pbs.twimg.com/media/E7sT-ojVEAgyQ7o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sUFLWVIAceSuu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sUCEfVoAErvAF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sUIDzVIAUp78I?format=jpg&name=360x360']",https://twitter.com/Lzx91829422/status/1424721870335582211
Lzx~keke刘(互关),@Lzx91829422,2021-08-20T03:24:52.000Z,"PEC Official telegraph group:http://t.me/phoenix_v2
PEC official telegraph channel:http://t.me/phoenixV2
PECOfficial Twitter:
@V2Chain","phoenix_v2 共识社区
PEC smart Chain Block browser: https://t.co/8GiFurJwHG Open source https://t.co/X8mDWB8KM5 DEXexchange: https://t.co/5kz2vz0X69 Cross chain connection: https://t.co/
t.me",,2,,7,['https://pbs.twimg.com/card_img/1431263567601405954/XQG2tsQH?format=jpg&name=240x240'],https://twitter.com/Lzx91829422/status/1428558625308495874
Lzx~keke刘(互关),@Lzx91829422,2021-08-21T01:19:43.000Z,"重磅消息：
PIE一个月后能挖BTC比特币
推特圈的朋友们看懂了就快行动，不要与财富擦肩而过，俗话说得好，币圈一天人间十年，别说我没告诉你呦",,💣 💣 💣 💣 💰 🤗 🤗 🤗,4,3,37,['https://pbs.twimg.com/media/E9OwhYQUYAQSfJB?format=jpg&name=small'],https://twitter.com/Lzx91829422/status/1428889520653570055
Lzx~keke刘(互关),@Lzx91829422,2021-08-20T10:12:45.000Z,PEC公链主网上线半个月，是目前全球最为先进超级智能链+公链+通缩经济模型，pec无矿可挖，但可以挖DEX的手续费，DEX手续费一半销毁一半挖出，人人可以建设节点，节点门槛低，节点越多网络就会越稳定，去中心化就更强，明天开始空投种子用户，关注我们关注PEC,,,1,1,49,"['https://pbs.twimg.com/media/E9EsbBSUYAII8zL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EsbeZUcAcTXxR?format=jpg&name=360x360']",https://twitter.com/Lzx91829422/status/1428661274674487300
Lzx~keke刘(互关),@Lzx91829422,2021-08-11T06:07:43.000Z,"PEC官方电报群:
https://0.plus/phoenix_v2
PEC官方推特:
@V2Chain
PEC区块浏览器:
http://explorer.phoenixchain.cc
PEC开源主网:
https://github.com/phoenixchain/phoenix/…",,,,7,38,['https://pbs.twimg.com/ext_tw_video_thumb/1425337941556006916/pu/img/S_S-aZTs1lOnNvR6.jpg'],https://twitter.com/Lzx91829422/status/1425338116341059594
Lzx~keke刘(互关),@Lzx91829422,2021-08-23T10:24:37.000Z,"@Jacob7900
 PEC 超级智能链_项目介绍",,,1,,11,"['https://pbs.twimg.com/media/E7sUcbWVEAIRgHf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sUjO1VkAMUMcb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sUgB1UUAAE58n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sUlxCVgAQ06Dv?format=jpg&name=360x360']",https://twitter.com/Lzx91829422/status/1429751422749319172
Lzx~keke刘(互关),@Lzx91829422,2021-08-23T02:37:38.000Z,有关必回。,,,4,,6,[],https://twitter.com/Lzx91829422/status/1429633901983637505
Lzx~keke刘(互关),@Lzx91829422,2021-08-25T14:01:52.000Z,谢谢朋友们关注我，我还差300粉丝。,,,,,21,['https://pbs.twimg.com/ext_tw_video_thumb/1430529303331049472/pu/img/Eoq94mHN0anNgRjV.jpg'],https://twitter.com/Lzx91829422/status/1430530870067273728
Lzx~keke刘(互关),@Lzx91829422,2021-08-09T13:19:04.000Z,@V2Chain,,,,,,[],https://twitter.com/Lzx91829422/status/1424721896566792193
Lzx~keke刘(互关),@Lzx91829422,2021-08-23T10:27:37.000Z,"Replying to 
@JeremyGilley
 @SDGaction
 and 4 others",关注下我，谢谢,,1,1,1,[],https://twitter.com/Lzx91829422/status/1429752177342357512
