UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Karl Lauterbach,@Karl_Lauterbach,2021-01-12T11:47:47.000Z,"Karl Lauterbach - ""Das wird ein super Sommer""","Karl Lauterbach über 2021: ""Das wird ein super Sommer""
Der SPD-Gesundheitspolitiker gilt in der Corona-Krise als beharrlicher Mahner. Ein Gespräch über Anfeindungen, Öffentlichkeit und Corona.
sueddeutsche.de",,4K,736,4.6K,['https://pbs.twimg.com/card_img/1434284073917296644/b7BmFn19?format=jpg&name=small'],https://twitter.com/Karl_Lauterbach/status/1348959859799175172
Mario Berg,@Marioberg170,2021-03-28T10:14:38.000Z,Sie nerven,,,,,,[],https://twitter.com/Marioberg170/status/1376115505833082882
Mario Berg,@Marioberg170,2021-03-31T13:30:23.000Z,"@AfD
 @Senat_Hamburg
 @Alice_Weidel",,,,,,['https://pbs.twimg.com/media/Exz7VaRXIAILJIr?format=jpg&name=small'],https://twitter.com/Marioberg170/status/1377251933610708994
Mario Berg,@Marioberg170,2021-04-25T13:03:03.000Z,"Replying to 
@Pontifex_de",Amen,,,,1,[],https://twitter.com/Marioberg170/status/1386304749834620932
Mario Berg,@Marioberg170,2021-04-01T09:44:29.000Z,"Replying to 
@Frau__W",,👍 👍 👍,,,2,[],https://twitter.com/Marioberg170/status/1377557470944636929
Kalle Koschinsky,@KalleKoschinsky,2021-04-28T11:42:15.000Z,"Diesen Samstag starte ich um 12 Uhr mittags endlich meinen 24 Stunden Stream!

Wir starten mit Bus-Simulator! (LOL)
Später dann Secret Neighbor und Gartic Phone mit  coolen StreamerInnen.
und ab ca 21 Uhr dann Metal Gear Solid 3 im Cosplay.

Ich bin dafür nicht bereit, aber ja.",,,20,5,526,[],https://twitter.com/KalleKoschinsky/status/1387371581903605762
Mario Berg,@Marioberg170,2021-04-29T12:45:59.000Z,Hey Kalle ich Feier deine Videos habe dich auf tiktok gesehen.Liebe Grüße,,,,,,[],https://twitter.com/Marioberg170/status/1387750007269380099
Das Fienchen,@BraunFienchen,2021-04-26T09:52:48.000Z,"Replying to 
@Alice_Weidel","Sehr gut Frau Weidel, das gilt für alle Grundrechte aller Menschen. Schön, dass sie das erkannt haben. Wann treten sie aus der AFD aus?",,4,,9,[],https://twitter.com/BraunFienchen/status/1386619262136160258
Mario Berg,@Marioberg170,2021-04-26T09:58:30.000Z,Gar nicht,,,,,1,[],https://twitter.com/Marioberg170/status/1386620693538803712
Mario Berg,@Marioberg170,2021-05-04T08:32:51.000Z,"Replying to 
@McDonaldsDENews",Happy Meal,,,,,[],https://twitter.com/Marioberg170/status/1389498243042660355
Mario Berg,@Marioberg170,2021-05-03T12:47:17.000Z,"Replying to 
@KalleKoschinsky",Der beste Stream ever,,,,,[],https://twitter.com/Marioberg170/status/1389199886898372624
Mario Berg,@Marioberg170,2021-05-27T17:08:08.000Z,"Replying to 
@tagesschau",Schade,,,,,[],https://twitter.com/Marioberg170/status/1397962838812020742
Mario Berg,@Marioberg170,2021-05-12T18:34:35.000Z,"Replying to 
@3sat",Was Zucker mit uns macht das ist schockierend,,,,,[],https://twitter.com/Marioberg170/status/1392548778574495746
Mario Berg,@Marioberg170,2021-05-07T11:52:52.000Z,"Replying to 
@KalleKoschinsky",Steht dir,,,,1,[],https://twitter.com/Marioberg170/status/1390635742431490049
Mario Berg,@Marioberg170,2021-05-20T18:39:05.000Z,"Replying to 
@KalleKoschinsky",Maunzi,,,,,[],https://twitter.com/Marioberg170/status/1395449012589899781
Franz W.Winterberg,@FWWinterberg,2021-05-15T18:17:29.000Z,Ich bin dabei #HarterBrocken,,,5,1,11,[],https://twitter.com/FWWinterberg/status/1393631637481603072
Mario Berg,@Marioberg170,2021-05-15T18:30:21.000Z,Ich nicht,,,,,1,[],https://twitter.com/Marioberg170/status/1393634877027897350
Mario Berg,@Marioberg170,2021-05-15T12:07:05.000Z,"Replying to 
@FWWinterberg",Wäre mega,,1,1,1,[],https://twitter.com/Marioberg170/status/1393538423370174466
Mario Berg,@Marioberg170,2021-05-06T06:43:33.000Z,"Replying to 
@FWWinterberg",Moin,,1,,1,[],https://twitter.com/Marioberg170/status/1390195514688385032
Mario Berg,@Marioberg170,2021-05-30T18:05:37.000Z,"Replying to 
@FWWinterberg",Beste TV Serie Terra x,,1,,1,[],https://twitter.com/Marioberg170/status/1399064467791564806
Mario Berg,@Marioberg170,2021-05-13T10:44:34.000Z,"Replying to 
@FWWinterberg",Top,,1,,1,[],https://twitter.com/Marioberg170/status/1392792882201911296
Mario Berg,@Marioberg170,2021-05-30T18:03:16.000Z,"Replying to 
@FWWinterberg",,👍 👍 👍,1,,1,[],https://twitter.com/Marioberg170/status/1399063879410503681
Mario Berg,@Marioberg170,2021-05-16T11:27:34.000Z,"Replying to 
@ZDFneo
 and 
@DanielDonskoy",Top,,,,2,[],https://twitter.com/Marioberg170/status/1393890866675257351
Mario Berg,@Marioberg170,2021-06-14T07:43:32.000Z,"Replying to 
@dlfnova",,,,,,[],https://twitter.com/Marioberg170/status/1404343736612626433
Mario Berg,@Marioberg170,2021-06-19T09:41:02.000Z,"Replying to 
@badmomzjay",Ja Sprite,,,,1,[],https://twitter.com/Marioberg170/status/1406185242868817923
Kalle Koschinsky,@KalleKoschinsky,2021-06-21T07:34:25.000Z,"Das ist eines dieser Videos, das Mama nicht sehen sollte.","Absolute Eskalation! YouTuber Kart Turnier 2
Nach nun einem Monat gibt es den zweiten Teil zum YouTuber Kart Turnier. Auch in diesem Video entscheidet das Glücksrad über die Schicksale der Teilnehmer. D...
youtube.com",,8,3,579,['https://pbs.twimg.com/card_img/1432238338925281282/oDoxTiHl?format=jpg&name=240x240'],https://twitter.com/KalleKoschinsky/status/1406878153780432896
Mario Berg,@Marioberg170,2021-06-21T19:29:54.000Z,Wann kommt Bus Simulator,,,,,1,[],https://twitter.com/Marioberg170/status/1407058214617817089
FOCUS Online,@focusonline,2021-06-16T05:38:44.000Z,,"Ergreifendes Ende von Um Himmels Willen: Bei der letzten Folge der Serie blieb kein Auge trocken
Bye, bye Kloster Kaltenthal: Zum großen Finale der ARD-Serie um Bürgermeister Wöller (Fritz Wepper) und Schwester Hanna (Janina Hartwig) wurde es noch einmal emotional - ein unerwartetes Comeback,...
focus.de",,1,,3,[],https://twitter.com/focusonline/status/1405037104409759745
Mario Berg,@Marioberg170,2021-06-16T05:41:53.000Z,,,🤧 🤧 🤧,,,,[],https://twitter.com/Marioberg170/status/1405037894532747265
Deutschlandfunk Nova,@dlfnova,2021-06-14T13:18:27.000Z,Unsere Träume könnten von Werbung beeinflusst werden - die Schlafforschung mahnt zur Vorsicht:,"Unsere Träume vor Werbe-Interessen schützen
Wir müssen unsere Träume vor der Werbeindustrie schützen. Das fordern 40 Schlafforschende in einem offenen Brief und warnen vor Missbrauch sogenannter TDI.
deutschlandfunknova.de",,1,2,9,[],https://twitter.com/dlfnova/status/1404428020350394369
Mario Berg,@Marioberg170,2021-06-14T18:36:42.000Z,Werbung ist manchmal echt blöd,,,,,1,[],https://twitter.com/Marioberg170/status/1404508108769091586
