UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BearMedusa,@MamaMeelah,2021-01-07T18:49:58.000Z,Can we hit the factory reset button now?,,,,,2,[],https://twitter.com/MamaMeelah/status/1347254163823071234
BearMedusa,@MamaMeelah,2021-01-09T00:08:13.000Z,Get through the worst so you can get to the best. - me,,,,,1,[],https://twitter.com/MamaMeelah/status/1347696643156672514
BearMedusa,@MamaMeelah,2021-01-14T16:31:44.000Z,Shout out to all of us who are missing our dead parents everyday but mostly today because I need the camaraderie!,,,,,3,[],https://twitter.com/MamaMeelah/status/1349756094193823752
BearMedusa,@MamaMeelah,2021-01-10T15:45:28.000Z,"Replying to 
@DorkSoDope
 and 
@KaytsAdventures",Jeffrey Dahmer's neighbors listening like,,,,4,['https://pbs.twimg.com/tweet_video_thumb/ErYbD9WWMAALiF4.jpg'],https://twitter.com/MamaMeelah/status/1348294900165574657
Barack Obama,@BarackObama,2021-01-07T00:56:00.000Z,Here’s my statement on today’s violence at the Capitol.,,,16.7K,176.9K,912.9K,['https://pbs.twimg.com/media/ErFyVNsWMAA1_mb?format=jpg&name=small'],https://twitter.com/BarackObama/status/1346983894298595330
BearMedusa,@MamaMeelah,2021-01-07T13:03:51.000Z,Maybe it's time to dismantle things not restore them.,,,,,3,[],https://twitter.com/MamaMeelah/status/1347167063081709569
Dr. Jon Paul,@DoctorJonPaul,2021-01-07T18:53:53.000Z,The folks who violently rioted at the Capitol yesterday are the executives in your company and sit on your Board of Trustees. ,,🙃,4,21,97,[],https://twitter.com/DoctorJonPaul/status/1347255151845785600
BearMedusa,@MamaMeelah,2021-01-07T20:01:52.000Z,I have so much to say in regards to where I work but I don't want them finding my tweets.,,,,,2,[],https://twitter.com/MamaMeelah/status/1347272258130206720
Supernova Momma (She/Her),@SupernovaMomma,2021-01-10T02:40:30.000Z,"Replying to 
@SupernovaMomma",I mean she still is but she’s all toddler now.,,1,,7,[],https://twitter.com/SupernovaMomma/status/1348097355573305351
BearMedusa,@MamaMeelah,2021-01-10T02:53:10.000Z,"Lol! I remember when my dad told me ""you used to be cute, what happened?"" ",,😂,,,1,[],https://twitter.com/MamaMeelah/status/1348100541663096839
Michael S. Schmidt,@nytmike,2021-01-07T20:03:24.000Z,"EXCLUSIVE: Trump has suggested to aides he wants to pardon himself in the final days of his presidency, a move that would mark one of the most extraordinary and untested uses of presidential power in American history. w/
@maggieNYT","Trump Is Said to Have Discussed Pardoning Himself
The discussions occurred in recent weeks, and it was not clear whether he has brought it up since he incited supporters to march on the Capitol, where some stormed the site.
nytimes.com",,2.8K,10.7K,14.2K,['https://pbs.twimg.com/card_img/1431066250051006468/hHRGOXaK?format=jpg&name=small'],https://twitter.com/nytmike/status/1347272646715731975
BearMedusa,@MamaMeelah,2021-01-07T21:58:13.000Z,Can turkeys pardon themselves?,,,,,1,[],https://twitter.com/MamaMeelah/status/1347301541322100736
BearMedusa,@MamaMeelah,2021-01-14T22:34:31.000Z,"Replying to 
@bloodsenpai_
 and 
@lilgrapefruits",Eww 847? I bet he tells his crew he's from Chicago.,,1,,2,[],https://twitter.com/MamaMeelah/status/1349847391067926528
Supernova Momma (She/Her),@SupernovaMomma,2021-01-12T06:08:47.000Z,"Replying to 
@elcavaqueen","So that pretty much, exactly what we do. The problem is that on Mondays and Wednesday, I’m no longer part of the routine to enforce the changing table song, bath dance, or story time because of this Certification class. It’s all C",,3,,7,[],https://twitter.com/SupernovaMomma/status/1348874545265045504
